Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Textiles Product 001,376.9,5.1,0.8,3.4,False,SmallItemStorage,High,2025-05-01
Textiles Product 002,366.8,5.1,5.3,3.8,False,FragileItems,Low,2025-05-02
Textiles Product 003,146.2,8.7,1.0,3.1,True,AutomatedStorage2,Medium,2025-05-03
Textiles Product 004,278.0,12.8,1.5,5.3,False,Rack8,Low,2025-05-04
Textiles Product 005,228.0,12.5,2.4,3.0,True,PalletArea5,High,2025-05-05
Textiles Product 006,190.6,6.6,5.0,4.5,True,AutomatedStorage4,High,2025-05-06
Textiles Product 007,437.6,5.2,4.4,2.9,False,HighBay3,High,2025-05-07
Textiles Product 008,651.0,8.5,3.3,0.6,False,AutomatedStorage3,High,2025-05-08
Textiles Product 009,333.2,14.3,2.0,0.4,False,Rack10,Low,2025-05-09
Textiles Product 010,576.8,5.1,1.9,1.1,False,ManualStorage3,High,2025-05-10
Textiles Product 011,426.0,4.8,3.9,0.6,False,HighBay1,High,2025-05-11
Textiles Product 012,338.5,1.4,2.1,0.5,False,ZoneA,Low,2025-05-12
Textiles Product 013,674.0,7.5,3.9,4.0,True,ManualStorage2,High,2025-05-13
Textiles Product 014,387.3,5.5,2.5,3.8,True,ZoneG,Low,2025-05-14
Textiles Product 015,249.1,8.8,3.5,2.4,True,ManualStorage4,Low,2025-05-15
Textiles Product 016,578.5,13.7,3.4,2.3,True,Rack1,High,2025-05-16
Textiles Product 017,245.8,5.6,4.7,0.5,False,SectionC,High,2025-05-17
Textiles Product 018,38.3,2.1,0.6,6.0,False,Mezzanine1,Medium,2025-05-18
Textiles Product 019,686.1,1.1,3.0,0.3,True,Basement3,Medium,2025-05-19
Textiles Product 020,402.2,1.4,3.3,1.5,False,Aisle1,Low,2025-05-20
Textiles Product 021,602.5,4.4,7.2,0.4,False,AutomatedStorage5,Low,2025-05-21
Textiles Product 022,54.3,8.3,3.5,4.6,True,ExpressLane,Low,2025-05-22
Textiles Product 023,582.2,6.5,0.4,0.7,False,Aisle2,Low,2025-05-23
Textiles Product 024,400.4,4.4,1.6,0.3,True,Rack7,Low,2025-05-24
Textiles Product 025,491.0,3.6,7.7,2.8,False,Aisle5,Low,2025-05-25
Textiles Product 026,507.7,9.1,2.1,1.8,False,Floor2,Medium,2025-05-26
Textiles Product 027,556.5,4.7,4.0,0.5,False,SectionC,Medium,2025-05-27
Textiles Product 028,294.3,13.8,7.4,3.5,False,Aisle9,Low,2025-05-28
Textiles Product 029,248.5,2.9,7.2,3.5,False,FastMoving,Low,2025-05-29
Textiles Product 030,733.1,7.9,1.8,2.7,False,HighBay3,High,2025-05-30
Textiles Product 031,53.2,5.7,3.0,3.7,True,AutomatedStorage5,Medium,2025-05-01
Textiles Product 032,515.7,2.0,0.7,2.8,False,Basement4,Low,2025-05-02
Textiles Product 033,25.2,6.3,3.1,3.4,True,SectionG,Low,2025-05-03
Textiles Product 034,392.2,8.7,4.1,2.6,True,SectionC,Low,2025-05-04
Textiles Product 035,243.5,11.1,4.4,2.7,False,Rack10,High,2025-05-05
Textiles Product 036,137.8,6.8,4.0,0.4,False,SmallItems,Medium,2025-05-06
Textiles Product 037,83.5,3.8,6.9,1.3,True,Mezzanine4,Low,2025-05-07
Textiles Product 038,715.6,1.0,3.4,3.8,False,Rack7,Medium,2025-05-08
Textiles Product 039,88.8,7.8,3.1,2.2,False,Floor1,Medium,2025-05-09
Textiles Product 040,30.2,9.4,3.3,3.3,True,Rack3,High,2025-05-10
Textiles Product 041,551.7,3.2,1.2,3.9,False,SmallItems,High,2025-05-11
Textiles Product 042,361.1,8.8,5.2,2.1,True,Priority3,High,2025-05-12
Textiles Product 043,673.8,7.7,4.3,2.6,True,Rack8,High,2025-05-13
Textiles Product 044,369.8,2.0,2.8,2.4,True,ShelfArea5,Low,2025-05-14
Textiles Product 045,136.7,7.6,0.7,0.6,False,LoadingDock1,Low,2025-05-15
Textiles Product 046,700.4,6.1,3.8,0.5,False,ManualStorage4,Medium,2025-05-16
Textiles Product 047,397.4,3.3,3.2,3.4,True,ShelfArea2,High,2025-05-17
Textiles Product 048,64.4,4.7,6.4,4.0,False,SectionG,Low,2025-05-18
Textiles Product 049,143.9,7.2,1.0,0.5,False,Basement1,Low,2025-05-19
Textiles Product 050,506.1,11.1,2.4,0.5,True,ManualStorage5,Medium,2025-05-20
Textiles Product 051,437.2,15.0,3.5,5.8,False,HighBay2,High,2025-05-21
Textiles Product 052,339.1,1.7,3.5,4.9,False,HighBay3,Low,2025-05-22
Textiles Product 053,273.3,13.9,0.6,2.5,False,Seasonal,Low,2025-05-23
Textiles Product 054,356.2,7.1,1.2,3.5,False,Rack2,Low,2025-05-24
Textiles Product 055,583.7,13.2,7.0,4.1,False,Floor5,Medium,2025-05-25
Textiles Product 056,673.2,3.2,2.6,3.0,False,Floor1,Low,2025-05-26
Textiles Product 057,45.2,4.7,1.9,1.5,True,Rack5,Medium,2025-05-27
Textiles Product 058,25.4,1.0,1.6,0.4,True,PalletArea3,Low,2025-05-28
Textiles Product 059,4.1,9.9,4.2,1.6,True,LoadingDock1,Low,2025-05-29
Textiles Product 060,867.0,1.9,0.4,3.5,True,LoadingDock4,High,2025-05-30
Textiles Product 061,372.2,13.3,1.9,4.2,True,ZoneH,Medium,2025-05-01
Textiles Product 062,389.1,8.2,5.2,2.0,True,Mezzanine1,Medium,2025-05-02
Textiles Product 063,266.2,8.0,2.9,2.0,False,PalletArea2,Low,2025-05-03
Textiles Product 064,393.2,1.1,0.7,1.2,True,Seasonal,High,2025-05-04
Textiles Product 065,178.1,2.0,1.1,0.5,False,HighBay2,High,2025-05-05
Textiles Product 066,403.5,1.5,1.1,0.8,True,ShelfArea2,Medium,2025-05-06
Textiles Product 067,328.1,2.0,2.8,3.1,True,BulkItems,Medium,2025-05-07
Textiles Product 068,285.2,13.5,1.5,3.5,True,Aisle10,Medium,2025-05-08
Textiles Product 069,257.1,4.3,4.0,1.9,False,Aisle6,High,2025-05-09
Textiles Product 070,41.2,2.5,3.2,3.3,False,AutomatedStorage2,Low,2025-05-10
Textiles Product 071,75.3,2.2,1.3,0.8,True,SectionH,High,2025-05-11
Textiles Product 072,866.7,14.9,7.1,0.7,True,Rack8,High,2025-05-12
Textiles Product 073,408.4,1.4,4.7,2.1,False,ShelfArea3,Medium,2025-05-13
Textiles Product 074,697.7,6.0,5.8,1.5,True,SectionC,Medium,2025-05-14
Textiles Product 075,382.3,4.7,1.0,1.3,False,QualityControl,High,2025-05-15
Textiles Product 076,66.5,8.3,1.4,2.7,True,Rack7,Low,2025-05-16
Textiles Product 077,672.5,2.1,4.7,3.8,True,Aisle3,High,2025-05-17
Textiles Product 078,274.2,8.0,6.9,0.7,True,PalletArea3,Low,2025-05-18
Textiles Product 079,211.3,11.3,7.9,1.6,False,PalletArea3,High,2025-05-19
Textiles Product 080,578.7,8.6,2.4,1.3,True,ZoneB,High,2025-05-20
Textiles Product 081,307.3,4.2,3.5,1.3,True,PalletArea1,High,2025-05-21
Textiles Product 082,314.3,4.8,2.3,3.6,True,ShelfArea4,Low,2025-05-22
Textiles Product 083,623.5,2.7,3.3,4.9,True,ZoneI,Low,2025-05-23
Textiles Product 084,434.2,3.3,0.6,4.5,False,Aisle3,Medium,2025-05-24
Textiles Product 085,150.4,5.1,1.2,1.4,True,Mezzanine4,Medium,2025-05-25
Textiles Product 086,650.3,2.3,3.0,2.3,False,Basement4,Low,2025-05-26
Textiles Product 087,612.8,12.7,4.4,0.6,True,Rack10,Low,2025-05-27
Textiles Product 088,210.5,14.0,3.1,4.2,False,SectionF,Low,2025-05-28
Textiles Product 089,243.2,11.8,4.9,3.2,False,Basement5,Medium,2025-05-29
Textiles Product 090,469.0,3.5,2.8,3.2,True,Aisle8,Medium,2025-05-30
Textiles Product 091,490.6,9.7,1.4,0.2,True,AutomatedStorage5,Low,2025-05-01
Textiles Product 092,222.4,9.5,3.6,1.2,False,Mezzanine4,High,2025-05-02
Textiles Product 093,160.9,11.2,2.6,3.6,False,AutomatedStorage4,Medium,2025-05-03
