Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Food Processing Product 001,338.3,6.9,2.9,2.9,True,SectionH,Low,2025-05-01
Food Processing Product 002,243.2,7.4,4.4,5.9,True,PalletArea4,Medium,2025-05-02
Food Processing Product 003,481.4,9.8,2.5,1.5,False,Rack7,Low,2025-05-03
Food Processing Product 004,479.9,8.3,3.4,2.3,False,AutomatedStorage5,High,2025-05-04
Food Processing Product 005,608.4,4.8,6.0,3.6,True,QualityControl,Medium,2025-05-05
Food Processing Product 006,40.1,11.2,1.3,3.2,True,ZoneC,Medium,2025-05-06
Food Processing Product 007,97.6,6.0,0.6,3.3,True,Rack2,Medium,2025-05-07
Food Processing Product 008,258.6,9.5,4.6,3.4,True,Mezzanine5,Medium,2025-05-08
Food Processing Product 009,541.3,7.8,3.7,1.6,False,ShelfArea1,Low,2025-05-09
Food Processing Product 010,465.8,10.8,5.1,2.8,True,Basement3,Medium,2025-05-10
Food Processing Product 011,238.4,9.9,1.3,0.2,False,ZoneF,Medium,2025-05-11
Food Processing Product 012,509.8,5.0,4.4,2.6,False,DryStorage,High,2025-05-12
Food Processing Product 013,194.8,6.1,2.2,2.6,True,SmallItemStorage,Low,2025-05-13
Food Processing Product 014,571.1,10.0,2.9,4.9,True,ZoneC,High,2025-05-14
Food Processing Product 015,169.1,4.1,7.9,1.0,True,Aisle1,High,2025-05-15
Food Processing Product 016,314.7,7.9,4.4,1.3,False,OverflowLane,High,2025-05-16
Food Processing Product 017,376.8,6.9,1.6,2.9,True,DryStorage,High,2025-05-17
Food Processing Product 018,80.6,9.2,2.5,2.2,True,AutomatedStorage1,Medium,2025-05-18
Food Processing Product 019,273.1,1.5,5.2,1.1,False,ManualStorage4,Low,2025-05-19
Food Processing Product 020,553.4,7.9,4.3,3.6,False,Floor4,Low,2025-05-20
Food Processing Product 021,254.0,4.7,2.6,4.2,False,SectionF,Low,2025-05-21
Food Processing Product 022,230.0,9.2,3.2,1.8,False,EconomyLane,Medium,2025-05-22
Food Processing Product 023,63.5,7.2,2.9,4.5,False,Aisle10,High,2025-05-23
Food Processing Product 024,244.2,10.4,5.3,1.4,True,ZoneI,High,2025-05-24
Food Processing Product 025,138.7,9.2,6.0,3.6,False,LoadingDock2,Medium,2025-05-25
Food Processing Product 026,167.4,9.6,2.4,1.4,False,LoadingDock2,High,2025-05-26
Food Processing Product 027,211.9,12.2,5.5,2.6,False,Priority4,High,2025-05-27
Food Processing Product 028,476.8,2.0,7.0,2.8,False,PalletArea2,High,2025-05-28
Food Processing Product 029,423.8,10.8,2.8,3.1,True,AutomatedStorage4,High,2025-05-29
Food Processing Product 030,377.2,13.6,0.7,0.4,True,Priority5,Low,2025-05-30
