Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Plastic Products Product 001,246.5,13.8,4.1,1.8,False,PalletArea5,Low,2025-05-01
Plastic Products Product 002,300.3,7.0,7.7,2.3,True,AutomatedStorage2,High,2025-05-02
Plastic Products Product 003,689.1,1.2,4.8,2.0,False,SectionB,High,2025-05-03
Plastic Products Product 004,258.5,4.9,6.4,3.7,True,Rack9,Medium,2025-05-04
Plastic Products Product 005,198.3,9.5,1.6,0.3,False,ZoneG,Medium,2025-05-05
Plastic Products Product 006,378.8,4.2,2.2,1.5,False,DryStorage,Medium,2025-05-06
Plastic Products Product 007,325.1,4.1,4.4,0.7,True,Floor3,Low,2025-05-07
Plastic Products Product 008,590.8,1.0,2.4,1.6,True,AutomatedStorage4,Low,2025-05-08
Plastic Products Product 009,558.1,15.1,2.1,4.1,True,ZoneC,Medium,2025-05-09
Plastic Products Product 010,388.7,0.4,2.1,3.2,False,Basement4,High,2025-05-10
Plastic Products Product 011,807.3,10.6,5.4,1.3,True,Rack9,High,2025-05-11
Plastic Products Product 012,191.1,3.5,2.4,4.5,False,EconomyLane,High,2025-05-12
Plastic Products Product 013,287.3,1.2,2.7,1.3,False,Rack3,Medium,2025-05-13
Plastic Products Product 014,315.4,2.9,3.8,5.9,True,Floor4,Low,2025-05-14
Plastic Products Product 015,653.7,10.3,2.3,3.3,False,ZoneJ,High,2025-05-15
Plastic Products Product 016,140.1,3.1,4.1,0.6,False,ReceivingArea,Medium,2025-05-16
Plastic Products Product 017,679.2,3.4,2.7,4.6,True,Priority4,Low,2025-05-17
Plastic Products Product 018,198.0,0.9,4.4,0.5,True,Floor4,Medium,2025-05-18
Plastic Products Product 019,340.4,8.5,4.8,1.3,True,Mezzanine5,Low,2025-05-19
Plastic Products Product 020,433.2,6.5,3.6,2.1,True,BulkStorage,Low,2025-05-20
Plastic Products Product 021,229.8,3.4,5.7,4.7,True,ManualStorage3,Low,2025-05-21
Plastic Products Product 022,90.3,7.0,2.9,4.1,False,ManualStorage4,Medium,2025-05-22
Plastic Products Product 023,634.4,14.5,4.1,1.6,True,Floor2,Low,2025-05-23
Plastic Products Product 024,270.6,0.4,2.1,1.7,True,PalletArea3,Medium,2025-05-24
Plastic Products Product 025,711.2,5.7,3.9,1.8,True,AutomatedStorage5,High,2025-05-25
Plastic Products Product 026,286.6,12.7,4.8,2.3,True,SlowMoving,Medium,2025-05-26
Plastic Products Product 027,520.0,10.5,5.8,3.8,False,Aisle9,Low,2025-05-27
Plastic Products Product 028,439.9,5.8,1.9,5.6,False,PalletArea5,Low,2025-05-28
Plastic Products Product 029,491.0,8.8,2.9,4.1,True,Priority4,Medium,2025-05-29
Plastic Products Product 030,117.1,7.8,1.9,3.1,False,ShelfArea5,Low,2025-05-30
Plastic Products Product 031,226.8,10.1,1.0,0.4,False,StandardLane,Medium,2025-05-01
Plastic Products Product 032,331.9,7.2,3.2,4.2,True,ManualStorage5,High,2025-05-02
Plastic Products Product 033,304.1,10.9,0.7,0.4,False,HighBay2,Low,2025-05-03
Plastic Products Product 034,255.0,13.6,5.4,1.3,True,HeavyItems,Low,2025-05-04
Plastic Products Product 035,159.4,6.1,3.7,0.4,True,ReceivingArea,High,2025-05-05
Plastic Products Product 036,285.7,5.5,3.1,3.7,False,FragileItems,High,2025-05-06
Plastic Products Product 037,308.7,1.6,2.1,3.3,False,HighBay4,Medium,2025-05-07
Plastic Products Product 038,242.8,0.8,7.0,3.6,True,Aisle3,Medium,2025-05-08
Plastic Products Product 039,249.0,5.5,5.3,2.8,False,SectionC,Medium,2025-05-09
Plastic Products Product 040,60.5,2.0,1.6,3.8,False,LoadingDock4,Medium,2025-05-10
Plastic Products Product 041,335.8,6.6,6.7,1.0,False,Basement5,Medium,2025-05-11
Plastic Products Product 042,364.4,1.5,3.9,4.2,True,Floor5,Low,2025-05-12
Plastic Products Product 043,156.6,8.7,1.2,1.6,False,Basement3,Medium,2025-05-13
Plastic Products Product 044,180.3,5.3,4.4,2.2,False,Basement4,Medium,2025-05-14
Plastic Products Product 045,379.4,1.6,6.8,3.4,False,ColdStorage,Medium,2025-05-15
Plastic Products Product 046,87.7,7.5,4.5,1.9,False,Rack3,Low,2025-05-16
Plastic Products Product 047,649.8,10.0,2.5,1.6,False,PremiumLane,High,2025-05-17
Plastic Products Product 048,345.7,2.1,3.7,4.6,False,LoadingDock3,Low,2025-05-18
Plastic Products Product 049,30.4,12.0,2.0,2.8,False,Rack7,Medium,2025-05-19
Plastic Products Product 050,7.0,3.6,2.0,4.8,True,LoadingDock2,High,2025-05-20
Plastic Products Product 051,340.9,4.8,2.6,2.2,False,ZoneG,Medium,2025-05-21
Plastic Products Product 052,359.4,9.4,1.3,3.3,True,Mezzanine4,Medium,2025-05-22
Plastic Products Product 053,59.4,5.4,4.3,1.1,True,Basement4,Medium,2025-05-23
Plastic Products Product 054,393.9,11.9,2.8,1.4,False,Floor2,High,2025-05-24
Plastic Products Product 055,249.9,8.0,3.0,1.7,True,Priority1,Medium,2025-05-25
Plastic Products Product 056,350.5,1.0,5.5,3.9,True,Aisle3,Low,2025-05-26
Plastic Products Product 057,4.7,4.7,5.0,5.6,True,HighBay2,Medium,2025-05-27
Plastic Products Product 058,650.5,7.2,0.6,2.8,False,LoadingDock3,Medium,2025-05-28
Plastic Products Product 059,263.0,3.8,4.0,1.3,True,Basement2,Medium,2025-05-29
Plastic Products Product 060,598.5,2.8,6.7,4.3,False,ZoneD,Low,2025-05-30
Plastic Products Product 061,205.1,13.9,2.4,1.7,False,ZoneC,Medium,2025-05-01
Plastic Products Product 062,402.6,2.3,4.0,5.5,False,ExpressLane,High,2025-05-02
Plastic Products Product 063,132.2,11.9,6.9,4.0,False,OverflowLane,High,2025-05-03
Plastic Products Product 064,755.9,14.0,4.0,1.8,True,PalletArea2,High,2025-05-04
Plastic Products Product 065,154.5,11.6,2.8,4.7,True,LightItems,Low,2025-05-05
Plastic Products Product 066,721.0,2.6,6.1,1.6,False,Aisle9,Medium,2025-05-06
Plastic Products Product 067,553.4,1.1,1.8,1.7,True,AutomatedStorage1,High,2025-05-07
Plastic Products Product 068,225.9,1.7,4.7,5.1,True,Rack1,Medium,2025-05-08
Plastic Products Product 069,192.2,4.8,6.8,1.5,True,DryStorage,Medium,2025-05-09
Plastic Products Product 070,531.1,7.5,4.6,3.3,True,ZoneJ,High,2025-05-10
Plastic Products Product 071,25.4,7.2,4.8,5.0,True,Aisle4,Medium,2025-05-11
Plastic Products Product 072,518.2,4.7,0.4,3.8,False,Aisle4,Medium,2025-05-12
Plastic Products Product 073,488.1,5.5,1.2,0.8,True,Basement4,Medium,2025-05-13
Plastic Products Product 074,359.4,9.0,1.2,1.1,False,QualityControl,Low,2025-05-14
Plastic Products Product 075,404.6,13.9,4.3,5.3,False,AutomatedStorage1,High,2025-05-15
Plastic Products Product 076,457.1,1.8,2.1,5.1,True,Priority1,High,2025-05-16
Plastic Products Product 077,182.7,9.2,3.0,3.3,True,MediumItems,Medium,2025-05-17
Plastic Products Product 078,180.1,15.2,1.5,4.4,False,LoadingDock2,Low,2025-05-18
Plastic Products Product 079,585.0,10.4,4.8,3.1,True,Priority3,Medium,2025-05-19
Plastic Products Product 080,439.7,3.4,4.0,1.4,True,ZoneG,Low,2025-05-20
Plastic Products Product 081,91.4,3.4,3.1,0.3,True,Mezzanine5,Medium,2025-05-21
Plastic Products Product 082,708.7,11.4,5.0,3.5,False,QualityControl,High,2025-05-22
Plastic Products Product 083,223.4,14.2,1.0,2.3,False,Basement3,High,2025-05-23
Plastic Products Product 084,220.9,11.4,3.4,2.1,True,HighBay5,Medium,2025-05-24
Plastic Products Product 085,539.4,3.8,2.3,4.4,False,Rack10,Low,2025-05-25
Plastic Products Product 086,531.7,7.4,0.8,2.6,True,ShelfArea1,Low,2025-05-26
Plastic Products Product 087,387.5,3.1,7.7,0.5,True,Basement2,Medium,2025-05-27
Plastic Products Product 088,71.5,1.7,2.6,2.4,True,PalletArea4,Medium,2025-05-28
Plastic Products Product 089,69.4,3.4,6.3,2.9,True,LargeItems,High,2025-05-29
Plastic Products Product 090,515.5,2.1,3.3,3.7,False,Aisle3,High,2025-05-30
Plastic Products Product 091,363.0,9.4,7.3,3.8,True,PalletArea5,High,2025-05-01
