Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Glass Items Product 001,356.3,6.0,0.6,5.4,True,Priority1,High,2025-05-01
Glass Items Product 002,384.5,5.0,1.2,1.2,True,HighBay2,High,2025-05-02
Glass Items Product 003,260.5,9.8,1.2,1.5,True,Rack7,High,2025-05-03
Glass Items Product 004,143.9,13.1,0.2,2.5,False,SectionC,High,2025-05-04
Glass Items Product 005,301.7,2.0,0.4,4.3,True,ManualStorage3,Medium,2025-05-05
Glass Items Product 006,45.4,10.6,0.6,5.7,True,ZoneC,Medium,2025-05-06
Glass Items Product 007,220.1,2.2,3.6,1.2,True,ManualStorage5,High,2025-05-07
Glass Items Product 008,31.3,13.6,3.8,1.5,False,PalletArea5,High,2025-05-08
Glass Items Product 009,431.4,1.8,6.6,2.8,False,ShelfArea4,Medium,2025-05-09
Glass Items Product 010,455.3,1.5,4.1,0.3,False,Basement5,Low,2025-05-10
Glass Items Product 011,177.0,11.5,1.3,3.8,True,Rack8,High,2025-05-11
Glass Items Product 012,429.7,3.5,2.6,4.8,True,SectionB,Low,2025-05-12
Glass Items Product 013,458.4,2.4,2.0,0.7,True,LoadingDock3,Low,2025-05-13
Glass Items Product 014,339.7,4.3,3.4,1.1,False,Rack6,Low,2025-05-14
Glass Items Product 015,637.4,1.8,2.9,3.3,True,Rack3,Low,2025-05-15
Glass Items Product 016,373.5,6.7,2.7,1.2,False,Aisle3,High,2025-05-16
Glass Items Product 017,544.5,9.6,2.5,2.0,False,ShelfArea4,High,2025-05-17
Glass Items Product 018,678.7,3.7,4.6,3.7,True,HighBay5,Medium,2025-05-18
Glass Items Product 019,377.5,9.1,4.5,2.2,True,ShippingArea,Medium,2025-05-19
Glass Items Product 020,102.4,3.6,1.7,4.5,True,Priority5,Medium,2025-05-20
Glass Items Product 021,692.9,14.9,6.4,5.7,False,SectionD,Medium,2025-05-21
Glass Items Product 022,99.4,0.6,3.8,3.3,False,SectionB,Medium,2025-05-22
Glass Items Product 023,69.8,0.5,7.1,2.2,False,DryStorage,High,2025-05-23
Glass Items Product 024,88.2,2.0,2.1,1.1,False,SectionF,High,2025-05-24
Glass Items Product 025,64.2,7.9,2.8,0.9,True,HighBay4,Medium,2025-05-25
Glass Items Product 026,448.6,3.7,3.4,4.8,True,ZoneB,High,2025-05-26
Glass Items Product 027,13.9,6.5,5.1,4.6,False,FastMoving,Medium,2025-05-27
Glass Items Product 028,612.3,5.7,3.3,3.3,False,QualityControl,Medium,2025-05-28
Glass Items Product 029,290.9,7.7,2.3,1.6,True,QualityControl,Low,2025-05-29
Glass Items Product 030,335.3,4.5,5.9,5.7,True,SmallItemStorage,Low,2025-05-30
Glass Items Product 031,192.0,10.4,6.7,4.1,False,HighBay3,High,2025-05-01
Glass Items Product 032,425.1,0.8,4.7,2.3,False,SlowMoving,Medium,2025-05-02
Glass Items Product 033,142.6,7.9,4.4,0.6,True,SectionG,Low,2025-05-03
Glass Items Product 034,319.4,4.8,2.0,1.5,True,ManualStorage4,High,2025-05-04
