Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Ceramic Products Product 001,476.3,9.0,4.0,2.0,False,ManualStorage2,Low,2025-05-01
Ceramic Products Product 002,321.4,14.7,4.0,0.8,True,ZoneG,Medium,2025-05-02
Ceramic Products Product 003,439.8,13.6,2.4,0.2,True,Priority2,High,2025-05-03
Ceramic Products Product 004,389.7,1.0,4.8,3.6,False,Rack3,High,2025-05-04
Ceramic Products Product 005,160.3,9.8,2.6,3.6,True,Rack1,Medium,2025-05-05
Ceramic Products Product 006,112.4,15.9,5.3,3.8,True,OverflowLane,Medium,2025-05-06
Ceramic Products Product 007,696.9,14.9,3.9,5.0,False,Mezzanine3,Low,2025-05-07
Ceramic Products Product 008,245.7,7.8,2.2,3.2,True,Aisle9,Medium,2025-05-08
Ceramic Products Product 009,45.8,5.9,6.4,0.7,False,Rack4,Medium,2025-05-09
Ceramic Products Product 010,55.3,13.2,1.3,1.2,True,SectionD,High,2025-05-10
Ceramic Products Product 011,188.3,4.1,1.5,4.6,True,Priority3,Low,2025-05-11
Ceramic Products Product 012,328.8,8.5,4.4,4.4,True,AutomatedStorage3,Medium,2025-05-12
Ceramic Products Product 013,48.8,6.3,3.6,1.5,False,AutomatedStorage5,Medium,2025-05-13
Ceramic Products Product 014,429.8,7.7,2.5,1.2,True,Floor5,Low,2025-05-14
Ceramic Products Product 015,299.6,13.5,5.6,1.6,False,Priority3,Medium,2025-05-15
Ceramic Products Product 016,339.7,3.3,0.5,2.0,False,LoadingDock4,Low,2025-05-16
Ceramic Products Product 017,794.7,7.9,5.1,1.2,False,SmallItems,High,2025-05-17
Ceramic Products Product 018,108.6,6.3,2.5,3.6,True,LoadingDock3,Low,2025-05-18
Ceramic Products Product 019,287.2,14.6,3.3,1.1,True,SectionC,Medium,2025-05-19
Ceramic Products Product 020,675.6,12.0,4.1,1.9,True,AutomatedStorage5,Medium,2025-05-20
Ceramic Products Product 021,251.4,4.1,1.9,4.4,False,ZoneA,Low,2025-05-21
Ceramic Products Product 022,70.2,10.4,3.7,3.8,True,BulkStorage,High,2025-05-22
Ceramic Products Product 023,279.6,3.7,4.5,3.5,False,Rack6,Medium,2025-05-23
Ceramic Products Product 024,112.1,5.5,0.8,2.9,True,Floor1,High,2025-05-24
Ceramic Products Product 025,554.1,4.1,0.8,2.3,True,Mezzanine3,High,2025-05-25
