Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Wood Products Product 001,623.3,4.7,5.2,0.7,False,SmallItems,High,2025-05-01
Wood Products Product 002,39.0,1.6,3.6,1.1,False,LargeItems,Medium,2025-05-02
Wood Products Product 003,112.9,7.6,4.0,2.7,False,ZoneJ,High,2025-05-03
Wood Products Product 004,562.2,6.7,1.4,3.2,True,HighBay2,High,2025-05-04
Wood Products Product 005,893.9,7.0,3.7,2.4,True,Rack10,Medium,2025-05-05
Wood Products Product 006,414.6,1.0,0.9,2.1,True,Aisle6,Medium,2025-05-06
Wood Products Product 007,355.8,10.0,1.5,3.8,True,HazardousStorage,Low,2025-05-07
Wood Products Product 008,415.3,6.1,4.9,2.4,True,FragileItems,Medium,2025-05-08
Wood Products Product 009,239.2,8.5,4.8,1.7,True,ZoneE,Low,2025-05-09
Wood Products Product 010,228.1,0.6,2.6,2.2,False,ShippingArea,High,2025-05-10
Wood Products Product 011,249.6,9.0,1.9,3.7,False,QualityControl,High,2025-05-11
Wood Products Product 012,139.5,5.8,7.3,5.2,True,BulkStorage,Low,2025-05-12
Wood Products Product 013,609.8,12.3,2.6,3.0,False,SectionF,Low,2025-05-13
Wood Products Product 014,324.3,0.8,0.4,2.2,True,BulkStorage,High,2025-05-14
Wood Products Product 015,432.6,0.9,2.6,3.3,True,Floor4,Low,2025-05-15
Wood Products Product 016,167.2,5.6,5.2,2.4,True,ZoneI,High,2025-05-16
Wood Products Product 017,227.1,8.7,3.4,1.9,False,Floor1,Low,2025-05-17
Wood Products Product 018,460.0,9.0,5.2,5.9,True,SectionF,Low,2025-05-18
Wood Products Product 019,400.2,12.8,1.5,1.5,True,ManualStorage1,Medium,2025-05-19
Wood Products Product 020,131.0,13.5,4.4,4.7,True,SectionH,Low,2025-05-20
Wood Products Product 021,369.6,3.2,5.4,1.2,False,Rack8,Medium,2025-05-21
Wood Products Product 022,296.1,3.6,7.6,2.6,False,ZoneH,Low,2025-05-22
Wood Products Product 023,149.7,1.0,6.2,3.0,True,Basement2,Low,2025-05-23
Wood Products Product 024,217.3,12.7,4.9,1.1,False,Aisle7,Medium,2025-05-24
Wood Products Product 025,219.5,2.2,4.6,0.5,True,SmallItems,Medium,2025-05-25
Wood Products Product 026,500.0,3.8,5.4,3.1,True,Aisle5,Low,2025-05-26
Wood Products Product 027,432.3,12.6,5.9,1.3,True,BulkStorage,Low,2025-05-27
Wood Products Product 028,554.6,13.8,2.4,4.6,False,LoadingDock1,High,2025-05-28
Wood Products Product 029,86.5,1.9,2.0,3.2,False,Aisle2,Low,2025-05-29
Wood Products Product 030,739.5,4.2,1.4,4.1,True,SmallItemStorage,High,2025-05-30
Wood Products Product 031,300.1,1.2,5.4,1.0,True,ExpressLane,Medium,2025-05-01
Wood Products Product 032,240.3,4.6,4.3,5.1,False,Basement4,High,2025-05-02
Wood Products Product 033,640.8,12.3,6.5,3.2,True,StandardLane,Medium,2025-05-03
Wood Products Product 034,68.8,14.6,5.9,2.6,False,Floor3,Low,2025-05-04
Wood Products Product 035,683.2,1.8,0.5,1.8,True,Mezzanine5,High,2025-05-05
Wood Products Product 036,57.2,12.7,1.8,0.8,False,SectionF,Low,2025-05-06
Wood Products Product 037,350.0,9.1,3.2,1.9,False,ColdStorage,High,2025-05-07
Wood Products Product 038,164.2,7.2,0.7,5.8,False,LoadingDock1,Low,2025-05-08
Wood Products Product 039,259.5,8.8,0.8,5.4,True,Floor3,Low,2025-05-09
Wood Products Product 040,252.4,2.3,4.5,5.8,False,OverflowStorage,High,2025-05-10
Wood Products Product 041,135.9,2.9,1.6,0.2,True,DryStorage,Medium,2025-05-11
Wood Products Product 042,517.1,0.5,3.5,5.9,True,SectionH,Medium,2025-05-12
Wood Products Product 043,857.4,1.0,3.9,1.4,False,Aisle8,Medium,2025-05-13
Wood Products Product 044,680.6,15.1,1.4,3.6,True,EconomyLane,Low,2025-05-14
Wood Products Product 045,107.0,4.7,3.1,1.2,False,SectionH,Low,2025-05-15
Wood Products Product 046,768.6,8.7,2.3,3.4,True,LargeItems,High,2025-05-16
Wood Products Product 047,443.0,14.0,2.2,4.5,True,Basement4,High,2025-05-17
