Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Electronics Assembly Product 001,405.7,6.8,2.4,1.4,False,SectionH,High,2025-05-01
Electronics Assembly Product 002,278.7,6.0,7.3,1.3,True,Rack2,High,2025-05-02
Electronics Assembly Product 003,305.4,1.2,2.4,3.9,False,Priority2,High,2025-05-03
Electronics Assembly Product 004,467.4,5.5,0.3,5.2,True,Priority4,Low,2025-05-04
Electronics Assembly Product 005,400.2,5.1,3.9,4.0,False,SectionH,Low,2025-05-05
Electronics Assembly Product 006,453.3,7.1,4.0,5.3,True,ExpressLane,Low,2025-05-06
Electronics Assembly Product 007,42.3,8.7,6.4,3.6,True,SectionF,Low,2025-05-07
Electronics Assembly Product 008,225.3,3.9,1.8,1.6,False,PremiumLane,High,2025-05-08
Electronics Assembly Product 009,410.9,12.0,4.8,1.2,True,PalletArea2,Low,2025-05-09
Electronics Assembly Product 010,379.2,2.3,4.2,5.9,False,SlowMoving,Medium,2025-05-10
Electronics Assembly Product 011,440.3,6.2,4.9,0.5,True,SectionG,High,2025-05-11
Electronics Assembly Product 012,623.0,8.2,4.5,1.5,True,SectionD,High,2025-05-12
Electronics Assembly Product 013,761.8,5.3,3.0,5.6,True,OverflowStorage,Medium,2025-05-13
Electronics Assembly Product 014,490.2,1.7,6.5,1.5,False,Aisle1,Low,2025-05-14
Electronics Assembly Product 015,19.7,11.9,2.6,1.5,True,Rack7,High,2025-05-15
Electronics Assembly Product 016,545.7,5.3,3.3,2.0,False,Aisle7,High,2025-05-16
Electronics Assembly Product 017,6.7,3.2,2.6,1.3,False,Rack1,High,2025-05-17
Electronics Assembly Product 018,626.6,12.0,6.1,5.4,True,BulkItems,High,2025-05-18
Electronics Assembly Product 019,15.8,1.1,6.1,3.5,True,PalletArea2,Low,2025-05-19
Electronics Assembly Product 020,113.8,6.3,6.5,1.5,True,HeavyItems,Medium,2025-05-20
Electronics Assembly Product 021,782.2,1.0,1.2,3.4,True,AutomatedStorage2,Low,2025-05-21
Electronics Assembly Product 022,57.9,6.6,3.6,2.5,True,Rack6,Medium,2025-05-22
Electronics Assembly Product 023,278.6,10.4,1.5,1.2,True,ZoneB,High,2025-05-23
Electronics Assembly Product 024,85.8,9.5,3.6,3.0,True,SectionC,Low,2025-05-24
Electronics Assembly Product 025,137.8,15.4,2.4,2.7,True,PalletArea4,High,2025-05-25
Electronics Assembly Product 026,173.7,0.3,0.9,2.8,True,HighBay5,Low,2025-05-26
Electronics Assembly Product 027,202.3,3.7,0.9,2.8,False,ShelfArea5,Low,2025-05-27
Electronics Assembly Product 028,16.5,8.2,1.7,0.5,False,Aisle10,Medium,2025-05-28
Electronics Assembly Product 029,478.8,11.9,2.1,5.1,True,SectionB,High,2025-05-29
Electronics Assembly Product 030,151.2,0.9,4.0,3.9,False,SmallItemStorage,Low,2025-05-30
Electronics Assembly Product 031,106.8,0.9,0.8,2.0,False,ManualStorage4,Low,2025-05-01
Electronics Assembly Product 032,172.2,14.8,2.5,2.0,False,Rack5,Medium,2025-05-02
Electronics Assembly Product 033,209.0,6.6,4.4,1.7,True,DryStorage,High,2025-05-03
Electronics Assembly Product 034,286.0,6.1,5.9,4.3,False,SmallItems,Low,2025-05-04
Electronics Assembly Product 035,341.8,11.8,4.1,2.2,False,FragileItems,Medium,2025-05-05
Electronics Assembly Product 036,321.3,10.8,5.8,2.7,False,OverflowLane,Medium,2025-05-06
Electronics Assembly Product 037,154.3,11.5,0.8,3.9,False,Aisle4,High,2025-05-07
Electronics Assembly Product 038,397.4,8.5,3.2,4.1,True,ManualStorage5,Medium,2025-05-08
Electronics Assembly Product 039,383.6,5.7,4.8,3.6,False,ZoneB,High,2025-05-09
Electronics Assembly Product 040,168.0,11.7,2.4,0.6,True,SectionA,Low,2025-05-10
Electronics Assembly Product 041,385.8,0.8,2.9,5.5,True,Aisle7,Low,2025-05-11
Electronics Assembly Product 042,753.0,6.9,2.3,4.2,True,FastMoving,Low,2025-05-12
Electronics Assembly Product 043,45.9,4.0,3.7,3.5,True,LoadingDock3,Medium,2025-05-13
Electronics Assembly Product 044,67.5,6.0,6.9,2.6,False,Basement5,Low,2025-05-14
Electronics Assembly Product 045,143.5,9.1,4.1,0.6,False,FragileItems,High,2025-05-15
Electronics Assembly Product 046,267.8,3.3,6.5,1.5,True,ManualStorage1,High,2025-05-16
Electronics Assembly Product 047,553.4,16.3,1.6,2.4,True,Rack10,Low,2025-05-17
Electronics Assembly Product 048,465.1,11.9,3.4,5.0,False,Basement3,Low,2025-05-18
Electronics Assembly Product 049,323.9,9.8,5.1,4.2,True,ZoneF,Medium,2025-05-19
Electronics Assembly Product 050,564.4,3.1,1.8,2.1,True,Basement1,High,2025-05-20
Electronics Assembly Product 051,79.5,9.5,1.1,4.1,False,DryStorage,Medium,2025-05-21
Electronics Assembly Product 052,463.0,11.5,3.6,6.1,False,Floor2,Low,2025-05-22
Electronics Assembly Product 053,361.7,8.9,4.1,0.4,True,Mezzanine4,Low,2025-05-23
Electronics Assembly Product 054,72.2,6.7,2.6,1.0,True,FastMoving,High,2025-05-24
Electronics Assembly Product 055,263.5,8.9,6.5,3.9,False,Basement4,Medium,2025-05-25
Electronics Assembly Product 056,481.1,1.6,3.0,0.5,True,Rack6,Medium,2025-05-26
Electronics Assembly Product 057,361.8,11.4,1.7,5.1,True,Aisle2,Medium,2025-05-27
Electronics Assembly Product 058,491.6,5.1,2.0,4.1,True,SectionA,Medium,2025-05-28
Electronics Assembly Product 059,540.2,3.2,1.3,3.0,True,Priority5,Low,2025-05-29
Electronics Assembly Product 060,46.3,11.8,4.1,0.6,True,HighBay1,Low,2025-05-30
Electronics Assembly Product 061,601.3,9.4,0.6,2.8,False,PalletArea2,Low,2025-05-01
Electronics Assembly Product 062,690.3,6.5,5.8,1.0,True,BulkItems,Medium,2025-05-02
Electronics Assembly Product 063,590.3,8.4,4.3,3.3,False,SectionB,Low,2025-05-03
Electronics Assembly Product 064,603.7,11.6,2.0,5.0,True,Aisle7,Low,2025-05-04
Electronics Assembly Product 065,360.6,6.5,2.5,2.8,False,ShelfArea1,Low,2025-05-05
Electronics Assembly Product 066,326.0,1.6,1.4,0.9,False,ZoneA,Medium,2025-05-06
Electronics Assembly Product 067,9.5,8.9,4.1,2.5,False,Aisle8,Low,2025-05-07
Electronics Assembly Product 068,252.6,13.3,1.4,4.8,False,ManualStorage2,High,2025-05-08
Electronics Assembly Product 069,525.9,12.7,2.9,1.5,False,OverflowLane,High,2025-05-09
Electronics Assembly Product 070,377.8,10.6,2.8,2.4,True,Floor1,High,2025-05-10
Electronics Assembly Product 071,197.2,5.3,3.2,1.0,True,ShelfArea4,High,2025-05-11
Electronics Assembly Product 072,67.5,0.9,2.1,2.0,False,Floor3,Medium,2025-05-12
Electronics Assembly Product 073,390.3,4.3,3.5,3.0,True,OverflowStorage,High,2025-05-13
Electronics Assembly Product 074,272.0,10.9,5.8,3.5,True,ZoneJ,High,2025-05-14
Electronics Assembly Product 075,10.0,6.5,5.6,0.8,False,Priority5,High,2025-05-15
