Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Chemical Processing Product 001,5.9,8.0,4.3,3.3,False,Rack6,High,2025-05-01
Chemical Processing Product 002,14.0,9.3,3.8,5.7,False,AutomatedStorage5,Medium,2025-05-02
Chemical Processing Product 003,285.2,4.4,0.7,0.5,True,Basement2,High,2025-05-03
Chemical Processing Product 004,806.4,9.8,1.9,3.2,True,ZoneG,Medium,2025-05-04
Chemical Processing Product 005,328.3,11.8,5.3,3.8,True,Aisle2,High,2025-05-05
Chemical Processing Product 006,85.0,6.9,2.8,3.2,True,Rack10,Low,2025-05-06
Chemical Processing Product 007,591.9,11.2,0.7,2.2,False,SectionA,High,2025-05-07
Chemical Processing Product 008,79.7,0.4,3.1,3.4,True,Mezzanine2,High,2025-05-08
Chemical Processing Product 009,58.4,7.4,6.6,2.9,False,Mezzanine5,Medium,2025-05-09
Chemical Processing Product 010,511.9,4.2,2.1,0.8,False,ZoneI,Low,2025-05-10
Chemical Processing Product 011,405.6,1.6,7.2,0.8,True,HighBay2,Low,2025-05-11
Chemical Processing Product 012,271.4,6.1,2.2,3.5,True,BulkItems,High,2025-05-12
Chemical Processing Product 013,317.7,10.5,1.8,0.5,False,ExpressLane,High,2025-05-13
Chemical Processing Product 014,755.3,6.3,5.3,0.9,False,Basement3,Medium,2025-05-14
Chemical Processing Product 015,360.0,9.2,0.9,2.5,True,Floor2,Medium,2025-05-15
Chemical Processing Product 016,262.8,0.9,1.5,0.4,True,Basement1,Low,2025-05-16
Chemical Processing Product 017,627.7,12.8,2.5,2.1,False,Floor2,High,2025-05-17
Chemical Processing Product 018,168.7,5.1,4.1,0.3,False,Basement4,High,2025-05-18
Chemical Processing Product 019,196.7,2.3,5.1,0.4,False,Aisle5,Low,2025-05-19
Chemical Processing Product 020,794.1,8.5,6.5,4.1,False,StandardLane,High,2025-05-20
Chemical Processing Product 021,140.0,6.3,2.9,1.1,True,Priority4,Medium,2025-05-21
Chemical Processing Product 022,257.3,4.8,5.2,2.5,False,Priority4,High,2025-05-22
Chemical Processing Product 023,324.5,7.9,5.0,3.7,True,BulkItems,High,2025-05-23
Chemical Processing Product 024,726.1,3.1,1.7,5.1,False,PalletArea3,High,2025-05-24
Chemical Processing Product 025,565.0,3.4,1.1,1.4,True,Mezzanine5,Medium,2025-05-25
Chemical Processing Product 026,489.3,10.4,0.5,3.4,False,Priority1,Low,2025-05-26
Chemical Processing Product 027,269.6,1.3,3.8,1.6,True,Aisle1,Medium,2025-05-27
Chemical Processing Product 028,96.8,10.4,0.8,2.4,True,LoadingDock5,Low,2025-05-28
Chemical Processing Product 029,814.3,4.3,0.4,3.0,False,HighBay4,High,2025-05-29
Chemical Processing Product 030,173.8,15.0,5.1,4.6,False,SectionA,Low,2025-05-30
Chemical Processing Product 031,427.1,1.6,4.4,1.5,True,Aisle9,High,2025-05-01
Chemical Processing Product 032,840.0,4.2,6.5,1.7,False,Priority4,Low,2025-05-02
Chemical Processing Product 033,623.3,6.5,6.4,2.9,True,Priority2,Low,2025-05-03
Chemical Processing Product 034,37.4,4.8,5.4,1.6,False,SectionH,High,2025-05-04
Chemical Processing Product 035,219.6,8.0,7.2,3.1,False,SlowMoving,High,2025-05-05
Chemical Processing Product 036,607.0,6.4,3.6,5.1,False,AutomatedStorage1,Medium,2025-05-06
Chemical Processing Product 037,805.2,8.0,3.5,2.8,True,PalletArea4,Low,2025-05-07
Chemical Processing Product 038,411.3,14.8,4.8,0.3,False,Mezzanine3,Medium,2025-05-08
Chemical Processing Product 039,503.5,12.8,4.3,3.9,True,Priority3,Medium,2025-05-09
Chemical Processing Product 040,46.7,9.1,5.9,1.2,False,Aisle8,Low,2025-05-10
Chemical Processing Product 041,543.2,13.3,3.1,1.0,False,ZoneA,High,2025-05-11
Chemical Processing Product 042,449.4,9.6,1.9,5.1,True,SectionB,Low,2025-05-12
Chemical Processing Product 043,555.7,1.0,4.5,1.4,False,SectionF,Medium,2025-05-13
Chemical Processing Product 044,268.3,13.2,4.4,3.2,True,SectionF,Low,2025-05-14
Chemical Processing Product 045,704.0,4.5,4.9,3.1,True,Rack9,Medium,2025-05-15
Chemical Processing Product 046,123.1,9.3,6.1,4.0,True,AutomatedStorage5,High,2025-05-16
Chemical Processing Product 047,255.7,8.8,3.4,2.8,True,PalletArea5,Low,2025-05-17
Chemical Processing Product 048,476.9,7.7,3.3,0.5,True,SectionE,Low,2025-05-18
Chemical Processing Product 049,390.0,11.7,4.2,4.3,False,ZoneA,High,2025-05-19
Chemical Processing Product 050,132.2,8.0,5.0,2.4,False,ManualStorage1,Medium,2025-05-20
Chemical Processing Product 051,522.2,14.3,5.1,1.3,False,OverflowStorage,Low,2025-05-21
Chemical Processing Product 052,686.5,8.9,2.0,1.7,False,ReturnsArea,Low,2025-05-22
Chemical Processing Product 053,291.0,2.9,2.7,1.2,False,PremiumLane,High,2025-05-23
Chemical Processing Product 054,657.3,9.3,4.6,3.7,False,Rack7,High,2025-05-24
Chemical Processing Product 055,490.8,9.1,1.7,1.0,False,Basement1,High,2025-05-25
Chemical Processing Product 056,811.6,0.9,1.4,0.5,False,ManualStorage3,High,2025-05-26
Chemical Processing Product 057,278.6,7.2,5.2,5.4,False,Rack2,High,2025-05-27
Chemical Processing Product 058,59.1,6.7,1.5,3.8,False,HighBay1,Medium,2025-05-28
Chemical Processing Product 059,179.3,8.5,1.9,0.9,True,SectionA,Medium,2025-05-29
Chemical Processing Product 060,349.8,5.8,3.5,0.8,True,HighBay4,Medium,2025-05-30
Chemical Processing Product 061,759.7,2.2,0.4,3.8,True,Rack6,Medium,2025-05-01
Chemical Processing Product 062,654.7,2.4,3.5,2.3,True,ZoneB,Low,2025-05-02
Chemical Processing Product 063,48.9,1.4,3.7,5.0,True,LoadingDock5,Low,2025-05-03
Chemical Processing Product 064,329.3,4.2,3.3,0.9,False,Aisle10,High,2025-05-04
Chemical Processing Product 065,408.0,5.2,1.3,1.7,True,AutomatedStorage1,Low,2025-05-05
Chemical Processing Product 066,589.7,3.1,3.4,5.4,True,Priority3,High,2025-05-06
Chemical Processing Product 067,308.3,2.8,5.6,5.9,True,HazardousStorage,Low,2025-05-07
Chemical Processing Product 068,333.9,1.5,3.6,4.7,False,Rack3,High,2025-05-08
Chemical Processing Product 069,36.8,10.8,3.1,4.9,True,ShippingArea,Medium,2025-05-09
Chemical Processing Product 070,46.1,5.0,1.9,2.8,True,AutomatedStorage2,Low,2025-05-10
Chemical Processing Product 071,181.7,1.9,1.6,3.1,False,Floor3,High,2025-05-11
Chemical Processing Product 072,173.4,11.3,5.0,0.4,False,LoadingDock1,High,2025-05-12
Chemical Processing Product 073,458.2,1.8,4.8,3.2,True,ZoneJ,Low,2025-05-13
Chemical Processing Product 074,190.9,14.6,3.7,3.7,False,PalletArea2,High,2025-05-14
Chemical Processing Product 075,37.8,0.4,2.5,1.5,True,AutomatedStorage5,High,2025-05-15
Chemical Processing Product 076,550.6,9.2,5.3,5.3,False,AutomatedStorage5,High,2025-05-16
Chemical Processing Product 077,313.4,3.0,3.4,1.8,False,Aisle4,Low,2025-05-17
Chemical Processing Product 078,582.2,4.6,1.6,5.0,True,SectionH,Low,2025-05-18
Chemical Processing Product 079,334.5,9.7,7.4,3.2,False,AutomatedStorage2,High,2025-05-19
Chemical Processing Product 080,763.4,10.0,1.1,0.5,True,SectionC,Medium,2025-05-20
Chemical Processing Product 081,18.0,9.7,1.4,6.4,False,PalletArea3,High,2025-05-21
Chemical Processing Product 082,580.6,15.0,2.1,3.6,False,SmallItemStorage,Medium,2025-05-22
Chemical Processing Product 083,78.2,1.2,2.4,2.1,False,BulkItems,Medium,2025-05-23
Chemical Processing Product 084,248.0,9.6,2.2,2.9,True,Mezzanine1,Medium,2025-05-24
Chemical Processing Product 085,173.5,8.5,4.1,2.3,True,LightItems,High,2025-05-25
Chemical Processing Product 086,467.1,1.4,0.8,3.4,False,ManualStorage1,High,2025-05-26
Chemical Processing Product 087,78.4,9.4,5.1,2.7,False,ZoneJ,High,2025-05-27
