Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Biotechnology Product 001,44.1,9.3,4.1,5.0,False,SmallItems,High,2025-05-01
Biotechnology Product 002,468.4,10.4,1.1,4.8,False,ColdStorage,High,2025-05-02
Biotechnology Product 003,174.3,14.4,3.4,3.8,False,AutomatedStorage3,Low,2025-05-03
Biotechnology Product 004,457.7,4.8,2.2,2.6,True,Rack9,High,2025-05-04
Biotechnology Product 005,450.1,13.5,6.9,5.3,False,AutomatedStorage5,High,2025-05-05
Biotechnology Product 006,187.6,1.6,1.1,3.4,False,LoadingDock1,Low,2025-05-06
Biotechnology Product 007,252.9,12.4,1.4,3.2,True,ShelfArea4,High,2025-05-07
Biotechnology Product 008,185.4,8.0,2.3,1.3,False,AutomatedStorage5,High,2025-05-08
Biotechnology Product 009,6.2,4.2,1.2,2.0,False,Mezzanine5,High,2025-05-09
Biotechnology Product 010,910.4,2.0,4.0,1.8,True,ManualStorage1,Low,2025-05-10
Biotechnology Product 011,103.5,13.8,1.5,4.3,False,SmallItems,Medium,2025-05-11
Biotechnology Product 012,625.6,5.5,3.8,1.2,False,ZoneD,Low,2025-05-12
Biotechnology Product 013,197.2,14.5,1.0,2.0,True,Rack4,High,2025-05-13
Biotechnology Product 014,413.6,9.2,2.0,0.6,True,ZoneC,Medium,2025-05-14
Biotechnology Product 015,156.4,5.2,6.4,0.4,False,OverflowLane,Low,2025-05-15
Biotechnology Product 016,451.7,9.4,0.6,4.6,False,Rack2,High,2025-05-16
Biotechnology Product 017,550.6,0.6,2.5,0.6,True,Seasonal,Low,2025-05-17
Biotechnology Product 018,235.8,3.1,5.7,3.9,True,Basement3,Low,2025-05-18
Biotechnology Product 019,433.5,0.5,0.4,1.0,True,AutomatedStorage3,High,2025-05-19
Biotechnology Product 020,703.4,6.8,2.8,1.0,True,ShippingArea,High,2025-05-20
Biotechnology Product 021,93.2,14.2,3.8,1.7,False,ColdStorage,Low,2025-05-21
Biotechnology Product 022,281.7,2.6,2.1,0.5,True,AutomatedStorage1,Low,2025-05-22
Biotechnology Product 023,290.0,9.6,0.5,3.5,True,OverflowStorage,Medium,2025-05-23
Biotechnology Product 024,17.7,6.5,5.5,2.2,True,SectionC,Medium,2025-05-24
Biotechnology Product 025,50.7,3.7,4.4,3.9,False,FragileItems,Low,2025-05-25
Biotechnology Product 026,523.4,9.5,4.3,2.9,True,AutomatedStorage4,Medium,2025-05-26
Biotechnology Product 027,594.3,11.3,4.2,2.3,False,HighBay4,High,2025-05-27
Biotechnology Product 028,717.0,1.7,1.3,3.8,True,Floor1,Medium,2025-05-28
Biotechnology Product 029,275.7,7.0,6.2,3.6,False,ManualStorage4,Low,2025-05-29
Biotechnology Product 030,229.3,12.8,2.9,2.7,False,AutomatedStorage4,Medium,2025-05-30
Biotechnology Product 031,199.1,7.7,0.3,5.3,False,ZoneJ,Low,2025-05-01
Biotechnology Product 032,813.3,7.9,1.1,1.4,True,AutomatedStorage5,Medium,2025-05-02
Biotechnology Product 033,139.4,4.4,0.5,1.0,True,ManualStorage2,High,2025-05-03
Biotechnology Product 034,239.0,9.3,1.7,0.9,False,Basement2,Low,2025-05-04
Biotechnology Product 035,570.4,2.0,4.5,2.5,False,OverflowLane,Medium,2025-05-05
Biotechnology Product 036,37.5,13.5,2.3,2.6,False,Priority1,High,2025-05-06
Biotechnology Product 037,298.1,13.9,2.3,3.6,False,SectionF,Low,2025-05-07
Biotechnology Product 038,47.3,3.2,7.3,2.8,False,AutomatedStorage4,High,2025-05-08
Biotechnology Product 039,38.1,3.4,5.8,2.9,False,Basement3,Low,2025-05-09
Biotechnology Product 040,746.0,16.0,2.5,2.4,False,PalletArea3,High,2025-05-10
Biotechnology Product 041,424.9,4.0,0.5,4.1,True,ShelfArea3,Low,2025-05-11
Biotechnology Product 042,119.0,8.0,1.2,1.8,True,Priority3,Medium,2025-05-12
Biotechnology Product 043,208.9,1.7,4.1,1.6,False,Floor3,Low,2025-05-13
Biotechnology Product 044,342.7,11.9,3.2,0.7,True,SectionF,High,2025-05-14
Biotechnology Product 045,335.8,4.2,4.8,0.4,False,ReturnsArea,Low,2025-05-15
Biotechnology Product 046,229.9,12.1,1.7,1.4,False,SectionG,High,2025-05-16
Biotechnology Product 047,15.5,8.6,3.3,2.0,False,HighBay4,Low,2025-05-17
Biotechnology Product 048,38.1,0.8,4.5,4.5,True,ZoneG,Medium,2025-05-18
Biotechnology Product 049,675.7,1.7,4.8,2.0,True,Rack1,Medium,2025-05-19
Biotechnology Product 050,500.9,13.2,4.5,3.7,True,ManualStorage1,Low,2025-05-20
Biotechnology Product 051,506.4,7.5,5.1,1.8,False,ManualStorage1,Medium,2025-05-21
Biotechnology Product 052,142.3,3.5,4.4,2.7,False,FastMoving,High,2025-05-22
Biotechnology Product 053,176.3,12.1,1.8,1.5,False,ManualStorage5,High,2025-05-23
Biotechnology Product 054,501.3,7.5,3.1,2.7,False,SmallItemStorage,High,2025-05-24
Biotechnology Product 055,203.9,3.3,2.1,4.4,False,Priority4,High,2025-05-25
Biotechnology Product 056,313.2,0.6,3.3,4.9,True,SectionA,Medium,2025-05-26
Biotechnology Product 057,644.9,1.1,4.6,5.0,False,ColdStorage,Medium,2025-05-27
Biotechnology Product 058,219.3,8.0,6.2,2.8,True,Mezzanine5,Medium,2025-05-28
Biotechnology Product 059,144.7,4.9,5.2,3.4,False,ZoneA,Low,2025-05-29
Biotechnology Product 060,150.7,7.3,6.6,1.1,True,Mezzanine5,Low,2025-05-30
Biotechnology Product 061,160.5,14.8,4.6,1.0,True,ZoneE,High,2025-05-01
