Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Nanotechnology Product 001,23.0,11.2,2.7,3.0,False,ReceivingArea,Medium,2025-05-01
Nanotechnology Product 002,192.0,3.0,0.4,3.3,False,ShelfArea5,Low,2025-05-02
Nanotechnology Product 003,308.3,5.3,2.0,1.6,True,Mezzanine3,Medium,2025-05-03
Nanotechnology Product 004,389.5,7.9,2.2,4.6,False,ReturnsArea,High,2025-05-04
Nanotechnology Product 005,127.7,8.6,3.3,4.8,False,LargeItems,High,2025-05-05
Nanotechnology Product 006,478.5,10.0,6.2,3.8,False,FragileItems,Medium,2025-05-06
Nanotechnology Product 007,281.0,8.0,6.6,1.0,True,ManualStorage3,Medium,2025-05-07
Nanotechnology Product 008,117.7,8.7,6.0,0.9,True,Priority3,Medium,2025-05-08
Nanotechnology Product 009,213.4,5.3,3.6,2.5,True,ZoneI,Medium,2025-05-09
Nanotechnology Product 010,32.0,0.5,1.6,2.7,True,ZoneE,High,2025-05-10
Nanotechnology Product 011,275.4,5.6,1.1,0.6,True,SmallItems,Low,2025-05-11
Nanotechnology Product 012,85.1,13.8,4.3,4.9,False,DryStorage,Medium,2025-05-12
Nanotechnology Product 013,263.9,2.5,3.0,4.6,True,ManualStorage1,Medium,2025-05-13
Nanotechnology Product 014,276.0,8.3,6.1,4.0,True,LoadingDock2,Medium,2025-05-14
Nanotechnology Product 015,139.5,4.0,5.9,0.6,True,SmallItemStorage,Medium,2025-05-15
Nanotechnology Product 016,168.8,3.6,3.3,6.3,False,ZoneB,High,2025-05-16
Nanotechnology Product 017,438.3,5.2,7.4,3.6,False,Basement1,Low,2025-05-17
Nanotechnology Product 018,514.9,2.5,1.5,3.4,False,Priority1,High,2025-05-18
Nanotechnology Product 019,527.1,7.8,0.7,4.8,True,LoadingDock2,Medium,2025-05-19
Nanotechnology Product 020,187.6,11.7,1.8,1.2,False,ZoneF,Medium,2025-05-20
Nanotechnology Product 021,555.3,1.5,4.8,3.6,True,HighBay3,High,2025-05-21
Nanotechnology Product 022,464.4,10.3,3.1,0.5,False,Rack5,High,2025-05-22
