Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Robotics Product 001,192.8,6.8,3.4,2.3,True,ReceivingArea,Medium,2025-05-01
Robotics Product 002,81.9,3.7,2.6,1.6,False,Aisle4,Low,2025-05-02
Robotics Product 003,72.7,14.4,1.8,2.8,False,SectionD,High,2025-05-03
Robotics Product 004,62.6,12.4,4.2,3.5,True,Aisle4,Medium,2025-05-04
Robotics Product 005,479.7,9.2,6.8,2.0,False,Floor1,Medium,2025-05-05
Robotics Product 006,402.6,1.2,4.7,3.6,False,Floor1,High,2025-05-06
Robotics Product 007,57.8,2.2,2.1,2.6,True,Basement5,Low,2025-05-07
Robotics Product 008,84.3,3.0,4.9,1.3,False,Basement2,Medium,2025-05-08
Robotics Product 009,246.6,8.7,1.4,4.7,False,AutomatedStorage2,Medium,2025-05-09
Robotics Product 010,155.2,7.5,1.0,2.5,False,LoadingDock3,Low,2025-05-10
Robotics Product 011,43.9,10.7,0.6,3.9,True,SectionH,Low,2025-05-11
Robotics Product 012,393.9,1.9,7.1,1.3,False,Floor5,Medium,2025-05-12
Robotics Product 013,638.0,1.3,4.4,3.3,False,ZoneA,High,2025-05-13
Robotics Product 014,257.1,5.7,3.4,4.5,False,LightItems,Medium,2025-05-14
Robotics Product 015,6.3,2.6,5.2,1.0,False,PalletArea4,Medium,2025-05-15
Robotics Product 016,257.2,2.4,0.6,2.5,True,ZoneG,High,2025-05-16
Robotics Product 017,442.5,3.0,2.0,4.9,False,ManualStorage5,Low,2025-05-17
Robotics Product 018,318.4,2.3,1.2,0.5,False,ZoneE,Low,2025-05-18
Robotics Product 019,484.8,3.1,5.3,3.6,True,HighBay2,Medium,2025-05-19
Robotics Product 020,215.3,2.4,3.0,3.8,True,Rack3,Low,2025-05-20
Robotics Product 021,731.5,1.7,1.1,1.5,True,Rack2,Low,2025-05-21
Robotics Product 022,319.7,3.2,3.6,3.3,True,Priority1,Low,2025-05-22
Robotics Product 023,356.1,2.8,4.9,4.4,False,Rack2,High,2025-05-23
Robotics Product 024,374.3,9.4,1.2,1.3,False,SlowMoving,Medium,2025-05-24
Robotics Product 025,659.6,0.3,5.1,1.6,True,Floor2,Low,2025-05-25
Robotics Product 026,411.7,3.3,4.1,0.3,True,Rack3,Low,2025-05-26
Robotics Product 027,117.5,4.0,1.4,1.0,False,Aisle3,Medium,2025-05-27
Robotics Product 028,358.8,1.5,0.3,2.0,True,Aisle4,Low,2025-05-28
Robotics Product 029,149.7,6.7,4.5,2.5,True,ExpressLane,Medium,2025-05-29
Robotics Product 030,476.5,14.1,5.5,1.4,False,SectionA,High,2025-05-30
Robotics Product 031,385.0,2.0,0.4,2.7,True,OverflowLane,High,2025-05-01
Robotics Product 032,528.0,5.3,3.6,2.9,True,ManualStorage2,Low,2025-05-02
Robotics Product 033,305.5,3.8,3.8,1.6,True,PalletArea5,Low,2025-05-03
Robotics Product 034,209.2,14.1,1.6,3.3,False,BulkItems,Low,2025-05-04
Robotics Product 035,496.4,2.7,3.8,3.0,False,Floor5,Low,2025-05-05
Robotics Product 036,63.6,3.4,2.2,1.8,True,Basement3,High,2025-05-06
Robotics Product 037,121.9,1.1,0.6,0.7,False,LoadingDock1,High,2025-05-07
Robotics Product 038,521.2,5.2,5.1,0.4,True,Rack10,Medium,2025-05-08
Robotics Product 039,721.3,12.0,0.7,5.7,True,ZoneF,Low,2025-05-09
Robotics Product 040,230.5,0.7,2.2,3.8,True,Floor4,High,2025-05-10
Robotics Product 041,63.4,7.3,1.6,2.5,False,HazardousStorage,Medium,2025-05-11
Robotics Product 042,159.0,10.7,4.1,2.1,True,Rack9,Medium,2025-05-12
Robotics Product 043,303.9,1.2,5.2,0.6,True,Floor1,High,2025-05-13
Robotics Product 044,90.8,5.0,2.1,1.5,True,FastMoving,Medium,2025-05-14
Robotics Product 045,506.9,2.5,3.1,4.3,False,ZoneC,Low,2025-05-15
Robotics Product 046,573.9,3.4,1.1,4.0,True,Priority1,High,2025-05-16
Robotics Product 047,451.5,10.7,4.4,2.4,True,ColdStorage,Low,2025-05-17
Robotics Product 048,371.0,12.5,1.7,3.2,False,QualityControl,Medium,2025-05-18
Robotics Product 049,381.7,3.5,1.7,3.3,False,Aisle8,High,2025-05-19
Robotics Product 050,268.9,7.7,7.1,1.1,True,Mezzanine3,Medium,2025-05-20
Robotics Product 051,526.7,11.5,2.0,4.1,False,SmallItemStorage,Medium,2025-05-21
Robotics Product 052,478.5,7.4,0.6,3.4,True,ManualStorage5,High,2025-05-22
Robotics Product 053,96.4,1.7,0.8,1.1,True,SectionA,Low,2025-05-23
Robotics Product 054,198.6,5.4,3.6,3.4,False,LightItems,High,2025-05-24
Robotics Product 055,84.1,3.5,1.8,3.2,True,ZoneJ,Medium,2025-05-25
Robotics Product 056,267.8,4.5,4.2,1.3,True,BulkItems,Medium,2025-05-26
Robotics Product 057,172.9,2.1,4.6,3.5,True,ManualStorage2,High,2025-05-27
Robotics Product 058,178.1,7.2,4.6,0.9,False,Basement4,High,2025-05-28
Robotics Product 059,316.0,9.2,2.8,3.4,True,Aisle2,High,2025-05-29
Robotics Product 060,392.4,8.6,3.5,5.7,True,ShelfArea2,Low,2025-05-30
Robotics Product 061,532.8,8.3,1.0,2.3,True,ZoneC,Low,2025-05-01
Robotics Product 062,49.5,5.5,4.5,0.6,False,PalletArea5,Medium,2025-05-02
Robotics Product 063,194.9,4.5,1.9,4.5,False,PalletArea3,Low,2025-05-03
Robotics Product 064,199.7,1.6,2.3,2.6,False,Basement5,High,2025-05-04
Robotics Product 065,164.1,4.5,2.7,3.7,False,SlowMoving,Low,2025-05-05
Robotics Product 066,448.7,0.5,4.7,0.5,False,LoadingDock2,Low,2025-05-06
Robotics Product 067,687.9,3.4,5.5,4.3,False,Aisle1,High,2025-05-07
Robotics Product 068,593.9,0.8,2.5,2.1,True,PalletArea1,Medium,2025-05-08
Robotics Product 069,561.3,12.0,8.1,0.5,False,ZoneE,Low,2025-05-09
Robotics Product 070,33.0,10.0,4.6,4.8,True,Aisle6,Medium,2025-05-10
Robotics Product 071,558.0,7.7,0.7,5.0,True,ReceivingArea,High,2025-05-11
Robotics Product 072,444.6,1.4,4.4,3.3,True,Basement3,Low,2025-05-12
Robotics Product 073,645.2,1.3,2.9,0.8,False,HighBay5,Medium,2025-05-13
Robotics Product 074,266.5,12.6,2.6,1.9,True,AutomatedStorage5,Low,2025-05-14
Robotics Product 075,397.8,1.6,1.0,0.7,False,PalletArea1,High,2025-05-15
Robotics Product 076,313.6,2.1,0.6,1.1,True,ZoneI,Medium,2025-05-16
Robotics Product 077,435.8,3.1,2.2,3.4,True,ShelfArea2,High,2025-05-17
Robotics Product 078,542.2,5.3,4.1,1.8,True,StandardLane,High,2025-05-18
Robotics Product 079,198.3,2.3,4.1,3.3,True,HeavyItems,High,2025-05-19
Robotics Product 080,31.6,6.6,2.6,1.8,False,ShelfArea5,Low,2025-05-20
Robotics Product 081,200.1,8.8,2.7,0.2,True,Rack1,Low,2025-05-21
Robotics Product 082,280.3,3.7,0.7,3.8,False,PalletArea5,High,2025-05-22
Robotics Product 083,434.6,13.3,5.4,3.4,False,Rack9,High,2025-05-23
Robotics Product 084,384.8,5.7,0.3,2.2,False,PalletArea4,High,2025-05-24
Robotics Product 085,165.4,9.2,1.7,2.7,False,SectionH,Medium,2025-05-25
Robotics Product 086,26.0,7.3,1.2,0.5,False,ZoneB,Low,2025-05-26
Robotics Product 087,760.5,14.0,5.2,4.2,True,Aisle8,Medium,2025-05-27
Robotics Product 088,338.8,11.9,7.7,4.5,False,SectionC,High,2025-05-28
Robotics Product 089,786.5,9.7,6.9,0.9,False,ExpressLane,High,2025-05-29
Robotics Product 090,417.0,2.9,2.3,0.4,False,SmallItems,Medium,2025-05-30
Robotics Product 091,364.1,10.5,3.5,0.8,True,Rack2,High,2025-05-01
Robotics Product 092,489.7,0.6,6.0,4.2,False,Seasonal,Medium,2025-05-02
Robotics Product 093,71.7,2.9,1.0,2.9,True,AutomatedStorage5,Medium,2025-05-03
Robotics Product 094,882.9,13.9,2.0,3.7,False,ShelfArea2,Low,2025-05-04
Robotics Product 095,87.1,5.4,3.7,1.2,True,Aisle5,High,2025-05-05
Robotics Product 096,446.0,3.6,1.2,4.1,False,PalletArea2,High,2025-05-06
Robotics Product 097,310.4,11.5,4.2,5.6,True,EconomyLane,Low,2025-05-07
Robotics Product 098,312.7,10.4,4.5,3.4,True,ShelfArea2,Low,2025-05-08
Robotics Product 099,584.2,0.7,1.2,1.1,True,HighBay5,Low,2025-05-09
Robotics Product 100,719.3,5.5,3.9,4.9,False,Seasonal,Medium,2025-05-10
