Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Artificial Intelligence Product 001,685.1,7.4,0.3,2.8,True,ReceivingArea,High,2025-05-01
Artificial Intelligence Product 002,112.5,4.0,1.0,0.8,True,ShelfArea2,Medium,2025-05-02
Artificial Intelligence Product 003,365.5,4.9,6.0,1.4,False,Rack9,High,2025-05-03
Artificial Intelligence Product 004,154.1,9.5,3.3,0.7,False,ZoneI,Low,2025-05-04
Artificial Intelligence Product 005,177.2,12.0,0.9,4.5,True,Basement2,Medium,2025-05-05
Artificial Intelligence Product 006,20.8,5.1,2.0,2.3,False,Floor1,Medium,2025-05-06
Artificial Intelligence Product 007,586.1,0.6,4.9,3.5,True,SectionD,High,2025-05-07
Artificial Intelligence Product 008,468.8,7.5,1.0,2.2,True,ReturnsArea,Low,2025-05-08
Artificial Intelligence Product 009,425.9,7.1,2.5,2.1,False,Aisle5,Low,2025-05-09
Artificial Intelligence Product 010,453.8,8.4,0.8,1.3,False,ZoneE,Low,2025-05-10
Artificial Intelligence Product 011,495.2,6.8,3.6,3.7,False,StandardLane,Medium,2025-05-11
Artificial Intelligence Product 012,249.1,5.3,1.0,6.0,False,ManualStorage4,High,2025-05-12
Artificial Intelligence Product 013,36.5,4.7,0.7,0.3,True,ZoneE,Medium,2025-05-13
Artificial Intelligence Product 014,133.9,7.7,0.4,0.6,False,Rack3,Low,2025-05-14
Artificial Intelligence Product 015,329.5,2.0,1.7,2.1,False,ZoneB,Low,2025-05-15
Artificial Intelligence Product 016,585.8,7.4,3.9,3.0,False,MediumItems,Low,2025-05-16
Artificial Intelligence Product 017,35.0,7.7,4.1,3.3,False,LoadingDock2,High,2025-05-17
Artificial Intelligence Product 018,170.5,7.0,1.9,1.0,True,ManualStorage1,Low,2025-05-18
Artificial Intelligence Product 019,460.0,7.0,3.3,3.5,True,ZoneI,Medium,2025-05-19
Artificial Intelligence Product 020,447.4,9.5,3.9,0.6,True,Rack1,Medium,2025-05-20
Artificial Intelligence Product 021,237.6,6.2,4.3,4.0,False,DryStorage,Medium,2025-05-21
Artificial Intelligence Product 022,312.7,5.3,2.0,1.0,True,SectionB,High,2025-05-22
Artificial Intelligence Product 023,256.0,5.1,5.0,2.9,False,StandardLane,Medium,2025-05-23
Artificial Intelligence Product 024,136.0,12.9,4.2,1.0,True,Rack6,Low,2025-05-24
Artificial Intelligence Product 025,190.4,7.4,2.2,4.2,True,SectionG,High,2025-05-25
Artificial Intelligence Product 026,166.1,2.4,3.1,0.3,False,SectionF,Medium,2025-05-26
Artificial Intelligence Product 027,698.4,11.8,5.1,3.5,True,SectionD,Low,2025-05-27
Artificial Intelligence Product 028,405.3,14.0,3.4,4.2,False,EconomyLane,Low,2025-05-28
Artificial Intelligence Product 029,571.2,10.5,3.2,1.9,True,Basement2,Low,2025-05-29
Artificial Intelligence Product 030,150.9,3.9,0.3,2.0,False,Basement1,Medium,2025-05-30
Artificial Intelligence Product 031,3.8,4.1,2.9,0.6,True,DryStorage,Low,2025-05-01
Artificial Intelligence Product 032,45.1,0.8,1.8,4.5,True,ZoneC,High,2025-05-02
Artificial Intelligence Product 033,253.0,8.1,3.4,3.9,True,ReceivingArea,Medium,2025-05-03
Artificial Intelligence Product 034,120.6,7.6,3.7,3.6,False,OverflowLane,Low,2025-05-04
Artificial Intelligence Product 035,296.4,2.6,6.0,3.0,False,Aisle10,Medium,2025-05-05
Artificial Intelligence Product 036,210.5,9.1,2.9,2.8,False,PalletArea2,High,2025-05-06
Artificial Intelligence Product 037,508.6,2.1,2.8,4.3,True,AutomatedStorage4,Low,2025-05-07
Artificial Intelligence Product 038,327.3,5.6,4.9,2.0,False,PalletArea2,Low,2025-05-08
