Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Blockchain Product 001,119.2,3.3,2.0,3.3,True,ShelfArea2,High,2025-05-01
Blockchain Product 002,498.7,3.2,2.0,5.4,False,LargeItems,Low,2025-05-02
Blockchain Product 003,287.6,7.7,2.9,3.6,False,ShelfArea4,Medium,2025-05-03
Blockchain Product 004,217.0,3.2,5.1,5.1,False,Rack2,High,2025-05-04
Blockchain Product 005,525.5,5.4,4.0,3.1,False,LoadingDock5,Medium,2025-05-05
Blockchain Product 006,491.0,2.8,5.2,1.9,True,ShelfArea3,Low,2025-05-06
Blockchain Product 007,838.1,9.8,4.4,0.8,False,PalletArea3,High,2025-05-07
Blockchain Product 008,460.9,0.7,0.5,2.7,False,ReceivingArea,High,2025-05-08
Blockchain Product 009,240.5,10.0,7.2,2.2,True,Aisle2,Medium,2025-05-09
Blockchain Product 010,76.0,2.5,1.9,2.6,False,PalletArea3,Medium,2025-05-10
Blockchain Product 011,106.3,4.1,0.7,0.5,False,ManualStorage1,Low,2025-05-11
Blockchain Product 012,283.4,12.7,4.2,1.1,False,SectionD,High,2025-05-12
Blockchain Product 013,463.7,6.0,5.0,1.4,False,LoadingDock5,Low,2025-05-13
Blockchain Product 014,451.8,3.0,3.1,0.3,False,Mezzanine5,Medium,2025-05-14
Blockchain Product 015,721.0,7.9,3.9,0.8,False,PalletArea1,Medium,2025-05-15
Blockchain Product 016,92.6,2.2,2.0,0.9,False,EconomyLane,Low,2025-05-16
Blockchain Product 017,804.6,7.5,5.8,3.5,False,ReceivingArea,High,2025-05-17
Blockchain Product 018,213.3,0.4,4.1,0.7,False,Priority4,High,2025-05-18
Blockchain Product 019,621.2,5.9,3.6,0.6,True,HazardousStorage,High,2025-05-19
Blockchain Product 020,133.7,1.5,4.7,3.5,True,HighBay4,High,2025-05-20
Blockchain Product 021,72.6,7.1,5.0,1.9,False,Aisle2,Medium,2025-05-21
Blockchain Product 022,681.7,9.1,6.6,2.8,True,BulkItems,High,2025-05-22
Blockchain Product 023,461.3,7.1,0.7,4.8,False,ManualStorage4,High,2025-05-23
Blockchain Product 024,51.5,1.0,3.9,1.5,False,Priority2,Low,2025-05-24
Blockchain Product 025,53.0,15.0,4.8,2.5,False,Floor2,High,2025-05-25
Blockchain Product 026,448.8,3.8,1.0,3.6,True,Priority5,Low,2025-05-26
Blockchain Product 027,50.2,10.1,1.4,1.4,True,ZoneH,Low,2025-05-27
Blockchain Product 028,207.6,6.6,5.6,4.2,False,Basement3,Medium,2025-05-28
Blockchain Product 029,205.6,11.1,0.4,1.0,False,PalletArea2,Low,2025-05-29
Blockchain Product 030,21.1,15.7,4.4,3.0,True,HighBay3,Medium,2025-05-30
Blockchain Product 031,480.9,1.7,2.6,4.7,False,LoadingDock3,Medium,2025-05-01
Blockchain Product 032,87.4,13.2,5.2,2.2,False,AutomatedStorage3,High,2025-05-02
Blockchain Product 033,264.6,4.1,2.1,3.9,True,SmallItemStorage,High,2025-05-03
Blockchain Product 034,510.7,5.0,6.5,2.3,False,SlowMoving,Medium,2025-05-04
