Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Cloud Computing Product 001,505.9,14.0,2.4,0.5,False,HighBay2,High,2025-05-01
Cloud Computing Product 002,357.4,6.0,3.6,4.1,False,OverflowStorage,Medium,2025-05-02
Cloud Computing Product 003,209.1,2.9,3.9,3.4,False,PalletArea2,Low,2025-05-03
Cloud Computing Product 004,293.0,1.4,4.6,4.2,True,Aisle8,High,2025-05-04
Cloud Computing Product 005,354.4,5.2,3.4,5.1,False,Basement5,Medium,2025-05-05
Cloud Computing Product 006,419.2,4.3,4.1,2.4,True,AutomatedStorage4,High,2025-05-06
Cloud Computing Product 007,74.2,8.5,3.0,0.7,True,HeavyItems,Medium,2025-05-07
Cloud Computing Product 008,408.4,10.0,3.5,2.5,False,FastMoving,High,2025-05-08
Cloud Computing Product 009,323.2,11.1,7.1,3.0,False,Mezzanine3,High,2025-05-09
Cloud Computing Product 010,370.8,3.9,7.0,1.6,True,SectionA,Low,2025-05-10
Cloud Computing Product 011,810.8,10.4,1.2,1.7,False,Aisle4,High,2025-05-11
Cloud Computing Product 012,712.4,10.6,1.8,4.9,False,Rack1,Low,2025-05-12
Cloud Computing Product 013,490.7,6.9,3.6,2.1,True,SectionF,High,2025-05-13
Cloud Computing Product 014,332.6,10.3,0.9,2.6,False,PalletArea4,Low,2025-05-14
Cloud Computing Product 015,643.9,1.6,1.2,2.4,True,Floor3,Medium,2025-05-15
Cloud Computing Product 016,46.5,10.9,2.7,4.9,True,LoadingDock3,Medium,2025-05-16
Cloud Computing Product 017,16.2,9.0,2.9,5.8,True,ZoneE,High,2025-05-17
Cloud Computing Product 018,132.1,2.2,6.1,3.3,True,ShelfArea4,Medium,2025-05-18
Cloud Computing Product 019,317.7,4.2,1.2,3.9,True,Aisle9,Medium,2025-05-19
Cloud Computing Product 020,355.7,13.6,5.4,4.4,False,Aisle7,Low,2025-05-20
Cloud Computing Product 021,424.3,5.7,5.5,1.2,True,Basement4,Low,2025-05-21
Cloud Computing Product 022,155.3,8.7,5.4,3.6,True,Aisle3,High,2025-05-22
Cloud Computing Product 023,610.4,6.8,2.8,3.1,False,Mezzanine4,Medium,2025-05-23
Cloud Computing Product 024,339.6,0.5,2.0,5.4,False,BulkItems,Low,2025-05-24
Cloud Computing Product 025,330.9,3.1,2.7,3.0,True,ManualStorage2,Low,2025-05-25
Cloud Computing Product 026,653.0,4.9,2.8,0.3,False,ExpressLane,Medium,2025-05-26
Cloud Computing Product 027,235.9,11.9,6.9,1.1,False,SectionF,High,2025-05-27
Cloud Computing Product 028,232.2,9.6,1.3,1.2,True,LoadingDock4,High,2025-05-28
Cloud Computing Product 029,138.2,8.9,5.1,2.2,False,QualityControl,Low,2025-05-29
Cloud Computing Product 030,313.2,8.0,5.9,1.7,True,ZoneD,Low,2025-05-30
Cloud Computing Product 031,244.4,5.1,0.9,3.3,False,SmallItems,High,2025-05-01
Cloud Computing Product 032,412.5,4.7,3.4,5.3,True,Aisle7,Medium,2025-05-02
Cloud Computing Product 033,301.1,4.8,1.3,1.5,True,Floor3,Low,2025-05-03
Cloud Computing Product 034,513.8,12.1,5.1,0.5,True,HighBay1,High,2025-05-04
Cloud Computing Product 035,99.9,5.9,1.9,3.6,False,PalletArea4,High,2025-05-05
Cloud Computing Product 036,173.8,14.2,2.3,5.5,False,Mezzanine1,High,2025-05-06
Cloud Computing Product 037,68.4,1.8,4.9,4.2,True,Aisle9,Low,2025-05-07
Cloud Computing Product 038,692.2,2.8,6.1,0.7,False,Mezzanine3,Low,2025-05-08
Cloud Computing Product 039,188.3,2.7,0.8,4.2,True,Priority1,Low,2025-05-09
Cloud Computing Product 040,303.8,9.5,2.9,3.5,True,AutomatedStorage1,Low,2025-05-10
Cloud Computing Product 041,291.6,2.4,1.8,2.7,True,Aisle1,Medium,2025-05-11
Cloud Computing Product 042,447.9,12.2,5.0,0.7,False,SectionA,Low,2025-05-12
Cloud Computing Product 043,93.4,7.6,4.3,4.5,True,PalletArea2,High,2025-05-13
Cloud Computing Product 044,851.0,6.6,0.3,2.9,True,ManualStorage5,Low,2025-05-14
Cloud Computing Product 045,382.4,7.7,2.1,2.4,False,LargeItems,High,2025-05-15
Cloud Computing Product 046,336.5,0.9,3.6,1.4,True,HighBay2,Medium,2025-05-16
Cloud Computing Product 047,458.8,5.7,3.4,2.9,True,ShelfArea1,High,2025-05-17
Cloud Computing Product 048,774.1,16.0,2.3,2.2,False,PalletArea3,Low,2025-05-18
Cloud Computing Product 049,85.5,9.2,2.3,3.3,True,PalletArea3,High,2025-05-19
Cloud Computing Product 050,271.8,10.4,1.3,4.2,True,BulkItems,Medium,2025-05-20
Cloud Computing Product 051,113.5,7.6,6.1,0.3,True,Aisle2,Low,2025-05-21
Cloud Computing Product 052,286.4,8.3,1.6,1.7,False,SmallItems,Medium,2025-05-22
Cloud Computing Product 053,278.0,1.4,2.8,2.7,True,Aisle4,Low,2025-05-23
Cloud Computing Product 054,535.2,11.0,3.8,4.0,True,PalletArea2,High,2025-05-24
