Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Internet of Things Product 001,2.8,8.0,2.9,3.5,False,Rack5,High,2025-05-01
Internet of Things Product 002,425.5,7.8,4.1,3.0,False,SectionH,High,2025-05-02
Internet of Things Product 003,335.0,1.1,6.4,2.9,True,SectionF,Low,2025-05-03
Internet of Things Product 004,451.8,5.6,2.2,4.2,True,PalletArea2,Low,2025-05-04
Internet of Things Product 005,705.4,4.6,7.2,2.8,False,Rack9,High,2025-05-05
Internet of Things Product 006,201.7,5.7,1.6,2.1,False,MediumItems,High,2025-05-06
Internet of Things Product 007,260.9,3.1,4.6,3.0,False,AutomatedStorage1,Low,2025-05-07
Internet of Things Product 008,116.7,6.5,6.4,3.4,False,LoadingDock3,Medium,2025-05-08
Internet of Things Product 009,354.9,8.0,2.5,0.8,False,ShelfArea4,Medium,2025-05-09
Internet of Things Product 010,245.9,2.1,5.5,0.4,False,PalletArea4,Low,2025-05-10
Internet of Things Product 011,755.7,6.3,5.0,3.5,False,SectionF,Low,2025-05-11
Internet of Things Product 012,127.0,10.8,0.5,4.0,True,PalletArea5,Low,2025-05-12
Internet of Things Product 013,319.9,4.2,4.6,2.8,False,HazardousStorage,High,2025-05-13
Internet of Things Product 014,341.8,7.6,3.5,1.7,False,ZoneE,High,2025-05-14
Internet of Things Product 015,88.5,6.1,2.4,0.3,True,LoadingDock2,High,2025-05-15
Internet of Things Product 016,126.3,4.8,2.3,5.0,True,Mezzanine2,Low,2025-05-16
Internet of Things Product 017,484.7,3.5,3.7,2.3,True,Aisle6,High,2025-05-17
Internet of Things Product 018,568.0,1.7,3.5,0.4,False,Aisle7,Low,2025-05-18
Internet of Things Product 019,267.9,8.2,5.2,4.2,True,Mezzanine4,Low,2025-05-19
Internet of Things Product 020,353.9,4.0,5.7,3.1,False,SlowMoving,Low,2025-05-20
Internet of Things Product 021,298.2,5.8,4.0,2.9,True,ShippingArea,High,2025-05-21
Internet of Things Product 022,168.3,5.4,2.0,3.8,True,PalletArea3,Medium,2025-05-22
Internet of Things Product 023,76.2,1.0,3.3,3.6,False,AutomatedStorage5,Low,2025-05-23
Internet of Things Product 024,157.8,1.8,6.3,3.8,True,Rack2,Low,2025-05-24
Internet of Things Product 025,37.0,12.1,1.8,3.8,False,SectionE,Medium,2025-05-25
Internet of Things Product 026,13.0,9.6,4.5,5.3,True,Priority5,Medium,2025-05-26
Internet of Things Product 027,184.5,1.2,2.2,3.9,True,SectionH,Low,2025-05-27
Internet of Things Product 028,279.3,5.8,5.6,1.9,False,Mezzanine1,Low,2025-05-28
Internet of Things Product 029,14.7,9.1,4.1,3.7,True,Mezzanine2,Medium,2025-05-29
Internet of Things Product 030,395.6,1.1,0.5,2.6,True,Rack4,High,2025-05-30
Internet of Things Product 031,159.8,0.9,5.4,1.8,False,SectionA,High,2025-05-01
Internet of Things Product 032,64.8,13.5,3.5,1.6,True,ZoneC,High,2025-05-02
Internet of Things Product 033,229.0,3.5,3.7,2.4,False,LoadingDock5,Low,2025-05-03
Internet of Things Product 034,73.0,11.3,7.7,0.5,True,Rack10,Low,2025-05-04
Internet of Things Product 035,453.9,5.9,0.7,0.7,False,ZoneH,High,2025-05-05
Internet of Things Product 036,661.5,7.0,3.6,2.5,False,PalletArea5,Low,2025-05-06
Internet of Things Product 037,192.7,10.7,1.2,2.6,True,HighBay2,Low,2025-05-07
Internet of Things Product 038,395.7,6.8,1.0,2.6,True,Rack3,Low,2025-05-08
Internet of Things Product 039,360.0,9.6,2.0,3.3,False,SectionH,Medium,2025-05-09
Internet of Things Product 040,55.7,9.9,4.3,2.5,True,LargeItems,High,2025-05-10
Internet of Things Product 041,370.2,9.6,6.6,2.2,True,SectionG,Medium,2025-05-11
Internet of Things Product 042,515.9,0.4,7.0,0.9,False,Rack9,Low,2025-05-12
Internet of Things Product 043,503.5,10.3,1.1,2.4,True,ManualStorage1,Medium,2025-05-13
Internet of Things Product 044,339.2,4.1,2.8,2.6,True,HighBay4,Low,2025-05-14
Internet of Things Product 045,52.4,4.3,3.1,2.8,True,Aisle8,Medium,2025-05-15
Internet of Things Product 046,370.7,2.2,6.8,3.6,False,AutomatedStorage2,Low,2025-05-16
Internet of Things Product 047,240.2,10.2,2.9,4.6,False,PremiumLane,Low,2025-05-17
Internet of Things Product 048,274.8,11.4,1.1,3.7,True,SectionA,Low,2025-05-18
Internet of Things Product 049,374.8,13.5,0.6,4.2,False,Priority1,Medium,2025-05-19
Internet of Things Product 050,201.9,4.1,3.3,3.3,False,ShelfArea1,High,2025-05-20
Internet of Things Product 051,433.9,7.0,1.1,0.3,False,StandardLane,Low,2025-05-21
Internet of Things Product 052,217.5,7.0,5.1,1.3,True,SectionC,High,2025-05-22
Internet of Things Product 053,62.0,8.0,5.9,0.9,True,HighBay2,Low,2025-05-23
Internet of Things Product 054,463.6,3.2,7.2,2.0,False,ZoneD,High,2025-05-24
Internet of Things Product 055,257.2,1.0,3.5,5.5,True,SmallItems,High,2025-05-25
Internet of Things Product 056,29.9,0.8,6.5,5.0,True,SectionF,Medium,2025-05-26
Internet of Things Product 057,215.9,3.9,5.3,2.2,False,Rack1,Medium,2025-05-27
Internet of Things Product 058,74.0,11.2,5.7,2.4,True,LoadingDock4,Low,2025-05-28
Internet of Things Product 059,333.2,1.5,4.1,3.9,False,Aisle10,Medium,2025-05-29
Internet of Things Product 060,126.5,8.6,1.8,0.7,False,SectionB,Low,2025-05-30
Internet of Things Product 061,490.5,0.8,4.4,1.7,False,SmallItemStorage,High,2025-05-01
Internet of Things Product 062,553.8,15.5,1.2,3.5,False,BulkStorage,Medium,2025-05-02
Internet of Things Product 063,127.0,10.9,2.4,3.6,True,Aisle8,High,2025-05-03
Internet of Things Product 064,304.4,9.2,2.9,4.7,False,PalletArea1,Low,2025-05-04
Internet of Things Product 065,356.6,0.9,1.3,4.0,True,SectionH,High,2025-05-05
Internet of Things Product 066,65.9,9.4,6.1,3.0,True,Floor5,High,2025-05-06
Internet of Things Product 067,607.7,4.2,1.4,2.5,True,AutomatedStorage1,High,2025-05-07
Internet of Things Product 068,695.9,5.3,5.7,4.7,False,PalletArea3,Medium,2025-05-08
Internet of Things Product 069,252.7,5.6,3.4,4.9,True,ShelfArea3,Medium,2025-05-09
Internet of Things Product 070,405.8,7.7,4.7,4.7,True,Mezzanine1,High,2025-05-10
Internet of Things Product 071,291.2,4.6,1.8,0.6,False,LoadingDock1,Medium,2025-05-11
Internet of Things Product 072,85.3,4.4,0.6,3.4,True,ZoneB,High,2025-05-12
Internet of Things Product 073,104.1,5.3,3.6,2.2,False,Floor5,High,2025-05-13
Internet of Things Product 074,596.7,8.9,3.9,2.4,False,ShippingArea,Medium,2025-05-14
Internet of Things Product 075,188.3,9.6,5.7,4.3,False,Floor5,Low,2025-05-15
Internet of Things Product 076,508.6,0.8,4.1,2.5,True,BulkStorage,High,2025-05-16
Internet of Things Product 077,321.0,11.6,3.1,2.4,False,LargeItems,High,2025-05-17
Internet of Things Product 078,191.2,4.0,6.1,2.9,True,Basement2,High,2025-05-18
Internet of Things Product 079,243.1,13.4,3.8,2.5,True,Aisle6,High,2025-05-19
Internet of Things Product 080,33.0,4.1,1.9,4.3,True,ZoneH,Low,2025-05-20
Internet of Things Product 081,71.6,8.2,0.6,2.7,True,SectionD,Medium,2025-05-21
Internet of Things Product 082,645.5,2.8,3.7,1.8,True,Seasonal,High,2025-05-22
Internet of Things Product 083,313.1,8.6,2.8,3.0,False,BulkStorage,High,2025-05-23
Internet of Things Product 084,196.6,0.5,5.2,2.9,False,Priority4,High,2025-05-24
Internet of Things Product 085,756.2,3.2,3.8,1.1,False,ShippingArea,High,2025-05-25
Internet of Things Product 086,182.6,5.0,4.6,3.5,False,Priority1,Medium,2025-05-26
Internet of Things Product 087,120.6,5.0,2.8,2.8,False,Basement3,High,2025-05-27
Internet of Things Product 088,339.8,8.0,2.0,2.1,True,ColdStorage,High,2025-05-28
Internet of Things Product 089,780.9,5.6,1.4,0.5,False,OverflowLane,Low,2025-05-29
Internet of Things Product 090,516.4,13.5,1.3,2.0,False,Floor3,High,2025-05-30
Internet of Things Product 091,788.0,11.0,0.6,3.0,True,Floor2,Medium,2025-05-01
Internet of Things Product 092,362.0,2.0,1.3,1.6,False,FragileItems,High,2025-05-02
Internet of Things Product 093,385.7,7.3,5.8,5.4,True,LoadingDock5,High,2025-05-03
Internet of Things Product 094,333.5,6.1,2.1,3.9,True,Seasonal,High,2025-05-04
Internet of Things Product 095,214.3,12.6,4.0,1.8,True,ZoneB,Low,2025-05-05
Internet of Things Product 096,496.0,4.4,1.3,1.8,True,Seasonal,Medium,2025-05-06
Internet of Things Product 097,180.2,8.4,4.5,1.7,False,ZoneF,Medium,2025-05-07
Internet of Things Product 098,88.4,15.7,6.0,4.8,False,Rack3,Medium,2025-05-08
Internet of Things Product 099,254.3,3.2,6.2,2.0,False,Aisle3,Medium,2025-05-09
Internet of Things Product 100,201.4,0.7,6.5,3.3,True,Mezzanine4,Medium,2025-05-10
