Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Virtual Reality Product 001,119.0,10.8,2.4,4.4,True,BulkItems,Medium,2025-05-01
Virtual Reality Product 002,165.0,2.9,0.4,3.2,False,EconomyLane,High,2025-05-02
Virtual Reality Product 003,73.3,4.3,2.3,2.7,True,Aisle6,High,2025-05-03
Virtual Reality Product 004,105.3,10.0,3.1,1.7,True,SectionE,Medium,2025-05-04
Virtual Reality Product 005,317.4,1.9,3.6,1.6,False,SlowMoving,Medium,2025-05-05
Virtual Reality Product 006,375.2,3.9,4.2,1.6,True,Aisle1,Low,2025-05-06
Virtual Reality Product 007,598.5,14.6,1.0,2.3,False,PalletArea1,Low,2025-05-07
Virtual Reality Product 008,339.3,12.1,4.8,5.0,False,SectionC,Medium,2025-05-08
Virtual Reality Product 009,234.2,2.1,5.6,4.2,True,Priority5,High,2025-05-09
Virtual Reality Product 010,759.1,6.1,5.2,2.7,False,ReturnsArea,Low,2025-05-10
Virtual Reality Product 011,32.6,0.4,1.5,2.2,True,Rack8,Medium,2025-05-11
Virtual Reality Product 012,192.5,11.7,0.9,3.5,False,Rack3,Low,2025-05-12
Virtual Reality Product 013,645.7,4.3,1.4,1.6,True,Rack3,Low,2025-05-13
Virtual Reality Product 014,167.5,9.2,1.9,2.5,True,LoadingDock5,Medium,2025-05-14
Virtual Reality Product 015,721.0,11.1,6.0,1.0,False,Floor1,Medium,2025-05-15
Virtual Reality Product 016,249.3,10.4,7.4,4.1,True,ShelfArea4,High,2025-05-16
Virtual Reality Product 017,624.2,2.6,7.4,0.5,True,ReceivingArea,High,2025-05-17
Virtual Reality Product 018,556.1,5.3,7.2,4.0,False,Rack6,Medium,2025-05-18
Virtual Reality Product 019,95.0,3.8,5.3,1.7,False,ZoneA,Medium,2025-05-19
Virtual Reality Product 020,451.0,5.8,2.7,1.1,False,Mezzanine5,High,2025-05-20
Virtual Reality Product 021,23.2,6.1,0.9,1.7,False,ZoneA,Low,2025-05-21
Virtual Reality Product 022,122.4,9.8,2.9,3.3,False,Floor1,High,2025-05-22
Virtual Reality Product 023,497.8,8.1,6.0,0.7,False,Basement1,High,2025-05-23
Virtual Reality Product 024,629.7,11.1,3.9,2.6,True,Basement3,Medium,2025-05-24
Virtual Reality Product 025,299.6,11.8,4.5,5.4,False,AutomatedStorage3,High,2025-05-25
Virtual Reality Product 026,513.2,12.2,4.6,1.0,True,DryStorage,Medium,2025-05-26
Virtual Reality Product 027,104.5,4.6,4.6,1.2,False,ZoneE,Medium,2025-05-27
Virtual Reality Product 028,590.3,8.3,5.0,4.8,False,FragileItems,High,2025-05-28
Virtual Reality Product 029,440.1,3.7,5.3,3.3,True,Priority3,High,2025-05-29
Virtual Reality Product 030,310.8,1.7,1.3,5.0,True,ShelfArea1,High,2025-05-30
Virtual Reality Product 031,47.8,3.4,6.0,1.0,False,ManualStorage1,Low,2025-05-01
Virtual Reality Product 032,477.6,14.2,2.0,2.8,False,ShelfArea1,Medium,2025-05-02
Virtual Reality Product 033,533.9,1.9,4.4,3.7,False,LoadingDock5,Low,2025-05-03
Virtual Reality Product 034,507.4,5.5,2.4,2.1,False,EconomyLane,Low,2025-05-04
Virtual Reality Product 035,240.6,7.2,4.4,0.3,True,Floor2,Low,2025-05-05
Virtual Reality Product 036,409.3,6.4,1.0,5.3,False,ManualStorage5,Low,2025-05-06
Virtual Reality Product 037,148.5,11.5,0.7,4.0,False,Rack10,Medium,2025-05-07
Virtual Reality Product 038,450.4,10.4,6.9,3.4,True,ShelfArea4,High,2025-05-08
Virtual Reality Product 039,238.2,9.0,2.0,1.5,False,Rack3,Medium,2025-05-09
Virtual Reality Product 040,115.5,2.8,5.4,4.0,False,ShippingArea,Medium,2025-05-10
Virtual Reality Product 041,282.7,3.3,3.8,2.8,True,LargeItems,Low,2025-05-11
Virtual Reality Product 042,109.4,2.3,4.0,1.8,False,Basement3,Low,2025-05-12
Virtual Reality Product 043,387.3,4.4,2.3,0.4,False,Aisle4,Low,2025-05-13
Virtual Reality Product 044,272.9,3.0,1.0,0.2,True,AutomatedStorage4,Low,2025-05-14
Virtual Reality Product 045,27.1,5.7,3.0,5.9,True,Priority1,High,2025-05-15
Virtual Reality Product 046,63.1,1.8,2.3,3.1,False,Priority2,High,2025-05-16
Virtual Reality Product 047,312.3,5.2,1.2,0.6,False,MediumItems,High,2025-05-17
Virtual Reality Product 048,150.2,9.9,4.0,0.2,True,ManualStorage4,Low,2025-05-18
Virtual Reality Product 049,140.9,8.2,0.4,3.4,False,ZoneC,Medium,2025-05-19
Virtual Reality Product 050,186.3,5.1,3.7,4.4,False,LoadingDock5,Low,2025-05-20
Virtual Reality Product 051,304.1,6.0,2.9,1.5,False,HazardousStorage,Low,2025-05-21
Virtual Reality Product 052,122.8,9.6,1.2,1.0,False,MediumItems,High,2025-05-22
Virtual Reality Product 053,138.5,14.9,1.7,0.4,False,ManualStorage5,Medium,2025-05-23
Virtual Reality Product 054,811.3,9.4,6.3,2.0,True,ZoneB,Low,2025-05-24
Virtual Reality Product 055,143.8,8.6,4.3,3.3,False,HighBay1,Low,2025-05-25
Virtual Reality Product 056,438.9,8.1,4.0,1.8,True,Mezzanine3,High,2025-05-26
Virtual Reality Product 057,269.0,7.9,1.9,5.3,True,ShelfArea4,Low,2025-05-27
Virtual Reality Product 058,450.3,10.9,7.5,2.4,True,SmallItems,High,2025-05-28
