Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Augmented Reality Product 001,271.1,3.0,4.7,1.3,True,Rack8,High,2025-05-01
Augmented Reality Product 002,385.9,16.2,2.6,3.2,True,HeavyItems,High,2025-05-02
Augmented Reality Product 003,347.4,2.0,3.0,4.3,False,Floor2,Medium,2025-05-03
Augmented Reality Product 004,277.0,16.6,5.6,5.2,True,Mezzanine2,Medium,2025-05-04
Augmented Reality Product 005,286.2,11.0,2.7,3.2,False,Aisle6,High,2025-05-05
Augmented Reality Product 006,271.9,5.0,1.6,2.5,True,Aisle5,Low,2025-05-06
Augmented Reality Product 007,419.4,13.8,2.1,2.2,True,OverflowLane,High,2025-05-07
Augmented Reality Product 008,24.6,0.4,5.0,0.3,True,LoadingDock2,Low,2025-05-08
Augmented Reality Product 009,348.8,2.3,2.7,1.0,False,Rack2,High,2025-05-09
Augmented Reality Product 010,35.5,5.1,3.3,2.7,True,SmallItems,High,2025-05-10
Augmented Reality Product 011,68.9,9.7,3.0,1.7,False,EconomyLane,High,2025-05-11
Augmented Reality Product 012,12.1,6.0,1.6,3.1,False,Mezzanine4,Low,2025-05-12
Augmented Reality Product 013,316.7,3.8,0.5,0.5,True,OverflowLane,Medium,2025-05-13
Augmented Reality Product 014,82.6,6.0,1.1,3.1,False,Rack5,High,2025-05-14
Augmented Reality Product 015,458.0,11.0,4.8,1.7,True,MediumItems,Low,2025-05-15
Augmented Reality Product 016,593.5,8.9,2.3,2.3,True,Basement5,High,2025-05-16
Augmented Reality Product 017,161.7,5.0,3.7,5.3,False,FragileItems,Low,2025-05-17
Augmented Reality Product 018,234.6,10.4,2.9,3.7,True,ShippingArea,High,2025-05-18
Augmented Reality Product 019,207.1,2.1,2.6,4.5,False,EconomyLane,Low,2025-05-19
Augmented Reality Product 020,359.5,1.8,3.8,5.7,True,Aisle4,High,2025-05-20
Augmented Reality Product 021,146.8,6.7,4.2,2.7,False,SectionA,Medium,2025-05-21
Augmented Reality Product 022,406.1,7.2,5.7,2.7,False,LargeItems,Low,2025-05-22
Augmented Reality Product 023,556.7,7.4,3.9,1.9,True,Seasonal,Medium,2025-05-23
Augmented Reality Product 024,787.8,9.0,2.6,1.9,False,Basement5,Low,2025-05-24
Augmented Reality Product 025,595.8,5.3,5.5,3.2,False,AutomatedStorage5,Medium,2025-05-25
Augmented Reality Product 026,224.2,3.9,1.0,1.0,False,OverflowLane,Medium,2025-05-26
Augmented Reality Product 027,315.1,3.7,0.9,2.2,True,Mezzanine5,Medium,2025-05-27
Augmented Reality Product 028,465.4,13.8,4.7,0.9,False,SectionE,High,2025-05-28
Augmented Reality Product 029,537.6,8.3,1.5,4.1,False,SectionG,Low,2025-05-29
Augmented Reality Product 030,302.9,2.0,1.0,4.1,True,Priority1,High,2025-05-30
Augmented Reality Product 031,408.4,12.9,3.6,0.6,False,Rack8,Medium,2025-05-01
Augmented Reality Product 032,479.0,9.3,2.4,0.4,True,SectionB,Medium,2025-05-02
Augmented Reality Product 033,172.1,2.8,5.3,2.9,False,ShelfArea3,Low,2025-05-03
Augmented Reality Product 034,663.7,4.9,2.7,2.9,False,ZoneG,High,2025-05-04
Augmented Reality Product 035,651.1,10.8,3.4,2.4,True,ShippingArea,Low,2025-05-05
Augmented Reality Product 036,108.9,4.1,5.9,3.8,True,Mezzanine2,High,2025-05-06
Augmented Reality Product 037,424.1,3.7,5.8,2.5,False,ManualStorage5,High,2025-05-07
Augmented Reality Product 038,440.9,13.5,5.5,0.9,True,ZoneI,Low,2025-05-08
Augmented Reality Product 039,42.5,12.2,2.5,4.5,False,ReturnsArea,Low,2025-05-09
Augmented Reality Product 040,517.1,7.6,2.7,2.0,True,AutomatedStorage4,Medium,2025-05-10
Augmented Reality Product 041,437.3,9.5,6.5,0.8,False,Basement1,Low,2025-05-11
Augmented Reality Product 042,118.6,6.2,2.7,1.2,False,DryStorage,Low,2025-05-12
Augmented Reality Product 043,170.6,0.4,4.1,4.9,True,Floor4,High,2025-05-13
Augmented Reality Product 044,544.0,6.9,4.5,0.6,True,Rack1,High,2025-05-14
Augmented Reality Product 045,563.5,6.4,4.8,2.3,True,Aisle4,High,2025-05-15
Augmented Reality Product 046,8.5,11.9,5.9,3.6,True,PalletArea4,Medium,2025-05-16
Augmented Reality Product 047,121.5,7.5,3.8,1.5,True,Aisle6,Low,2025-05-17
Augmented Reality Product 048,299.8,9.7,1.2,1.9,True,ZoneF,High,2025-05-18
Augmented Reality Product 049,421.8,3.0,3.3,0.7,True,Aisle1,Low,2025-05-19
Augmented Reality Product 050,675.6,3.9,4.8,2.2,False,ZoneF,Medium,2025-05-20
Augmented Reality Product 051,195.5,12.4,3.0,2.4,False,ManualStorage4,High,2025-05-21
Augmented Reality Product 052,231.7,1.2,4.8,3.5,True,ManualStorage4,High,2025-05-22
Augmented Reality Product 053,365.0,4.4,4.5,4.1,False,LoadingDock5,Low,2025-05-23
Augmented Reality Product 054,445.3,6.9,3.2,3.4,False,Priority3,Medium,2025-05-24
Augmented Reality Product 055,643.1,10.0,6.3,1.2,True,Basement4,Medium,2025-05-25
Augmented Reality Product 056,689.5,7.3,2.5,0.6,False,ShelfArea5,Low,2025-05-26
Augmented Reality Product 057,505.6,7.3,5.4,2.1,True,Aisle10,Low,2025-05-27
Augmented Reality Product 058,184.1,10.2,6.0,6.3,False,Aisle5,Medium,2025-05-28
Augmented Reality Product 059,61.7,4.7,1.2,5.6,False,PalletArea5,Low,2025-05-29
Augmented Reality Product 060,797.3,6.0,3.6,5.0,False,Rack7,High,2025-05-30
Augmented Reality Product 061,2.5,1.0,1.2,0.8,False,Aisle4,High,2025-05-01
Augmented Reality Product 062,512.5,0.5,1.5,0.4,False,Mezzanine3,Low,2025-05-02
Augmented Reality Product 063,499.7,1.5,2.7,2.3,True,Priority1,Medium,2025-05-03
Augmented Reality Product 064,699.3,8.2,1.8,2.0,False,PalletArea5,Medium,2025-05-04
Augmented Reality Product 065,653.0,7.4,2.6,0.8,False,LightItems,High,2025-05-05
Augmented Reality Product 066,49.3,9.6,1.6,0.8,False,PalletArea5,High,2025-05-06
Augmented Reality Product 067,167.3,9.4,5.2,2.2,True,Rack2,Low,2025-05-07
Augmented Reality Product 068,278.9,1.6,6.2,2.8,True,Priority1,High,2025-05-08
Augmented Reality Product 069,103.8,2.8,2.8,2.2,True,Basement5,Medium,2025-05-09
Augmented Reality Product 070,179.0,5.6,3.0,0.3,True,FragileItems,Medium,2025-05-10
Augmented Reality Product 071,87.4,8.7,1.3,2.5,True,FragileItems,High,2025-05-11
