Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
3D Printing Product 001,551.7,3.3,3.6,5.4,False,ShelfArea1,High,2025-05-01
3D Printing Product 002,317.6,13.2,7.1,3.9,False,Basement3,Low,2025-05-02
3D Printing Product 003,860.9,11.2,3.0,0.3,True,ZoneD,Medium,2025-05-03
3D Printing Product 004,46.5,9.0,4.6,3.9,True,FragileItems,Medium,2025-05-04
3D Printing Product 005,192.3,8.1,4.3,4.6,False,ShelfArea4,Medium,2025-05-05
3D Printing Product 006,231.6,13.4,2.5,3.1,True,SectionB,Medium,2025-05-06
3D Printing Product 007,360.1,6.4,3.2,0.6,True,ShelfArea1,Low,2025-05-07
3D Printing Product 008,400.2,0.4,5.6,0.5,True,AutomatedStorage5,Low,2025-05-08
3D Printing Product 009,625.1,3.1,2.4,1.3,False,Rack1,High,2025-05-09
3D Printing Product 010,188.9,2.9,3.6,4.2,False,ShelfArea1,Low,2025-05-10
3D Printing Product 011,371.4,6.0,2.9,4.7,True,ZoneJ,High,2025-05-11
3D Printing Product 012,339.0,12.8,5.0,2.3,False,LoadingDock4,Medium,2025-05-12
3D Printing Product 013,2.9,0.7,2.3,4.1,False,HazardousStorage,High,2025-05-13
3D Printing Product 014,277.2,1.0,1.1,3.1,True,Basement3,Low,2025-05-14
3D Printing Product 015,92.8,6.9,7.1,3.7,True,Rack8,High,2025-05-15
3D Printing Product 016,56.8,11.3,5.1,4.4,True,ReceivingArea,Medium,2025-05-16
3D Printing Product 017,32.4,7.1,3.9,3.8,True,Floor4,Low,2025-05-17
3D Printing Product 018,381.1,9.5,4.6,0.2,True,Aisle2,Low,2025-05-18
3D Printing Product 019,250.4,5.6,2.6,1.8,True,SectionA,Medium,2025-05-19
3D Printing Product 020,167.8,5.8,1.2,1.7,False,ZoneE,Low,2025-05-20
3D Printing Product 021,98.8,1.1,5.6,2.3,True,Floor4,Low,2025-05-21
3D Printing Product 022,790.9,5.6,1.7,1.7,False,HighBay4,Medium,2025-05-22
3D Printing Product 023,681.7,11.1,6.9,3.4,True,HeavyItems,Medium,2025-05-23
3D Printing Product 024,81.5,9.3,7.0,1.9,False,PremiumLane,High,2025-05-24
3D Printing Product 025,595.3,9.2,1.3,3.2,True,Floor2,High,2025-05-25
3D Printing Product 026,433.1,14.4,6.5,1.9,False,Seasonal,Low,2025-05-26
3D Printing Product 027,315.2,9.5,3.6,1.6,True,HazardousStorage,Low,2025-05-27
3D Printing Product 028,783.4,9.0,4.2,0.7,False,SlowMoving,High,2025-05-28
3D Printing Product 029,445.7,3.5,2.7,3.1,True,MediumItems,Medium,2025-05-29
3D Printing Product 030,474.5,13.7,1.8,4.4,False,ZoneH,Medium,2025-05-30
3D Printing Product 031,15.2,3.1,1.2,0.6,False,Priority4,Low,2025-05-01
