Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Drones Product 001,310.7,5.8,2.7,5.0,False,PalletArea2,High,2025-05-01
Drones Product 002,424.2,4.8,4.6,4.4,False,ColdStorage,Medium,2025-05-02
Drones Product 003,345.2,5.0,5.8,4.1,True,AutomatedStorage1,Medium,2025-05-03
Drones Product 004,53.5,5.9,5.9,0.8,True,QualityControl,Medium,2025-05-04
Drones Product 005,293.1,1.2,1.0,4.0,False,SectionH,Low,2025-05-05
Drones Product 006,115.7,4.2,1.3,1.2,True,Aisle7,Low,2025-05-06
Drones Product 007,297.7,13.6,2.7,0.3,True,ZoneJ,Medium,2025-05-07
Drones Product 008,612.3,2.3,5.5,1.3,True,Rack7,Medium,2025-05-08
Drones Product 009,649.6,1.1,3.4,2.0,False,Rack7,High,2025-05-09
Drones Product 010,80.2,6.3,4.9,2.6,True,Aisle2,Medium,2025-05-10
Drones Product 011,309.7,1.6,3.2,2.5,True,FragileItems,Low,2025-05-11
Drones Product 012,14.5,1.2,2.2,0.8,True,Priority2,Medium,2025-05-12
Drones Product 013,296.3,2.0,5.0,4.4,False,ManualStorage1,Low,2025-05-13
Drones Product 014,212.9,7.7,2.5,0.3,True,Basement1,High,2025-05-14
Drones Product 015,165.3,11.3,2.6,3.9,False,FastMoving,Low,2025-05-15
Drones Product 016,581.6,10.7,5.6,0.3,True,Rack7,High,2025-05-16
Drones Product 017,277.6,9.2,6.3,4.1,False,Mezzanine3,Medium,2025-05-17
Drones Product 018,608.0,13.7,3.8,3.5,False,ManualStorage3,Low,2025-05-18
Drones Product 019,483.8,7.1,1.0,3.1,False,QualityControl,Medium,2025-05-19
Drones Product 020,462.9,5.1,1.0,1.2,True,MediumItems,Medium,2025-05-20
Drones Product 021,111.3,7.9,3.7,3.6,False,HighBay3,Medium,2025-05-21
Drones Product 022,266.3,6.0,5.4,3.0,False,HighBay3,Medium,2025-05-22
Drones Product 023,330.4,2.5,6.6,3.3,True,Rack9,Medium,2025-05-23
Drones Product 024,439.2,6.1,2.8,2.8,True,SlowMoving,Low,2025-05-24
Drones Product 025,271.9,10.8,4.9,3.1,True,Aisle7,High,2025-05-25
Drones Product 026,852.6,4.5,5.1,4.4,False,Basement3,High,2025-05-26
Drones Product 027,105.7,0.5,3.5,2.2,False,SectionF,Medium,2025-05-27
Drones Product 028,398.2,12.5,4.3,0.5,True,Rack10,Medium,2025-05-28
Drones Product 029,405.8,2.9,2.9,3.8,False,Rack5,Low,2025-05-29
Drones Product 030,151.6,9.7,3.2,1.7,True,Basement4,Low,2025-05-30
Drones Product 031,574.0,0.7,0.8,0.9,False,HeavyItems,High,2025-05-01
Drones Product 032,50.6,13.7,0.8,0.8,False,Aisle7,High,2025-05-02
Drones Product 033,552.8,11.6,2.6,0.9,False,LoadingDock4,Low,2025-05-03
Drones Product 034,60.6,5.3,4.9,4.2,False,Basement2,Medium,2025-05-04
Drones Product 035,289.6,4.8,6.0,1.5,True,ManualStorage1,Medium,2025-05-05
Drones Product 036,554.5,4.7,0.3,1.9,True,LoadingDock2,Medium,2025-05-06
Drones Product 037,463.9,11.1,5.1,2.5,False,EconomyLane,Medium,2025-05-07
Drones Product 038,726.7,8.6,4.8,1.8,True,ShelfArea1,Medium,2025-05-08
Drones Product 039,31.6,7.9,0.9,1.1,True,ColdStorage,Medium,2025-05-09
Drones Product 040,245.3,7.4,2.0,1.2,False,ShelfArea5,High,2025-05-10
Drones Product 041,126.4,3.3,5.3,3.8,True,LoadingDock4,Low,2025-05-11
Drones Product 042,46.2,7.2,1.2,2.3,False,SectionH,Low,2025-05-12
Drones Product 043,362.5,7.4,3.5,1.8,True,Floor1,High,2025-05-13
Drones Product 044,102.9,7.8,2.5,4.8,False,Rack5,Medium,2025-05-14
Drones Product 045,677.3,7.0,2.2,2.5,True,OverflowStorage,Medium,2025-05-15
Drones Product 046,615.4,3.1,0.7,1.2,True,Rack5,Medium,2025-05-16
Drones Product 047,546.7,12.1,4.4,4.4,True,ShelfArea1,High,2025-05-17
Drones Product 048,698.3,10.8,0.5,2.7,False,ShelfArea1,High,2025-05-18
Drones Product 049,489.3,3.3,6.2,0.3,False,LightItems,High,2025-05-19
Drones Product 050,249.2,2.0,5.4,2.9,True,ZoneD,High,2025-05-20
Drones Product 051,333.7,11.9,0.6,1.6,False,PalletArea4,Low,2025-05-21
Drones Product 052,586.7,10.9,5.0,2.8,False,SectionB,High,2025-05-22
Drones Product 053,150.0,11.4,1.7,2.7,False,ManualStorage1,High,2025-05-23
Drones Product 054,334.1,11.9,5.5,2.4,False,HeavyItems,Low,2025-05-24
Drones Product 055,292.8,11.4,6.2,1.9,True,Floor5,Medium,2025-05-25
Drones Product 056,516.0,6.4,5.8,3.6,False,LoadingDock3,Medium,2025-05-26
