Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Electric Vehicles Product 001,82.6,3.2,1.3,4.1,False,Rack3,Medium,2025-05-01
Electric Vehicles Product 002,414.6,1.8,4.9,3.4,False,DryStorage,High,2025-05-02
Electric Vehicles Product 003,289.6,3.7,2.4,3.3,False,Rack6,High,2025-05-03
Electric Vehicles Product 004,858.7,14.7,5.0,0.3,False,AutomatedStorage5,Medium,2025-05-04
Electric Vehicles Product 005,631.0,12.9,4.2,3.2,False,ShelfArea4,Low,2025-05-05
Electric Vehicles Product 006,29.6,1.6,6.4,4.3,False,ReceivingArea,Low,2025-05-06
Electric Vehicles Product 007,457.1,3.0,2.2,3.5,False,SmallItems,Medium,2025-05-07
Electric Vehicles Product 008,730.3,3.4,3.9,1.3,False,DryStorage,Low,2025-05-08
Electric Vehicles Product 009,689.9,5.7,4.7,2.4,True,Basement2,Low,2025-05-09
Electric Vehicles Product 010,18.3,14.8,3.3,4.2,True,ZoneB,Medium,2025-05-10
Electric Vehicles Product 011,420.2,11.4,1.3,5.4,True,HighBay4,High,2025-05-11
Electric Vehicles Product 012,190.2,3.7,1.6,4.7,True,HighBay2,Low,2025-05-12
Electric Vehicles Product 013,204.5,10.6,1.2,0.6,False,Mezzanine5,Low,2025-05-13
Electric Vehicles Product 014,92.4,9.5,4.0,1.1,True,Aisle6,High,2025-05-14
Electric Vehicles Product 015,377.0,6.3,3.9,3.3,False,ColdStorage,Low,2025-05-15
Electric Vehicles Product 016,157.7,15.0,3.0,4.1,True,ColdStorage,Medium,2025-05-16
Electric Vehicles Product 017,515.2,6.6,1.0,4.8,False,SectionG,High,2025-05-17
Electric Vehicles Product 018,47.9,0.3,5.0,0.9,False,LoadingDock5,Medium,2025-05-18
Electric Vehicles Product 019,412.1,7.9,1.5,0.4,False,AutomatedStorage2,High,2025-05-19
Electric Vehicles Product 020,299.5,5.9,1.0,0.7,True,Priority2,High,2025-05-20
Electric Vehicles Product 021,517.5,5.0,3.8,1.7,True,PalletArea4,Low,2025-05-21
Electric Vehicles Product 022,357.8,4.3,0.6,2.8,True,Rack10,High,2025-05-22
Electric Vehicles Product 023,321.6,4.7,5.5,0.9,False,HighBay1,Low,2025-05-23
Electric Vehicles Product 024,124.1,9.4,1.0,0.4,True,Rack2,Low,2025-05-24
Electric Vehicles Product 025,514.4,13.8,1.2,2.5,True,ShelfArea4,Low,2025-05-25
Electric Vehicles Product 026,59.5,15.2,3.0,0.7,False,SmallItems,Medium,2025-05-26
Electric Vehicles Product 027,539.2,3.8,2.4,3.0,True,Rack10,Low,2025-05-27
Electric Vehicles Product 028,60.5,3.8,2.3,0.9,True,Rack6,Low,2025-05-28
Electric Vehicles Product 029,574.5,14.0,2.8,1.3,False,EconomyLane,Low,2025-05-29
Electric Vehicles Product 030,372.6,11.3,2.7,2.9,True,ShippingArea,Medium,2025-05-30
Electric Vehicles Product 031,277.6,10.6,4.0,3.2,True,Rack7,Low,2025-05-01
