Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Hybrid Vehicles Product 001,38.8,5.2,0.4,4.5,True,OverflowStorage,Low,2025-05-01
Hybrid Vehicles Product 002,526.2,0.9,2.3,2.3,True,LoadingDock2,Medium,2025-05-02
Hybrid Vehicles Product 003,598.2,0.9,2.4,3.6,False,Rack5,High,2025-05-03
Hybrid Vehicles Product 004,419.4,5.0,6.4,3.4,True,HeavyItems,Low,2025-05-04
Hybrid Vehicles Product 005,249.0,8.6,1.1,1.1,True,ZoneG,Low,2025-05-05
Hybrid Vehicles Product 006,32.6,7.0,5.4,3.4,False,ZoneA,High,2025-05-06
Hybrid Vehicles Product 007,202.6,2.5,0.4,2.6,False,ZoneE,Medium,2025-05-07
Hybrid Vehicles Product 008,263.8,0.9,4.2,1.4,False,Mezzanine3,High,2025-05-08
Hybrid Vehicles Product 009,657.4,3.7,2.8,2.0,True,SectionA,High,2025-05-09
Hybrid Vehicles Product 010,269.6,9.7,1.6,0.3,False,ExpressLane,High,2025-05-10
Hybrid Vehicles Product 011,254.7,6.6,5.3,1.4,False,Priority3,Medium,2025-05-11
Hybrid Vehicles Product 012,841.6,2.8,0.3,3.7,True,Aisle8,High,2025-05-12
Hybrid Vehicles Product 013,128.5,13.8,1.3,2.6,True,ZoneB,Low,2025-05-13
Hybrid Vehicles Product 014,286.9,4.8,5.3,4.1,True,Rack5,High,2025-05-14
Hybrid Vehicles Product 015,556.2,4.6,1.4,5.0,False,OverflowStorage,High,2025-05-15
Hybrid Vehicles Product 016,57.3,12.3,3.5,5.6,False,Aisle10,Medium,2025-05-16
Hybrid Vehicles Product 017,80.6,9.7,1.6,4.7,True,Seasonal,High,2025-05-17
Hybrid Vehicles Product 018,303.9,3.6,3.2,3.2,True,SmallItems,Low,2025-05-18
Hybrid Vehicles Product 019,464.5,0.5,4.7,2.4,False,Basement1,High,2025-05-19
Hybrid Vehicles Product 020,399.3,5.3,6.5,1.3,True,SmallItems,Medium,2025-05-20
Hybrid Vehicles Product 021,535.3,4.0,4.7,0.4,True,Aisle7,Medium,2025-05-21
Hybrid Vehicles Product 022,482.9,7.5,4.4,2.5,True,Floor2,Low,2025-05-22
Hybrid Vehicles Product 023,281.3,5.3,5.0,1.9,False,Aisle8,High,2025-05-23
Hybrid Vehicles Product 024,60.9,6.8,1.5,1.3,True,Basement1,High,2025-05-24
Hybrid Vehicles Product 025,125.5,8.0,3.1,0.5,True,Priority3,Low,2025-05-25
Hybrid Vehicles Product 026,577.3,10.4,5.2,4.6,True,Rack8,Medium,2025-05-26
Hybrid Vehicles Product 027,186.9,2.1,0.7,5.8,False,DryStorage,Medium,2025-05-27
Hybrid Vehicles Product 028,184.9,7.6,2.9,1.6,True,Rack3,High,2025-05-28
Hybrid Vehicles Product 029,234.9,12.5,0.9,3.6,False,Mezzanine4,Low,2025-05-29
Hybrid Vehicles Product 030,479.6,6.9,5.2,4.3,False,HighBay2,Low,2025-05-30
Hybrid Vehicles Product 031,391.1,8.5,0.4,0.2,False,ShelfArea5,Medium,2025-05-01
Hybrid Vehicles Product 032,206.8,1.9,3.1,2.8,False,ShelfArea1,High,2025-05-02
Hybrid Vehicles Product 033,239.0,2.7,0.5,0.3,False,SectionE,Low,2025-05-03
Hybrid Vehicles Product 034,274.5,7.8,2.3,1.7,True,HighBay4,High,2025-05-04
