Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Fuel Cells Product 001,181.5,4.0,1.3,4.5,False,SectionF,High,2025-05-01
Fuel Cells Product 002,302.5,1.8,5.6,2.0,True,SectionC,Low,2025-05-02
Fuel Cells Product 003,55.3,14.1,1.2,0.6,False,ManualStorage2,High,2025-05-03
Fuel Cells Product 004,665.3,6.5,5.3,0.7,True,Aisle5,Medium,2025-05-04
Fuel Cells Product 005,498.8,5.5,2.7,2.3,False,Floor4,Low,2025-05-05
Fuel Cells Product 006,381.6,5.7,0.5,5.0,False,LargeItems,Low,2025-05-06
Fuel Cells Product 007,31.2,1.2,6.7,2.7,True,Mezzanine4,High,2025-05-07
Fuel Cells Product 008,415.8,8.2,5.5,3.3,False,SmallItems,High,2025-05-08
Fuel Cells Product 009,257.7,1.0,3.6,0.7,False,LoadingDock2,Medium,2025-05-09
Fuel Cells Product 010,664.5,9.8,2.4,3.6,True,HazardousStorage,Low,2025-05-10
Fuel Cells Product 011,497.3,1.7,7.1,3.2,False,Mezzanine1,Medium,2025-05-11
Fuel Cells Product 012,415.3,0.8,1.1,1.2,False,PremiumLane,Low,2025-05-12
Fuel Cells Product 013,241.3,12.4,5.6,4.5,False,ShelfArea3,High,2025-05-13
Fuel Cells Product 014,394.6,1.3,5.4,3.1,True,Floor4,High,2025-05-14
Fuel Cells Product 015,246.3,0.3,4.3,4.1,False,Floor1,High,2025-05-15
Fuel Cells Product 016,267.9,4.9,1.3,3.7,True,ManualStorage1,Low,2025-05-16
Fuel Cells Product 017,379.4,3.8,0.9,1.8,True,SectionG,Medium,2025-05-17
Fuel Cells Product 018,280.4,5.1,7.3,0.6,True,Floor1,Low,2025-05-18
Fuel Cells Product 019,694.5,7.4,2.5,0.8,False,Rack9,High,2025-05-19
Fuel Cells Product 020,388.6,12.6,4.3,0.9,True,SectionA,High,2025-05-20
Fuel Cells Product 021,451.8,14.2,6.0,0.6,True,Mezzanine4,High,2025-05-21
Fuel Cells Product 022,500.3,2.2,1.8,4.2,False,ManualStorage3,Medium,2025-05-22
Fuel Cells Product 023,639.5,9.9,5.6,3.4,False,Aisle2,High,2025-05-23
Fuel Cells Product 024,443.2,4.4,4.8,0.8,False,Rack8,High,2025-05-24
Fuel Cells Product 025,532.9,2.1,6.9,5.1,False,AutomatedStorage4,Low,2025-05-25
Fuel Cells Product 026,235.3,1.9,2.7,0.5,False,ColdStorage,High,2025-05-26
Fuel Cells Product 027,253.8,12.6,4.1,2.4,False,BulkItems,High,2025-05-27
Fuel Cells Product 028,628.5,6.7,3.0,0.3,False,LoadingDock1,Medium,2025-05-28
Fuel Cells Product 029,535.3,2.0,4.0,1.9,True,StandardLane,Medium,2025-05-29
Fuel Cells Product 030,663.4,8.3,8.0,0.7,False,SectionE,Low,2025-05-30
Fuel Cells Product 031,19.8,0.7,5.2,1.0,False,Aisle3,Medium,2025-05-01
Fuel Cells Product 032,31.4,4.4,0.6,1.9,False,ZoneG,Medium,2025-05-02
Fuel Cells Product 033,383.6,13.7,3.8,1.1,False,HighBay3,High,2025-05-03
Fuel Cells Product 034,691.3,5.9,3.9,2.2,True,Aisle5,High,2025-05-04
Fuel Cells Product 035,403.5,4.9,4.2,3.3,False,HighBay5,Medium,2025-05-05
Fuel Cells Product 036,246.8,2.5,0.5,2.2,True,ZoneI,Low,2025-05-06
Fuel Cells Product 037,157.9,9.8,3.5,3.0,False,Aisle2,Medium,2025-05-07
Fuel Cells Product 038,420.4,7.8,0.7,2.7,True,ZoneJ,Low,2025-05-08
Fuel Cells Product 039,516.4,0.4,5.1,0.5,True,FragileItems,Low,2025-05-09
Fuel Cells Product 040,270.0,2.3,1.2,1.9,True,ZoneC,Medium,2025-05-10
Fuel Cells Product 041,227.7,10.1,3.4,2.9,False,DryStorage,Low,2025-05-11
Fuel Cells Product 042,500.4,11.7,1.7,5.3,True,HighBay4,High,2025-05-12
Fuel Cells Product 043,217.6,9.4,2.2,4.6,True,ZoneI,High,2025-05-13
Fuel Cells Product 044,424.7,0.3,6.1,2.3,True,ZoneH,High,2025-05-14
Fuel Cells Product 045,28.3,5.3,3.1,4.5,False,LightItems,Medium,2025-05-15
Fuel Cells Product 046,420.5,10.4,3.0,3.7,True,Priority1,Low,2025-05-16
Fuel Cells Product 047,71.3,5.1,1.4,2.0,True,Priority4,High,2025-05-17
Fuel Cells Product 048,301.3,11.5,5.3,4.4,False,Rack3,Low,2025-05-18
Fuel Cells Product 049,392.7,6.6,4.0,2.4,False,AutomatedStorage2,Low,2025-05-19
Fuel Cells Product 050,120.9,8.3,5.5,2.0,True,Basement5,High,2025-05-20
Fuel Cells Product 051,111.1,7.2,3.2,1.0,True,Floor4,Medium,2025-05-21
Fuel Cells Product 052,48.9,9.4,5.7,1.4,True,AutomatedStorage5,High,2025-05-22
Fuel Cells Product 053,187.8,3.1,4.3,4.5,True,Rack6,Medium,2025-05-23
Fuel Cells Product 054,303.0,13.0,2.1,4.5,False,Aisle4,Medium,2025-05-24
