Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Nuclear Energy Product 001,282.3,5.3,4.8,0.2,False,Aisle1,Low,2025-05-01
Nuclear Energy Product 002,760.7,3.8,5.3,3.5,False,ShippingArea,Medium,2025-05-02
Nuclear Energy Product 003,480.6,1.5,7.7,4.9,True,Aisle3,Low,2025-05-03
Nuclear Energy Product 004,429.3,7.5,2.9,3.5,False,Aisle4,High,2025-05-04
Nuclear Energy Product 005,374.2,12.9,0.8,5.8,True,Rack9,Medium,2025-05-05
Nuclear Energy Product 006,477.8,6.9,1.9,0.3,True,PalletArea5,Low,2025-05-06
Nuclear Energy Product 007,406.4,8.2,1.3,3.5,True,Aisle7,Low,2025-05-07
Nuclear Energy Product 008,323.4,0.4,3.8,1.8,True,Aisle7,High,2025-05-08
Nuclear Energy Product 009,471.4,3.8,3.7,3.9,False,HighBay2,High,2025-05-09
Nuclear Energy Product 010,379.3,11.7,6.4,2.5,True,PalletArea5,High,2025-05-10
Nuclear Energy Product 011,388.2,4.8,2.2,1.5,True,Floor3,High,2025-05-11
Nuclear Energy Product 012,21.4,8.7,1.4,2.6,True,Rack2,High,2025-05-12
Nuclear Energy Product 013,310.7,2.8,6.5,3.2,True,OverflowLane,High,2025-05-13
Nuclear Energy Product 014,136.5,5.4,6.9,3.2,True,HeavyItems,High,2025-05-14
Nuclear Energy Product 015,268.4,9.2,6.4,5.3,False,Aisle10,Medium,2025-05-15
Nuclear Energy Product 016,741.6,5.1,3.8,0.8,True,Floor3,Low,2025-05-16
Nuclear Energy Product 017,186.8,7.9,6.3,2.3,False,SmallItemStorage,High,2025-05-17
Nuclear Energy Product 018,26.3,3.0,6.5,4.8,True,ZoneB,Medium,2025-05-18
Nuclear Energy Product 019,17.7,4.9,5.3,0.7,True,ZoneI,High,2025-05-19
Nuclear Energy Product 020,177.8,5.6,3.3,0.9,True,Aisle2,High,2025-05-20
Nuclear Energy Product 021,251.0,1.3,2.9,2.1,True,HeavyItems,Medium,2025-05-21
Nuclear Energy Product 022,555.1,2.8,1.5,2.2,False,Rack8,Low,2025-05-22
Nuclear Energy Product 023,274.5,5.9,4.7,2.5,False,Mezzanine5,Low,2025-05-23
Nuclear Energy Product 024,98.0,10.4,2.2,0.4,False,Floor2,Medium,2025-05-24
Nuclear Energy Product 025,28.5,15.4,6.2,1.6,True,Aisle5,Medium,2025-05-25
