Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Geothermal Energy Product 001,245.5,3.0,0.8,0.9,False,Priority4,Medium,2025-05-01
Geothermal Energy Product 002,485.9,16.7,1.3,0.3,True,PalletArea5,Low,2025-05-02
Geothermal Energy Product 003,127.8,3.6,2.8,1.5,True,ManualStorage3,Medium,2025-05-03
Geothermal Energy Product 004,534.6,5.7,4.8,3.5,True,PalletArea2,High,2025-05-04
Geothermal Energy Product 005,771.3,0.2,3.3,1.4,True,ZoneE,Low,2025-05-05
Geothermal Energy Product 006,467.9,6.4,4.2,3.6,False,AutomatedStorage5,Low,2025-05-06
Geothermal Energy Product 007,522.0,7.7,1.0,0.8,False,ZoneF,High,2025-05-07
Geothermal Energy Product 008,453.2,5.8,6.8,0.3,False,Mezzanine3,Low,2025-05-08
Geothermal Energy Product 009,167.3,8.4,6.5,4.2,True,ZoneA,Medium,2025-05-09
Geothermal Energy Product 010,376.8,1.9,6.7,3.0,True,Aisle2,High,2025-05-10
Geothermal Energy Product 011,107.7,7.9,2.3,5.9,False,EconomyLane,Low,2025-05-11
Geothermal Energy Product 012,284.4,1.7,4.0,0.9,False,Aisle2,Low,2025-05-12
Geothermal Energy Product 013,376.1,7.4,4.0,1.0,True,ZoneJ,Medium,2025-05-13
Geothermal Energy Product 014,623.4,3.4,2.8,0.9,True,Aisle1,Low,2025-05-14
Geothermal Energy Product 015,460.2,0.4,4.1,0.4,True,BulkItems,Low,2025-05-15
Geothermal Energy Product 016,246.9,7.1,0.6,3.2,True,ManualStorage1,Low,2025-05-16
Geothermal Energy Product 017,110.7,5.2,1.0,0.2,False,ReceivingArea,Medium,2025-05-17
Geothermal Energy Product 018,471.2,7.9,2.0,3.2,True,Priority1,High,2025-05-18
Geothermal Energy Product 019,310.8,14.1,0.8,3.2,False,Mezzanine3,High,2025-05-19
Geothermal Energy Product 020,155.7,12.9,1.7,2.9,False,Mezzanine2,Low,2025-05-20
