Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Biomass Energy Product 001,374.0,8.5,1.8,0.7,False,LightItems,Medium,2025-05-01
Biomass Energy Product 002,259.1,10.7,0.3,1.7,True,ZoneH,High,2025-05-02
Biomass Energy Product 003,4.4,1.0,5.0,3.7,True,HeavyItems,High,2025-05-03
Biomass Energy Product 004,129.9,3.7,3.2,4.5,True,ShelfArea1,High,2025-05-04
Biomass Energy Product 005,486.5,0.8,0.7,2.7,True,ZoneG,Medium,2025-05-05
Biomass Energy Product 006,174.3,12.2,5.2,3.4,True,StandardLane,Low,2025-05-06
Biomass Energy Product 007,440.7,15.2,6.5,3.2,False,SlowMoving,Medium,2025-05-07
Biomass Energy Product 008,224.0,5.0,1.2,1.9,False,Floor5,Medium,2025-05-08
Biomass Energy Product 009,262.1,10.7,5.5,5.1,True,Aisle10,High,2025-05-09
Biomass Energy Product 010,256.7,2.4,1.5,1.8,False,Aisle4,Medium,2025-05-10
Biomass Energy Product 011,139.0,10.9,3.8,2.9,False,Priority2,Medium,2025-05-11
Biomass Energy Product 012,745.6,2.4,2.4,3.8,False,LightItems,Low,2025-05-12
Biomass Energy Product 013,113.9,1.5,5.5,1.7,False,HighBay3,Medium,2025-05-13
Biomass Energy Product 014,251.2,4.8,4.4,1.1,True,PalletArea4,Medium,2025-05-14
Biomass Energy Product 015,5.8,5.6,2.1,1.4,True,QualityControl,High,2025-05-15
Biomass Energy Product 016,419.7,0.6,3.8,1.0,True,Rack10,Low,2025-05-16
Biomass Energy Product 017,67.3,4.8,4.3,0.9,False,ZoneA,Medium,2025-05-17
Biomass Energy Product 018,364.1,6.9,3.5,0.4,False,ManualStorage4,Medium,2025-05-18
Biomass Energy Product 019,369.6,9.1,3.7,3.0,True,OverflowStorage,High,2025-05-19
Biomass Energy Product 020,139.6,1.8,7.1,3.2,True,ZoneJ,Medium,2025-05-20
Biomass Energy Product 021,358.0,4.9,2.4,0.5,False,ManualStorage5,Low,2025-05-21
Biomass Energy Product 022,46.6,6.0,4.3,4.4,False,ShelfArea3,Low,2025-05-22
Biomass Energy Product 023,196.1,3.3,0.4,1.4,True,ShelfArea3,Low,2025-05-23
Biomass Energy Product 024,100.6,1.8,2.8,5.5,True,FragileItems,High,2025-05-24
Biomass Energy Product 025,494.3,5.0,3.2,1.4,True,AutomatedStorage3,High,2025-05-25
Biomass Energy Product 026,468.4,13.4,3.9,4.3,False,OverflowStorage,Medium,2025-05-26
Biomass Energy Product 027,167.1,6.8,3.5,2.5,True,BulkItems,High,2025-05-27
Biomass Energy Product 028,484.2,2.1,6.4,0.6,True,DryStorage,Low,2025-05-28
Biomass Energy Product 029,430.6,14.5,0.3,4.7,False,ManualStorage3,Medium,2025-05-29
