Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Tidal Energy Product 001,226.9,5.4,2.7,5.1,False,ZoneE,Medium,2025-06-01
Tidal Energy Product 002,384.5,4.4,5.4,3.3,True,PalletArea4,High,2025-06-02
Tidal Energy Product 003,105.2,5.9,2.0,4.0,True,LoadingDock1,Medium,2025-06-03
Tidal Energy Product 004,157.7,1.5,4.2,2.5,False,EconomyLane,High,2025-06-04
Tidal Energy Product 005,343.5,10.1,6.0,4.5,True,Priority1,Medium,2025-06-05
Tidal Energy Product 006,730.3,5.0,1.9,0.8,True,SmallItemStorage,Medium,2025-06-06
Tidal Energy Product 007,588.8,7.5,1.3,4.0,False,Floor2,Medium,2025-06-07
Tidal Energy Product 008,146.0,2.3,4.1,6.0,False,Priority1,High,2025-06-08
Tidal Energy Product 009,795.9,4.3,5.9,4.8,False,ManualStorage2,Medium,2025-06-09
Tidal Energy Product 010,484.3,1.2,2.4,2.9,False,ShelfArea5,Medium,2025-06-10
Tidal Energy Product 011,148.7,12.0,6.2,2.3,False,ShelfArea4,High,2025-06-11
Tidal Energy Product 012,49.5,8.6,2.7,2.4,False,ManualStorage4,Medium,2025-06-12
Tidal Energy Product 013,667.7,8.7,1.3,2.2,False,Priority1,Medium,2025-06-13
Tidal Energy Product 014,369.4,11.4,6.7,6.1,True,BulkItems,Low,2025-06-14
Tidal Energy Product 015,472.7,11.7,4.4,2.0,False,Mezzanine5,Medium,2025-06-15
Tidal Energy Product 016,185.7,7.7,0.4,1.7,False,SectionG,High,2025-06-16
Tidal Energy Product 017,575.4,2.2,7.7,3.7,True,Seasonal,High,2025-06-17
Tidal Energy Product 018,389.8,7.0,1.2,1.6,False,ShelfArea3,High,2025-06-18
Tidal Energy Product 019,123.5,1.7,5.7,1.6,True,ShelfArea2,Medium,2025-06-19
Tidal Energy Product 020,143.2,3.3,5.1,3.6,False,LoadingDock5,Medium,2025-06-20
Tidal Energy Product 021,65.7,7.4,2.9,1.6,True,ShelfArea2,Medium,2025-06-21
Tidal Energy Product 022,234.2,9.0,2.6,2.5,False,PalletArea3,Low,2025-06-22
Tidal Energy Product 023,347.7,9.0,3.8,0.9,False,Aisle10,Low,2025-06-23
Tidal Energy Product 024,195.5,0.3,2.2,2.9,False,FragileItems,High,2025-06-24
Tidal Energy Product 025,10.0,14.8,0.5,1.5,True,Mezzanine5,Medium,2025-06-25
Tidal Energy Product 026,101.0,1.2,1.1,2.5,True,Seasonal,Low,2025-06-26
Tidal Energy Product 027,274.6,2.6,5.9,1.0,True,HeavyItems,Low,2025-06-27
Tidal Energy Product 028,443.6,8.5,3.5,0.9,False,LoadingDock5,Low,2025-06-28
