Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Wave Energy Product 001,417.8,10.6,5.6,3.5,True,BulkItems,Low,2025-06-01
Wave Energy Product 002,584.5,9.0,3.2,1.8,False,ZoneD,High,2025-06-02
Wave Energy Product 003,143.9,1.6,2.1,5.8,False,FragileItems,Medium,2025-06-03
Wave Energy Product 004,137.8,1.2,3.1,2.2,True,Rack3,Medium,2025-06-04
Wave Energy Product 005,113.2,10.8,1.3,4.3,True,ShelfArea2,Low,2025-06-05
Wave Energy Product 006,100.1,9.2,4.3,3.9,False,ZoneA,High,2025-06-06
Wave Energy Product 007,748.3,6.6,0.9,3.7,False,ZoneJ,Low,2025-06-07
Wave Energy Product 008,720.3,11.5,0.8,1.6,False,Aisle7,Medium,2025-06-08
Wave Energy Product 009,246.5,4.3,1.7,3.8,False,LoadingDock4,High,2025-06-09
Wave Energy Product 010,561.6,1.5,3.6,3.8,True,DryStorage,Low,2025-06-10
Wave Energy Product 011,409.4,9.3,1.5,3.6,True,Basement4,Low,2025-06-11
Wave Energy Product 012,246.5,1.6,4.3,4.0,False,Priority4,High,2025-06-12
Wave Energy Product 013,550.8,6.9,3.7,2.4,False,BulkItems,High,2025-06-13
Wave Energy Product 014,280.6,4.1,5.5,2.9,False,Rack9,Low,2025-06-14
Wave Energy Product 015,376.4,3.6,1.4,2.8,True,Floor5,Low,2025-06-15
Wave Energy Product 016,644.5,4.9,2.5,2.8,False,HighBay2,High,2025-06-16
Wave Energy Product 017,371.9,4.3,4.9,6.0,False,DryStorage,High,2025-06-17
Wave Energy Product 018,14.5,4.5,2.2,3.8,False,Basement2,Low,2025-06-18
Wave Energy Product 019,677.7,15.5,4.0,2.6,True,Aisle1,High,2025-06-19
Wave Energy Product 020,413.0,2.8,3.6,3.6,False,Priority4,High,2025-06-20
Wave Energy Product 021,132.7,5.1,4.3,5.2,False,Rack10,Medium,2025-06-21
Wave Energy Product 022,32.8,14.9,4.8,2.6,True,SlowMoving,Low,2025-06-22
