Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Space Technology Product 001,351.6,7.7,3.2,2.7,False,MediumItems,Low,2025-06-01
Space Technology Product 002,64.3,0.6,3.2,5.0,True,ZoneG,High,2025-06-02
Space Technology Product 003,548.8,12.2,3.2,1.1,False,Rack4,Medium,2025-06-03
Space Technology Product 004,566.1,2.0,4.1,1.7,False,PalletArea3,Medium,2025-06-04
Space Technology Product 005,319.1,5.5,1.2,3.3,False,Rack3,Medium,2025-06-05
Space Technology Product 006,197.3,4.3,2.6,2.8,True,ManualStorage2,High,2025-06-06
Space Technology Product 007,297.8,8.0,3.0,1.8,True,ManualStorage3,Low,2025-06-07
Space Technology Product 008,239.8,2.9,6.1,2.9,False,ZoneF,Medium,2025-06-08
Space Technology Product 009,146.6,6.4,0.6,1.4,True,ManualStorage1,Medium,2025-06-09
Space Technology Product 010,312.8,16.8,2.6,2.1,False,Rack7,Medium,2025-06-10
Space Technology Product 011,261.6,3.8,2.2,5.2,False,ManualStorage5,Low,2025-06-11
Space Technology Product 012,105.5,10.2,3.0,3.5,False,LoadingDock4,Medium,2025-06-12
Space Technology Product 013,332.4,9.4,7.2,1.3,True,Rack6,Low,2025-06-13
Space Technology Product 014,229.8,2.9,2.4,0.3,False,Basement5,High,2025-06-14
Space Technology Product 015,641.4,13.3,3.0,2.1,False,Floor4,High,2025-06-15
Space Technology Product 016,453.8,4.7,6.6,0.9,True,FastMoving,Low,2025-06-16
Space Technology Product 017,463.9,4.9,1.4,2.7,False,StandardLane,High,2025-06-17
Space Technology Product 018,627.5,11.5,4.4,3.4,True,Aisle2,High,2025-06-18
Space Technology Product 019,221.8,11.3,0.9,0.3,False,LoadingDock4,High,2025-06-19
Space Technology Product 020,816.5,5.6,3.7,1.2,False,LoadingDock4,Low,2025-06-20
Space Technology Product 021,28.0,9.9,5.3,0.7,False,HighBay4,Medium,2025-06-21
Space Technology Product 022,407.3,13.5,4.4,5.2,False,Floor1,High,2025-06-22
Space Technology Product 023,121.5,5.9,1.5,2.2,True,Priority1,Low,2025-06-23
Space Technology Product 024,365.5,11.1,0.7,1.4,False,SectionH,Low,2025-06-24
Space Technology Product 025,249.6,7.4,2.1,3.8,False,SectionH,Medium,2025-06-25
Space Technology Product 026,58.7,1.4,4.4,2.3,True,ZoneE,Low,2025-06-26
Space Technology Product 027,677.3,4.5,1.5,4.4,True,Rack10,Medium,2025-06-27
Space Technology Product 028,237.2,1.5,3.0,4.0,True,ManualStorage5,Low,2025-06-28
Space Technology Product 029,348.1,5.3,7.1,2.9,False,Rack6,Medium,2025-06-29
Space Technology Product 030,159.8,1.4,5.3,2.2,False,PalletArea4,Low,2025-06-30
Space Technology Product 031,383.0,2.3,2.8,1.5,False,Rack2,Medium,2025-06-01
Space Technology Product 032,114.8,11.0,0.7,5.4,False,Rack2,High,2025-06-02
Space Technology Product 033,313.3,5.0,5.4,4.1,False,Mezzanine3,Medium,2025-06-03
Space Technology Product 034,636.4,10.8,1.5,3.7,True,ManualStorage1,Medium,2025-06-04
Space Technology Product 035,77.8,4.4,0.4,5.0,False,Seasonal,High,2025-06-05
Space Technology Product 036,343.4,11.7,4.2,2.5,False,ManualStorage3,High,2025-06-06
Space Technology Product 037,136.8,3.5,2.0,0.4,True,SectionH,Medium,2025-06-07
Space Technology Product 038,534.4,8.2,4.5,1.8,False,Mezzanine1,Low,2025-06-08
Space Technology Product 039,185.2,0.3,5.0,2.9,True,ManualStorage2,Medium,2025-06-09
Space Technology Product 040,591.4,4.1,6.2,3.6,False,ZoneJ,High,2025-06-10
Space Technology Product 041,29.4,8.8,0.7,3.4,False,SectionF,High,2025-06-11
Space Technology Product 042,464.4,8.5,0.9,2.3,False,Mezzanine4,High,2025-06-12
Space Technology Product 043,108.9,8.6,2.1,3.8,False,LoadingDock4,Medium,2025-06-13
