Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Satellite Technology Product 001,269.7,8.2,1.3,3.4,True,PalletArea1,High,2025-06-01
Satellite Technology Product 002,144.6,6.2,1.5,4.2,False,ReturnsArea,Medium,2025-06-02
Satellite Technology Product 003,323.8,3.6,0.7,0.7,False,HighBay3,Medium,2025-06-03
Satellite Technology Product 004,663.9,7.4,2.4,5.8,False,Rack5,Medium,2025-06-04
Satellite Technology Product 005,289.1,12.6,0.7,1.4,False,Floor4,Medium,2025-06-05
Satellite Technology Product 006,778.8,8.2,5.4,5.1,False,Aisle5,Medium,2025-06-06
Satellite Technology Product 007,116.4,1.7,4.6,3.3,True,ShelfArea2,Medium,2025-06-07
Satellite Technology Product 008,322.2,3.4,0.9,5.8,False,ShelfArea4,High,2025-06-08
Satellite Technology Product 009,513.0,7.7,3.6,3.8,False,ShelfArea1,Low,2025-06-09
Satellite Technology Product 010,490.8,0.6,3.5,0.8,False,Rack5,High,2025-06-10
Satellite Technology Product 011,497.9,4.8,1.2,4.3,True,Priority3,High,2025-06-11
Satellite Technology Product 012,137.5,0.7,1.7,1.6,False,Rack2,Medium,2025-06-12
Satellite Technology Product 013,41.5,2.4,7.7,0.6,False,Aisle8,High,2025-06-13
Satellite Technology Product 014,451.8,0.5,1.6,3.3,False,SectionE,High,2025-06-14
Satellite Technology Product 015,495.1,5.9,5.2,4.7,False,AutomatedStorage1,High,2025-06-15
Satellite Technology Product 016,25.5,8.7,5.1,2.8,False,Floor3,High,2025-06-16
Satellite Technology Product 017,446.8,5.9,3.8,5.0,False,LoadingDock2,Medium,2025-06-17
Satellite Technology Product 018,581.8,11.6,0.5,2.2,True,Rack4,Low,2025-06-18
Satellite Technology Product 019,49.8,2.7,5.9,3.1,False,Seasonal,Medium,2025-06-19
Satellite Technology Product 020,558.8,5.8,7.6,1.7,True,AutomatedStorage3,Low,2025-06-20
Satellite Technology Product 021,26.0,12.4,2.7,2.8,True,LoadingDock5,High,2025-06-21
Satellite Technology Product 022,235.6,0.5,4.4,1.8,True,ShelfArea1,High,2025-06-22
Satellite Technology Product 023,320.1,3.3,0.8,6.0,False,OverflowLane,Medium,2025-06-23
Satellite Technology Product 024,274.0,2.1,1.6,2.5,False,Rack2,High,2025-06-24
Satellite Technology Product 025,151.1,0.9,6.8,5.1,True,Aisle3,Low,2025-06-25
Satellite Technology Product 026,178.2,5.7,2.3,0.5,True,LargeItems,High,2025-06-26
Satellite Technology Product 027,56.0,2.1,4.0,2.9,True,ShelfArea2,Low,2025-06-27
Satellite Technology Product 028,703.7,6.1,4.8,3.3,True,SectionB,Low,2025-06-28
Satellite Technology Product 029,417.6,3.5,3.9,1.1,False,BulkItems,Medium,2025-06-29
Satellite Technology Product 030,146.8,11.2,7.5,1.6,True,Priority5,High,2025-06-30
Satellite Technology Product 031,338.1,2.1,4.2,3.8,True,SectionB,High,2025-06-01
Satellite Technology Product 032,502.9,0.6,2.8,0.7,False,Rack10,High,2025-06-02
