Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Missile Technology Product 001,4.4,1.5,3.4,0.4,True,LoadingDock3,High,2025-06-01
Missile Technology Product 002,404.9,10.1,0.9,4.0,True,Aisle8,High,2025-06-02
Missile Technology Product 003,434.5,4.8,0.7,3.7,True,SectionF,Medium,2025-06-03
Missile Technology Product 004,203.3,9.9,5.6,5.6,True,Aisle7,Low,2025-06-04
Missile Technology Product 005,392.0,1.2,4.8,1.0,True,LoadingDock3,High,2025-06-05
Missile Technology Product 006,739.4,4.3,6.2,5.5,False,ReceivingArea,Medium,2025-06-06
Missile Technology Product 007,645.5,1.9,2.5,3.7,True,HighBay2,Medium,2025-06-07
Missile Technology Product 008,343.4,5.9,7.4,1.7,False,QualityControl,Medium,2025-06-08
Missile Technology Product 009,341.3,2.3,2.9,3.0,True,ManualStorage2,Medium,2025-06-09
Missile Technology Product 010,750.8,2.5,2.6,4.1,True,QualityControl,Low,2025-06-10
Missile Technology Product 011,440.9,12.7,4.4,3.9,False,Mezzanine4,High,2025-06-11
Missile Technology Product 012,432.6,5.4,5.9,3.5,True,PalletArea2,High,2025-06-12
Missile Technology Product 013,132.5,1.4,2.1,1.0,True,ShelfArea5,Medium,2025-06-13
Missile Technology Product 014,72.6,15.6,5.1,1.7,True,Aisle10,High,2025-06-14
Missile Technology Product 015,530.0,5.6,5.6,1.8,True,PalletArea1,Low,2025-06-15
Missile Technology Product 016,22.5,2.3,2.8,4.6,False,ManualStorage2,High,2025-06-16
Missile Technology Product 017,31.6,7.5,6.7,3.6,False,Rack8,High,2025-06-17
Missile Technology Product 018,89.8,8.8,3.9,4.3,True,ZoneB,High,2025-06-18
Missile Technology Product 019,568.9,4.8,0.8,0.9,True,ShelfArea5,High,2025-06-19
Missile Technology Product 020,599.1,13.1,1.6,3.2,False,SectionH,Low,2025-06-20
Missile Technology Product 021,137.2,8.7,3.9,4.4,False,Floor5,High,2025-06-21
Missile Technology Product 022,262.4,4.5,4.9,2.3,False,HighBay5,High,2025-06-22
Missile Technology Product 023,616.8,6.8,1.3,0.8,False,OverflowStorage,Medium,2025-06-23
Missile Technology Product 024,597.4,15.2,1.1,1.9,False,ZoneF,High,2025-06-24
Missile Technology Product 025,20.6,6.0,2.6,2.7,False,Aisle10,Medium,2025-06-25
Missile Technology Product 026,55.3,10.2,2.6,0.5,True,ColdStorage,High,2025-06-26
Missile Technology Product 027,241.3,0.6,2.0,1.4,True,Basement3,High,2025-06-27
Missile Technology Product 028,263.7,11.7,3.0,2.2,False,ZoneJ,High,2025-06-28
Missile Technology Product 029,336.6,0.7,7.9,3.4,False,PalletArea4,High,2025-06-29
Missile Technology Product 030,490.7,3.2,2.8,0.7,False,QualityControl,Low,2025-06-30
Missile Technology Product 031,110.4,4.4,6.6,1.8,True,FragileItems,Medium,2025-06-01
Missile Technology Product 032,272.4,5.9,3.0,0.3,False,Aisle8,Medium,2025-06-02
Missile Technology Product 033,430.2,15.2,3.5,1.4,False,HeavyItems,Low,2025-06-03
Missile Technology Product 034,540.7,5.7,5.0,4.2,True,ZoneG,Medium,2025-06-04
Missile Technology Product 035,225.9,8.3,4.9,1.5,False,Priority5,Medium,2025-06-05
Missile Technology Product 036,529.5,1.5,1.1,2.9,False,Rack4,Medium,2025-06-06
Missile Technology Product 037,339.8,4.4,2.2,3.6,False,Rack2,Low,2025-06-07
Missile Technology Product 038,622.9,8.3,2.2,4.4,True,Priority1,High,2025-06-08
Missile Technology Product 039,530.7,6.8,2.3,3.0,False,LightItems,Medium,2025-06-09
Missile Technology Product 040,499.0,13.2,5.2,2.9,False,Aisle1,High,2025-06-10
Missile Technology Product 041,305.1,3.8,1.6,0.9,True,Priority3,High,2025-06-11
Missile Technology Product 042,393.6,3.2,3.5,0.3,True,Mezzanine5,High,2025-06-12
Missile Technology Product 043,9.1,10.7,1.2,2.2,False,SectionG,Low,2025-06-13
Missile Technology Product 044,534.6,4.1,7.8,3.4,True,SectionH,Medium,2025-06-14
Missile Technology Product 045,419.8,12.3,4.4,2.6,False,ColdStorage,Medium,2025-06-15
Missile Technology Product 046,250.2,2.4,2.5,3.6,True,Priority4,Low,2025-06-16
Missile Technology Product 047,418.4,6.2,3.4,2.5,True,HighBay4,Medium,2025-06-17
Missile Technology Product 048,25.3,2.0,6.1,0.6,False,ShelfArea5,High,2025-06-18
Missile Technology Product 049,177.2,11.3,6.7,0.4,False,Rack3,Medium,2025-06-19
Missile Technology Product 050,460.0,10.4,4.8,0.2,True,LoadingDock4,Low,2025-06-20
Missile Technology Product 051,175.3,2.8,4.5,2.3,True,ZoneA,Low,2025-06-21
Missile Technology Product 052,284.0,0.7,1.3,0.7,False,SectionB,High,2025-06-22
Missile Technology Product 053,221.2,4.7,5.0,2.5,False,QualityControl,High,2025-06-23
Missile Technology Product 054,486.4,14.8,7.3,2.6,False,Seasonal,Medium,2025-06-24
Missile Technology Product 055,422.1,10.1,6.7,4.0,False,SlowMoving,Medium,2025-06-25
Missile Technology Product 056,6.8,15.1,3.5,0.5,False,ZoneI,Medium,2025-06-26
Missile Technology Product 057,225.0,2.2,1.5,0.4,True,Mezzanine5,High,2025-06-27
Missile Technology Product 058,278.6,7.6,5.4,2.5,True,Priority2,Low,2025-06-28
Missile Technology Product 059,728.2,3.5,3.2,0.6,False,ZoneI,Medium,2025-06-29
Missile Technology Product 060,89.7,1.9,4.9,1.7,True,SectionE,Medium,2025-06-30
