Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Aircraft Technology Product 001,83.0,9.0,1.1,1.5,False,PremiumLane,Low,2025-06-01
Aircraft Technology Product 002,250.6,9.1,4.0,6.1,False,PalletArea1,High,2025-06-02
Aircraft Technology Product 003,280.2,15.4,6.3,1.7,False,PalletArea5,Low,2025-06-03
Aircraft Technology Product 004,273.8,10.2,5.0,3.4,False,HighBay1,Low,2025-06-04
Aircraft Technology Product 005,146.8,0.6,3.1,0.9,False,LoadingDock4,High,2025-06-05
Aircraft Technology Product 006,343.1,9.7,1.3,6.3,True,SectionH,Medium,2025-06-06
Aircraft Technology Product 007,256.9,0.8,0.3,5.0,False,PremiumLane,High,2025-06-07
Aircraft Technology Product 008,420.0,1.2,0.5,4.8,True,SmallItemStorage,Low,2025-06-08
Aircraft Technology Product 009,278.0,7.4,2.6,2.8,True,Rack8,Low,2025-06-09
Aircraft Technology Product 010,237.9,4.5,3.2,4.5,False,ZoneI,High,2025-06-10
Aircraft Technology Product 011,731.8,2.8,0.3,3.9,True,Priority4,High,2025-06-11
Aircraft Technology Product 012,495.6,3.3,2.0,3.9,True,Rack10,Medium,2025-06-12
Aircraft Technology Product 013,639.1,7.3,7.7,3.5,False,Aisle3,Low,2025-06-13
Aircraft Technology Product 014,32.7,2.3,4.9,1.7,True,SmallItemStorage,Low,2025-06-14
Aircraft Technology Product 015,527.5,12.7,4.0,3.3,True,ColdStorage,Medium,2025-06-15
Aircraft Technology Product 016,42.7,9.2,3.1,0.7,True,ZoneI,Medium,2025-06-16
Aircraft Technology Product 017,31.3,2.9,5.6,1.4,True,LoadingDock3,High,2025-06-17
Aircraft Technology Product 018,426.6,9.8,3.9,3.6,True,Mezzanine2,High,2025-06-18
Aircraft Technology Product 019,442.5,10.5,6.9,4.4,False,Aisle3,High,2025-06-19
Aircraft Technology Product 020,505.5,5.9,1.9,2.2,True,Priority4,Medium,2025-06-20
Aircraft Technology Product 021,702.1,7.2,2.2,1.0,False,Aisle4,Low,2025-06-21
Aircraft Technology Product 022,189.3,8.5,7.3,0.5,False,ZoneF,Medium,2025-06-22
Aircraft Technology Product 023,264.5,5.0,7.4,1.0,True,Rack7,Low,2025-06-23
Aircraft Technology Product 024,99.1,7.8,1.1,1.9,False,HeavyItems,Medium,2025-06-24
Aircraft Technology Product 025,405.9,4.5,5.3,2.9,True,Aisle2,Medium,2025-06-25
Aircraft Technology Product 026,299.7,9.9,3.2,3.2,True,ShelfArea2,Low,2025-06-26
Aircraft Technology Product 027,426.4,6.3,5.9,0.6,True,HeavyItems,High,2025-06-27
Aircraft Technology Product 028,490.4,9.6,1.7,1.8,True,ShelfArea1,Medium,2025-06-28
Aircraft Technology Product 029,200.2,9.8,5.7,2.4,False,ManualStorage1,Low,2025-06-29
Aircraft Technology Product 030,455.3,5.6,1.8,1.8,True,HighBay2,Low,2025-06-30
Aircraft Technology Product 031,424.6,12.0,1.3,1.8,False,HighBay4,Medium,2025-06-01
Aircraft Technology Product 032,574.5,10.7,6.6,3.7,True,Rack9,Low,2025-06-02
Aircraft Technology Product 033,141.9,11.6,0.9,4.1,False,PremiumLane,High,2025-06-03
Aircraft Technology Product 034,137.3,11.8,1.3,1.8,False,ShippingArea,Low,2025-06-04
Aircraft Technology Product 035,140.7,0.5,1.9,3.5,False,AutomatedStorage3,Low,2025-06-05
Aircraft Technology Product 036,118.9,1.6,0.9,2.9,False,Seasonal,High,2025-06-06
Aircraft Technology Product 037,253.4,13.1,0.9,4.2,False,ShelfArea2,High,2025-06-07
Aircraft Technology Product 038,536.0,4.5,6.8,1.8,False,ShelfArea3,Medium,2025-06-08
Aircraft Technology Product 039,434.5,9.9,2.8,1.8,False,AutomatedStorage3,High,2025-06-09
Aircraft Technology Product 040,712.1,0.7,2.0,3.8,True,ZoneF,Low,2025-06-10
Aircraft Technology Product 041,188.5,1.9,3.0,1.3,True,ZoneG,Medium,2025-06-11
Aircraft Technology Product 042,58.9,8.4,3.0,3.0,False,HighBay4,Low,2025-06-12
Aircraft Technology Product 043,622.8,9.9,2.7,0.7,False,HighBay3,High,2025-06-13
Aircraft Technology Product 044,142.9,6.4,4.9,1.4,False,ColdStorage,Low,2025-06-14
Aircraft Technology Product 045,360.4,5.5,5.2,3.2,True,HazardousStorage,Low,2025-06-15
Aircraft Technology Product 046,123.8,5.1,0.6,2.9,True,ZoneB,Low,2025-06-16
Aircraft Technology Product 047,223.2,12.6,1.0,3.9,False,Aisle9,Low,2025-06-17
Aircraft Technology Product 048,231.3,8.2,0.5,4.6,True,PalletArea4,High,2025-06-18
Aircraft Technology Product 049,47.8,9.6,5.1,2.5,False,LoadingDock1,Medium,2025-06-19
Aircraft Technology Product 050,106.3,7.3,3.4,0.3,True,Rack6,High,2025-06-20
Aircraft Technology Product 051,639.9,6.5,4.1,3.7,False,ManualStorage3,Low,2025-06-21
Aircraft Technology Product 052,573.3,2.4,2.8,1.6,True,LoadingDock2,Medium,2025-06-22
Aircraft Technology Product 053,259.6,13.5,2.7,2.7,False,Aisle7,High,2025-06-23
Aircraft Technology Product 054,227.9,3.0,3.7,5.1,False,Mezzanine1,Medium,2025-06-24
Aircraft Technology Product 055,60.3,2.0,5.4,3.2,True,SectionG,Low,2025-06-25
Aircraft Technology Product 056,324.5,5.1,2.8,6.3,False,SectionE,Low,2025-06-26
Aircraft Technology Product 057,762.7,6.7,5.8,0.3,True,ZoneH,Medium,2025-06-27
Aircraft Technology Product 058,231.3,12.7,6.2,1.7,False,HighBay3,Medium,2025-06-28
Aircraft Technology Product 059,286.5,8.7,4.6,0.8,True,PalletArea1,Low,2025-06-29
Aircraft Technology Product 060,47.8,3.1,4.0,1.7,False,DryStorage,High,2025-06-30
Aircraft Technology Product 061,311.3,13.8,5.6,0.4,True,HighBay5,Low,2025-06-01
Aircraft Technology Product 062,444.6,5.8,1.1,5.8,True,AutomatedStorage5,Medium,2025-06-02
Aircraft Technology Product 063,821.2,13.9,5.6,0.5,True,Rack3,High,2025-06-03
Aircraft Technology Product 064,570.0,13.9,0.4,5.5,False,Floor2,Low,2025-06-04
Aircraft Technology Product 065,448.8,0.4,2.1,2.8,False,Basement1,Medium,2025-06-05
Aircraft Technology Product 066,415.9,3.8,3.8,2.0,True,LoadingDock3,High,2025-06-06
Aircraft Technology Product 067,767.1,11.1,1.8,3.0,True,Mezzanine5,Medium,2025-06-07
Aircraft Technology Product 068,731.9,8.7,2.0,1.1,False,Aisle3,Low,2025-06-08
Aircraft Technology Product 069,485.3,1.6,4.5,2.6,True,LoadingDock4,Low,2025-06-09
Aircraft Technology Product 070,75.7,0.4,2.0,5.2,False,Mezzanine4,Low,2025-06-10
Aircraft Technology Product 071,538.4,5.3,4.9,0.2,False,HighBay3,Low,2025-06-11
Aircraft Technology Product 072,114.5,10.8,7.0,2.7,False,HazardousStorage,High,2025-06-12
Aircraft Technology Product 073,553.0,8.3,4.0,1.0,True,ShippingArea,Medium,2025-06-13
Aircraft Technology Product 074,223.5,8.6,6.7,0.9,False,OverflowStorage,Medium,2025-06-14
Aircraft Technology Product 075,194.2,3.7,1.0,2.7,False,Floor1,High,2025-06-15
Aircraft Technology Product 076,136.3,5.8,3.1,1.8,True,ZoneB,Low,2025-06-16
Aircraft Technology Product 077,487.0,12.2,7.1,1.8,True,PalletArea1,Low,2025-06-17
Aircraft Technology Product 078,510.6,0.7,1.0,2.1,True,ShelfArea4,Low,2025-06-18
Aircraft Technology Product 079,540.3,6.1,0.3,4.8,True,AutomatedStorage3,Low,2025-06-19
Aircraft Technology Product 080,405.6,10.1,1.2,2.7,False,Aisle4,High,2025-06-20
Aircraft Technology Product 081,5.6,7.4,5.6,2.9,False,AutomatedStorage2,Medium,2025-06-21
Aircraft Technology Product 082,435.7,2.3,5.2,3.1,False,Floor1,High,2025-06-22
Aircraft Technology Product 083,464.0,10.6,3.1,5.1,False,Seasonal,Medium,2025-06-23
Aircraft Technology Product 084,94.4,13.0,6.5,2.0,False,Basement4,High,2025-06-24
Aircraft Technology Product 085,476.4,8.0,6.9,0.5,True,LoadingDock4,High,2025-06-25
Aircraft Technology Product 086,604.4,8.3,4.3,0.8,False,ZoneJ,Medium,2025-06-26
Aircraft Technology Product 087,82.2,9.7,4.4,4.5,False,SectionD,Medium,2025-06-27
Aircraft Technology Product 088,176.1,11.7,4.9,0.9,False,ZoneE,High,2025-06-28
Aircraft Technology Product 089,316.8,4.7,3.4,1.5,False,SectionF,Medium,2025-06-29
Aircraft Technology Product 090,168.1,8.6,1.2,3.5,False,Priority4,High,2025-06-30
Aircraft Technology Product 091,209.5,14.7,3.1,3.5,False,Priority2,Low,2025-06-01
Aircraft Technology Product 092,315.4,5.4,6.0,4.0,False,Basement5,Medium,2025-06-02
Aircraft Technology Product 093,272.3,10.9,2.0,0.4,False,SectionB,High,2025-06-03
Aircraft Technology Product 094,424.7,2.8,4.6,1.9,False,Basement2,High,2025-06-04
Aircraft Technology Product 095,248.9,0.4,0.4,2.3,False,Rack5,High,2025-06-05
Aircraft Technology Product 096,211.3,6.4,3.0,2.0,True,Aisle10,High,2025-06-06
Aircraft Technology Product 097,454.7,4.7,1.5,4.0,False,Basement3,Low,2025-06-07
Aircraft Technology Product 098,577.0,8.9,0.5,2.8,True,OverflowLane,Low,2025-06-08
Aircraft Technology Product 099,544.2,3.0,0.6,0.7,True,BulkStorage,Low,2025-06-09
Aircraft Technology Product 100,180.3,10.2,4.2,3.1,True,StandardLane,High,2025-06-10
