Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Railway Technology Product 001,39.3,2.1,0.7,1.8,False,Mezzanine1,High,2025-06-01
Railway Technology Product 002,616.8,4.3,0.8,5.6,True,Rack7,Medium,2025-06-02
Railway Technology Product 003,213.2,3.3,5.2,2.1,True,SectionA,High,2025-06-03
Railway Technology Product 004,371.3,4.4,5.9,3.2,True,Rack6,Medium,2025-06-04
Railway Technology Product 005,143.7,8.2,4.1,3.5,False,Basement4,High,2025-06-05
Railway Technology Product 006,241.4,11.5,6.6,2.8,True,OverflowStorage,Low,2025-06-06
Railway Technology Product 007,644.3,6.4,6.9,4.5,True,Priority3,Medium,2025-06-07
Railway Technology Product 008,407.3,5.9,2.8,4.3,True,Aisle5,High,2025-06-08
Railway Technology Product 009,293.7,0.6,2.8,3.7,True,BulkItems,High,2025-06-09
Railway Technology Product 010,277.8,8.2,2.3,0.8,True,BulkStorage,Medium,2025-06-10
Railway Technology Product 011,217.8,8.3,2.6,2.5,False,AutomatedStorage2,Low,2025-06-11
Railway Technology Product 012,366.3,11.5,3.3,4.7,True,Basement2,Low,2025-06-12
Railway Technology Product 013,313.8,5.5,5.8,5.5,True,SectionB,Medium,2025-06-13
Railway Technology Product 014,232.6,7.1,6.5,1.3,False,ColdStorage,Medium,2025-06-14
Railway Technology Product 015,646.0,1.4,3.9,4.6,False,Aisle4,Low,2025-06-15
Railway Technology Product 016,678.5,12.2,5.2,0.5,False,Aisle6,High,2025-06-16
Railway Technology Product 017,32.2,0.4,3.5,2.0,False,Priority2,Medium,2025-06-17
Railway Technology Product 018,783.5,7.0,2.2,1.8,True,DryStorage,Medium,2025-06-18
Railway Technology Product 019,363.4,6.3,2.1,4.6,True,AutomatedStorage1,Medium,2025-06-19
Railway Technology Product 020,126.9,6.0,3.7,2.4,True,LoadingDock3,Low,2025-06-20
Railway Technology Product 021,327.1,7.5,5.2,2.4,False,AutomatedStorage5,Low,2025-06-21
Railway Technology Product 022,3.7,0.9,2.0,2.5,True,PalletArea4,Medium,2025-06-22
Railway Technology Product 023,197.9,11.5,4.5,3.0,True,AutomatedStorage4,High,2025-06-23
Railway Technology Product 024,352.2,8.7,4.0,3.6,True,Aisle2,High,2025-06-24
Railway Technology Product 025,272.3,9.9,0.5,1.1,False,Aisle4,Medium,2025-06-25
Railway Technology Product 026,496.4,9.8,2.3,1.3,True,ManualStorage3,High,2025-06-26
Railway Technology Product 027,736.0,6.2,0.5,5.2,True,Aisle4,High,2025-06-27
Railway Technology Product 028,576.3,12.0,6.5,3.9,True,ZoneG,Medium,2025-06-28
Railway Technology Product 029,65.3,5.5,0.3,1.4,False,PalletArea1,High,2025-06-29
Railway Technology Product 030,397.6,7.5,2.4,3.2,True,HighBay4,High,2025-06-30
Railway Technology Product 031,436.1,12.1,2.4,4.4,True,PalletArea4,Low,2025-06-01
Railway Technology Product 032,366.2,6.7,4.6,0.7,False,Aisle3,Low,2025-06-02
Railway Technology Product 033,266.4,8.4,2.8,2.5,False,Rack7,Low,2025-06-03
Railway Technology Product 034,50.1,8.2,2.0,4.7,True,Priority4,High,2025-06-04
Railway Technology Product 035,233.3,2.6,2.3,2.0,True,ShelfArea5,Low,2025-06-05
