Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Metro Technology Product 001,41.5,0.4,3.8,0.6,True,Basement5,Medium,2025-06-01
Metro Technology Product 002,292.6,9.1,2.8,0.9,True,ShelfArea2,High,2025-06-02
Metro Technology Product 003,180.5,11.3,2.9,2.9,True,Rack7,High,2025-06-03
Metro Technology Product 004,242.9,8.9,0.4,0.4,True,Seasonal,Medium,2025-06-04
Metro Technology Product 005,194.4,11.6,5.9,3.0,False,ShelfArea2,Medium,2025-06-05
Metro Technology Product 006,380.1,1.4,5.0,4.1,False,Rack8,Low,2025-06-06
Metro Technology Product 007,140.7,1.0,0.5,3.2,True,ShelfArea1,High,2025-06-07
Metro Technology Product 008,241.7,5.6,1.0,1.7,False,Priority3,High,2025-06-08
Metro Technology Product 009,423.2,2.1,4.7,3.7,True,ZoneE,Medium,2025-06-09
Metro Technology Product 010,417.5,9.4,2.5,5.3,False,SlowMoving,Low,2025-06-10
Metro Technology Product 011,157.8,7.3,4.4,3.2,False,ManualStorage5,Low,2025-06-11
Metro Technology Product 012,864.4,2.5,2.5,2.8,True,Basement1,High,2025-06-12
Metro Technology Product 013,734.9,6.1,2.2,2.8,True,Aisle2,High,2025-06-13
Metro Technology Product 014,213.5,3.3,6.6,0.6,True,Rack6,Low,2025-06-14
Metro Technology Product 015,446.0,9.1,3.4,3.4,False,Basement5,Medium,2025-06-15
Metro Technology Product 016,507.9,5.1,4.0,4.1,False,Rack9,Low,2025-06-16
Metro Technology Product 017,496.0,4.0,3.1,4.7,True,Aisle5,High,2025-06-17
Metro Technology Product 018,877.5,6.2,4.4,0.3,False,SlowMoving,Low,2025-06-18
Metro Technology Product 019,315.2,2.7,3.4,0.3,False,ManualStorage1,Low,2025-06-19
Metro Technology Product 020,610.5,1.5,5.6,1.1,True,Aisle1,Low,2025-06-20
Metro Technology Product 021,629.4,9.7,4.2,1.8,True,FastMoving,Medium,2025-06-21
Metro Technology Product 022,192.8,1.2,4.7,2.1,False,OverflowStorage,Medium,2025-06-22
Metro Technology Product 023,548.1,9.3,3.7,4.4,True,ZoneE,High,2025-06-23
Metro Technology Product 024,586.7,13.9,5.3,1.9,False,DryStorage,Medium,2025-06-24
Metro Technology Product 025,19.3,5.6,1.5,1.2,True,ZoneI,Low,2025-06-25
Metro Technology Product 026,700.0,7.8,0.4,4.5,False,FastMoving,High,2025-06-26
Metro Technology Product 027,492.7,8.5,0.5,3.9,True,HighBay1,Low,2025-06-27
Metro Technology Product 028,232.2,6.4,3.2,0.6,False,AutomatedStorage2,Low,2025-06-28
Metro Technology Product 029,416.8,11.9,5.8,1.1,True,AutomatedStorage1,High,2025-06-29
Metro Technology Product 030,382.6,4.2,4.6,1.0,True,Rack1,Medium,2025-06-30
Metro Technology Product 031,746.8,5.0,5.6,4.4,False,Floor5,High,2025-06-01
Metro Technology Product 032,385.3,4.1,0.4,3.3,True,ShelfArea5,Low,2025-06-02
Metro Technology Product 033,490.9,12.0,1.4,4.0,False,HighBay3,Low,2025-06-03
Metro Technology Product 034,231.7,4.0,3.8,3.5,False,Priority4,Medium,2025-06-04
Metro Technology Product 035,835.3,9.0,1.0,2.1,False,LoadingDock2,Low,2025-06-05
Metro Technology Product 036,367.4,6.4,4.8,3.7,True,EconomyLane,Low,2025-06-06
Metro Technology Product 037,473.9,14.1,1.0,2.6,True,AutomatedStorage2,Low,2025-06-07
Metro Technology Product 038,671.3,2.1,3.1,1.8,True,Rack7,Medium,2025-06-08
Metro Technology Product 039,701.6,8.7,3.5,4.9,True,ManualStorage2,Medium,2025-06-09
Metro Technology Product 040,141.0,15.8,4.5,1.3,False,ZoneE,Medium,2025-06-10
Metro Technology Product 041,634.7,2.2,1.1,1.0,False,ShippingArea,Medium,2025-06-11
Metro Technology Product 042,433.8,14.3,5.0,2.5,True,Aisle9,Low,2025-06-12
Metro Technology Product 043,851.5,4.1,5.6,2.6,False,ManualStorage4,Medium,2025-06-13
Metro Technology Product 044,534.8,6.2,2.2,4.3,True,SmallItemStorage,High,2025-06-14
Metro Technology Product 045,150.7,4.9,3.6,4.4,False,PalletArea1,Low,2025-06-15
Metro Technology Product 046,398.3,7.2,2.4,4.6,True,LightItems,High,2025-06-16
Metro Technology Product 047,734.6,3.4,1.6,3.4,True,FastMoving,High,2025-06-17
Metro Technology Product 048,391.7,7.6,5.8,2.6,True,LoadingDock5,Medium,2025-06-18
Metro Technology Product 049,28.3,15.9,3.9,1.2,False,DryStorage,Low,2025-06-19
Metro Technology Product 050,125.3,8.8,1.4,5.9,True,HighBay3,Medium,2025-06-20
Metro Technology Product 051,180.4,3.5,0.7,4.0,False,ManualStorage4,High,2025-06-21
Metro Technology Product 052,524.5,1.7,4.8,2.4,True,Rack3,Medium,2025-06-22
Metro Technology Product 053,231.1,5.6,1.8,1.4,False,ManualStorage1,Low,2025-06-23
Metro Technology Product 054,372.5,1.6,4.2,4.3,False,Mezzanine5,High,2025-06-24
Metro Technology Product 055,30.1,0.4,4.4,0.5,True,PalletArea4,Low,2025-06-25
Metro Technology Product 056,143.1,7.2,5.4,4.3,False,Rack4,Medium,2025-06-26
Metro Technology Product 057,74.4,5.6,2.1,0.9,True,Aisle1,Low,2025-06-27
Metro Technology Product 058,316.0,10.5,1.1,1.7,False,SectionH,High,2025-06-28
Metro Technology Product 059,243.6,6.4,4.5,5.2,True,Rack4,High,2025-06-29
Metro Technology Product 060,457.9,5.2,5.5,0.2,False,Floor3,Medium,2025-06-30
Metro Technology Product 061,54.4,1.2,3.3,2.6,True,Rack1,Medium,2025-06-01
Metro Technology Product 062,595.7,1.3,3.8,2.3,True,AutomatedStorage1,High,2025-06-02
Metro Technology Product 063,434.0,11.0,5.1,1.0,True,LoadingDock5,Medium,2025-06-03
Metro Technology Product 064,631.5,6.7,0.3,2.3,False,SectionC,Medium,2025-06-04
Metro Technology Product 065,183.8,14.3,4.2,4.2,True,ZoneE,High,2025-06-05
Metro Technology Product 066,411.2,10.1,3.1,5.5,True,AutomatedStorage4,High,2025-06-06
Metro Technology Product 067,573.9,9.4,5.3,2.6,True,Mezzanine1,Medium,2025-06-07
Metro Technology Product 068,197.5,0.9,1.9,1.4,True,Rack7,Medium,2025-06-08
Metro Technology Product 069,96.1,1.4,4.9,5.5,False,SectionF,Low,2025-06-09
Metro Technology Product 070,358.2,12.0,0.3,4.8,True,Mezzanine5,High,2025-06-10
Metro Technology Product 071,700.3,11.5,1.1,2.5,True,Aisle7,Medium,2025-06-11
Metro Technology Product 072,191.9,8.9,2.2,2.5,False,Basement4,Low,2025-06-12
Metro Technology Product 073,292.4,9.8,2.2,2.0,True,ZoneG,High,2025-06-13
Metro Technology Product 074,14.8,3.2,5.5,1.1,True,AutomatedStorage4,Medium,2025-06-14
Metro Technology Product 075,429.7,0.4,2.9,4.3,False,ShelfArea2,High,2025-06-15
Metro Technology Product 076,44.6,4.8,2.4,2.9,False,PalletArea5,High,2025-06-16
Metro Technology Product 077,91.0,11.5,4.5,1.1,True,ZoneC,Medium,2025-06-17
Metro Technology Product 078,132.7,1.0,4.6,3.7,False,Aisle1,Medium,2025-06-18
Metro Technology Product 079,675.5,4.2,2.2,4.2,True,ZoneH,High,2025-06-19
Metro Technology Product 080,561.3,7.2,4.8,0.8,True,ManualStorage1,Low,2025-06-20
Metro Technology Product 081,864.1,5.6,0.5,2.0,False,BulkStorage,High,2025-06-21
Metro Technology Product 082,514.2,3.5,2.1,4.2,False,Aisle9,Medium,2025-06-22
Metro Technology Product 083,184.4,10.5,2.7,1.5,True,LoadingDock3,High,2025-06-23
Metro Technology Product 084,510.4,2.7,1.5,5.6,False,Rack2,Low,2025-06-24
Metro Technology Product 085,67.4,8.0,7.3,1.2,False,ZoneE,Low,2025-06-25
Metro Technology Product 086,248.2,9.3,3.7,5.5,True,Aisle10,High,2025-06-26
Metro Technology Product 087,118.0,12.5,3.8,2.3,False,HighBay3,Medium,2025-06-27
Metro Technology Product 088,309.2,12.5,6.5,2.0,True,Aisle8,High,2025-06-28
Metro Technology Product 089,483.5,2.6,4.7,2.9,True,StandardLane,High,2025-06-29
Metro Technology Product 090,452.2,2.5,6.0,0.8,True,ManualStorage5,Low,2025-06-30
Metro Technology Product 091,335.2,3.0,2.0,4.7,False,Floor5,High,2025-06-01
Metro Technology Product 092,391.5,1.5,3.1,2.0,False,Mezzanine3,Low,2025-06-02
Metro Technology Product 093,408.7,1.7,4.1,2.1,True,LargeItems,High,2025-06-03
Metro Technology Product 094,380.0,13.6,2.9,0.9,False,LoadingDock1,High,2025-06-04
Metro Technology Product 095,36.9,10.6,4.8,1.1,False,Aisle10,Low,2025-06-05
Metro Technology Product 096,300.4,2.4,3.5,2.6,False,Rack3,Low,2025-06-06
Metro Technology Product 097,37.3,7.1,7.4,1.9,False,LightItems,High,2025-06-07
Metro Technology Product 098,250.0,3.3,4.0,5.3,True,SectionG,Low,2025-06-08
Metro Technology Product 099,258.9,2.1,8.1,2.1,True,SlowMoving,Low,2025-06-09
Metro Technology Product 100,519.0,11.4,4.6,0.7,False,SlowMoving,Low,2025-06-10
