Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Highway Technology Product 001,131.3,3.5,1.7,0.9,False,PremiumLane,Medium,2025-06-01
Highway Technology Product 002,122.0,9.3,2.4,1.3,True,SectionF,High,2025-06-02
Highway Technology Product 003,220.6,7.4,5.5,3.7,False,SectionG,High,2025-06-03
Highway Technology Product 004,349.9,7.1,1.2,1.4,True,BulkItems,High,2025-06-04
Highway Technology Product 005,317.1,9.6,2.6,1.1,True,Rack2,High,2025-06-05
Highway Technology Product 006,355.8,7.1,2.2,3.7,True,Rack10,Medium,2025-06-06
Highway Technology Product 007,556.9,13.0,5.3,4.2,True,Rack7,Low,2025-06-07
Highway Technology Product 008,11.8,6.7,4.3,4.4,True,FastMoving,Medium,2025-06-08
Highway Technology Product 009,750.1,5.4,5.3,3.5,True,Aisle9,High,2025-06-09
Highway Technology Product 010,5.9,6.7,5.6,1.8,False,Aisle3,High,2025-06-10
Highway Technology Product 011,363.2,1.1,0.5,2.0,False,Basement5,Low,2025-06-11
Highway Technology Product 012,316.7,13.4,3.5,0.3,False,Rack9,Low,2025-06-12
Highway Technology Product 013,186.1,10.7,3.3,1.7,False,LoadingDock4,Low,2025-06-13
Highway Technology Product 014,396.5,8.3,3.0,3.5,False,HighBay5,Medium,2025-06-14
Highway Technology Product 015,161.0,9.9,4.6,4.6,True,Mezzanine2,Medium,2025-06-15
Highway Technology Product 016,694.4,6.6,3.5,2.9,False,Aisle9,High,2025-06-16
Highway Technology Product 017,184.2,0.8,1.7,5.2,False,AutomatedStorage1,Low,2025-06-17
Highway Technology Product 018,581.9,6.3,2.1,3.1,True,Floor5,High,2025-06-18
Highway Technology Product 019,76.9,13.5,1.0,5.6,False,ZoneB,High,2025-06-19
Highway Technology Product 020,278.6,9.8,4.0,3.3,True,Aisle1,Low,2025-06-20
Highway Technology Product 021,645.8,6.5,2.3,3.4,True,PalletArea2,High,2025-06-21
Highway Technology Product 022,462.3,11.9,6.0,1.4,True,ShelfArea1,Low,2025-06-22
Highway Technology Product 023,101.1,2.6,5.8,3.9,False,LightItems,High,2025-06-23
Highway Technology Product 024,125.6,6.8,1.2,0.5,True,Aisle4,Medium,2025-06-24
Highway Technology Product 025,749.8,5.8,2.9,3.6,True,Aisle9,Medium,2025-06-25
Highway Technology Product 026,107.9,8.3,4.6,0.6,True,ManualStorage3,High,2025-06-26
Highway Technology Product 027,323.9,6.4,4.7,1.7,False,LightItems,High,2025-06-27
Highway Technology Product 028,20.3,9.0,1.5,3.9,True,Floor5,High,2025-06-28
Highway Technology Product 029,397.6,5.7,6.8,3.8,True,SectionE,High,2025-06-29
Highway Technology Product 030,554.0,4.8,1.4,4.9,True,MediumItems,High,2025-06-30
Highway Technology Product 031,7.5,13.2,3.4,4.1,True,FragileItems,High,2025-06-01
Highway Technology Product 032,31.1,0.9,3.2,2.9,False,SmallItems,High,2025-06-02
Highway Technology Product 033,124.0,3.5,2.3,0.8,False,ExpressLane,Medium,2025-06-03
Highway Technology Product 034,94.2,1.1,6.6,0.2,False,Floor1,High,2025-06-04
Highway Technology Product 035,118.7,0.4,2.1,4.6,True,ManualStorage1,Low,2025-06-05
Highway Technology Product 036,569.0,7.0,5.5,3.8,True,Seasonal,Low,2025-06-06
Highway Technology Product 037,396.8,0.8,5.4,3.4,False,ShelfArea3,Medium,2025-06-07
Highway Technology Product 038,254.6,8.3,1.6,0.3,True,Aisle7,High,2025-06-08
Highway Technology Product 039,299.2,8.3,2.7,2.8,True,ZoneB,High,2025-06-09
Highway Technology Product 040,38.5,3.5,5.6,3.6,False,Priority5,Low,2025-06-10
Highway Technology Product 041,15.6,2.7,5.0,1.3,False,ManualStorage4,Medium,2025-06-11
Highway Technology Product 042,742.6,4.3,4.8,3.3,False,Priority3,High,2025-06-12
Highway Technology Product 043,522.9,1.6,1.0,3.1,True,HeavyItems,Low,2025-06-13
Highway Technology Product 044,26.9,5.0,4.7,2.6,True,AutomatedStorage5,Low,2025-06-14
Highway Technology Product 045,121.1,4.8,4.3,1.7,False,PalletArea4,High,2025-06-15
Highway Technology Product 046,158.1,7.3,3.6,1.3,True,HeavyItems,Low,2025-06-16
Highway Technology Product 047,100.6,6.0,6.7,1.4,False,ManualStorage2,Medium,2025-06-17
Highway Technology Product 048,81.9,5.5,1.3,2.0,True,FragileItems,Low,2025-06-18
Highway Technology Product 049,69.2,9.6,1.5,1.9,False,ZoneI,Low,2025-06-19
Highway Technology Product 050,516.2,16.5,4.9,3.9,True,SectionF,Medium,2025-06-20
Highway Technology Product 051,864.5,10.1,4.6,1.8,False,LoadingDock3,High,2025-06-21
Highway Technology Product 052,172.0,4.4,6.2,1.2,False,LoadingDock3,Medium,2025-06-22
Highway Technology Product 053,272.4,7.0,3.8,2.0,True,Priority1,Medium,2025-06-23
Highway Technology Product 054,436.9,0.6,3.7,2.2,False,Priority4,Medium,2025-06-24
Highway Technology Product 055,94.5,6.5,3.7,2.0,True,MediumItems,Medium,2025-06-25
Highway Technology Product 056,380.6,3.6,4.4,3.8,False,QualityControl,Medium,2025-06-26
Highway Technology Product 057,78.9,8.0,3.2,4.8,False,PalletArea4,Low,2025-06-27
Highway Technology Product 058,522.2,12.8,2.4,0.3,True,Aisle5,Medium,2025-06-28
Highway Technology Product 059,529.8,4.4,4.7,1.1,False,ReceivingArea,Medium,2025-06-29
Highway Technology Product 060,117.1,1.6,2.7,1.0,True,PalletArea4,Low,2025-06-30
Highway Technology Product 061,567.7,10.7,3.8,1.3,False,ShelfArea5,Medium,2025-06-01
Highway Technology Product 062,216.6,10.3,2.4,2.4,False,Priority4,Medium,2025-06-02
Highway Technology Product 063,333.3,5.7,3.3,2.1,False,LargeItems,Low,2025-06-03
Highway Technology Product 064,149.6,9.0,3.2,3.1,False,SmallItems,Low,2025-06-04
Highway Technology Product 065,242.7,4.3,2.3,0.5,True,ZoneJ,High,2025-06-05
Highway Technology Product 066,564.7,7.6,2.3,2.0,True,ZoneJ,High,2025-06-06
Highway Technology Product 067,101.9,2.2,2.8,5.0,True,AutomatedStorage3,High,2025-06-07
Highway Technology Product 068,550.8,2.7,4.6,1.7,True,ShelfArea1,Low,2025-06-08
Highway Technology Product 069,396.9,8.8,0.6,5.3,True,Mezzanine2,Low,2025-06-09
Highway Technology Product 070,79.5,3.0,6.0,3.7,True,LightItems,High,2025-06-10
Highway Technology Product 071,9.5,11.4,0.9,4.9,False,ShelfArea5,Low,2025-06-11
Highway Technology Product 072,360.8,8.7,4.5,1.7,True,Floor4,Low,2025-06-12
Highway Technology Product 073,268.0,5.4,1.3,2.3,False,Rack4,Low,2025-06-13
Highway Technology Product 074,816.1,8.1,3.2,3.9,False,ShelfArea3,High,2025-06-14
Highway Technology Product 075,428.1,1.8,3.1,2.5,True,Rack3,Medium,2025-06-15
Highway Technology Product 076,39.0,8.3,2.0,3.3,True,ManualStorage3,High,2025-06-16
Highway Technology Product 077,435.7,4.1,5.8,1.2,False,MediumItems,High,2025-06-17
Highway Technology Product 078,215.5,0.5,3.7,0.7,True,LargeItems,Medium,2025-06-18
Highway Technology Product 079,469.6,7.0,1.6,4.2,False,OverflowStorage,Low,2025-06-19
Highway Technology Product 080,497.5,2.9,7.6,1.8,False,MediumItems,Medium,2025-06-20
Highway Technology Product 081,57.6,5.0,4.3,4.2,True,MediumItems,High,2025-06-21
Highway Technology Product 082,200.3,3.1,5.0,3.5,True,DryStorage,Medium,2025-06-22
Highway Technology Product 083,383.7,12.2,4.8,3.3,False,SectionB,Low,2025-06-23
Highway Technology Product 084,719.0,12.9,4.8,2.2,False,Aisle9,Medium,2025-06-24
Highway Technology Product 085,492.1,7.7,8.0,1.7,False,ShelfArea3,Medium,2025-06-25
Highway Technology Product 086,31.1,0.9,4.6,3.2,False,ZoneE,High,2025-06-26
Highway Technology Product 087,303.8,7.7,3.7,3.9,True,ZoneG,High,2025-06-27
Highway Technology Product 088,248.8,2.5,1.1,1.9,False,ShippingArea,Medium,2025-06-28
Highway Technology Product 089,50.3,15.1,5.6,3.2,True,ZoneC,High,2025-06-29
Highway Technology Product 090,61.0,6.9,1.9,2.2,True,AutomatedStorage2,Medium,2025-06-30
Highway Technology Product 091,749.5,15.6,4.9,2.8,True,HighBay2,High,2025-06-01
Highway Technology Product 092,207.4,5.7,2.4,2.2,True,SectionH,Medium,2025-06-02
Highway Technology Product 093,404.4,9.8,5.7,3.4,True,SectionD,Medium,2025-06-03
Highway Technology Product 094,5.7,1.0,2.8,4.0,True,Seasonal,Medium,2025-06-04
Highway Technology Product 095,408.2,11.7,4.0,5.3,False,Rack3,High,2025-06-05
Highway Technology Product 096,31.4,13.6,3.1,2.4,False,Basement5,High,2025-06-06
Highway Technology Product 097,142.1,3.6,0.9,0.6,True,Rack3,High,2025-06-07
Highway Technology Product 098,147.3,1.6,4.4,3.8,False,DryStorage,Medium,2025-06-08
Highway Technology Product 099,803.8,3.9,6.8,0.7,True,PremiumLane,Low,2025-06-09
Highway Technology Product 100,4.9,3.9,1.0,1.3,False,PalletArea5,Medium,2025-06-10
