Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Bridge Technology Product 001,832.6,5.1,1.9,2.2,True,HighBay3,Medium,2025-06-01
Bridge Technology Product 002,420.0,8.4,1.7,4.3,False,Floor4,Low,2025-06-02
Bridge Technology Product 003,428.0,12.6,3.4,2.3,True,SectionC,Medium,2025-06-03
Bridge Technology Product 004,364.6,2.3,1.8,3.9,True,ShelfArea4,High,2025-06-04
Bridge Technology Product 005,400.6,11.5,6.0,1.7,False,Aisle9,High,2025-06-05
Bridge Technology Product 006,657.4,7.5,4.7,5.6,True,Floor4,Low,2025-06-06
Bridge Technology Product 007,213.7,0.8,2.9,2.5,True,LoadingDock5,Low,2025-06-07
Bridge Technology Product 008,176.2,14.6,2.5,0.5,True,Rack7,High,2025-06-08
Bridge Technology Product 009,13.3,14.1,2.0,3.4,False,HighBay4,Medium,2025-06-09
Bridge Technology Product 010,341.9,3.4,2.9,3.7,False,SectionE,Medium,2025-06-10
Bridge Technology Product 011,168.4,10.4,4.9,1.1,False,Priority4,Low,2025-06-11
Bridge Technology Product 012,317.0,3.8,1.8,3.0,False,HazardousStorage,High,2025-06-12
Bridge Technology Product 013,247.5,0.6,2.3,1.5,True,Basement5,Low,2025-06-13
Bridge Technology Product 014,208.1,13.1,1.8,1.0,True,LoadingDock4,High,2025-06-14
Bridge Technology Product 015,184.6,9.8,4.5,0.3,False,Priority4,High,2025-06-15
Bridge Technology Product 016,384.0,9.2,2.6,1.2,False,SectionE,Low,2025-06-16
Bridge Technology Product 017,142.9,2.0,1.3,5.0,False,ShippingArea,Medium,2025-06-17
Bridge Technology Product 018,702.4,0.4,1.5,2.2,True,Aisle7,High,2025-06-18
Bridge Technology Product 019,363.1,2.2,2.5,2.7,True,Rack3,Medium,2025-06-19
Bridge Technology Product 020,506.6,9.2,7.1,2.5,False,FastMoving,Medium,2025-06-20
Bridge Technology Product 021,358.1,5.7,2.7,1.3,False,SectionC,Low,2025-06-21
Bridge Technology Product 022,316.7,12.3,2.9,1.9,False,ColdStorage,Medium,2025-06-22
Bridge Technology Product 023,397.9,11.0,1.3,1.8,False,Rack6,Medium,2025-06-23
Bridge Technology Product 024,541.0,2.3,2.3,4.0,False,Rack6,Medium,2025-06-24
Bridge Technology Product 025,343.5,4.5,0.3,2.1,True,ZoneF,Low,2025-06-25
Bridge Technology Product 026,169.5,3.8,4.9,0.5,True,SectionF,Medium,2025-06-26
Bridge Technology Product 027,216.9,8.0,2.0,0.9,True,ReturnsArea,Medium,2025-06-27
Bridge Technology Product 028,93.8,2.8,4.8,1.8,True,Rack2,Medium,2025-06-28
Bridge Technology Product 029,543.6,2.3,1.6,0.3,False,Aisle2,High,2025-06-29
Bridge Technology Product 030,375.5,2.8,5.4,4.5,False,HighBay1,High,2025-06-30
Bridge Technology Product 031,363.0,1.9,1.0,3.1,False,Priority2,Medium,2025-06-01
Bridge Technology Product 032,183.2,11.3,3.0,0.9,True,Aisle2,Low,2025-06-02
Bridge Technology Product 033,383.4,11.8,6.6,3.2,False,Rack7,Low,2025-06-03
Bridge Technology Product 034,330.4,10.9,3.8,4.3,True,ShelfArea1,High,2025-06-04
Bridge Technology Product 035,224.4,5.6,5.0,3.4,False,HighBay1,Medium,2025-06-05
Bridge Technology Product 036,302.0,9.9,1.3,2.0,True,Basement2,Low,2025-06-06
Bridge Technology Product 037,270.0,9.4,3.8,3.9,False,ZoneH,Low,2025-06-07
Bridge Technology Product 038,369.4,7.3,2.3,4.2,False,SectionG,Low,2025-06-08
Bridge Technology Product 039,167.8,5.6,2.8,4.3,True,BulkItems,Medium,2025-06-09
Bridge Technology Product 040,351.0,0.9,5.4,1.4,False,BulkItems,Medium,2025-06-10
Bridge Technology Product 041,170.3,5.7,1.9,0.9,False,Floor4,Low,2025-06-11
Bridge Technology Product 042,203.0,13.6,6.7,3.7,False,Mezzanine2,Low,2025-06-12
Bridge Technology Product 043,2.8,12.5,4.6,4.3,True,Aisle1,High,2025-06-13
Bridge Technology Product 044,499.9,7.4,0.8,3.5,False,LoadingDock2,Low,2025-06-14
Bridge Technology Product 045,162.5,2.3,2.0,2.7,True,ManualStorage3,High,2025-06-15
Bridge Technology Product 046,193.7,12.0,2.1,2.1,False,Rack7,Medium,2025-06-16
Bridge Technology Product 047,756.0,8.9,5.8,5.1,False,FragileItems,High,2025-06-17
Bridge Technology Product 048,666.2,1.7,3.0,1.5,True,Basement4,High,2025-06-18
Bridge Technology Product 049,84.0,2.5,5.7,2.1,False,LargeItems,High,2025-06-19
Bridge Technology Product 050,238.8,6.8,2.2,3.6,True,HazardousStorage,Medium,2025-06-20
Bridge Technology Product 051,393.4,9.2,2.7,3.0,False,Aisle9,Low,2025-06-21
Bridge Technology Product 052,12.6,8.6,0.3,4.2,True,LoadingDock1,Medium,2025-06-22
Bridge Technology Product 053,169.4,13.5,0.9,2.4,True,Basement4,High,2025-06-23
Bridge Technology Product 054,230.2,9.2,0.3,1.5,True,HighBay4,High,2025-06-24
Bridge Technology Product 055,573.1,3.9,4.8,0.4,False,Aisle1,High,2025-06-25
Bridge Technology Product 056,132.0,6.8,1.0,5.1,True,Aisle5,Medium,2025-06-26
Bridge Technology Product 057,65.2,7.0,2.6,0.8,True,ZoneH,Low,2025-06-27
Bridge Technology Product 058,448.7,7.2,0.8,1.0,True,Rack10,High,2025-06-28
Bridge Technology Product 059,532.8,2.0,1.2,4.0,False,SlowMoving,High,2025-06-29
Bridge Technology Product 060,208.3,9.9,1.1,2.2,True,Rack8,Medium,2025-06-30
Bridge Technology Product 061,250.3,1.3,8.0,2.5,True,Floor5,High,2025-06-01
Bridge Technology Product 062,183.6,5.7,1.3,2.4,False,Basement1,Medium,2025-06-02
Bridge Technology Product 063,329.0,5.1,3.8,5.1,False,Rack6,High,2025-06-03
Bridge Technology Product 064,327.0,11.6,4.8,1.3,True,HeavyItems,Medium,2025-06-04
Bridge Technology Product 065,3.3,4.7,3.1,3.5,True,SectionF,Medium,2025-06-05
Bridge Technology Product 066,362.5,4.5,3.9,3.4,True,Rack2,Low,2025-06-06
Bridge Technology Product 067,43.7,3.1,7.2,3.9,False,Rack2,Low,2025-06-07
Bridge Technology Product 068,447.8,2.0,4.2,3.9,True,Aisle1,Low,2025-06-08
Bridge Technology Product 069,102.3,1.7,1.9,2.4,False,Rack6,High,2025-06-09
Bridge Technology Product 070,832.7,9.6,1.7,3.1,False,ManualStorage3,Medium,2025-06-10
Bridge Technology Product 071,284.6,5.8,3.1,1.8,True,SectionH,Medium,2025-06-11
Bridge Technology Product 072,351.9,11.5,3.2,3.9,True,Basement2,Medium,2025-06-12
Bridge Technology Product 073,475.0,10.2,2.3,2.0,True,ZoneI,Medium,2025-06-13
Bridge Technology Product 074,57.5,15.1,3.5,3.3,False,BulkItems,Medium,2025-06-14
