Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Tunnel Technology Product 001,475.2,15.7,5.7,4.0,True,MediumItems,High,2025-06-01
Tunnel Technology Product 002,274.6,14.4,4.4,4.0,True,LoadingDock3,Low,2025-06-02
Tunnel Technology Product 003,203.3,6.0,6.1,2.2,True,PalletArea4,Low,2025-06-03
Tunnel Technology Product 004,371.4,6.7,5.3,3.0,False,FastMoving,Low,2025-06-04
Tunnel Technology Product 005,575.1,9.5,2.7,2.9,False,ManualStorage5,High,2025-06-05
Tunnel Technology Product 006,71.2,9.6,1.5,4.3,False,Priority2,Medium,2025-06-06
Tunnel Technology Product 007,394.3,13.0,3.2,4.0,True,Rack5,High,2025-06-07
Tunnel Technology Product 008,7.3,11.3,5.2,2.6,True,Basement2,Medium,2025-06-08
Tunnel Technology Product 009,436.8,4.8,1.7,3.6,True,Mezzanine2,Medium,2025-06-09
Tunnel Technology Product 010,242.4,11.5,5.7,1.0,True,SectionH,High,2025-06-10
Tunnel Technology Product 011,456.4,8.5,5.9,0.9,False,Aisle1,Medium,2025-06-11
Tunnel Technology Product 012,246.6,1.1,4.6,2.6,True,ShelfArea1,High,2025-06-12
Tunnel Technology Product 013,497.5,4.4,2.0,0.4,True,LightItems,Low,2025-06-13
Tunnel Technology Product 014,257.5,2.1,1.7,3.4,True,ZoneE,High,2025-06-14
Tunnel Technology Product 015,391.5,10.1,1.7,2.2,True,ZoneA,High,2025-06-15
Tunnel Technology Product 016,161.0,7.5,6.2,0.3,False,DryStorage,High,2025-06-16
Tunnel Technology Product 017,317.0,5.1,4.4,1.5,True,Floor2,Medium,2025-06-17
Tunnel Technology Product 018,678.4,2.2,3.7,1.2,False,AutomatedStorage1,High,2025-06-18
Tunnel Technology Product 019,470.2,0.8,2.2,1.4,False,Rack10,High,2025-06-19
Tunnel Technology Product 020,81.9,9.8,1.1,4.6,True,SectionE,Low,2025-06-20
Tunnel Technology Product 021,216.8,7.8,7.3,1.0,True,Mezzanine3,Medium,2025-06-21
Tunnel Technology Product 022,169.4,7.2,2.5,2.3,False,LoadingDock2,High,2025-06-22
Tunnel Technology Product 023,265.3,0.4,6.5,0.5,False,SectionE,Low,2025-06-23
Tunnel Technology Product 024,543.6,10.2,4.0,1.9,False,Aisle10,High,2025-06-24
Tunnel Technology Product 025,474.2,5.5,1.5,3.1,False,AutomatedStorage5,High,2025-06-25
Tunnel Technology Product 026,29.9,6.9,3.7,2.3,True,SlowMoving,Medium,2025-06-26
Tunnel Technology Product 027,42.5,5.2,0.9,1.1,False,SmallItems,Medium,2025-06-27
Tunnel Technology Product 028,257.0,3.5,4.8,3.4,True,ShelfArea3,High,2025-06-28
Tunnel Technology Product 029,721.1,2.3,7.6,4.9,False,FragileItems,High,2025-06-29
Tunnel Technology Product 030,338.0,6.9,5.4,1.6,False,Aisle5,High,2025-06-30
Tunnel Technology Product 031,47.1,11.2,0.4,2.7,True,LoadingDock3,High,2025-06-01
Tunnel Technology Product 032,175.8,1.9,1.0,2.4,False,Priority2,Low,2025-06-02
Tunnel Technology Product 033,365.8,0.5,2.0,2.0,False,ManualStorage5,Medium,2025-06-03
Tunnel Technology Product 034,402.4,11.0,3.4,2.3,False,DryStorage,High,2025-06-04
Tunnel Technology Product 035,75.4,11.0,3.5,0.7,False,Rack6,Medium,2025-06-05
Tunnel Technology Product 036,347.2,8.8,0.8,3.4,True,SmallItemStorage,Medium,2025-06-06
Tunnel Technology Product 037,235.4,5.2,1.1,1.1,True,AutomatedStorage3,Low,2025-06-07
Tunnel Technology Product 038,347.8,3.9,1.2,4.2,True,AutomatedStorage4,Medium,2025-06-08
Tunnel Technology Product 039,232.6,6.3,2.5,2.3,True,FastMoving,Medium,2025-06-09
Tunnel Technology Product 040,174.5,0.8,3.8,3.2,True,AutomatedStorage2,Medium,2025-06-10
Tunnel Technology Product 041,34.3,6.3,6.1,1.3,True,ShelfArea1,High,2025-06-11
Tunnel Technology Product 042,80.2,2.3,4.9,3.2,False,PalletArea5,Medium,2025-06-12
Tunnel Technology Product 043,113.1,0.7,4.1,2.6,False,ShelfArea5,Medium,2025-06-13
Tunnel Technology Product 044,403.7,5.0,7.2,0.5,True,Rack9,Medium,2025-06-14
Tunnel Technology Product 045,47.7,16.2,1.0,0.6,False,SectionB,High,2025-06-15
Tunnel Technology Product 046,531.2,11.2,4.7,1.9,True,ExpressLane,Medium,2025-06-16
Tunnel Technology Product 047,363.0,6.2,1.4,3.3,False,AutomatedStorage3,Low,2025-06-17
Tunnel Technology Product 048,412.3,2.1,3.1,3.6,True,FragileItems,Low,2025-06-18
Tunnel Technology Product 049,86.8,10.3,0.6,3.1,False,Priority4,Medium,2025-06-19
Tunnel Technology Product 050,115.4,11.4,2.4,2.1,True,PalletArea1,High,2025-06-20
