Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Building Technology Product 001,570.3,5.1,1.6,2.2,False,Floor5,High,2025-06-01
Building Technology Product 002,81.3,12.8,4.5,0.6,False,LoadingDock1,Low,2025-06-02
Building Technology Product 003,909.3,2.2,1.4,3.0,True,ShelfArea5,Medium,2025-06-03
Building Technology Product 004,298.2,9.5,0.4,5.4,True,Aisle6,Medium,2025-06-04
Building Technology Product 005,305.5,0.4,5.1,4.3,True,Aisle7,High,2025-06-05
Building Technology Product 006,97.9,2.5,1.9,0.8,True,ReturnsArea,Low,2025-06-06
Building Technology Product 007,328.4,5.6,7.7,3.8,False,Priority1,High,2025-06-07
Building Technology Product 008,41.3,11.0,3.6,3.5,True,BulkItems,High,2025-06-08
Building Technology Product 009,370.7,7.8,3.2,0.6,True,AutomatedStorage3,High,2025-06-09
Building Technology Product 010,42.0,9.2,0.8,0.9,False,Floor4,Low,2025-06-10
Building Technology Product 011,198.2,6.5,5.3,5.4,True,Floor1,Medium,2025-06-11
Building Technology Product 012,395.7,7.9,4.3,2.3,False,ManualStorage2,Medium,2025-06-12
Building Technology Product 013,464.2,1.7,0.9,2.5,True,Basement1,High,2025-06-13
Building Technology Product 014,62.1,3.1,3.5,0.3,False,Rack8,High,2025-06-14
Building Technology Product 015,93.4,3.1,5.6,1.4,False,PalletArea5,Medium,2025-06-15
Building Technology Product 016,178.1,11.0,3.2,0.2,True,Basement2,Low,2025-06-16
Building Technology Product 017,629.1,1.5,4.3,1.2,False,Aisle7,High,2025-06-17
Building Technology Product 018,189.6,5.4,2.6,0.7,True,BulkStorage,Medium,2025-06-18
Building Technology Product 019,444.4,14.4,2.8,2.8,False,ReturnsArea,Medium,2025-06-19
Building Technology Product 020,729.0,7.3,2.8,0.8,False,SmallItemStorage,Medium,2025-06-20
Building Technology Product 021,213.4,11.2,4.0,3.6,True,Aisle1,Medium,2025-06-21
Building Technology Product 022,479.1,8.6,5.8,1.6,False,HeavyItems,High,2025-06-22
Building Technology Product 023,629.4,3.6,5.0,3.6,False,Aisle7,Low,2025-06-23
Building Technology Product 024,416.4,1.0,4.7,1.3,True,ZoneB,Low,2025-06-24
Building Technology Product 025,16.2,0.5,4.8,2.3,True,ZoneI,Low,2025-06-25
Building Technology Product 026,481.9,13.8,4.3,3.0,True,PalletArea2,Medium,2025-06-26
Building Technology Product 027,63.5,9.7,2.9,3.3,True,AutomatedStorage4,High,2025-06-27
Building Technology Product 028,345.2,0.4,2.3,0.2,True,LoadingDock1,High,2025-06-28
Building Technology Product 029,262.2,5.4,4.5,1.9,True,HighBay3,Low,2025-06-29
Building Technology Product 030,494.2,4.9,4.2,0.3,True,AutomatedStorage2,Medium,2025-06-30
Building Technology Product 031,452.9,1.0,3.6,3.5,True,Mezzanine3,Low,2025-06-01
Building Technology Product 032,59.8,7.4,4.5,2.9,True,PremiumLane,Medium,2025-06-02
Building Technology Product 033,223.7,7.5,6.5,3.0,True,SmallItemStorage,Low,2025-06-03
