Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Smart Cities Product 001,537.3,5.0,5.0,2.5,True,SmallItemStorage,Medium,2025-06-01
Smart Cities Product 002,2.5,9.1,0.7,4.5,True,LoadingDock2,High,2025-06-02
Smart Cities Product 003,398.0,5.4,5.2,0.3,False,SectionC,Medium,2025-06-03
Smart Cities Product 004,403.0,9.2,5.5,5.0,True,Floor3,High,2025-06-04
Smart Cities Product 005,101.0,10.3,1.6,3.4,True,HighBay2,High,2025-06-05
Smart Cities Product 006,147.1,11.7,0.4,3.9,True,Basement5,Medium,2025-06-06
Smart Cities Product 007,623.8,10.1,3.4,4.7,False,Rack1,Medium,2025-06-07
Smart Cities Product 008,528.8,1.2,5.1,4.2,True,Rack8,High,2025-06-08
Smart Cities Product 009,627.7,7.3,3.4,3.9,True,Rack9,High,2025-06-09
Smart Cities Product 010,442.9,2.1,0.9,3.9,True,ZoneA,High,2025-06-10
Smart Cities Product 011,567.6,5.7,5.9,1.4,False,ShelfArea1,Low,2025-06-11
Smart Cities Product 012,394.2,15.1,2.5,2.3,True,MediumItems,High,2025-06-12
Smart Cities Product 013,835.4,8.5,4.7,2.1,False,PalletArea5,Low,2025-06-13
Smart Cities Product 014,164.2,7.4,4.8,0.3,True,SectionH,High,2025-06-14
Smart Cities Product 015,629.2,8.0,6.8,2.1,True,Rack2,High,2025-06-15
Smart Cities Product 016,326.5,5.8,2.9,1.8,True,ManualStorage5,Low,2025-06-16
Smart Cities Product 017,151.9,5.7,4.9,3.3,True,Aisle7,Medium,2025-06-17
Smart Cities Product 018,389.8,0.3,3.0,1.6,False,SectionD,Low,2025-06-18
Smart Cities Product 019,354.2,10.2,2.8,2.2,False,ManualStorage5,Medium,2025-06-19
Smart Cities Product 020,293.7,0.9,4.4,0.8,False,Aisle8,High,2025-06-20
Smart Cities Product 021,157.2,1.7,2.7,1.6,False,ReceivingArea,Medium,2025-06-21
Smart Cities Product 022,151.0,1.9,2.9,1.1,False,SlowMoving,High,2025-06-22
Smart Cities Product 023,271.2,6.6,6.1,4.3,True,AutomatedStorage2,Low,2025-06-23
Smart Cities Product 024,157.1,13.4,2.9,3.5,False,Mezzanine4,Low,2025-06-24
Smart Cities Product 025,213.4,6.8,5.1,4.3,True,ZoneF,Medium,2025-06-25
Smart Cities Product 026,406.9,11.7,2.7,2.8,True,SectionA,High,2025-06-26
Smart Cities Product 027,8.1,4.4,4.7,2.0,True,Priority5,High,2025-06-27
Smart Cities Product 028,448.1,10.8,3.7,4.1,False,Aisle5,Medium,2025-06-28
Smart Cities Product 029,424.8,8.0,1.2,3.8,True,AutomatedStorage3,Low,2025-06-29
Smart Cities Product 030,25.0,0.8,0.9,5.3,True,SectionD,Low,2025-06-30
Smart Cities Product 031,9.7,7.3,2.4,5.0,True,Aisle5,High,2025-06-01
Smart Cities Product 032,266.8,4.5,1.7,2.4,False,Rack10,High,2025-06-02
Smart Cities Product 033,397.0,7.2,5.8,0.5,True,Mezzanine5,Medium,2025-06-03
Smart Cities Product 034,276.2,0.3,4.3,2.5,False,Aisle2,Low,2025-06-04
Smart Cities Product 035,204.3,14.7,3.2,4.6,True,ZoneA,Low,2025-06-05
Smart Cities Product 036,788.0,7.1,5.2,1.9,True,Floor4,Low,2025-06-06
Smart Cities Product 037,484.1,8.7,5.6,1.6,True,ZoneD,Low,2025-06-07
Smart Cities Product 038,121.0,10.8,1.7,1.8,False,HeavyItems,High,2025-06-08
Smart Cities Product 039,514.2,12.0,6.1,3.6,False,PalletArea4,Low,2025-06-09
Smart Cities Product 040,386.8,16.4,3.9,4.1,True,SectionF,High,2025-06-10
Smart Cities Product 041,202.6,7.2,6.0,3.3,True,ZoneJ,Low,2025-06-11
Smart Cities Product 042,736.7,5.8,0.6,1.3,False,Mezzanine4,High,2025-06-12
Smart Cities Product 043,17.9,9.0,1.2,1.1,True,ManualStorage4,Low,2025-06-13
Smart Cities Product 044,407.7,7.8,1.0,3.8,True,SectionG,High,2025-06-14
Smart Cities Product 045,375.4,7.9,5.7,0.8,True,Aisle7,Low,2025-06-15
Smart Cities Product 046,348.2,0.6,5.8,1.0,True,OverflowStorage,Low,2025-06-16
Smart Cities Product 047,282.1,8.6,1.5,1.6,False,Floor3,Low,2025-06-17
Smart Cities Product 048,229.6,10.6,2.1,0.4,False,Rack3,Medium,2025-06-18
Smart Cities Product 049,488.6,7.3,5.7,3.3,False,Mezzanine3,Low,2025-06-19
Smart Cities Product 050,554.4,3.4,5.4,0.7,False,SectionB,Medium,2025-06-20
