Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Green Buildings Product 001,194.5,2.0,2.9,1.4,False,ZoneA,Low,2025-06-01
Green Buildings Product 002,552.2,12.9,1.3,4.0,True,SectionD,Low,2025-06-02
Green Buildings Product 003,181.4,2.7,0.8,2.7,True,PalletArea3,High,2025-06-03
Green Buildings Product 004,385.4,11.7,2.4,3.9,False,FragileItems,High,2025-06-04
Green Buildings Product 005,713.4,4.3,5.7,1.8,False,Aisle10,Low,2025-06-05
Green Buildings Product 006,419.7,6.6,3.9,0.5,True,LoadingDock2,High,2025-06-06
Green Buildings Product 007,519.2,6.3,5.7,4.4,True,Rack4,High,2025-06-07
Green Buildings Product 008,146.2,5.3,4.5,2.9,True,LargeItems,High,2025-06-08
Green Buildings Product 009,601.0,1.5,3.1,0.8,False,SmallItems,Medium,2025-06-09
Green Buildings Product 010,894.9,10.4,0.4,1.5,False,Rack10,Medium,2025-06-10
Green Buildings Product 011,66.5,7.0,1.4,4.5,True,Aisle8,Low,2025-06-11
Green Buildings Product 012,33.3,9.4,5.8,2.5,False,HighBay3,High,2025-06-12
Green Buildings Product 013,148.7,14.1,1.5,1.3,True,SlowMoving,High,2025-06-13
Green Buildings Product 014,507.9,3.8,2.8,1.4,False,HighBay5,Low,2025-06-14
Green Buildings Product 015,178.2,9.2,1.7,1.6,True,Mezzanine1,High,2025-06-15
Green Buildings Product 016,412.3,3.9,4.1,1.8,False,AutomatedStorage2,Medium,2025-06-16
Green Buildings Product 017,486.2,5.9,2.9,4.6,True,PalletArea4,Medium,2025-06-17
Green Buildings Product 018,442.0,5.5,2.4,1.3,True,HazardousStorage,Low,2025-06-18
Green Buildings Product 019,303.9,6.5,4.6,2.4,False,PremiumLane,High,2025-06-19
Green Buildings Product 020,112.5,2.5,4.4,5.4,True,ShelfArea1,High,2025-06-20
Green Buildings Product 021,59.4,2.9,2.3,2.5,False,Mezzanine4,Low,2025-06-21
Green Buildings Product 022,60.5,4.1,1.0,2.6,False,SectionC,Medium,2025-06-22
Green Buildings Product 023,175.8,1.3,4.7,3.2,False,Floor4,Medium,2025-06-23
Green Buildings Product 024,456.4,8.1,0.7,3.3,True,Basement5,Medium,2025-06-24
Green Buildings Product 025,628.9,5.0,3.9,2.6,True,Priority2,Low,2025-06-25
Green Buildings Product 026,170.4,8.7,0.5,1.9,False,PalletArea3,Low,2025-06-26
Green Buildings Product 027,199.9,13.1,2.3,3.0,True,QualityControl,Medium,2025-06-27
Green Buildings Product 028,558.0,5.8,4.0,2.0,True,ManualStorage3,High,2025-06-28
Green Buildings Product 029,326.5,9.6,4.0,1.7,True,LargeItems,High,2025-06-29
Green Buildings Product 030,692.8,15.1,2.6,6.1,False,AutomatedStorage5,Low,2025-06-30
Green Buildings Product 031,519.1,9.3,6.3,1.3,False,SectionA,Low,2025-06-01
Green Buildings Product 032,160.8,11.3,1.3,1.9,False,ShelfArea2,Medium,2025-06-02
Green Buildings Product 033,194.8,1.4,3.0,2.0,True,PalletArea5,High,2025-06-03
Green Buildings Product 034,711.1,5.0,5.3,2.7,False,Aisle8,High,2025-06-04
Green Buildings Product 035,439.8,7.5,2.9,2.1,True,PalletArea5,Medium,2025-06-05
Green Buildings Product 036,93.0,15.3,3.4,2.8,True,ColdStorage,High,2025-06-06
Green Buildings Product 037,264.1,5.9,1.4,1.0,True,Rack3,Low,2025-06-07
Green Buildings Product 038,544.8,3.5,3.0,4.0,False,Priority3,High,2025-06-08
Green Buildings Product 039,130.2,7.7,3.2,2.8,True,ShelfArea4,Medium,2025-06-09
Green Buildings Product 040,277.8,12.8,2.9,4.1,True,ZoneI,High,2025-06-10
Green Buildings Product 041,539.5,2.2,1.1,5.6,True,ZoneF,Low,2025-06-11
Green Buildings Product 042,41.4,4.1,3.5,3.4,False,ZoneJ,Medium,2025-06-12
Green Buildings Product 043,595.4,1.8,4.1,0.3,False,LoadingDock4,High,2025-06-13
