Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Sustainable Technology Product 001,24.4,0.8,1.4,2.0,True,ExpressLane,Medium,2025-06-01
Sustainable Technology Product 002,275.6,3.4,1.5,5.2,True,Aisle5,Medium,2025-06-02
Sustainable Technology Product 003,293.0,2.2,0.7,0.2,False,ShelfArea1,Medium,2025-06-03
Sustainable Technology Product 004,321.4,7.0,5.3,4.6,False,ManualStorage5,Low,2025-06-04
Sustainable Technology Product 005,522.0,7.5,0.9,2.3,False,FastMoving,Medium,2025-06-05
Sustainable Technology Product 006,441.3,9.9,1.2,2.6,True,SectionE,Low,2025-06-06
Sustainable Technology Product 007,246.7,10.2,0.5,1.0,False,BulkItems,Medium,2025-06-07
Sustainable Technology Product 008,67.9,11.5,0.6,0.9,True,SectionC,High,2025-06-08
Sustainable Technology Product 009,132.1,11.9,2.3,2.8,False,MediumItems,High,2025-06-09
Sustainable Technology Product 010,586.3,3.3,4.1,0.9,False,FastMoving,Low,2025-06-10
Sustainable Technology Product 011,129.7,6.7,2.4,3.5,True,HeavyItems,Low,2025-06-11
Sustainable Technology Product 012,121.0,12.9,4.5,3.7,False,AutomatedStorage5,Medium,2025-06-12
Sustainable Technology Product 013,526.2,4.7,3.4,3.7,True,AutomatedStorage4,Medium,2025-06-13
Sustainable Technology Product 014,436.7,0.9,5.9,3.8,False,PalletArea4,Low,2025-06-14
Sustainable Technology Product 015,97.0,5.4,4.1,2.3,False,EconomyLane,High,2025-06-15
Sustainable Technology Product 016,101.9,2.7,1.7,1.4,True,Mezzanine5,High,2025-06-16
Sustainable Technology Product 017,138.0,2.8,7.0,6.3,False,Seasonal,High,2025-06-17
Sustainable Technology Product 018,29.8,9.8,3.1,1.6,True,Basement5,Medium,2025-06-18
Sustainable Technology Product 019,228.0,8.0,2.0,3.1,True,EconomyLane,High,2025-06-19
Sustainable Technology Product 020,321.9,0.9,2.7,0.5,False,Rack4,Low,2025-06-20
Sustainable Technology Product 021,85.0,7.3,0.3,2.4,True,AutomatedStorage4,High,2025-06-21
Sustainable Technology Product 022,232.8,1.0,2.9,4.0,True,ManualStorage4,High,2025-06-22
Sustainable Technology Product 023,629.3,5.0,2.2,2.4,False,DryStorage,High,2025-06-23
Sustainable Technology Product 024,735.5,12.7,5.6,3.6,True,Priority3,Low,2025-06-24
Sustainable Technology Product 025,372.8,3.9,5.1,4.3,False,Rack1,High,2025-06-25
Sustainable Technology Product 026,433.3,4.5,1.5,4.3,False,ShelfArea1,High,2025-06-26
Sustainable Technology Product 027,96.7,5.2,4.3,2.6,True,ShelfArea5,High,2025-06-27
Sustainable Technology Product 028,736.8,10.0,3.7,5.1,True,Basement5,Medium,2025-06-28
Sustainable Technology Product 029,173.7,6.0,3.2,2.9,False,ManualStorage1,Low,2025-06-29
Sustainable Technology Product 030,414.9,5.3,0.6,4.9,False,SectionF,Low,2025-06-30
Sustainable Technology Product 031,279.9,4.5,1.1,1.2,False,ZoneI,High,2025-06-01
Sustainable Technology Product 032,7.8,7.6,1.3,2.6,False,Priority1,Low,2025-06-02
Sustainable Technology Product 033,216.0,7.8,4.4,2.8,True,PalletArea3,Low,2025-06-03
Sustainable Technology Product 034,471.1,4.2,6.5,5.0,False,DryStorage,Low,2025-06-04
Sustainable Technology Product 035,443.8,3.3,3.5,2.1,True,LoadingDock2,High,2025-06-05
Sustainable Technology Product 036,443.3,8.7,6.0,2.7,False,FragileItems,High,2025-06-06
Sustainable Technology Product 037,616.1,9.6,4.7,1.3,False,AutomatedStorage2,High,2025-06-07
Sustainable Technology Product 038,391.3,0.4,4.6,3.3,True,ManualStorage1,High,2025-06-08
Sustainable Technology Product 039,344.2,1.2,3.6,5.4,False,SectionC,Low,2025-06-09
Sustainable Technology Product 040,13.0,8.4,3.5,2.8,True,ZoneB,Low,2025-06-10
Sustainable Technology Product 041,390.5,3.6,5.7,0.5,True,Floor2,Medium,2025-06-11
Sustainable Technology Product 042,312.3,9.1,0.7,3.3,False,ZoneF,Low,2025-06-12
Sustainable Technology Product 043,88.8,0.6,5.1,0.2,True,Basement5,Medium,2025-06-13
Sustainable Technology Product 044,81.2,8.5,2.5,3.4,False,Aisle5,Medium,2025-06-14
Sustainable Technology Product 045,35.5,14.4,4.7,3.5,True,ShelfArea5,High,2025-06-15
Sustainable Technology Product 046,118.5,1.2,4.0,2.8,True,ManualStorage4,High,2025-06-16
