Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Waste Management Product 001,10.1,9.4,5.9,1.2,True,Priority3,Low,2025-06-01
Waste Management Product 002,200.5,10.4,4.3,3.4,False,QualityControl,Medium,2025-06-02
Waste Management Product 003,206.0,12.6,2.2,1.2,True,Priority2,Low,2025-06-03
Waste Management Product 004,552.4,7.0,6.9,4.1,True,ManualStorage2,Medium,2025-06-04
Waste Management Product 005,411.6,8.0,4.6,1.2,True,Rack10,Medium,2025-06-05
Waste Management Product 006,527.1,3.4,0.4,2.2,True,ManualStorage3,High,2025-06-06
Waste Management Product 007,54.2,3.9,3.1,2.8,False,ZoneB,Medium,2025-06-07
Waste Management Product 008,335.0,2.0,2.3,2.0,True,Rack1,High,2025-06-08
Waste Management Product 009,410.7,3.8,1.7,1.7,True,SectionG,High,2025-06-09
Waste Management Product 010,125.3,5.1,0.7,0.8,False,Seasonal,Low,2025-06-10
Waste Management Product 011,193.6,5.6,2.2,5.6,True,Basement5,Low,2025-06-11
Waste Management Product 012,368.6,2.5,3.3,1.2,True,ZoneC,Low,2025-06-12
Waste Management Product 013,52.9,4.5,0.3,0.7,False,AutomatedStorage3,High,2025-06-13
Waste Management Product 014,225.4,7.3,3.8,4.3,False,Basement4,Medium,2025-06-14
Waste Management Product 015,68.4,9.2,4.8,2.3,True,Rack9,Low,2025-06-15
Waste Management Product 016,267.7,7.9,0.4,3.3,True,ShippingArea,High,2025-06-16
Waste Management Product 017,394.6,1.5,2.5,4.1,False,ZoneG,Low,2025-06-17
Waste Management Product 018,80.2,10.9,4.1,1.8,False,Floor3,High,2025-06-18
Waste Management Product 019,524.5,3.7,4.4,1.6,False,ShelfArea1,Medium,2025-06-19
Waste Management Product 020,9.6,6.9,1.6,3.5,True,Priority5,Low,2025-06-20
Waste Management Product 021,557.0,10.8,1.4,0.6,False,Aisle5,Medium,2025-06-21
Waste Management Product 022,539.6,8.3,5.4,1.6,True,PalletArea5,Low,2025-06-22
Waste Management Product 023,164.6,13.5,6.8,5.3,False,ShippingArea,Medium,2025-06-23
Waste Management Product 024,308.7,11.2,4.3,3.1,False,Floor5,Low,2025-06-24
Waste Management Product 025,362.9,7.5,3.6,5.4,False,HighBay5,High,2025-06-25
Waste Management Product 026,870.0,6.2,3.1,3.3,False,StandardLane,Medium,2025-06-26
Waste Management Product 027,85.8,5.4,4.0,1.3,False,ShelfArea4,High,2025-06-27
Waste Management Product 028,319.9,4.1,5.8,2.3,False,BulkItems,Low,2025-06-28
Waste Management Product 029,419.5,10.0,4.2,4.1,True,AutomatedStorage1,High,2025-06-29
Waste Management Product 030,358.1,1.2,1.6,3.9,False,AutomatedStorage4,Medium,2025-06-30
Waste Management Product 031,305.6,9.9,2.0,1.7,False,Aisle8,Low,2025-06-01
Waste Management Product 032,142.7,9.2,5.5,3.0,True,ColdStorage,Low,2025-06-02
Waste Management Product 033,250.4,7.4,1.7,0.6,False,SectionG,Medium,2025-06-03
Waste Management Product 034,117.8,1.2,1.2,1.1,False,LoadingDock1,Low,2025-06-04
Waste Management Product 035,263.4,7.2,4.8,3.1,False,Seasonal,Low,2025-06-05
Waste Management Product 036,114.7,8.0,6.0,1.4,True,Aisle4,High,2025-06-06
Waste Management Product 037,145.2,10.2,3.6,0.8,True,AutomatedStorage1,Low,2025-06-07
Waste Management Product 038,729.7,6.4,5.1,0.6,True,LoadingDock3,Medium,2025-06-08
Waste Management Product 039,695.8,10.7,6.6,2.7,True,Rack7,High,2025-06-09
Waste Management Product 040,214.2,12.5,3.8,2.6,True,Seasonal,High,2025-06-10
Waste Management Product 041,248.4,13.6,2.2,4.0,True,Rack9,Low,2025-06-11
Waste Management Product 042,20.5,3.6,2.3,1.6,True,Mezzanine1,Low,2025-06-12
