Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Water Treatment Product 001,374.0,2.2,2.8,0.3,False,Priority3,Medium,2025-06-01
Water Treatment Product 002,599.0,14.4,4.8,3.9,False,ReceivingArea,Low,2025-06-02
Water Treatment Product 003,597.5,8.3,7.5,3.1,True,LightItems,Medium,2025-06-03
Water Treatment Product 004,111.3,2.5,4.8,4.4,True,ManualStorage5,Low,2025-06-04
Water Treatment Product 005,181.2,3.3,2.7,1.2,False,ZoneJ,High,2025-06-05
Water Treatment Product 006,654.0,7.2,3.2,3.2,False,OverflowLane,Medium,2025-06-06
Water Treatment Product 007,95.5,10.0,5.2,3.5,False,Basement3,Low,2025-06-07
Water Treatment Product 008,96.7,2.0,5.6,2.8,True,AutomatedStorage4,High,2025-06-08
Water Treatment Product 009,222.4,9.4,1.8,3.8,True,HazardousStorage,High,2025-06-09
Water Treatment Product 010,201.3,3.7,4.1,2.0,False,Rack5,High,2025-06-10
Water Treatment Product 011,342.3,0.5,7.8,1.1,False,Rack3,High,2025-06-11
Water Treatment Product 012,171.7,4.3,7.4,4.7,False,StandardLane,Low,2025-06-12
Water Treatment Product 013,42.2,15.4,1.0,1.6,True,Priority4,High,2025-06-13
Water Treatment Product 014,393.5,2.8,3.5,3.2,True,Basement1,Low,2025-06-14
Water Treatment Product 015,509.0,1.2,4.1,0.9,True,HazardousStorage,Low,2025-06-15
Water Treatment Product 016,159.3,1.6,1.9,5.7,True,ManualStorage2,Low,2025-06-16
Water Treatment Product 017,78.4,4.2,5.5,4.5,True,Priority5,Medium,2025-06-17
Water Treatment Product 018,17.7,3.9,1.8,1.0,True,SectionD,Low,2025-06-18
Water Treatment Product 019,512.2,9.0,2.1,1.1,False,ZoneA,Medium,2025-06-19
Water Treatment Product 020,116.2,5.9,1.8,0.5,True,Aisle8,Low,2025-06-20
Water Treatment Product 021,133.4,4.4,4.3,3.9,False,ZoneJ,High,2025-06-21
Water Treatment Product 022,269.4,1.8,0.3,5.0,True,ManualStorage1,High,2025-06-22
Water Treatment Product 023,335.3,8.0,5.3,1.3,False,HighBay4,Low,2025-06-23
Water Treatment Product 024,245.5,11.1,1.4,5.9,False,OverflowStorage,Low,2025-06-24
Water Treatment Product 025,296.3,6.8,4.4,0.6,False,Rack4,Medium,2025-06-25
Water Treatment Product 026,685.9,7.9,6.1,1.1,False,Priority2,Medium,2025-06-26
Water Treatment Product 027,411.9,3.7,7.7,3.6,True,Rack6,Medium,2025-06-27
Water Treatment Product 028,176.2,0.9,0.9,2.0,False,Rack8,Medium,2025-06-28
Water Treatment Product 029,646.7,14.7,1.0,3.3,True,HazardousStorage,Low,2025-06-29
Water Treatment Product 030,111.1,1.2,3.3,1.1,False,ZoneD,High,2025-06-30
Water Treatment Product 031,398.6,4.7,4.7,1.5,False,SmallItems,High,2025-06-01
Water Treatment Product 032,196.3,6.2,3.7,3.3,True,Aisle4,Low,2025-06-02
Water Treatment Product 033,308.9,11.4,7.2,3.2,True,ZoneI,Low,2025-06-03
Water Treatment Product 034,319.2,0.5,0.7,3.4,False,ColdStorage,Low,2025-06-04
Water Treatment Product 035,411.3,2.5,7.3,1.2,False,Floor1,Low,2025-06-05
Water Treatment Product 036,348.2,3.0,3.4,1.0,True,Rack1,High,2025-06-06
Water Treatment Product 037,171.1,10.3,4.0,1.2,True,ZoneF,High,2025-06-07
Water Treatment Product 038,506.1,5.1,6.1,0.8,False,Rack7,High,2025-06-08
Water Treatment Product 039,247.8,9.7,1.1,4.5,True,ZoneF,Low,2025-06-09
Water Treatment Product 040,19.5,2.9,5.6,1.9,True,Floor2,Low,2025-06-10
Water Treatment Product 041,432.9,8.6,1.8,0.3,False,Priority5,Low,2025-06-11
Water Treatment Product 042,57.2,7.3,5.3,1.7,False,Rack10,Medium,2025-06-12
Water Treatment Product 043,315.1,2.3,6.1,0.8,True,AutomatedStorage4,Low,2025-06-13
Water Treatment Product 044,513.0,8.9,0.7,3.1,False,PalletArea3,Low,2025-06-14
Water Treatment Product 045,233.5,16.6,2.0,0.9,False,ZoneE,Medium,2025-06-15
Water Treatment Product 046,78.2,3.2,2.4,3.8,False,ShelfArea1,Low,2025-06-16
