Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Air Purification Product 001,324.0,10.4,2.0,2.8,True,HighBay4,Low,2025-06-01
Air Purification Product 002,479.3,8.4,0.4,4.4,False,ManualStorage1,High,2025-06-02
Air Purification Product 003,286.8,1.7,6.3,4.2,False,Floor4,Low,2025-06-03
Air Purification Product 004,122.0,0.5,2.9,4.1,True,Priority5,Low,2025-06-04
Air Purification Product 005,282.2,3.9,3.5,2.9,True,ShelfArea2,High,2025-06-05
Air Purification Product 006,232.7,9.2,3.4,1.4,False,Rack5,Medium,2025-06-06
Air Purification Product 007,488.0,7.0,7.4,1.6,True,Mezzanine2,Low,2025-06-07
Air Purification Product 008,905.1,15.7,3.1,2.6,True,Priority5,High,2025-06-08
Air Purification Product 009,173.7,10.7,2.8,5.7,False,ManualStorage1,High,2025-06-09
Air Purification Product 010,550.5,1.5,5.3,4.7,True,SmallItemStorage,High,2025-06-10
Air Purification Product 011,167.0,0.9,4.9,2.7,True,LoadingDock3,Medium,2025-06-11
Air Purification Product 012,149.4,4.6,3.2,2.6,True,SectionB,Medium,2025-06-12
Air Purification Product 013,154.0,9.5,1.3,5.2,True,ManualStorage3,High,2025-06-13
Air Purification Product 014,529.2,1.7,1.4,1.6,False,QualityControl,Medium,2025-06-14
Air Purification Product 015,609.3,7.4,6.4,4.5,True,Aisle9,High,2025-06-15
Air Purification Product 016,496.2,11.8,5.1,3.5,True,ZoneI,High,2025-06-16
Air Purification Product 017,503.5,8.2,0.4,1.5,True,ZoneI,Medium,2025-06-17
Air Purification Product 018,573.0,1.5,4.5,2.3,False,ReceivingArea,Medium,2025-06-18
Air Purification Product 019,128.1,6.3,5.2,1.6,True,MediumItems,High,2025-06-19
Air Purification Product 020,339.1,2.8,2.4,3.3,False,ColdStorage,Low,2025-06-20
Air Purification Product 021,360.6,2.7,3.1,0.6,False,AutomatedStorage2,High,2025-06-21
Air Purification Product 022,32.6,1.3,2.0,5.9,True,SmallItemStorage,High,2025-06-22
Air Purification Product 023,183.7,7.7,4.3,2.2,True,HighBay1,Low,2025-06-23
Air Purification Product 024,48.4,6.0,2.6,0.2,True,Floor1,High,2025-06-24
Air Purification Product 025,590.8,13.0,3.0,1.5,True,Basement5,Low,2025-06-25
Air Purification Product 026,471.3,3.0,3.3,3.9,True,Rack2,Medium,2025-06-26
Air Purification Product 027,256.0,7.7,7.4,2.9,False,PalletArea5,Medium,2025-06-27
Air Purification Product 028,750.8,7.8,1.2,4.3,False,Floor5,High,2025-06-28
Air Purification Product 029,427.2,4.4,5.3,4.4,False,ReturnsArea,Low,2025-06-29
Air Purification Product 030,199.0,11.1,6.4,6.1,True,PalletArea4,High,2025-06-30
Air Purification Product 031,135.4,7.8,3.0,3.5,True,Mezzanine4,High,2025-06-01
Air Purification Product 032,63.6,6.2,4.6,2.9,False,Basement2,Low,2025-06-02
Air Purification Product 033,660.1,6.6,3.8,3.9,True,OverflowLane,Low,2025-06-03
Air Purification Product 034,180.1,2.6,5.6,4.1,False,PalletArea1,Low,2025-06-04
Air Purification Product 035,101.9,12.3,0.9,4.0,True,Aisle2,Medium,2025-06-05
Air Purification Product 036,466.1,14.4,0.9,2.7,True,Rack7,Medium,2025-06-06
Air Purification Product 037,469.3,13.3,1.3,3.8,False,ShelfArea2,Medium,2025-06-07
Air Purification Product 038,376.3,3.0,3.4,2.8,False,ZoneA,Low,2025-06-08
Air Purification Product 039,272.9,5.3,3.6,2.5,True,LightItems,Medium,2025-06-09
Air Purification Product 040,83.8,6.5,5.5,4.4,False,Aisle10,Medium,2025-06-10
Air Purification Product 041,390.2,1.7,2.5,4.5,False,SmallItems,Low,2025-06-11
Air Purification Product 042,412.1,5.9,4.3,0.5,False,BulkStorage,Low,2025-06-12
Air Purification Product 043,334.3,3.4,0.4,6.1,True,Aisle6,High,2025-06-13
Air Purification Product 044,301.6,9.6,1.1,3.0,True,Floor3,Low,2025-06-14
Air Purification Product 045,8.0,10.2,0.9,1.3,False,FragileItems,Low,2025-06-15
Air Purification Product 046,305.8,2.9,2.4,2.3,True,ZoneJ,High,2025-06-16
Air Purification Product 047,49.3,6.9,2.9,0.3,True,ZoneF,High,2025-06-17
Air Purification Product 048,494.5,9.1,4.0,2.8,True,Rack7,Low,2025-06-18
Air Purification Product 049,498.5,8.5,1.2,3.2,False,Rack9,High,2025-06-19
Air Purification Product 050,661.9,3.5,2.4,2.5,False,SlowMoving,High,2025-06-20
Air Purification Product 051,220.3,2.0,1.0,3.1,True,Floor3,Low,2025-06-21
Air Purification Product 052,253.7,10.6,2.9,1.6,True,SectionD,High,2025-06-22
Air Purification Product 053,218.6,5.2,1.3,5.3,True,Rack7,High,2025-06-23
Air Purification Product 054,611.1,8.9,1.9,4.2,True,ZoneH,Low,2025-06-24
Air Purification Product 055,292.2,2.8,2.6,5.4,False,Seasonal,High,2025-06-25
Air Purification Product 056,401.1,4.5,3.5,0.4,True,AutomatedStorage1,Low,2025-06-26
Air Purification Product 057,193.8,11.2,4.1,2.9,True,HighBay1,Low,2025-06-27
Air Purification Product 058,472.7,2.1,5.2,3.3,False,ShelfArea4,Low,2025-06-28
Air Purification Product 059,62.3,4.6,2.6,3.6,True,DryStorage,Medium,2025-06-29
Air Purification Product 060,232.0,9.3,5.0,2.5,False,Rack6,Medium,2025-06-30
Air Purification Product 061,242.0,11.8,4.6,4.2,True,SectionC,Medium,2025-06-01
Air Purification Product 062,327.8,1.9,7.4,1.8,True,ShelfArea4,High,2025-06-02
Air Purification Product 063,284.2,5.7,6.3,1.8,True,ManualStorage5,Medium,2025-06-03
Air Purification Product 064,84.9,12.6,3.1,0.3,True,PalletArea3,Medium,2025-06-04
Air Purification Product 065,96.9,5.9,2.2,0.5,False,Rack1,High,2025-06-05
Air Purification Product 066,166.4,1.5,7.1,4.1,False,ZoneD,Low,2025-06-06
Air Purification Product 067,278.6,8.7,4.6,4.4,True,BulkStorage,Low,2025-06-07
Air Purification Product 068,8.8,9.0,4.6,2.4,True,Mezzanine1,Low,2025-06-08
Air Purification Product 069,243.3,12.5,5.1,0.4,False,HeavyItems,Medium,2025-06-09
Air Purification Product 070,173.2,9.1,0.7,3.0,True,SmallItems,Low,2025-06-10
Air Purification Product 071,550.4,3.5,2.6,1.7,True,BulkStorage,Low,2025-06-11
Air Purification Product 072,784.1,9.6,1.3,4.9,False,SectionE,Medium,2025-06-12
Air Purification Product 073,276.4,1.3,0.9,1.9,True,Aisle2,High,2025-06-13
Air Purification Product 074,463.4,2.0,2.0,1.9,True,ZoneD,Medium,2025-06-14
Air Purification Product 075,279.7,5.5,4.3,3.6,False,BulkStorage,Low,2025-06-15
Air Purification Product 076,349.5,7.6,6.4,2.7,False,ZoneF,High,2025-06-16
Air Purification Product 077,220.4,9.4,2.3,4.8,False,Priority4,High,2025-06-17
Air Purification Product 078,330.1,10.6,0.6,5.0,True,Priority3,Low,2025-06-18
Air Purification Product 079,390.1,10.5,3.9,0.6,True,ShippingArea,Medium,2025-06-19
Air Purification Product 080,861.5,4.6,5.2,1.6,False,ExpressLane,Low,2025-06-20
Air Purification Product 081,668.2,4.3,2.1,3.8,True,ZoneA,Medium,2025-06-21
Air Purification Product 082,337.0,4.1,6.9,0.6,False,Aisle10,Low,2025-06-22
Air Purification Product 083,96.5,2.0,3.4,4.2,False,ManualStorage1,Medium,2025-06-23
Air Purification Product 084,33.7,12.3,0.4,2.3,True,ManualStorage1,High,2025-06-24
Air Purification Product 085,200.1,6.1,0.7,0.7,False,ZoneC,Low,2025-06-25
Air Purification Product 086,380.2,3.5,2.5,0.5,False,ZoneB,Low,2025-06-26
Air Purification Product 087,93.0,12.4,5.6,2.3,True,ReceivingArea,Medium,2025-06-27
Air Purification Product 088,35.6,7.9,2.2,1.5,True,Aisle6,High,2025-06-28
