Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Soil Remediation Product 001,616.1,8.4,2.5,4.5,False,Floor2,Low,2025-06-01
Soil Remediation Product 002,223.6,2.5,6.9,0.4,True,Aisle2,Medium,2025-06-02
Soil Remediation Product 003,292.5,8.4,6.2,1.5,True,HighBay2,Low,2025-06-03
Soil Remediation Product 004,60.2,11.6,1.6,2.7,False,Aisle3,Medium,2025-06-04
Soil Remediation Product 005,2.4,3.2,0.5,1.2,True,Rack4,High,2025-06-05
Soil Remediation Product 006,219.3,2.0,2.3,1.7,True,BulkItems,Medium,2025-06-06
Soil Remediation Product 007,24.0,2.7,3.1,0.8,True,Priority1,High,2025-06-07
Soil Remediation Product 008,218.9,7.1,1.3,0.6,True,SmallItemStorage,Medium,2025-06-08
Soil Remediation Product 009,37.8,5.6,5.3,0.3,True,MediumItems,Medium,2025-06-09
Soil Remediation Product 010,276.9,6.6,1.7,2.7,True,Rack10,Low,2025-06-10
Soil Remediation Product 011,197.1,1.8,4.0,0.3,False,HazardousStorage,Medium,2025-06-11
Soil Remediation Product 012,216.9,8.2,4.3,2.0,True,ManualStorage5,Medium,2025-06-12
Soil Remediation Product 013,71.7,4.7,0.7,2.9,False,HazardousStorage,High,2025-06-13
Soil Remediation Product 014,429.5,3.8,0.5,2.1,False,Floor4,Low,2025-06-14
Soil Remediation Product 015,334.5,2.9,7.5,3.5,True,LoadingDock5,Low,2025-06-15
Soil Remediation Product 016,197.4,4.0,2.9,4.2,True,Basement3,High,2025-06-16
Soil Remediation Product 017,306.2,8.6,1.1,0.9,False,Aisle5,Low,2025-06-17
Soil Remediation Product 018,721.1,11.3,1.5,2.3,True,SectionA,Medium,2025-06-18
Soil Remediation Product 019,152.5,9.8,4.4,0.3,False,ManualStorage1,Low,2025-06-19
Soil Remediation Product 020,148.3,1.4,5.6,0.5,False,Rack10,Medium,2025-06-20
Soil Remediation Product 021,746.0,4.6,2.6,0.5,True,Seasonal,Medium,2025-06-21
Soil Remediation Product 022,108.3,5.5,2.3,2.6,False,Mezzanine5,Medium,2025-06-22
Soil Remediation Product 023,253.9,7.4,3.2,4.1,True,AutomatedStorage3,Medium,2025-06-23
Soil Remediation Product 024,343.3,4.0,2.0,0.3,True,Rack4,High,2025-06-24
Soil Remediation Product 025,53.4,8.3,1.4,2.4,False,Basement4,Low,2025-06-25
Soil Remediation Product 026,205.8,4.5,7.5,2.4,False,PalletArea1,Medium,2025-06-26
Soil Remediation Product 027,901.9,6.7,4.9,0.6,False,Seasonal,Medium,2025-06-27
Soil Remediation Product 028,665.6,8.6,1.3,0.3,True,ManualStorage1,Low,2025-06-28
Soil Remediation Product 029,317.0,14.7,2.8,0.9,False,ZoneC,High,2025-06-29
Soil Remediation Product 030,444.5,5.5,5.4,3.5,False,Priority5,Medium,2025-06-30
Soil Remediation Product 031,196.4,10.5,3.5,3.0,False,ZoneB,Medium,2025-06-01
Soil Remediation Product 032,355.4,11.3,6.8,0.7,False,ZoneD,Low,2025-06-02
Soil Remediation Product 033,547.7,15.8,7.1,3.5,True,Aisle7,High,2025-06-03
Soil Remediation Product 034,513.6,8.1,1.3,2.5,True,Basement1,Low,2025-06-04
Soil Remediation Product 035,218.5,2.2,1.2,3.1,False,AutomatedStorage3,Medium,2025-06-05
Soil Remediation Product 036,467.9,2.3,5.5,1.0,False,Mezzanine1,Low,2025-06-06
Soil Remediation Product 037,243.2,8.6,5.4,4.2,False,AutomatedStorage2,Medium,2025-06-07
Soil Remediation Product 038,320.4,12.4,4.7,4.5,True,EconomyLane,Medium,2025-06-08
Soil Remediation Product 039,439.4,11.9,1.2,1.7,False,SectionA,Low,2025-06-09
Soil Remediation Product 040,137.5,1.5,5.1,0.3,True,Basement5,Low,2025-06-10
Soil Remediation Product 041,279.2,4.4,7.3,4.1,True,ZoneE,Medium,2025-06-11
Soil Remediation Product 042,291.6,8.0,0.8,2.8,True,AutomatedStorage4,Medium,2025-06-12
Soil Remediation Product 043,416.6,7.9,5.7,3.3,True,SectionB,High,2025-06-13
Soil Remediation Product 044,509.3,11.6,4.4,2.1,False,SmallItems,Low,2025-06-14
Soil Remediation Product 045,462.3,10.2,3.8,5.4,True,PalletArea4,Low,2025-06-15
Soil Remediation Product 046,420.7,14.7,1.9,3.2,True,HighBay2,Medium,2025-06-16
Soil Remediation Product 047,554.8,5.9,2.2,4.6,False,Aisle7,Low,2025-06-17
Soil Remediation Product 048,744.8,9.2,6.8,1.8,False,OverflowLane,Low,2025-06-18
Soil Remediation Product 049,533.3,12.2,0.7,2.2,False,PalletArea3,Medium,2025-06-19
Soil Remediation Product 050,113.8,3.7,6.6,2.9,True,Priority5,Medium,2025-06-20
Soil Remediation Product 051,570.0,0.6,2.4,4.0,True,SmallItems,High,2025-06-21
Soil Remediation Product 052,550.8,1.2,3.9,0.7,False,ManualStorage2,Medium,2025-06-22
Soil Remediation Product 053,13.8,11.1,0.9,4.0,False,Floor3,Low,2025-06-23
Soil Remediation Product 054,159.8,2.6,1.7,1.2,False,BulkStorage,Medium,2025-06-24
Soil Remediation Product 055,161.7,7.8,0.9,3.7,False,PalletArea1,Medium,2025-06-25
Soil Remediation Product 056,480.3,8.9,5.5,2.4,False,PremiumLane,High,2025-06-26
Soil Remediation Product 057,22.2,7.8,1.9,3.4,False,SectionE,Medium,2025-06-27
Soil Remediation Product 058,242.3,2.6,5.3,3.8,True,Aisle7,High,2025-06-28
Soil Remediation Product 059,675.3,1.2,0.5,1.0,True,ReturnsArea,Low,2025-06-29
Soil Remediation Product 060,557.6,11.6,6.9,2.4,True,ZoneI,Medium,2025-06-30
Soil Remediation Product 061,650.4,7.6,5.0,3.3,False,Priority3,Medium,2025-06-01
Soil Remediation Product 062,476.7,5.5,6.2,1.4,True,Priority1,High,2025-06-02
Soil Remediation Product 063,26.4,3.7,4.0,3.7,False,StandardLane,High,2025-06-03
Soil Remediation Product 064,449.8,11.3,1.8,1.4,True,AutomatedStorage5,Medium,2025-06-04
Soil Remediation Product 065,50.2,10.3,5.5,4.0,True,Aisle2,Medium,2025-06-05
Soil Remediation Product 066,690.4,4.1,7.3,4.8,False,ZoneE,Low,2025-06-06
Soil Remediation Product 067,207.4,11.2,2.1,1.3,False,PalletArea5,Medium,2025-06-07
Soil Remediation Product 068,485.4,11.2,1.1,3.6,False,Aisle2,High,2025-06-08
Soil Remediation Product 069,161.3,9.9,3.1,2.6,False,ManualStorage4,Low,2025-06-09
Soil Remediation Product 070,748.4,2.7,3.6,4.6,True,Basement1,Low,2025-06-10
Soil Remediation Product 071,151.8,10.5,0.6,2.5,False,ManualStorage3,Medium,2025-06-11
Soil Remediation Product 072,274.3,9.5,5.6,4.4,True,EconomyLane,Medium,2025-06-12
Soil Remediation Product 073,301.7,8.0,3.3,0.3,False,ShelfArea1,Low,2025-06-13
Soil Remediation Product 074,370.2,5.1,2.0,3.4,False,PremiumLane,High,2025-06-14
Soil Remediation Product 075,167.3,7.7,0.3,4.4,False,PalletArea4,Medium,2025-06-15
Soil Remediation Product 076,237.1,1.8,1.7,1.8,True,Aisle4,Low,2025-06-16
Soil Remediation Product 077,628.0,1.0,4.3,4.1,True,Priority4,Medium,2025-06-17
Soil Remediation Product 078,621.8,8.8,6.6,0.7,False,QualityControl,Medium,2025-06-18
Soil Remediation Product 079,21.8,3.1,4.6,1.2,True,Rack10,Medium,2025-06-19
Soil Remediation Product 080,139.3,9.3,4.2,5.3,False,Basement1,Low,2025-06-20
Soil Remediation Product 081,508.1,16.0,3.4,4.0,True,PalletArea5,Medium,2025-06-21
Soil Remediation Product 082,633.1,6.5,2.2,0.7,True,Aisle6,High,2025-06-22
Soil Remediation Product 083,507.8,12.1,6.5,5.1,True,OverflowLane,Low,2025-06-23
Soil Remediation Product 084,669.9,4.1,5.6,5.5,False,FastMoving,Low,2025-06-24
Soil Remediation Product 085,146.0,0.6,0.9,3.1,True,OverflowLane,High,2025-06-25
Soil Remediation Product 086,352.8,2.7,4.9,3.5,True,HighBay3,High,2025-06-26
Soil Remediation Product 087,165.0,9.7,2.9,2.0,True,Aisle8,Medium,2025-06-27
Soil Remediation Product 088,245.7,3.1,3.4,1.9,False,Aisle6,Medium,2025-06-28
Soil Remediation Product 089,502.2,5.3,7.8,0.5,False,Floor5,Medium,2025-06-29
Soil Remediation Product 090,461.1,9.3,1.8,3.1,False,HighBay1,High,2025-06-30
Soil Remediation Product 091,63.3,1.4,6.0,0.5,False,Aisle10,High,2025-06-01
