Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Climate Technology Product 001,310.8,5.4,4.7,4.0,False,LoadingDock4,Low,2025-06-01
Climate Technology Product 002,268.5,8.5,0.9,4.2,False,HighBay2,High,2025-06-02
Climate Technology Product 003,43.7,7.4,2.3,3.7,False,ColdStorage,Low,2025-06-03
Climate Technology Product 004,92.7,7.7,1.1,4.6,False,Rack7,High,2025-06-04
Climate Technology Product 005,220.9,4.5,2.0,1.9,False,AutomatedStorage3,Medium,2025-06-05
Climate Technology Product 006,628.9,7.0,0.7,4.8,True,ManualStorage3,Low,2025-06-06
Climate Technology Product 007,100.8,6.7,2.2,2.6,True,QualityControl,Medium,2025-06-07
Climate Technology Product 008,522.9,9.6,6.5,1.7,False,SectionE,Low,2025-06-08
Climate Technology Product 009,367.8,1.8,3.1,2.1,True,Floor5,Medium,2025-06-09
Climate Technology Product 010,381.6,6.9,2.0,1.5,True,LargeItems,Low,2025-06-10
Climate Technology Product 011,457.1,4.5,1.7,5.1,True,ShelfArea3,High,2025-06-11
Climate Technology Product 012,40.8,6.1,5.5,0.6,True,ZoneB,Medium,2025-06-12
Climate Technology Product 013,306.6,5.1,2.2,3.0,True,SectionA,Medium,2025-06-13
Climate Technology Product 014,324.4,4.7,2.7,3.4,True,SectionE,High,2025-06-14
Climate Technology Product 015,374.3,9.9,5.4,0.3,False,Rack1,Medium,2025-06-15
Climate Technology Product 016,337.4,2.3,5.8,1.6,True,Floor2,High,2025-06-16
Climate Technology Product 017,159.9,0.8,2.5,4.2,True,SectionF,Low,2025-06-17
Climate Technology Product 018,309.5,7.3,3.5,5.0,True,SlowMoving,Medium,2025-06-18
Climate Technology Product 019,169.9,12.9,4.1,5.8,True,ZoneG,High,2025-06-19
Climate Technology Product 020,132.5,6.7,2.3,0.4,False,Priority1,Medium,2025-06-20
Climate Technology Product 021,478.5,5.2,3.2,1.0,True,PalletArea5,Medium,2025-06-21
Climate Technology Product 022,174.0,0.3,0.7,1.1,True,ColdStorage,High,2025-06-22
Climate Technology Product 023,719.4,11.2,6.1,2.0,True,StandardLane,High,2025-06-23
Climate Technology Product 024,659.7,7.7,1.3,0.7,True,Aisle2,Medium,2025-06-24
Climate Technology Product 025,118.6,6.1,2.9,0.8,False,Rack10,Medium,2025-06-25
Climate Technology Product 026,324.7,12.6,1.3,2.2,False,Aisle9,Low,2025-06-26
Climate Technology Product 027,570.0,4.1,1.7,1.8,False,LoadingDock1,Medium,2025-06-27
Climate Technology Product 028,266.0,1.3,1.5,2.2,True,Rack10,Low,2025-06-28
Climate Technology Product 029,1.7,13.7,6.7,3.7,False,SectionG,Medium,2025-06-29
Climate Technology Product 030,144.4,1.3,4.6,0.5,True,Basement1,Medium,2025-06-30
Climate Technology Product 031,31.2,6.9,5.5,2.7,False,SectionG,High,2025-06-01
Climate Technology Product 032,355.2,4.4,2.7,2.8,True,PalletArea3,Low,2025-06-02
Climate Technology Product 033,233.7,7.5,2.2,1.1,False,PalletArea5,Low,2025-06-03
Climate Technology Product 034,16.0,1.5,0.4,2.0,True,BulkStorage,High,2025-06-04
Climate Technology Product 035,367.9,10.9,1.7,5.5,True,ExpressLane,High,2025-06-05
Climate Technology Product 036,4.4,2.8,2.7,0.2,True,ZoneB,Low,2025-06-06
Climate Technology Product 037,371.6,0.6,3.3,0.5,True,QualityControl,High,2025-06-07
Climate Technology Product 038,512.7,7.8,0.6,2.4,False,SmallItemStorage,Low,2025-06-08
Climate Technology Product 039,105.6,11.3,6.2,2.0,False,Mezzanine3,Low,2025-06-09
Climate Technology Product 040,546.0,4.4,2.8,2.6,True,SectionG,Low,2025-06-10
Climate Technology Product 041,676.9,0.8,0.5,2.0,True,Basement3,Low,2025-06-11
Climate Technology Product 042,593.6,1.8,2.8,0.5,True,EconomyLane,Medium,2025-06-12
Climate Technology Product 043,156.1,7.5,4.6,0.7,False,Rack7,Low,2025-06-13
Climate Technology Product 044,32.7,10.9,1.2,2.4,True,SectionH,Medium,2025-06-14
Climate Technology Product 045,741.7,11.6,3.0,5.0,False,BulkItems,Medium,2025-06-15
Climate Technology Product 046,363.6,12.2,8.0,4.1,False,Mezzanine2,Low,2025-06-16
