Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Weather Technology Product 001,814.3,13.0,0.7,1.9,False,ManualStorage4,Medium,2025-06-01
Weather Technology Product 002,229.3,6.3,3.0,1.0,False,Floor2,Low,2025-06-02
Weather Technology Product 003,242.4,0.8,3.6,4.3,True,Mezzanine3,Low,2025-06-03
Weather Technology Product 004,23.2,9.5,4.1,2.5,True,Mezzanine5,High,2025-06-04
Weather Technology Product 005,178.8,5.5,0.8,1.8,False,QualityControl,Medium,2025-06-05
Weather Technology Product 006,100.4,3.0,0.4,2.0,True,OverflowStorage,Low,2025-06-06
Weather Technology Product 007,706.1,8.1,2.3,0.6,True,FastMoving,Medium,2025-06-07
Weather Technology Product 008,541.3,6.5,2.4,1.9,False,ZoneB,High,2025-06-08
Weather Technology Product 009,609.6,5.9,1.7,1.0,False,LoadingDock4,High,2025-06-09
Weather Technology Product 010,321.7,7.2,3.0,3.2,True,Aisle2,Low,2025-06-10
Weather Technology Product 011,120.4,11.1,3.0,2.0,False,Rack4,High,2025-06-11
Weather Technology Product 012,744.1,13.0,1.2,3.0,True,Basement2,High,2025-06-12
Weather Technology Product 013,543.4,11.4,5.1,3.8,False,Basement1,Medium,2025-06-13
Weather Technology Product 014,115.9,4.3,1.0,3.5,False,PalletArea1,Low,2025-06-14
Weather Technology Product 015,194.7,1.5,0.4,4.0,False,SectionE,High,2025-06-15
Weather Technology Product 016,381.5,2.5,3.1,1.6,True,Mezzanine4,Medium,2025-06-16
Weather Technology Product 017,306.3,4.3,4.5,0.4,False,Mezzanine3,Medium,2025-06-17
Weather Technology Product 018,347.3,6.8,6.6,1.3,False,Rack4,High,2025-06-18
Weather Technology Product 019,411.2,4.6,1.6,1.9,True,LoadingDock5,High,2025-06-19
Weather Technology Product 020,624.7,5.0,3.6,0.5,False,Basement5,High,2025-06-20
Weather Technology Product 021,761.5,3.1,1.9,2.2,False,ReturnsArea,High,2025-06-21
Weather Technology Product 022,110.6,8.5,0.5,3.2,True,Rack7,Medium,2025-06-22
Weather Technology Product 023,26.8,10.4,8.1,2.8,True,QualityControl,Low,2025-06-23
Weather Technology Product 024,88.0,7.2,4.9,4.3,True,LoadingDock2,Low,2025-06-24
Weather Technology Product 025,377.1,8.4,4.5,3.5,False,PremiumLane,High,2025-06-25
Weather Technology Product 026,469.8,6.5,5.2,3.7,True,SectionF,High,2025-06-26
Weather Technology Product 027,561.1,1.0,0.4,3.0,True,LoadingDock3,Low,2025-06-27
Weather Technology Product 028,347.4,12.7,3.7,2.2,False,Rack2,Medium,2025-06-28
Weather Technology Product 029,779.4,10.5,4.8,3.9,True,PalletArea2,High,2025-06-29
Weather Technology Product 030,200.3,3.1,5.7,3.9,True,Rack8,Low,2025-06-30
Weather Technology Product 031,443.2,2.5,3.8,2.9,False,Mezzanine1,Low,2025-06-01
Weather Technology Product 032,804.4,5.5,4.9,3.6,True,SectionB,Medium,2025-06-02
Weather Technology Product 033,82.2,8.0,4.1,6.1,True,HazardousStorage,High,2025-06-03
Weather Technology Product 034,13.7,8.8,3.2,0.4,True,ShelfArea4,Low,2025-06-04
Weather Technology Product 035,249.5,10.2,5.9,4.0,False,ManualStorage2,Low,2025-06-05
Weather Technology Product 036,633.1,4.3,0.5,2.8,True,Aisle10,Medium,2025-06-06
Weather Technology Product 037,325.6,5.0,2.8,2.7,True,OverflowLane,Low,2025-06-07
Weather Technology Product 038,509.7,1.3,3.9,2.9,False,LoadingDock3,Low,2025-06-08
Weather Technology Product 039,398.5,6.6,2.4,3.9,True,ZoneF,High,2025-06-09
Weather Technology Product 040,59.8,9.3,3.8,1.7,True,Aisle5,Medium,2025-06-10
Weather Technology Product 041,513.3,0.7,5.8,0.8,True,LightItems,Low,2025-06-11
Weather Technology Product 042,290.3,9.5,1.0,2.5,True,Rack4,Medium,2025-06-12
Weather Technology Product 043,187.1,8.2,8.2,3.3,True,ZoneE,High,2025-06-13
Weather Technology Product 044,385.9,14.0,7.5,2.2,False,Aisle10,High,2025-06-14
Weather Technology Product 045,444.1,9.9,3.8,2.5,False,PalletArea1,Low,2025-06-15
Weather Technology Product 046,427.1,2.5,5.9,5.6,False,ReturnsArea,High,2025-06-16
Weather Technology Product 047,464.4,9.6,0.8,2.0,True,SectionB,Medium,2025-06-17
Weather Technology Product 048,406.2,5.2,7.9,2.5,True,FragileItems,Low,2025-06-18
Weather Technology Product 049,230.4,1.6,5.0,0.6,True,ZoneI,High,2025-06-19
Weather Technology Product 050,237.3,7.2,1.8,3.4,True,ColdStorage,High,2025-06-20
Weather Technology Product 051,291.6,8.1,1.8,0.8,False,MediumItems,Medium,2025-06-21
Weather Technology Product 052,284.8,1.3,1.5,5.1,False,AutomatedStorage3,High,2025-06-22
Weather Technology Product 053,306.0,4.4,4.9,1.7,False,Rack3,Medium,2025-06-23
Weather Technology Product 054,190.6,8.7,3.6,4.3,True,HeavyItems,High,2025-06-24
Weather Technology Product 055,221.4,11.2,3.6,3.3,True,LoadingDock3,Low,2025-06-25
Weather Technology Product 056,225.0,2.4,6.0,4.3,False,LoadingDock1,Medium,2025-06-26
Weather Technology Product 057,554.2,4.3,3.4,2.5,False,ManualStorage1,High,2025-06-27
Weather Technology Product 058,468.4,3.4,1.3,0.9,False,ReturnsArea,Low,2025-06-28
Weather Technology Product 059,160.6,5.5,2.0,5.4,False,ManualStorage1,Medium,2025-06-29
Weather Technology Product 060,23.5,6.7,3.8,2.2,True,SectionD,High,2025-06-30
Weather Technology Product 061,134.5,10.6,0.3,2.9,True,Rack7,High,2025-06-01
Weather Technology Product 062,414.0,0.6,0.6,2.3,False,Priority1,High,2025-06-02
Weather Technology Product 063,594.3,1.8,5.9,1.9,True,Aisle5,Low,2025-06-03
Weather Technology Product 064,417.5,3.1,4.3,0.6,False,Basement5,Low,2025-06-04
Weather Technology Product 065,239.4,4.5,5.1,3.5,False,LoadingDock4,High,2025-06-05
Weather Technology Product 066,361.3,5.5,0.9,1.0,False,PalletArea2,Medium,2025-06-06
Weather Technology Product 067,446.9,6.5,1.7,2.5,False,ColdStorage,Medium,2025-06-07
Weather Technology Product 068,271.3,3.3,4.4,0.8,True,ShelfArea3,High,2025-06-08
Weather Technology Product 069,450.4,6.2,2.5,1.9,False,SectionC,Medium,2025-06-09
Weather Technology Product 070,754.3,4.5,5.8,0.6,False,Floor5,High,2025-06-10
Weather Technology Product 071,99.0,9.3,3.9,3.7,True,EconomyLane,Medium,2025-06-11
Weather Technology Product 072,407.4,8.2,4.3,3.9,False,Mezzanine4,High,2025-06-12
Weather Technology Product 073,406.3,4.4,2.3,1.0,False,EconomyLane,Low,2025-06-13
Weather Technology Product 074,502.3,1.8,0.6,0.7,False,Aisle5,High,2025-06-14
Weather Technology Product 075,272.1,7.4,5.2,3.0,True,Seasonal,High,2025-06-15
Weather Technology Product 076,363.2,9.9,3.8,1.5,False,SectionE,High,2025-06-16
Weather Technology Product 077,98.2,5.3,6.3,0.4,True,Priority2,Low,2025-06-17
Weather Technology Product 078,177.6,1.6,1.9,0.3,True,PremiumLane,High,2025-06-18
Weather Technology Product 079,168.1,8.0,5.7,3.6,True,AutomatedStorage4,Medium,2025-06-19
Weather Technology Product 080,309.2,3.2,4.7,0.9,False,ZoneA,High,2025-06-20
Weather Technology Product 081,374.1,9.5,6.4,1.7,False,Aisle8,Low,2025-06-21
Weather Technology Product 082,192.6,13.3,2.6,1.5,True,Rack1,High,2025-06-22
Weather Technology Product 083,456.8,2.9,1.5,3.5,False,Priority1,High,2025-06-23
Weather Technology Product 084,274.2,11.4,1.5,2.3,True,BulkStorage,Medium,2025-06-24
Weather Technology Product 085,772.8,12.7,5.7,1.3,False,AutomatedStorage1,High,2025-06-25
Weather Technology Product 086,128.9,11.5,3.1,3.5,False,QualityControl,High,2025-06-26
Weather Technology Product 087,46.4,0.5,3.7,3.7,True,SectionA,Medium,2025-06-27
Weather Technology Product 088,88.8,1.3,2.6,3.1,False,Aisle5,Low,2025-06-28
Weather Technology Product 089,160.0,3.7,4.2,4.1,False,ZoneJ,High,2025-06-29
Weather Technology Product 090,160.4,12.4,2.0,2.1,False,Rack6,Low,2025-06-30
Weather Technology Product 091,711.1,8.8,2.8,2.9,False,PalletArea1,Medium,2025-06-01
Weather Technology Product 092,376.9,1.5,3.0,0.5,True,Aisle3,Low,2025-06-02
Weather Technology Product 093,284.9,3.3,1.2,2.0,False,Mezzanine4,Medium,2025-06-03
Weather Technology Product 094,11.9,8.5,4.0,2.1,False,LoadingDock4,High,2025-06-04
Weather Technology Product 095,445.6,4.0,7.3,3.8,True,LoadingDock5,High,2025-06-05
Weather Technology Product 096,429.8,7.3,5.7,1.1,True,SectionF,Low,2025-06-06
Weather Technology Product 097,875.6,3.5,4.2,2.7,True,Basement3,Medium,2025-06-07
Weather Technology Product 098,455.4,7.2,4.0,0.3,False,ShelfArea5,Low,2025-06-08
Weather Technology Product 099,374.3,9.5,0.4,3.1,True,DryStorage,Low,2025-06-09
Weather Technology Product 100,204.2,10.3,0.5,0.5,False,OverflowLane,Medium,2025-06-10
