Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Ocean Technology Product 001,182.9,10.4,2.4,2.5,True,ZoneI,Low,2025-06-01
Ocean Technology Product 002,817.3,6.8,4.7,1.5,False,Basement4,Medium,2025-06-02
Ocean Technology Product 003,518.8,5.2,4.5,0.2,False,Rack4,High,2025-06-03
Ocean Technology Product 004,468.4,3.0,6.2,4.4,False,Mezzanine4,Low,2025-06-04
Ocean Technology Product 005,2.9,6.2,1.7,0.8,False,Rack5,Low,2025-06-05
Ocean Technology Product 006,374.2,2.0,6.4,0.6,True,LoadingDock1,Medium,2025-06-06
Ocean Technology Product 007,685.3,14.8,5.3,1.1,False,LoadingDock2,High,2025-06-07
Ocean Technology Product 008,808.5,12.2,1.1,5.5,True,SectionA,High,2025-06-08
Ocean Technology Product 009,414.9,1.4,4.4,0.7,True,HeavyItems,High,2025-06-09
Ocean Technology Product 010,163.3,6.6,5.2,3.2,True,Rack4,Medium,2025-06-10
Ocean Technology Product 011,109.3,13.9,1.6,2.4,True,ManualStorage3,High,2025-06-11
Ocean Technology Product 012,178.7,3.4,4.8,0.9,False,ShelfArea2,High,2025-06-12
Ocean Technology Product 013,423.8,3.4,1.4,3.5,True,LoadingDock3,Low,2025-06-13
Ocean Technology Product 014,435.9,6.8,4.1,2.2,True,ColdStorage,Medium,2025-06-14
Ocean Technology Product 015,648.7,2.9,6.0,3.1,True,ShelfArea4,Medium,2025-06-15
Ocean Technology Product 016,778.2,5.1,2.7,3.7,True,Basement2,High,2025-06-16
Ocean Technology Product 017,619.9,3.7,7.3,4.6,False,BulkItems,Low,2025-06-17
Ocean Technology Product 018,424.8,2.2,4.4,4.8,True,Rack1,Low,2025-06-18
Ocean Technology Product 019,95.2,13.3,1.3,1.7,False,Aisle9,Low,2025-06-19
Ocean Technology Product 020,441.3,5.5,0.5,1.3,False,BulkItems,Medium,2025-06-20
Ocean Technology Product 021,264.9,8.0,0.7,4.4,False,PremiumLane,High,2025-06-21
Ocean Technology Product 022,277.7,14.7,5.7,3.1,True,Rack6,Medium,2025-06-22
Ocean Technology Product 023,343.7,5.4,4.1,0.6,True,Aisle8,Low,2025-06-23
Ocean Technology Product 024,627.8,4.4,4.1,6.0,False,ManualStorage2,Medium,2025-06-24
Ocean Technology Product 025,828.0,7.7,2.8,5.4,True,AutomatedStorage3,Low,2025-06-25
Ocean Technology Product 026,478.9,7.1,0.6,3.7,False,LargeItems,Medium,2025-06-26
Ocean Technology Product 027,111.2,4.6,3.3,0.4,False,ZoneG,Low,2025-06-27
Ocean Technology Product 028,330.4,7.9,6.3,4.5,True,ShelfArea4,Low,2025-06-28
Ocean Technology Product 029,162.4,3.2,6.4,0.4,True,OverflowLane,Medium,2025-06-29
Ocean Technology Product 030,156.3,5.9,3.5,0.9,False,AutomatedStorage4,High,2025-06-30
Ocean Technology Product 031,306.6,8.9,5.9,2.0,False,ExpressLane,High,2025-06-01
Ocean Technology Product 032,746.2,8.7,3.6,3.5,True,ZoneI,Medium,2025-06-02
Ocean Technology Product 033,126.7,3.8,3.9,2.7,True,SectionG,High,2025-06-03
Ocean Technology Product 034,309.6,2.6,3.6,2.5,True,ZoneE,High,2025-06-04
Ocean Technology Product 035,834.7,12.2,4.0,3.4,False,Aisle6,Medium,2025-06-05
Ocean Technology Product 036,362.7,0.7,4.1,3.7,True,SmallItems,High,2025-06-06
Ocean Technology Product 037,213.1,8.2,3.3,3.7,False,Aisle2,Low,2025-06-07
Ocean Technology Product 038,174.2,2.9,4.8,3.1,False,StandardLane,Medium,2025-06-08
Ocean Technology Product 039,176.7,3.5,1.6,4.4,False,ShelfArea5,Medium,2025-06-09
Ocean Technology Product 040,69.9,4.1,3.1,1.3,True,Priority2,Low,2025-06-10
Ocean Technology Product 041,312.7,1.9,4.1,1.4,False,Aisle6,High,2025-06-11
Ocean Technology Product 042,373.6,10.6,5.1,4.9,True,SmallItems,Medium,2025-06-12
Ocean Technology Product 043,243.2,5.8,5.1,1.9,True,Mezzanine3,Low,2025-06-13
Ocean Technology Product 044,24.5,7.8,4.3,2.5,False,Basement4,High,2025-06-14
Ocean Technology Product 045,496.1,5.4,0.5,2.3,True,Aisle10,Low,2025-06-15
Ocean Technology Product 046,216.8,0.4,5.0,2.3,False,Rack10,Medium,2025-06-16
Ocean Technology Product 047,204.0,5.5,6.1,1.2,True,Basement3,High,2025-06-17
Ocean Technology Product 048,222.1,4.3,2.9,3.9,True,SlowMoving,Low,2025-06-18
Ocean Technology Product 049,140.2,11.0,3.3,5.6,True,ShelfArea4,Low,2025-06-19
Ocean Technology Product 050,266.0,0.4,2.4,1.2,False,ZoneC,Low,2025-06-20
Ocean Technology Product 051,512.6,2.8,4.6,0.5,False,Rack5,Medium,2025-06-21
Ocean Technology Product 052,148.6,14.5,4.0,4.5,False,HighBay3,Low,2025-06-22
Ocean Technology Product 053,70.9,9.1,6.1,3.6,False,PalletArea1,High,2025-06-23
Ocean Technology Product 054,586.1,7.0,1.0,3.1,False,Rack4,Low,2025-06-24
Ocean Technology Product 055,59.1,7.1,1.7,1.2,False,SmallItemStorage,Medium,2025-06-25
Ocean Technology Product 056,480.5,2.5,4.3,3.0,False,Rack3,Medium,2025-06-26
Ocean Technology Product 057,330.2,6.5,3.0,2.1,False,SectionF,Low,2025-06-27
Ocean Technology Product 058,136.2,1.8,4.5,3.5,True,Floor2,Low,2025-06-28
Ocean Technology Product 059,56.5,6.1,0.8,0.4,False,ShelfArea4,Medium,2025-06-29
Ocean Technology Product 060,115.5,3.4,2.4,1.7,True,ColdStorage,Medium,2025-06-30
Ocean Technology Product 061,297.0,6.0,0.4,0.2,False,Rack2,Low,2025-06-01
Ocean Technology Product 062,110.6,8.0,5.1,1.1,False,Rack9,Low,2025-06-02
Ocean Technology Product 063,416.0,6.1,4.7,3.4,True,Priority4,Low,2025-06-03
Ocean Technology Product 064,82.9,14.0,0.9,2.7,False,Basement4,Medium,2025-06-04
Ocean Technology Product 065,85.4,4.5,5.6,2.8,False,FragileItems,High,2025-06-05
Ocean Technology Product 066,415.8,3.6,1.7,5.5,True,Rack2,High,2025-06-06
Ocean Technology Product 067,353.7,8.1,1.1,0.5,True,SmallItemStorage,High,2025-06-07
Ocean Technology Product 068,59.8,5.8,6.2,3.3,False,PalletArea1,High,2025-06-08
Ocean Technology Product 069,767.9,9.2,1.2,1.9,True,ShelfArea4,High,2025-06-09
Ocean Technology Product 070,521.0,9.9,3.8,1.2,True,Rack6,Low,2025-06-10
Ocean Technology Product 071,127.2,0.9,5.4,0.7,True,Priority3,Low,2025-06-11
Ocean Technology Product 072,109.4,4.6,4.2,0.8,False,ZoneB,Medium,2025-06-12
Ocean Technology Product 073,44.5,2.2,2.3,3.2,True,LoadingDock3,Medium,2025-06-13
Ocean Technology Product 074,11.2,2.2,2.8,2.7,True,Floor1,Medium,2025-06-14
Ocean Technology Product 075,403.0,7.6,3.9,5.0,False,ZoneB,Medium,2025-06-15
Ocean Technology Product 076,281.9,4.4,4.2,1.2,True,Basement2,Medium,2025-06-16
Ocean Technology Product 077,712.0,8.2,2.4,1.6,False,EconomyLane,High,2025-06-17
Ocean Technology Product 078,680.5,2.1,2.3,4.6,False,Basement5,Low,2025-06-18
Ocean Technology Product 079,354.7,4.2,2.8,1.6,False,Rack6,Low,2025-06-19
Ocean Technology Product 080,350.3,6.1,7.1,1.1,False,AutomatedStorage1,Medium,2025-06-20
Ocean Technology Product 081,271.8,3.2,4.9,1.1,False,LightItems,Medium,2025-06-21
Ocean Technology Product 082,142.8,0.9,1.5,2.7,False,Aisle3,High,2025-06-22
Ocean Technology Product 083,236.5,8.0,3.5,0.6,True,LoadingDock3,High,2025-06-23
Ocean Technology Product 084,571.4,7.3,3.2,3.6,False,LoadingDock5,Medium,2025-06-24
Ocean Technology Product 085,486.8,5.5,4.9,1.0,False,Floor2,Medium,2025-06-25
Ocean Technology Product 086,691.5,12.4,2.4,4.5,False,ZoneA,High,2025-06-26
Ocean Technology Product 087,150.2,0.7,6.1,5.7,False,HighBay4,Low,2025-06-27
Ocean Technology Product 088,210.3,3.9,4.8,4.7,True,Aisle7,Low,2025-06-28
Ocean Technology Product 089,493.4,3.5,6.4,3.9,True,Mezzanine3,Low,2025-06-29
Ocean Technology Product 090,155.6,5.5,1.8,3.9,False,Priority3,Medium,2025-06-30
Ocean Technology Product 091,183.5,4.2,4.0,3.5,True,SectionF,Medium,2025-06-01
Ocean Technology Product 092,387.5,5.9,1.1,0.2,True,SectionF,Low,2025-06-02
Ocean Technology Product 093,187.3,8.7,2.3,0.5,False,PalletArea3,Low,2025-06-03
Ocean Technology Product 094,508.5,13.4,1.1,3.4,True,Rack5,High,2025-06-04
Ocean Technology Product 095,153.9,1.1,3.2,3.8,False,PalletArea1,Medium,2025-06-05
Ocean Technology Product 096,462.9,3.8,3.2,3.8,False,Mezzanine4,Medium,2025-06-06
Ocean Technology Product 097,10.1,11.5,0.6,1.1,True,HighBay3,Medium,2025-06-07
Ocean Technology Product 098,635.3,0.4,5.9,2.6,False,EconomyLane,Medium,2025-06-08
Ocean Technology Product 099,348.2,1.8,0.5,3.9,True,LoadingDock5,Medium,2025-06-09
Ocean Technology Product 100,305.7,5.4,1.4,1.4,True,ZoneB,Medium,2025-06-10
