Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Wildlife Technology Product 001,380.8,8.1,0.3,2.2,False,Floor1,High,2025-06-01
Wildlife Technology Product 002,644.1,4.9,3.0,2.1,True,Floor1,High,2025-06-02
Wildlife Technology Product 003,315.9,8.9,4.5,0.7,False,LoadingDock1,High,2025-06-03
Wildlife Technology Product 004,291.6,13.1,1.9,3.8,False,OverflowLane,High,2025-06-04
Wildlife Technology Product 005,553.1,6.5,4.6,1.5,True,ZoneF,Low,2025-06-05
Wildlife Technology Product 006,266.4,8.1,5.2,5.6,False,Mezzanine4,Low,2025-06-06
Wildlife Technology Product 007,266.5,8.0,3.9,3.4,True,SmallItemStorage,Medium,2025-06-07
Wildlife Technology Product 008,163.7,1.6,0.4,3.5,True,ZoneI,Medium,2025-06-08
Wildlife Technology Product 009,335.8,9.8,1.5,0.4,False,PalletArea2,High,2025-06-09
Wildlife Technology Product 010,766.8,12.7,0.9,0.6,True,AutomatedStorage1,Medium,2025-06-10
Wildlife Technology Product 011,318.4,13.7,4.9,3.3,False,HighBay2,High,2025-06-11
Wildlife Technology Product 012,106.0,11.2,5.7,3.6,False,Floor4,Medium,2025-06-12
Wildlife Technology Product 013,180.2,4.2,4.9,2.6,True,ManualStorage5,High,2025-06-13
Wildlife Technology Product 014,228.9,4.6,1.2,1.1,True,Basement5,High,2025-06-14
Wildlife Technology Product 015,572.4,2.1,5.0,0.2,False,ShelfArea5,Medium,2025-06-15
Wildlife Technology Product 016,293.3,11.0,7.7,2.9,True,Mezzanine2,High,2025-06-16
Wildlife Technology Product 017,518.8,4.2,1.8,4.3,False,Rack9,High,2025-06-17
Wildlife Technology Product 018,422.0,12.6,3.0,4.5,True,PremiumLane,Low,2025-06-18
Wildlife Technology Product 019,720.3,4.7,4.0,0.7,False,Aisle9,Medium,2025-06-19
Wildlife Technology Product 020,420.3,8.3,1.1,1.1,False,Rack9,Medium,2025-06-20
Wildlife Technology Product 021,478.9,9.9,5.1,0.8,False,Floor5,Low,2025-06-21
Wildlife Technology Product 022,467.2,11.4,7.3,3.1,False,Rack3,Low,2025-06-22
Wildlife Technology Product 023,343.8,9.8,1.8,4.0,False,SectionF,Medium,2025-06-23
Wildlife Technology Product 024,22.1,3.4,3.0,0.5,False,HighBay4,Medium,2025-06-24
Wildlife Technology Product 025,157.8,11.8,4.3,3.8,False,Aisle5,Medium,2025-06-25
Wildlife Technology Product 026,53.1,11.4,1.4,5.2,False,ZoneE,Low,2025-06-26
Wildlife Technology Product 027,722.0,9.1,4.7,3.7,True,ManualStorage5,Low,2025-06-27
Wildlife Technology Product 028,90.9,8.8,1.3,0.6,True,SectionF,High,2025-06-28
Wildlife Technology Product 029,123.1,4.3,3.7,2.8,False,SectionA,Medium,2025-06-29
Wildlife Technology Product 030,230.1,4.9,4.2,1.1,True,Mezzanine5,Medium,2025-06-30
Wildlife Technology Product 031,97.8,9.6,4.0,1.0,True,SmallItems,High,2025-06-01
Wildlife Technology Product 032,485.1,9.2,4.3,0.4,True,ReturnsArea,Medium,2025-06-02
Wildlife Technology Product 033,310.0,2.6,4.7,0.3,False,AutomatedStorage5,Medium,2025-06-03
Wildlife Technology Product 034,70.5,0.4,0.8,3.6,False,ReceivingArea,High,2025-06-04
Wildlife Technology Product 035,539.1,7.8,4.0,2.7,False,ColdStorage,High,2025-06-05
Wildlife Technology Product 036,467.6,12.1,4.8,5.8,False,ShelfArea4,High,2025-06-06
Wildlife Technology Product 037,360.9,1.7,6.2,2.2,True,LargeItems,High,2025-06-07
Wildlife Technology Product 038,449.8,7.5,2.7,5.0,False,ReceivingArea,Medium,2025-06-08
Wildlife Technology Product 039,331.8,5.0,2.4,3.6,True,ZoneH,Low,2025-06-09
Wildlife Technology Product 040,527.0,6.7,2.2,1.0,False,PalletArea5,High,2025-06-10
Wildlife Technology Product 041,335.9,0.3,5.2,1.9,True,ManualStorage5,High,2025-06-11
Wildlife Technology Product 042,258.8,8.3,1.9,1.1,False,ZoneI,Low,2025-06-12
Wildlife Technology Product 043,696.3,2.8,1.1,0.7,True,SmallItemStorage,Low,2025-06-13
Wildlife Technology Product 044,482.8,9.8,0.9,2.5,False,EconomyLane,Medium,2025-06-14
Wildlife Technology Product 045,145.5,9.9,4.7,1.3,True,LoadingDock4,High,2025-06-15
Wildlife Technology Product 046,345.3,2.9,2.1,2.3,True,Floor1,High,2025-06-16
Wildlife Technology Product 047,61.9,2.3,2.3,1.1,False,Rack10,Low,2025-06-17
Wildlife Technology Product 048,437.1,5.0,5.6,2.3,False,StandardLane,High,2025-06-18
Wildlife Technology Product 049,206.8,8.7,3.1,0.9,False,ManualStorage5,High,2025-06-19
Wildlife Technology Product 050,715.2,8.5,1.8,1.0,True,LoadingDock4,High,2025-06-20
Wildlife Technology Product 051,154.4,3.6,4.6,2.8,True,Aisle2,High,2025-06-21
Wildlife Technology Product 052,280.3,5.1,5.2,3.9,True,Rack3,Low,2025-06-22
Wildlife Technology Product 053,590.2,10.8,4.3,2.6,False,HeavyItems,Medium,2025-06-23
Wildlife Technology Product 054,216.6,11.4,5.5,1.4,True,Aisle8,Low,2025-06-24
Wildlife Technology Product 055,116.8,1.7,3.7,3.0,True,Basement1,Medium,2025-06-25
Wildlife Technology Product 056,76.8,7.0,5.4,1.0,False,HeavyItems,High,2025-06-26
Wildlife Technology Product 057,93.1,2.6,3.7,0.2,False,SectionE,Medium,2025-06-27
Wildlife Technology Product 058,542.8,4.0,1.2,0.6,True,QualityControl,High,2025-06-28
Wildlife Technology Product 059,176.1,4.4,1.1,1.5,False,SmallItemStorage,Medium,2025-06-29
Wildlife Technology Product 060,207.9,4.0,1.0,1.4,True,SectionE,Low,2025-06-30
Wildlife Technology Product 061,202.9,10.3,0.5,4.2,False,LightItems,High,2025-06-01
Wildlife Technology Product 062,54.5,5.6,4.4,0.3,True,LoadingDock2,Low,2025-06-02
Wildlife Technology Product 063,65.3,9.0,5.3,0.2,True,HighBay4,Medium,2025-06-03
Wildlife Technology Product 064,649.6,3.4,4.8,3.5,True,LoadingDock3,High,2025-06-04
Wildlife Technology Product 065,468.6,6.3,3.6,6.0,False,Mezzanine5,Low,2025-06-05
Wildlife Technology Product 066,315.2,2.4,6.1,2.1,False,SmallItemStorage,High,2025-06-06
Wildlife Technology Product 067,781.0,12.7,2.0,3.1,True,Aisle1,High,2025-06-07
