Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Agriculture Technology Product 001,569.9,4.1,2.2,2.0,True,AutomatedStorage5,Low,2025-06-01
Agriculture Technology Product 002,428.7,10.7,4.5,3.4,False,Priority5,Low,2025-06-02
Agriculture Technology Product 003,316.2,12.8,3.5,1.5,True,AutomatedStorage3,Medium,2025-06-03
Agriculture Technology Product 004,251.3,5.5,2.8,3.2,False,BulkItems,High,2025-06-04
Agriculture Technology Product 005,367.0,5.8,5.0,1.2,False,ReturnsArea,Medium,2025-06-05
Agriculture Technology Product 006,634.6,8.4,3.1,3.4,True,SectionD,High,2025-06-06
Agriculture Technology Product 007,211.7,1.8,3.1,0.3,True,HeavyItems,Low,2025-06-07
Agriculture Technology Product 008,406.9,4.2,2.1,2.5,False,ZoneF,High,2025-06-08
Agriculture Technology Product 009,299.4,6.0,4.7,1.3,False,PremiumLane,High,2025-06-09
Agriculture Technology Product 010,499.0,2.7,3.6,4.0,True,PalletArea2,High,2025-06-10
Agriculture Technology Product 011,618.3,4.6,4.8,2.9,True,DryStorage,Medium,2025-06-11
Agriculture Technology Product 012,658.0,3.6,3.7,0.9,True,Rack8,Medium,2025-06-12
Agriculture Technology Product 013,320.0,11.0,1.7,1.3,True,Mezzanine3,Low,2025-06-13
Agriculture Technology Product 014,419.4,2.9,5.2,3.8,True,HighBay2,High,2025-06-14
Agriculture Technology Product 015,122.5,6.6,3.2,1.3,True,LoadingDock1,High,2025-06-15
Agriculture Technology Product 016,329.8,7.1,2.7,4.8,True,HeavyItems,High,2025-06-16
Agriculture Technology Product 017,436.2,9.2,5.9,4.4,True,HighBay3,Medium,2025-06-17
Agriculture Technology Product 018,389.5,4.6,7.8,2.6,True,Rack3,Low,2025-06-18
Agriculture Technology Product 019,73.7,9.7,6.4,5.8,False,HeavyItems,High,2025-06-19
Agriculture Technology Product 020,454.3,12.6,5.6,2.7,True,ZoneG,Low,2025-06-20
Agriculture Technology Product 021,21.6,15.3,2.9,3.0,True,Rack1,Medium,2025-06-21
Agriculture Technology Product 022,93.4,7.3,6.6,1.5,True,Rack10,Medium,2025-06-22
Agriculture Technology Product 023,251.1,2.4,4.8,3.3,False,SmallItems,Low,2025-06-23
Agriculture Technology Product 024,59.7,5.4,3.1,2.2,False,PalletArea2,Medium,2025-06-24
Agriculture Technology Product 025,66.9,13.1,1.2,2.1,True,PalletArea3,Medium,2025-06-25
Agriculture Technology Product 026,416.2,11.0,2.5,4.2,False,SectionE,Low,2025-06-26
Agriculture Technology Product 027,536.9,10.6,2.3,5.2,True,LoadingDock4,Low,2025-06-27
Agriculture Technology Product 028,666.5,3.3,1.8,3.0,True,Rack1,Low,2025-06-28
Agriculture Technology Product 029,569.8,12.1,2.9,1.8,True,Rack9,High,2025-06-29
Agriculture Technology Product 030,220.8,4.7,1.8,4.8,True,ShelfArea5,Medium,2025-06-30
Agriculture Technology Product 031,380.4,1.8,7.5,3.4,False,MediumItems,High,2025-06-01
Agriculture Technology Product 032,256.5,5.9,3.8,0.7,False,Mezzanine3,High,2025-06-02
Agriculture Technology Product 033,37.7,2.8,3.8,4.8,False,OverflowStorage,Low,2025-06-03
Agriculture Technology Product 034,271.2,9.0,2.5,2.5,False,AutomatedStorage3,Low,2025-06-04
Agriculture Technology Product 035,521.6,6.3,1.7,2.1,True,QualityControl,High,2025-06-05
Agriculture Technology Product 036,409.2,10.3,4.5,1.1,True,ShelfArea2,Medium,2025-06-06
Agriculture Technology Product 037,406.3,1.6,4.0,1.6,True,ZoneB,High,2025-06-07
Agriculture Technology Product 038,29.1,1.6,2.7,2.0,True,HeavyItems,High,2025-06-08
Agriculture Technology Product 039,691.9,3.9,1.5,2.7,True,SectionG,Low,2025-06-09
Agriculture Technology Product 040,262.2,9.1,0.7,3.1,False,Rack5,Medium,2025-06-10
Agriculture Technology Product 041,368.9,1.8,4.0,2.6,False,ZoneC,Medium,2025-06-11
Agriculture Technology Product 042,699.4,4.8,0.6,4.1,False,AutomatedStorage5,Low,2025-06-12
Agriculture Technology Product 043,300.3,11.2,3.8,3.3,True,ShelfArea5,Low,2025-06-13
Agriculture Technology Product 044,339.5,9.5,3.2,1.5,False,DryStorage,Low,2025-06-14
Agriculture Technology Product 045,263.4,3.6,3.0,4.2,False,FastMoving,Low,2025-06-15
Agriculture Technology Product 046,625.6,0.8,2.5,4.1,True,SectionG,Medium,2025-06-16
Agriculture Technology Product 047,164.7,12.7,3.2,4.1,False,Seasonal,High,2025-06-17
Agriculture Technology Product 048,149.5,0.9,3.0,3.7,True,Rack10,Low,2025-06-18
Agriculture Technology Product 049,671.5,1.9,1.2,0.6,True,FastMoving,Low,2025-06-19
Agriculture Technology Product 050,212.5,12.0,0.9,1.2,False,HighBay5,Low,2025-06-20
Agriculture Technology Product 051,370.6,8.6,3.5,2.3,False,ExpressLane,Medium,2025-06-21
Agriculture Technology Product 052,718.7,13.2,2.6,2.7,True,Aisle8,Medium,2025-06-22
Agriculture Technology Product 053,425.1,15.0,4.1,1.5,True,Priority2,Low,2025-06-23
Agriculture Technology Product 054,445.7,4.6,4.3,1.6,False,LargeItems,High,2025-06-24
Agriculture Technology Product 055,339.2,0.5,2.9,4.2,False,LoadingDock2,Low,2025-06-25
Agriculture Technology Product 056,767.1,2.5,2.0,4.1,False,Rack1,Low,2025-06-26
Agriculture Technology Product 057,400.8,1.8,4.3,1.7,False,SectionE,High,2025-06-27
Agriculture Technology Product 058,841.5,8.4,0.9,1.9,False,Aisle1,High,2025-06-28
Agriculture Technology Product 059,369.2,10.6,3.9,2.3,False,PalletArea5,Low,2025-06-29
Agriculture Technology Product 060,106.2,7.8,0.4,3.1,True,FastMoving,Medium,2025-06-30
Agriculture Technology Product 061,218.2,2.2,2.0,1.1,True,ShippingArea,High,2025-06-01
Agriculture Technology Product 062,41.5,7.6,6.2,3.2,True,SectionD,Low,2025-06-02
Agriculture Technology Product 063,595.7,2.5,5.4,0.4,False,BulkItems,High,2025-06-03
