Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Horticulture Technology Product 001,253.6,4.2,2.7,1.9,False,Floor1,Low,2025-06-01
Horticulture Technology Product 002,263.8,1.7,0.5,1.5,False,AutomatedStorage4,High,2025-06-02
Horticulture Technology Product 003,594.6,4.5,3.7,1.8,True,Aisle2,High,2025-06-03
Horticulture Technology Product 004,690.8,10.6,3.6,4.1,True,AutomatedStorage4,Medium,2025-06-04
Horticulture Technology Product 005,829.9,12.3,4.1,3.1,True,Floor2,Medium,2025-06-05
Horticulture Technology Product 006,262.9,2.2,5.1,0.3,True,Floor1,Medium,2025-06-06
Horticulture Technology Product 007,580.2,15.7,4.0,2.9,False,ReceivingArea,Low,2025-06-07
Horticulture Technology Product 008,431.8,0.5,1.4,0.8,False,Priority2,High,2025-06-08
Horticulture Technology Product 009,11.7,10.8,2.7,4.1,False,PalletArea5,Medium,2025-06-09
Horticulture Technology Product 010,116.2,4.3,4.6,0.2,True,HighBay4,Medium,2025-06-10
Horticulture Technology Product 011,834.4,3.9,3.3,3.3,False,ZoneH,Low,2025-06-11
Horticulture Technology Product 012,288.8,7.1,3.6,4.7,False,ZoneE,Low,2025-06-12
Horticulture Technology Product 013,559.8,9.2,1.8,3.3,True,Rack7,Medium,2025-06-13
Horticulture Technology Product 014,321.3,1.5,4.2,3.3,False,EconomyLane,High,2025-06-14
Horticulture Technology Product 015,61.6,9.4,2.0,4.2,False,OverflowStorage,Low,2025-06-15
Horticulture Technology Product 016,22.0,2.0,2.0,5.2,True,HeavyItems,Low,2025-06-16
Horticulture Technology Product 017,69.8,7.6,2.7,2.5,True,ManualStorage1,High,2025-06-17
Horticulture Technology Product 018,496.9,4.5,5.5,2.2,False,Mezzanine4,Medium,2025-06-18
Horticulture Technology Product 019,442.6,7.5,2.4,2.5,False,ZoneJ,High,2025-06-19
Horticulture Technology Product 020,291.3,9.3,5.2,1.6,False,Rack10,Medium,2025-06-20
Horticulture Technology Product 021,710.6,6.4,6.1,1.1,False,Aisle8,Low,2025-06-21
Horticulture Technology Product 022,600.2,10.9,3.2,3.5,True,SectionF,Medium,2025-06-22
Horticulture Technology Product 023,809.4,5.9,1.2,2.8,True,MediumItems,High,2025-06-23
Horticulture Technology Product 024,168.1,12.1,0.5,2.5,False,LargeItems,Medium,2025-06-24
Horticulture Technology Product 025,430.3,12.0,5.9,5.4,False,AutomatedStorage5,High,2025-06-25
Horticulture Technology Product 026,599.5,3.0,4.8,2.8,False,Aisle5,Low,2025-06-26
Horticulture Technology Product 027,60.3,12.7,4.2,2.3,True,Basement3,Low,2025-06-27
Horticulture Technology Product 028,91.1,7.0,6.7,2.2,True,Mezzanine4,Low,2025-06-28
Horticulture Technology Product 029,130.7,1.2,6.1,3.0,False,SectionF,High,2025-06-29
Horticulture Technology Product 030,432.5,7.5,3.5,1.8,True,Priority1,High,2025-06-30
Horticulture Technology Product 031,128.7,12.1,5.5,4.5,True,Rack7,Low,2025-06-01
Horticulture Technology Product 032,700.6,7.6,5.3,0.9,False,Rack10,Low,2025-06-02
Horticulture Technology Product 033,618.9,1.3,0.5,5.1,False,AutomatedStorage2,Medium,2025-06-03
Horticulture Technology Product 034,442.3,6.5,3.3,2.3,True,Floor4,Low,2025-06-04
Horticulture Technology Product 035,321.3,8.6,5.5,2.4,False,PalletArea3,High,2025-06-05
Horticulture Technology Product 036,149.0,8.2,4.7,0.6,True,HazardousStorage,Low,2025-06-06
Horticulture Technology Product 037,102.1,1.5,3.8,1.8,False,Priority4,Medium,2025-06-07
Horticulture Technology Product 038,346.0,2.5,2.6,1.0,True,AutomatedStorage5,Medium,2025-06-08
Horticulture Technology Product 039,196.6,2.4,2.9,3.6,False,AutomatedStorage5,High,2025-06-09
Horticulture Technology Product 040,108.0,10.4,4.8,2.3,True,ZoneC,Low,2025-06-10
Horticulture Technology Product 041,451.3,13.4,4.3,2.2,True,ReturnsArea,High,2025-06-11
Horticulture Technology Product 042,602.1,6.7,5.3,1.9,True,Mezzanine1,Medium,2025-06-12
Horticulture Technology Product 043,166.6,8.0,4.2,2.2,False,ExpressLane,Low,2025-06-13
Horticulture Technology Product 044,375.2,3.9,3.1,1.0,False,Mezzanine5,Medium,2025-06-14
Horticulture Technology Product 045,449.3,4.7,2.9,2.8,True,OverflowStorage,Medium,2025-06-15
Horticulture Technology Product 046,215.4,9.2,3.2,4.4,False,Rack8,High,2025-06-16
Horticulture Technology Product 047,481.7,11.4,2.7,3.9,False,Rack10,Low,2025-06-17
Horticulture Technology Product 048,194.1,2.2,2.0,4.4,True,Aisle9,Low,2025-06-18
Horticulture Technology Product 049,768.8,8.2,5.5,4.3,True,SectionB,Low,2025-06-19
Horticulture Technology Product 050,280.0,3.5,1.3,2.9,False,Floor1,High,2025-06-20
Horticulture Technology Product 051,728.5,7.9,2.3,2.5,True,PremiumLane,Low,2025-06-21
Horticulture Technology Product 052,595.5,1.4,0.4,1.0,True,SectionD,Low,2025-06-22
Horticulture Technology Product 053,88.9,8.5,4.8,0.3,False,DryStorage,Medium,2025-06-23
Horticulture Technology Product 054,484.4,11.5,1.0,4.0,False,HighBay1,Medium,2025-06-24
Horticulture Technology Product 055,453.3,10.5,3.1,6.3,True,AutomatedStorage3,High,2025-06-25
Horticulture Technology Product 056,185.5,6.1,3.4,0.8,True,LoadingDock1,Low,2025-06-26
Horticulture Technology Product 057,853.0,4.9,1.0,4.6,True,ZoneE,Medium,2025-06-27
Horticulture Technology Product 058,556.9,9.2,5.0,4.7,False,HighBay2,High,2025-06-28
Horticulture Technology Product 059,586.3,10.5,1.6,2.3,False,ReceivingArea,Low,2025-06-29
Horticulture Technology Product 060,436.7,3.8,2.9,2.9,False,ColdStorage,Medium,2025-06-30
Horticulture Technology Product 061,215.0,8.2,5.4,3.7,True,ManualStorage4,Low,2025-06-01
Horticulture Technology Product 062,232.7,0.8,2.2,4.2,False,ManualStorage3,Low,2025-06-02
Horticulture Technology Product 063,535.2,1.3,1.4,2.4,True,MediumItems,Low,2025-06-03
Horticulture Technology Product 064,488.3,4.2,2.0,4.2,True,Floor1,Low,2025-06-04
Horticulture Technology Product 065,478.8,11.3,0.9,2.2,True,SectionE,Medium,2025-06-05
Horticulture Technology Product 066,56.0,8.2,4.1,3.8,False,HighBay1,Low,2025-06-06
Horticulture Technology Product 067,748.4,0.5,1.5,0.4,False,Rack6,High,2025-06-07
Horticulture Technology Product 068,16.6,5.2,1.3,5.0,False,LoadingDock1,Low,2025-06-08
Horticulture Technology Product 069,409.8,10.0,4.6,1.3,False,FastMoving,Low,2025-06-09
Horticulture Technology Product 070,1.3,6.4,6.6,1.6,True,Basement5,High,2025-06-10
Horticulture Technology Product 071,835.6,0.7,4.3,0.6,False,LoadingDock2,Low,2025-06-11
Horticulture Technology Product 072,287.8,5.9,0.6,1.3,False,BulkStorage,Medium,2025-06-12
Horticulture Technology Product 073,155.0,11.2,1.4,0.7,True,Floor2,High,2025-06-13
Horticulture Technology Product 074,247.0,14.3,6.0,1.4,True,Aisle10,High,2025-06-14
Horticulture Technology Product 075,34.6,0.8,3.2,3.1,True,ShippingArea,Medium,2025-06-15
Horticulture Technology Product 076,671.8,4.7,5.4,0.4,True,PalletArea2,Medium,2025-06-16
Horticulture Technology Product 077,157.2,10.1,5.7,2.6,False,Mezzanine4,High,2025-06-17
Horticulture Technology Product 078,58.6,12.3,5.5,3.0,True,Aisle6,Low,2025-06-18
Horticulture Technology Product 079,130.1,1.5,4.4,2.9,False,Aisle6,Medium,2025-06-19
Horticulture Technology Product 080,549.1,14.1,1.3,4.4,False,AutomatedStorage1,High,2025-06-20
Horticulture Technology Product 081,407.8,1.7,0.4,5.8,False,SectionE,High,2025-06-21
Horticulture Technology Product 082,149.8,7.7,3.1,3.0,False,Rack5,High,2025-06-22
Horticulture Technology Product 083,433.8,6.6,2.4,2.7,False,AutomatedStorage2,High,2025-06-23
Horticulture Technology Product 084,113.6,12.2,1.3,2.4,False,Rack1,High,2025-06-24
Horticulture Technology Product 085,253.7,11.1,5.6,0.4,True,ReceivingArea,Low,2025-06-25
Horticulture Technology Product 086,166.4,3.8,3.0,1.5,True,ExpressLane,Medium,2025-06-26
Horticulture Technology Product 087,65.2,9.1,5.8,1.5,True,PalletArea5,High,2025-06-27
Horticulture Technology Product 088,219.9,9.8,4.5,4.1,False,HighBay5,High,2025-06-28
Horticulture Technology Product 089,5.3,7.4,5.2,1.7,True,Rack6,High,2025-06-29
Horticulture Technology Product 090,577.7,6.0,5.6,0.8,False,ManualStorage3,Medium,2025-06-30
Horticulture Technology Product 091,229.2,1.0,2.0,0.7,False,ExpressLane,High,2025-06-01
Horticulture Technology Product 092,77.5,2.9,2.1,1.0,True,AutomatedStorage5,Medium,2025-06-02
Horticulture Technology Product 093,244.4,8.6,2.9,0.5,True,OverflowStorage,Low,2025-06-03
Horticulture Technology Product 094,57.2,11.8,1.5,5.3,True,HighBay5,Medium,2025-06-04
Horticulture Technology Product 095,796.8,5.5,4.7,0.7,False,Basement3,High,2025-06-05
Horticulture Technology Product 096,120.1,11.0,7.3,2.7,True,ColdStorage,Low,2025-06-06
Horticulture Technology Product 097,70.8,9.5,0.5,1.2,False,AutomatedStorage5,Low,2025-06-07
Horticulture Technology Product 098,686.8,9.1,5.0,3.8,True,ZoneE,High,2025-06-08
Horticulture Technology Product 099,673.5,11.0,1.8,1.9,False,Floor5,Low,2025-06-09
Horticulture Technology Product 100,743.4,4.6,5.3,0.2,True,LoadingDock4,Low,2025-06-10
