Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Floriculture Technology Product 001,733.9,2.8,4.4,2.7,True,LoadingDock1,Medium,2025-06-01
Floriculture Technology Product 002,15.6,15.1,7.1,3.7,False,Aisle8,Medium,2025-06-02
Floriculture Technology Product 003,117.6,1.4,2.5,5.0,True,PalletArea1,High,2025-06-03
Floriculture Technology Product 004,280.8,2.9,1.5,4.6,True,Mezzanine2,High,2025-06-04
Floriculture Technology Product 005,553.5,12.7,1.3,1.7,False,Aisle5,High,2025-06-05
Floriculture Technology Product 006,84.2,7.3,4.8,0.4,False,ManualStorage5,Low,2025-06-06
Floriculture Technology Product 007,366.6,7.7,3.8,0.4,True,FragileItems,Medium,2025-06-07
Floriculture Technology Product 008,561.6,3.1,2.2,2.9,False,SectionC,High,2025-06-08
Floriculture Technology Product 009,428.0,9.3,3.1,2.0,False,Priority1,Medium,2025-06-09
Floriculture Technology Product 010,272.5,3.5,4.9,5.9,True,Priority3,Low,2025-06-10
Floriculture Technology Product 011,545.3,11.9,3.3,0.2,True,Basement5,Medium,2025-06-11
Floriculture Technology Product 012,538.6,1.0,1.0,0.3,True,Mezzanine1,High,2025-06-12
Floriculture Technology Product 013,153.0,2.5,1.8,0.7,True,AutomatedStorage1,High,2025-06-13
Floriculture Technology Product 014,306.3,11.5,6.5,1.0,True,Mezzanine1,Medium,2025-06-14
Floriculture Technology Product 015,315.5,1.5,4.1,3.5,True,ManualStorage3,High,2025-06-15
Floriculture Technology Product 016,412.1,3.0,3.7,0.7,True,AutomatedStorage2,Medium,2025-06-16
Floriculture Technology Product 017,411.6,11.2,4.2,2.3,True,QualityControl,High,2025-06-17
Floriculture Technology Product 018,330.0,5.9,0.9,3.3,False,AutomatedStorage5,Medium,2025-06-18
Floriculture Technology Product 019,444.1,11.4,0.7,3.8,False,FastMoving,Low,2025-06-19
Floriculture Technology Product 020,783.4,11.2,2.2,0.7,False,SectionC,Medium,2025-06-20
Floriculture Technology Product 021,360.8,3.4,4.6,4.9,False,Mezzanine1,Medium,2025-06-21
Floriculture Technology Product 022,409.5,2.5,3.4,1.4,True,ZoneC,High,2025-06-22
Floriculture Technology Product 023,239.3,4.8,3.5,3.0,False,SectionF,Low,2025-06-23
Floriculture Technology Product 024,107.0,8.9,6.9,1.7,False,OverflowStorage,High,2025-06-24
