Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Aquaculture Technology Product 001,253.7,11.3,1.1,1.9,False,LoadingDock5,Medium,2025-06-01
Aquaculture Technology Product 002,268.6,8.0,2.6,5.1,True,AutomatedStorage4,Medium,2025-06-02
Aquaculture Technology Product 003,417.5,8.4,2.4,4.9,False,HighBay3,Medium,2025-06-03
Aquaculture Technology Product 004,321.3,14.8,4.8,3.5,True,Rack7,Medium,2025-06-04
Aquaculture Technology Product 005,20.7,4.1,4.3,3.9,False,SectionE,Medium,2025-06-05
Aquaculture Technology Product 006,578.1,7.1,0.7,0.6,True,AutomatedStorage2,Low,2025-06-06
Aquaculture Technology Product 007,97.7,3.4,4.0,1.2,True,ManualStorage1,High,2025-06-07
Aquaculture Technology Product 008,449.9,9.2,5.5,1.8,False,DryStorage,Medium,2025-06-08
Aquaculture Technology Product 009,36.7,0.6,0.3,2.5,False,FragileItems,Low,2025-06-09
Aquaculture Technology Product 010,94.3,8.8,1.0,0.6,False,LoadingDock5,Medium,2025-06-10
Aquaculture Technology Product 011,188.6,13.4,0.5,0.8,False,SectionF,Medium,2025-06-11
Aquaculture Technology Product 012,735.0,1.5,1.6,3.5,False,SectionB,Medium,2025-06-12
Aquaculture Technology Product 013,286.6,4.7,3.2,3.7,False,Rack6,Medium,2025-06-13
Aquaculture Technology Product 014,606.6,7.8,3.9,1.7,True,MediumItems,Medium,2025-06-14
Aquaculture Technology Product 015,51.7,6.2,0.9,1.5,False,Rack2,High,2025-06-15
Aquaculture Technology Product 016,41.8,8.9,1.2,2.3,False,HighBay3,Medium,2025-06-16
Aquaculture Technology Product 017,168.7,4.8,1.1,3.1,False,HighBay2,Low,2025-06-17
Aquaculture Technology Product 018,145.1,3.6,2.8,2.7,True,ShippingArea,Medium,2025-06-18
Aquaculture Technology Product 019,156.4,3.0,4.6,1.0,False,LoadingDock1,Low,2025-06-19
Aquaculture Technology Product 020,642.1,9.1,7.2,0.9,True,OverflowStorage,Low,2025-06-20
Aquaculture Technology Product 021,416.5,5.8,2.7,4.3,False,LoadingDock4,Low,2025-06-21
Aquaculture Technology Product 022,703.0,5.4,4.3,1.2,False,Rack6,Low,2025-06-22
Aquaculture Technology Product 023,124.8,11.9,4.8,3.6,True,ReceivingArea,Medium,2025-06-23
Aquaculture Technology Product 024,208.9,1.5,0.4,4.3,False,Aisle5,Medium,2025-06-24
Aquaculture Technology Product 025,609.6,1.9,6.8,1.2,True,SectionH,High,2025-06-25
Aquaculture Technology Product 026,273.3,9.7,4.2,1.1,True,SectionB,High,2025-06-26
Aquaculture Technology Product 027,324.4,11.7,1.1,1.2,True,SmallItems,Medium,2025-06-27
Aquaculture Technology Product 028,713.4,4.8,3.0,2.5,True,StandardLane,Medium,2025-06-28
Aquaculture Technology Product 029,219.6,0.7,5.5,3.7,True,Aisle10,High,2025-06-29
Aquaculture Technology Product 030,140.5,0.6,2.6,4.4,False,SectionF,High,2025-06-30
Aquaculture Technology Product 031,19.1,4.2,1.1,4.8,True,HighBay3,Low,2025-06-01
Aquaculture Technology Product 032,58.2,1.9,6.5,2.6,True,Aisle5,High,2025-06-02
Aquaculture Technology Product 033,300.0,1.8,0.6,2.2,True,Mezzanine3,Low,2025-06-03
Aquaculture Technology Product 034,200.8,4.5,0.8,4.2,True,EconomyLane,High,2025-06-04
Aquaculture Technology Product 035,738.5,6.9,1.3,0.7,False,ColdStorage,Low,2025-06-05
Aquaculture Technology Product 036,688.3,7.3,3.5,2.9,False,Floor3,Medium,2025-06-06
Aquaculture Technology Product 037,311.1,10.8,6.2,3.4,False,Priority1,Low,2025-06-07
Aquaculture Technology Product 038,408.6,4.0,3.9,0.8,True,Floor1,Medium,2025-06-08
Aquaculture Technology Product 039,707.0,1.8,5.5,0.4,False,Priority2,High,2025-06-09
Aquaculture Technology Product 040,550.2,10.9,7.3,3.2,False,Priority5,Low,2025-06-10
Aquaculture Technology Product 041,87.4,0.7,8.2,2.2,True,ShelfArea3,Medium,2025-06-11
Aquaculture Technology Product 042,253.5,2.6,0.9,1.8,False,PalletArea2,Low,2025-06-12
Aquaculture Technology Product 043,546.4,8.0,3.6,4.1,False,ShelfArea1,Low,2025-06-13
Aquaculture Technology Product 044,278.3,7.9,2.3,0.5,True,HighBay1,Low,2025-06-14
Aquaculture Technology Product 045,614.6,4.3,2.0,0.6,True,Rack4,Medium,2025-06-15
Aquaculture Technology Product 046,409.4,10.8,4.5,1.7,True,AutomatedStorage3,High,2025-06-16
Aquaculture Technology Product 047,360.5,5.2,0.4,1.3,True,HighBay4,High,2025-06-17
Aquaculture Technology Product 048,526.9,1.4,5.0,1.3,True,SectionD,Medium,2025-06-18
Aquaculture Technology Product 049,414.2,4.5,1.4,1.5,True,ZoneD,Medium,2025-06-19
Aquaculture Technology Product 050,312.1,9.6,0.8,0.9,False,Aisle9,Low,2025-06-20
Aquaculture Technology Product 051,25.2,5.9,3.4,5.5,False,SectionG,Low,2025-06-21
Aquaculture Technology Product 052,178.0,10.4,1.6,3.7,False,DryStorage,Medium,2025-06-22
Aquaculture Technology Product 053,548.3,4.0,1.2,1.6,True,LoadingDock5,Medium,2025-06-23
Aquaculture Technology Product 054,575.7,10.5,1.4,2.7,False,Aisle5,Medium,2025-06-24
Aquaculture Technology Product 055,230.6,11.9,2.3,3.7,True,LargeItems,Medium,2025-06-25
Aquaculture Technology Product 056,218.1,4.1,6.8,0.3,False,ShelfArea5,High,2025-06-26
Aquaculture Technology Product 057,650.2,0.2,2.8,4.6,True,HeavyItems,High,2025-06-27
Aquaculture Technology Product 058,43.5,12.3,4.2,1.0,False,SectionF,Low,2025-06-28
Aquaculture Technology Product 059,386.7,9.5,3.8,1.7,True,SectionB,Low,2025-06-29
Aquaculture Technology Product 060,742.9,8.5,2.7,0.7,True,FragileItems,High,2025-06-30
Aquaculture Technology Product 061,270.9,0.4,6.0,0.3,True,ZoneA,High,2025-06-01
Aquaculture Technology Product 062,336.9,9.8,2.5,0.3,False,FastMoving,Medium,2025-06-02
Aquaculture Technology Product 063,414.4,9.9,3.6,1.5,False,SmallItems,Medium,2025-06-03
Aquaculture Technology Product 064,771.6,10.0,2.7,2.4,False,PremiumLane,Medium,2025-06-04
Aquaculture Technology Product 065,2.3,2.5,2.4,3.1,False,PalletArea2,Low,2025-06-05
Aquaculture Technology Product 066,127.2,7.7,3.2,1.8,False,ManualStorage5,Medium,2025-06-06
Aquaculture Technology Product 067,480.8,3.7,3.7,1.2,False,QualityControl,Low,2025-06-07
Aquaculture Technology Product 068,514.5,7.0,1.5,0.2,True,AutomatedStorage2,Low,2025-06-08
Aquaculture Technology Product 069,113.3,4.3,6.5,2.3,False,LargeItems,Low,2025-06-09
Aquaculture Technology Product 070,162.5,8.8,3.9,2.0,False,Aisle6,Medium,2025-06-10
Aquaculture Technology Product 071,315.5,1.0,1.3,0.4,True,FastMoving,Low,2025-06-11
Aquaculture Technology Product 072,192.5,9.7,4.3,1.2,False,AutomatedStorage5,Low,2025-06-12
Aquaculture Technology Product 073,497.6,7.0,3.6,3.7,False,ZoneJ,Low,2025-06-13
Aquaculture Technology Product 074,556.2,6.0,8.1,0.7,True,LoadingDock4,High,2025-06-14
Aquaculture Technology Product 075,683.6,5.8,2.0,4.9,False,Floor3,High,2025-06-15
Aquaculture Technology Product 076,303.3,7.3,2.9,0.6,False,Priority4,High,2025-06-16
Aquaculture Technology Product 077,586.7,0.7,2.5,0.5,False,SectionC,Low,2025-06-17
Aquaculture Technology Product 078,329.3,7.7,0.8,2.5,True,ZoneF,Medium,2025-06-18
Aquaculture Technology Product 079,549.0,9.4,4.3,3.6,True,Priority2,Low,2025-06-19
Aquaculture Technology Product 080,632.1,15.3,2.7,0.7,False,FastMoving,Low,2025-06-20
Aquaculture Technology Product 081,69.2,8.4,4.1,1.5,True,Mezzanine3,High,2025-06-21
Aquaculture Technology Product 082,61.1,3.7,4.9,1.1,True,PalletArea1,Medium,2025-06-22
Aquaculture Technology Product 083,592.3,4.8,4.7,4.3,True,DryStorage,Low,2025-06-23
Aquaculture Technology Product 084,490.8,15.7,3.9,3.3,True,ShelfArea4,High,2025-06-24
Aquaculture Technology Product 085,386.5,6.7,6.5,2.6,True,AutomatedStorage2,Medium,2025-06-25
Aquaculture Technology Product 086,560.1,11.6,4.7,2.0,True,ManualStorage5,Low,2025-06-26
