Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Dairy Technology Product 001,91.2,11.9,1.3,1.2,False,Basement1,Medium,2025-07-01
Dairy Technology Product 002,248.1,4.5,5.2,3.1,False,Rack8,High,2025-07-02
Dairy Technology Product 003,384.3,2.2,4.7,1.0,True,Rack3,Low,2025-07-03
Dairy Technology Product 004,391.5,1.9,7.2,4.6,True,ZoneF,Low,2025-07-04
Dairy Technology Product 005,434.0,5.0,6.5,2.8,True,PalletArea2,High,2025-07-05
Dairy Technology Product 006,425.4,8.7,3.5,1.3,False,ZoneH,High,2025-07-06
Dairy Technology Product 007,150.3,2.4,1.3,1.7,True,HighBay1,High,2025-07-07
Dairy Technology Product 008,404.8,3.4,2.1,1.5,True,Rack6,Medium,2025-07-08
Dairy Technology Product 009,308.9,6.6,0.6,2.5,True,BulkStorage,Medium,2025-07-09
Dairy Technology Product 010,95.7,7.3,0.3,0.3,False,Basement1,High,2025-07-10
Dairy Technology Product 011,411.7,11.0,2.7,1.7,True,ZoneF,High,2025-07-11
Dairy Technology Product 012,493.7,5.3,4.0,3.4,False,Aisle9,Medium,2025-07-12
Dairy Technology Product 013,424.8,9.0,1.2,0.2,False,Aisle2,Medium,2025-07-13
Dairy Technology Product 014,370.3,12.4,4.0,4.6,False,Mezzanine1,Medium,2025-07-14
Dairy Technology Product 015,663.1,2.9,6.4,2.2,True,Aisle10,Medium,2025-07-15
Dairy Technology Product 016,68.5,11.0,2.4,1.4,False,ManualStorage5,High,2025-07-16
Dairy Technology Product 017,120.6,2.5,1.4,2.5,True,LoadingDock3,High,2025-07-17
Dairy Technology Product 018,41.6,1.2,1.3,4.7,True,LoadingDock1,Low,2025-07-18
Dairy Technology Product 019,235.0,11.2,1.2,4.1,True,LoadingDock2,Medium,2025-07-19
Dairy Technology Product 020,52.5,11.6,1.8,0.9,True,HighBay1,High,2025-07-20
Dairy Technology Product 021,335.3,9.0,3.2,3.0,True,Basement3,Medium,2025-07-21
Dairy Technology Product 022,459.8,3.7,5.4,2.4,True,SectionE,Medium,2025-07-22
Dairy Technology Product 023,263.5,5.3,4.4,3.2,False,LightItems,Low,2025-07-23
Dairy Technology Product 024,292.4,5.0,4.2,0.6,True,Floor4,Low,2025-07-24
Dairy Technology Product 025,50.6,1.3,4.2,1.3,True,AutomatedStorage5,High,2025-07-25
Dairy Technology Product 026,561.2,3.9,3.2,2.2,False,PalletArea5,Low,2025-07-26
Dairy Technology Product 027,284.9,11.4,3.0,2.9,False,Aisle5,Medium,2025-07-27
Dairy Technology Product 028,549.7,2.5,1.3,3.3,False,Mezzanine5,High,2025-07-28
Dairy Technology Product 029,495.7,12.1,0.4,0.5,False,SectionH,Medium,2025-07-29
Dairy Technology Product 030,46.9,15.8,4.9,4.1,False,ZoneC,Low,2025-07-30
Dairy Technology Product 031,427.5,5.6,5.5,0.4,True,LoadingDock4,Medium,2025-07-01
Dairy Technology Product 032,411.9,3.1,4.8,3.8,False,SmallItemStorage,Medium,2025-07-02
Dairy Technology Product 033,397.7,10.0,4.2,1.3,False,SectionG,Low,2025-07-03
Dairy Technology Product 034,396.8,5.1,4.1,3.9,False,Basement3,High,2025-07-04
Dairy Technology Product 035,478.5,14.5,4.9,1.9,True,Rack8,Medium,2025-07-05
Dairy Technology Product 036,203.5,2.0,6.6,1.1,True,PalletArea5,High,2025-07-06
Dairy Technology Product 037,162.8,2.5,2.8,3.6,False,MediumItems,Medium,2025-07-07
Dairy Technology Product 038,282.0,2.6,5.9,3.7,False,ReturnsArea,Medium,2025-07-08
Dairy Technology Product 039,25.6,9.2,5.2,4.9,True,PalletArea1,Medium,2025-07-09
Dairy Technology Product 040,545.2,4.8,6.4,1.8,False,FastMoving,Low,2025-07-10
Dairy Technology Product 041,630.6,6.2,2.6,2.4,False,AutomatedStorage3,High,2025-07-11
Dairy Technology Product 042,278.0,3.5,5.1,1.7,False,Basement2,Medium,2025-07-12
Dairy Technology Product 043,378.8,0.8,5.3,3.3,True,DryStorage,Low,2025-07-13
Dairy Technology Product 044,94.6,9.1,7.7,3.2,True,Priority5,Low,2025-07-14
Dairy Technology Product 045,511.4,3.9,2.4,0.8,False,SectionC,High,2025-07-15
Dairy Technology Product 046,700.2,4.7,4.1,1.6,True,HighBay5,High,2025-07-16
Dairy Technology Product 047,309.8,2.7,4.0,1.2,True,ReceivingArea,Medium,2025-07-17
Dairy Technology Product 048,433.7,11.3,4.2,5.9,False,AutomatedStorage2,Medium,2025-07-18
Dairy Technology Product 049,93.4,8.6,1.2,3.5,False,QualityControl,Medium,2025-07-19
Dairy Technology Product 050,510.6,10.5,1.3,0.9,True,Aisle9,High,2025-07-20
Dairy Technology Product 051,107.0,6.8,0.4,3.1,True,Floor4,High,2025-07-21
Dairy Technology Product 052,145.9,4.6,4.2,3.9,False,LoadingDock1,High,2025-07-22
Dairy Technology Product 053,297.8,7.5,1.0,3.3,False,ExpressLane,Low,2025-07-23
Dairy Technology Product 054,461.8,8.7,1.6,4.2,True,PremiumLane,High,2025-07-24
Dairy Technology Product 055,384.1,14.5,2.6,4.1,True,Rack9,Low,2025-07-25
Dairy Technology Product 056,476.1,1.9,1.0,0.7,False,OverflowLane,Low,2025-07-26
Dairy Technology Product 057,155.2,14.2,2.3,3.6,True,HighBay1,High,2025-07-27
Dairy Technology Product 058,344.1,1.5,0.7,3.1,True,Floor5,Low,2025-07-28
Dairy Technology Product 059,135.5,12.8,4.0,3.9,False,ZoneG,Low,2025-07-29
Dairy Technology Product 060,29.8,11.4,0.7,5.4,False,Mezzanine3,Medium,2025-07-30
Dairy Technology Product 061,641.3,6.7,5.1,4.2,False,ManualStorage3,Low,2025-07-01
Dairy Technology Product 062,512.0,2.2,0.4,2.6,True,Floor1,High,2025-07-02
Dairy Technology Product 063,573.3,9.4,2.7,2.8,True,ManualStorage1,Low,2025-07-03
Dairy Technology Product 064,410.5,5.6,4.1,3.6,True,ExpressLane,Low,2025-07-04
Dairy Technology Product 065,551.1,15.8,2.8,3.8,True,SectionA,High,2025-07-05
Dairy Technology Product 066,149.8,4.1,2.0,0.7,False,Aisle4,High,2025-07-06
Dairy Technology Product 067,243.5,1.3,5.0,0.5,True,ManualStorage1,Low,2025-07-07
Dairy Technology Product 068,222.4,2.6,1.4,0.7,False,ZoneB,High,2025-07-08
Dairy Technology Product 069,239.1,1.9,3.1,1.4,False,ZoneH,High,2025-07-09
Dairy Technology Product 070,42.4,2.1,3.2,3.4,False,Rack4,Medium,2025-07-10
Dairy Technology Product 071,280.5,10.1,2.4,1.5,True,ZoneG,Medium,2025-07-11
Dairy Technology Product 072,383.2,3.5,4.6,2.5,True,SectionD,High,2025-07-12
Dairy Technology Product 073,439.0,1.0,7.5,3.2,True,ManualStorage4,Medium,2025-07-13
Dairy Technology Product 074,398.5,5.8,3.4,2.5,False,Aisle9,Medium,2025-07-14
Dairy Technology Product 075,812.4,2.4,3.4,2.7,False,Floor4,High,2025-07-15
Dairy Technology Product 076,93.3,1.2,6.5,2.5,False,HighBay4,Medium,2025-07-16
Dairy Technology Product 077,298.8,4.2,1.8,0.8,True,Rack9,Low,2025-07-17
Dairy Technology Product 078,174.8,10.6,0.9,1.0,True,ReturnsArea,Medium,2025-07-18
Dairy Technology Product 079,182.1,0.5,4.5,3.3,True,HighBay3,Medium,2025-07-19
Dairy Technology Product 080,519.8,1.1,2.6,0.6,False,Floor2,Low,2025-07-20
Dairy Technology Product 081,99.4,13.0,4.2,2.0,True,Aisle9,Low,2025-07-21
Dairy Technology Product 082,640.4,11.5,5.8,1.0,True,ZoneJ,Medium,2025-07-22
Dairy Technology Product 083,214.1,11.5,4.2,0.9,True,ShelfArea4,High,2025-07-23
Dairy Technology Product 084,277.4,5.1,3.5,2.9,False,SectionA,High,2025-07-24
Dairy Technology Product 085,276.4,9.2,3.2,1.9,False,Priority2,High,2025-07-25
Dairy Technology Product 086,370.9,6.5,2.5,4.4,False,Aisle4,Low,2025-07-26
Dairy Technology Product 087,291.1,1.3,2.7,0.9,False,LightItems,Medium,2025-07-27
Dairy Technology Product 088,364.7,3.0,1.8,1.5,True,PremiumLane,High,2025-07-28
Dairy Technology Product 089,506.0,3.8,3.6,3.0,True,BulkStorage,Medium,2025-07-29
Dairy Technology Product 090,170.5,2.1,6.2,0.9,True,ZoneC,Low,2025-07-30
Dairy Technology Product 091,38.0,6.3,2.0,2.7,True,Floor5,Low,2025-07-01
Dairy Technology Product 092,353.4,9.0,2.4,3.5,True,PremiumLane,High,2025-07-02
Dairy Technology Product 093,713.4,5.3,5.2,0.2,True,Basement5,Medium,2025-07-03
Dairy Technology Product 094,418.7,6.0,2.6,0.8,True,Rack4,Medium,2025-07-04
Dairy Technology Product 095,508.0,0.8,5.0,0.2,True,HighBay5,High,2025-07-05
Dairy Technology Product 096,380.8,4.9,4.6,3.4,False,Aisle6,Medium,2025-07-06
Dairy Technology Product 097,247.7,3.8,2.4,2.8,True,ShelfArea1,High,2025-07-07
Dairy Technology Product 098,377.3,10.5,3.5,2.4,True,Rack4,High,2025-07-08
Dairy Technology Product 099,97.6,6.6,2.6,1.1,False,ShelfArea2,Low,2025-07-09
Dairy Technology Product 100,306.9,5.3,5.8,5.5,False,SectionA,High,2025-07-10
