Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Meat Processing Product 001,92.3,9.6,4.9,3.3,True,ManualStorage2,Medium,2025-07-01
Meat Processing Product 002,348.0,7.6,1.9,2.4,True,ManualStorage4,High,2025-07-02
Meat Processing Product 003,665.1,7.4,4.2,2.5,False,FastMoving,Low,2025-07-03
Meat Processing Product 004,219.6,6.4,7.5,4.3,True,Priority4,Medium,2025-07-04
Meat Processing Product 005,115.1,5.6,3.1,1.4,True,AutomatedStorage4,Low,2025-07-05
Meat Processing Product 006,365.7,6.7,3.7,0.6,True,Floor3,Low,2025-07-06
Meat Processing Product 007,688.2,1.1,2.8,0.8,True,Floor5,Low,2025-07-07
Meat Processing Product 008,169.9,5.6,4.1,0.5,False,Rack3,Medium,2025-07-08
Meat Processing Product 009,148.5,11.1,1.8,3.1,True,ShelfArea3,High,2025-07-09
Meat Processing Product 010,232.8,6.4,0.6,3.8,False,Aisle4,High,2025-07-10
Meat Processing Product 011,762.3,1.6,2.7,2.9,False,SectionH,Low,2025-07-11
Meat Processing Product 012,85.0,7.1,3.9,1.1,True,LargeItems,Medium,2025-07-12
Meat Processing Product 013,234.5,7.2,2.1,5.3,True,FastMoving,Low,2025-07-13
Meat Processing Product 014,625.9,11.0,2.0,0.7,False,ZoneG,Medium,2025-07-14
Meat Processing Product 015,89.4,7.5,2.4,0.5,True,PalletArea4,High,2025-07-15
Meat Processing Product 016,459.9,13.6,0.6,5.5,False,Aisle8,High,2025-07-16
Meat Processing Product 017,224.7,10.1,0.7,4.8,True,PalletArea5,Low,2025-07-17
Meat Processing Product 018,399.7,1.1,0.5,3.9,False,SectionC,Medium,2025-07-18
Meat Processing Product 019,361.7,9.0,5.8,1.5,True,StandardLane,Medium,2025-07-19
Meat Processing Product 020,204.4,4.0,2.5,5.7,False,LoadingDock1,Medium,2025-07-20
Meat Processing Product 021,226.1,12.8,0.6,5.2,True,Basement5,Medium,2025-07-21
Meat Processing Product 022,213.9,5.0,0.9,2.1,True,ShelfArea5,Low,2025-07-22
Meat Processing Product 023,22.1,1.5,5.1,4.4,False,LoadingDock3,High,2025-07-23
Meat Processing Product 024,82.7,7.8,1.2,1.6,False,FragileItems,High,2025-07-24
Meat Processing Product 025,336.0,2.4,4.9,3.5,True,ShelfArea1,Low,2025-07-25
Meat Processing Product 026,79.2,4.7,5.8,1.7,True,HazardousStorage,Medium,2025-07-26
Meat Processing Product 027,104.9,6.0,1.3,1.3,True,ExpressLane,High,2025-07-27
Meat Processing Product 028,346.8,14.9,1.1,4.9,True,PalletArea1,Medium,2025-07-28
Meat Processing Product 029,284.7,7.3,4.4,0.8,True,PalletArea4,Medium,2025-07-29
Meat Processing Product 030,629.7,5.7,4.8,3.0,True,FastMoving,Medium,2025-07-30
Meat Processing Product 031,679.0,11.0,1.7,0.4,True,Priority4,Low,2025-07-01
Meat Processing Product 032,10.1,2.6,4.1,1.4,False,Priority3,Medium,2025-07-02
Meat Processing Product 033,85.0,9.2,3.6,4.4,False,StandardLane,Low,2025-07-03
Meat Processing Product 034,324.8,4.0,0.7,1.7,False,ZoneC,Low,2025-07-04
Meat Processing Product 035,265.2,10.1,1.2,0.7,False,AutomatedStorage5,Medium,2025-07-05
Meat Processing Product 036,549.1,10.1,4.0,1.2,True,Rack6,Low,2025-07-06
Meat Processing Product 037,405.8,8.3,2.0,1.0,False,SectionG,Low,2025-07-07
Meat Processing Product 038,164.4,10.5,2.7,0.9,True,ZoneF,Medium,2025-07-08
Meat Processing Product 039,171.6,6.1,5.2,1.6,True,SectionB,High,2025-07-09
Meat Processing Product 040,164.6,2.5,5.1,1.9,True,SectionA,High,2025-07-10
Meat Processing Product 041,57.3,6.4,6.7,0.4,True,ZoneF,High,2025-07-11
Meat Processing Product 042,384.8,2.9,1.7,2.8,False,Basement5,High,2025-07-12
Meat Processing Product 043,284.4,3.0,0.9,3.3,False,Mezzanine3,High,2025-07-13
Meat Processing Product 044,732.4,7.8,0.5,1.1,False,Rack2,Low,2025-07-14
Meat Processing Product 045,356.7,8.5,0.8,0.9,False,AutomatedStorage5,Medium,2025-07-15
Meat Processing Product 046,274.2,10.2,1.2,3.4,False,Basement5,High,2025-07-16
Meat Processing Product 047,75.7,3.7,4.2,1.1,False,Mezzanine3,Low,2025-07-17
Meat Processing Product 048,146.3,6.3,3.4,3.7,False,ColdStorage,High,2025-07-18
Meat Processing Product 049,741.3,7.9,3.5,4.0,True,ReceivingArea,Low,2025-07-19
Meat Processing Product 050,171.8,11.3,5.2,0.3,True,Aisle9,Medium,2025-07-20
Meat Processing Product 051,80.5,1.8,2.2,0.6,True,ZoneC,Medium,2025-07-21
Meat Processing Product 052,327.7,5.6,6.7,1.8,False,LoadingDock5,Medium,2025-07-22
Meat Processing Product 053,283.1,1.5,4.6,3.4,False,PalletArea4,High,2025-07-23
Meat Processing Product 054,615.9,11.2,4.3,2.7,True,ZoneG,Medium,2025-07-24
