Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Bakery Technology Product 001,175.4,6.0,4.4,2.9,True,PalletArea3,Low,2025-07-01
Bakery Technology Product 002,42.6,3.4,5.6,4.2,True,BulkStorage,Low,2025-07-02
Bakery Technology Product 003,170.0,3.0,1.3,2.3,False,Aisle8,High,2025-07-03
Bakery Technology Product 004,831.5,13.3,6.2,4.6,True,ManualStorage4,High,2025-07-04
Bakery Technology Product 005,710.1,4.0,4.7,4.2,False,Priority2,Medium,2025-07-05
Bakery Technology Product 006,325.3,9.5,3.0,0.8,True,ZoneA,Low,2025-07-06
Bakery Technology Product 007,48.8,5.5,0.6,0.6,True,Floor1,High,2025-07-07
Bakery Technology Product 008,238.2,3.2,1.9,0.8,True,ExpressLane,High,2025-07-08
Bakery Technology Product 009,209.8,6.4,6.7,3.1,False,Aisle8,High,2025-07-09
Bakery Technology Product 010,181.7,1.0,2.4,4.6,False,FastMoving,Medium,2025-07-10
Bakery Technology Product 011,112.7,2.7,3.4,3.1,True,SmallItemStorage,High,2025-07-11
Bakery Technology Product 012,561.5,8.8,0.9,2.8,False,HighBay3,Medium,2025-07-12
Bakery Technology Product 013,5.9,9.8,3.9,5.4,True,SectionF,Low,2025-07-13
Bakery Technology Product 014,671.1,13.3,4.6,3.5,False,EconomyLane,High,2025-07-14
Bakery Technology Product 015,610.6,1.5,2.3,1.7,False,Priority1,High,2025-07-15
Bakery Technology Product 016,569.5,9.5,7.5,2.8,True,Floor5,High,2025-07-16
Bakery Technology Product 017,197.8,1.5,5.2,5.5,False,HighBay2,High,2025-07-17
Bakery Technology Product 018,247.3,8.3,2.2,0.5,False,DryStorage,Medium,2025-07-18
Bakery Technology Product 019,313.2,9.8,0.6,2.6,True,Priority4,Low,2025-07-19
Bakery Technology Product 020,433.7,1.3,2.8,1.1,False,Seasonal,Low,2025-07-20
Bakery Technology Product 021,556.6,2.2,3.5,3.3,False,Priority1,Medium,2025-07-21
Bakery Technology Product 022,260.2,0.7,1.2,3.0,True,Rack2,Medium,2025-07-22
Bakery Technology Product 023,30.0,5.4,1.1,0.5,False,Rack8,Medium,2025-07-23
Bakery Technology Product 024,263.5,12.0,0.7,0.3,True,EconomyLane,Medium,2025-07-24
Bakery Technology Product 025,369.0,2.3,1.0,2.2,False,ColdStorage,High,2025-07-25
Bakery Technology Product 026,411.2,10.8,3.5,0.6,True,BulkItems,Medium,2025-07-26
Bakery Technology Product 027,423.3,6.0,3.6,2.8,True,HighBay2,Low,2025-07-27
Bakery Technology Product 028,723.6,0.9,2.6,4.3,True,SmallItemStorage,Medium,2025-07-28
Bakery Technology Product 029,33.2,10.0,5.7,4.0,False,Basement5,High,2025-07-29
Bakery Technology Product 030,249.0,11.8,1.9,1.4,True,Rack5,Low,2025-07-30
Bakery Technology Product 031,71.8,5.2,7.1,5.3,True,Rack4,High,2025-07-01
Bakery Technology Product 032,673.5,8.7,7.5,0.8,True,Priority1,Low,2025-07-02
Bakery Technology Product 033,417.3,11.3,0.4,1.1,False,HeavyItems,High,2025-07-03
Bakery Technology Product 034,165.5,9.9,2.8,3.0,True,ExpressLane,Medium,2025-07-04
Bakery Technology Product 035,638.6,10.0,6.1,3.5,True,FragileItems,High,2025-07-05
Bakery Technology Product 036,418.7,4.2,1.7,2.2,False,Mezzanine1,High,2025-07-06
Bakery Technology Product 037,378.2,8.1,1.4,1.1,True,PremiumLane,Medium,2025-07-07
Bakery Technology Product 038,325.0,11.7,4.8,5.0,False,PalletArea5,Medium,2025-07-08
Bakery Technology Product 039,146.3,9.2,4.5,3.6,True,AutomatedStorage1,Medium,2025-07-09
Bakery Technology Product 040,303.3,1.7,4.7,1.0,True,SectionD,Medium,2025-07-10
Bakery Technology Product 041,233.8,6.3,0.9,2.3,False,SectionB,Low,2025-07-11
Bakery Technology Product 042,141.2,13.2,1.7,3.7,True,Rack8,Medium,2025-07-12
Bakery Technology Product 043,447.5,8.7,8.3,4.3,False,Rack5,High,2025-07-13
Bakery Technology Product 044,123.8,4.2,3.6,1.2,True,ShelfArea5,High,2025-07-14
Bakery Technology Product 045,458.0,7.8,5.7,4.0,False,Priority2,High,2025-07-15
Bakery Technology Product 046,108.4,8.2,4.6,1.8,True,SmallItems,High,2025-07-16
Bakery Technology Product 047,603.0,8.0,0.5,2.1,False,ZoneJ,Medium,2025-07-17
