Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Confectionery Technology Product 001,374.4,3.8,5.9,2.7,False,Floor1,Medium,2025-07-01
Confectionery Technology Product 002,355.1,7.9,0.9,4.3,False,FragileItems,High,2025-07-02
Confectionery Technology Product 003,370.0,14.6,5.2,0.4,True,Rack7,High,2025-07-03
Confectionery Technology Product 004,237.8,3.7,2.7,1.7,True,Mezzanine1,High,2025-07-04
Confectionery Technology Product 005,104.9,0.8,1.9,6.1,False,Aisle10,High,2025-07-05
Confectionery Technology Product 006,32.9,15.0,1.1,5.7,False,EconomyLane,Low,2025-07-06
Confectionery Technology Product 007,95.9,3.6,1.8,0.8,True,Rack10,High,2025-07-07
Confectionery Technology Product 008,174.0,9.4,3.8,2.0,True,LoadingDock5,High,2025-07-08
Confectionery Technology Product 009,504.1,1.4,8.1,5.3,True,ShelfArea4,Low,2025-07-09
Confectionery Technology Product 010,445.0,5.0,0.6,3.9,True,ZoneG,Medium,2025-07-10
Confectionery Technology Product 011,305.1,4.1,1.2,3.9,False,ReceivingArea,High,2025-07-11
Confectionery Technology Product 012,370.0,13.6,7.3,1.7,True,Aisle5,High,2025-07-12
Confectionery Technology Product 013,367.0,5.4,3.4,1.2,False,ZoneF,High,2025-07-13
Confectionery Technology Product 014,561.0,8.7,5.8,4.0,False,PalletArea5,Medium,2025-07-14
Confectionery Technology Product 015,385.5,5.3,6.1,1.7,True,ZoneA,Medium,2025-07-15
Confectionery Technology Product 016,824.0,3.2,2.7,3.1,True,DryStorage,Medium,2025-07-16
Confectionery Technology Product 017,210.8,1.3,7.4,2.3,True,Rack2,High,2025-07-17
Confectionery Technology Product 018,672.1,10.5,2.9,2.9,False,ZoneB,Low,2025-07-18
Confectionery Technology Product 019,393.2,2.2,3.3,1.4,False,OverflowLane,Medium,2025-07-19
Confectionery Technology Product 020,690.3,5.8,1.4,1.6,False,ManualStorage5,Medium,2025-07-20
Confectionery Technology Product 021,302.0,0.5,0.7,3.6,False,Floor2,Medium,2025-07-21
Confectionery Technology Product 022,318.4,9.3,7.4,2.9,True,PalletArea4,Low,2025-07-22
Confectionery Technology Product 023,198.1,8.5,2.9,4.4,False,HighBay5,Medium,2025-07-23
Confectionery Technology Product 024,5.2,8.1,1.4,4.2,True,Aisle1,Low,2025-07-24
Confectionery Technology Product 025,44.6,10.1,4.6,5.6,False,Rack8,Low,2025-07-25
Confectionery Technology Product 026,240.0,16.5,3.8,3.0,True,HighBay2,High,2025-07-26
Confectionery Technology Product 027,473.9,11.7,3.2,5.1,True,SlowMoving,Medium,2025-07-27
Confectionery Technology Product 028,618.0,6.9,0.8,1.7,False,HighBay2,High,2025-07-28
Confectionery Technology Product 029,169.4,8.6,1.4,1.1,True,Priority2,Low,2025-07-29
Confectionery Technology Product 030,221.3,8.3,3.5,1.0,True,QualityControl,Medium,2025-07-30
Confectionery Technology Product 031,43.6,5.4,4.8,3.3,False,Priority5,Low,2025-07-01
Confectionery Technology Product 032,449.6,2.9,5.2,3.7,False,Priority5,High,2025-07-02
Confectionery Technology Product 033,178.7,2.0,2.7,3.4,False,Rack2,High,2025-07-03
Confectionery Technology Product 034,263.1,3.4,1.1,2.3,False,Rack6,Low,2025-07-04
Confectionery Technology Product 035,560.3,1.9,3.0,2.0,True,Aisle10,Low,2025-07-05
Confectionery Technology Product 036,366.9,14.0,0.7,2.5,False,ZoneE,Medium,2025-07-06
Confectionery Technology Product 037,261.5,3.7,6.7,4.8,False,ZoneH,Low,2025-07-07
Confectionery Technology Product 038,158.0,1.9,3.2,5.7,False,Aisle1,Low,2025-07-08
Confectionery Technology Product 039,340.2,7.3,5.9,1.3,False,SectionA,Low,2025-07-09
Confectionery Technology Product 040,230.5,2.7,2.9,2.9,True,ManualStorage2,Medium,2025-07-10
Confectionery Technology Product 041,198.6,5.6,0.6,4.5,False,ZoneJ,Low,2025-07-11
Confectionery Technology Product 042,318.2,4.7,4.0,1.3,False,HighBay3,Medium,2025-07-12
Confectionery Technology Product 043,11.8,10.4,6.3,2.5,False,ManualStorage2,Low,2025-07-13
Confectionery Technology Product 044,5.6,6.3,4.2,3.1,False,Aisle6,Low,2025-07-14
Confectionery Technology Product 045,396.8,4.5,4.7,3.4,False,Rack1,Medium,2025-07-15
Confectionery Technology Product 046,619.5,7.0,2.0,1.2,True,ZoneJ,Low,2025-07-16
Confectionery Technology Product 047,39.5,8.2,2.0,0.2,False,PalletArea5,Medium,2025-07-17
Confectionery Technology Product 048,625.1,8.8,3.8,1.1,False,SlowMoving,High,2025-07-18
Confectionery Technology Product 049,65.2,9.6,5.9,1.1,True,ShelfArea1,Medium,2025-07-19
Confectionery Technology Product 050,396.5,2.9,0.6,0.7,True,Floor4,Medium,2025-07-20
Confectionery Technology Product 051,555.5,7.5,3.6,2.9,False,SectionE,Medium,2025-07-21
Confectionery Technology Product 052,341.8,11.2,2.3,3.3,True,Aisle9,Medium,2025-07-22
Confectionery Technology Product 053,507.6,3.8,3.7,0.7,False,ReceivingArea,High,2025-07-23
Confectionery Technology Product 054,525.2,14.0,6.5,1.8,True,BulkStorage,High,2025-07-24
Confectionery Technology Product 055,251.6,0.7,3.4,2.7,False,Mezzanine1,High,2025-07-25
Confectionery Technology Product 056,4.9,4.6,5.5,1.3,True,ZoneG,High,2025-07-26
Confectionery Technology Product 057,265.3,8.0,6.6,3.5,True,Floor5,Medium,2025-07-27
Confectionery Technology Product 058,589.4,8.3,5.4,0.3,True,ZoneB,High,2025-07-28
Confectionery Technology Product 059,435.8,9.6,6.9,3.7,False,Floor2,Low,2025-07-29
Confectionery Technology Product 060,128.3,6.3,4.1,2.3,True,ZoneE,Low,2025-07-30
Confectionery Technology Product 061,239.9,5.2,2.8,4.0,False,Floor3,Low,2025-07-01
Confectionery Technology Product 062,116.2,9.9,3.6,2.8,True,LoadingDock2,Low,2025-07-02
Confectionery Technology Product 063,69.9,9.5,6.4,3.5,False,Rack9,Medium,2025-07-03
Confectionery Technology Product 064,25.8,8.7,3.5,2.0,False,SectionC,Medium,2025-07-04
Confectionery Technology Product 065,705.6,5.7,3.9,2.3,False,Basement5,Low,2025-07-05
Confectionery Technology Product 066,397.0,3.9,6.4,1.4,True,SmallItems,High,2025-07-06
Confectionery Technology Product 067,191.7,7.6,1.4,2.4,False,SectionA,Low,2025-07-07
Confectionery Technology Product 068,161.3,8.7,5.6,2.2,False,SmallItems,Low,2025-07-08
Confectionery Technology Product 069,175.1,7.6,3.1,4.1,True,ManualStorage3,Medium,2025-07-09
Confectionery Technology Product 070,1.7,6.4,4.3,4.7,True,Rack2,Low,2025-07-10
Confectionery Technology Product 071,308.0,3.5,3.7,1.5,True,AutomatedStorage1,Low,2025-07-11
Confectionery Technology Product 072,569.3,2.0,1.4,2.0,False,PremiumLane,High,2025-07-12
Confectionery Technology Product 073,35.3,7.6,8.0,3.3,False,Rack9,Low,2025-07-13
Confectionery Technology Product 074,455.2,8.9,2.8,4.1,False,Basement5,High,2025-07-14
Confectionery Technology Product 075,586.9,3.7,7.6,4.5,False,Rack3,Low,2025-07-15
Confectionery Technology Product 076,79.7,5.5,5.9,1.9,True,Floor1,High,2025-07-16
Confectionery Technology Product 077,83.6,2.3,4.1,3.7,True,Aisle3,Medium,2025-07-17
Confectionery Technology Product 078,307.5,2.5,4.1,1.2,False,Rack2,Low,2025-07-18
Confectionery Technology Product 079,284.4,0.5,5.2,3.7,True,SmallItemStorage,Low,2025-07-19
Confectionery Technology Product 080,151.4,12.9,5.0,0.7,True,OverflowLane,High,2025-07-20
Confectionery Technology Product 081,415.3,8.4,2.8,1.4,True,ZoneB,Low,2025-07-21
Confectionery Technology Product 082,488.7,10.1,1.2,4.2,False,ManualStorage2,Medium,2025-07-22
Confectionery Technology Product 083,579.1,4.6,4.6,1.0,False,LightItems,Medium,2025-07-23
Confectionery Technology Product 084,375.7,9.4,4.7,5.1,False,SectionB,Low,2025-07-24
Confectionery Technology Product 085,663.2,14.5,1.1,4.9,False,BulkStorage,High,2025-07-25
Confectionery Technology Product 086,581.6,11.3,0.5,1.8,True,Seasonal,Low,2025-07-26
Confectionery Technology Product 087,240.1,8.6,3.2,2.3,True,ZoneE,Medium,2025-07-27
Confectionery Technology Product 088,217.4,7.1,1.3,5.7,True,StandardLane,Medium,2025-07-28
Confectionery Technology Product 089,502.3,9.7,5.1,5.1,False,SectionH,Medium,2025-07-29
Confectionery Technology Product 090,416.3,0.9,4.9,2.6,False,SectionG,Medium,2025-07-30
Confectionery Technology Product 091,713.4,9.3,0.8,1.8,False,LoadingDock2,Medium,2025-07-01
Confectionery Technology Product 092,81.7,11.5,5.5,2.8,False,AutomatedStorage3,High,2025-07-02
Confectionery Technology Product 093,423.8,13.1,5.2,2.4,False,ZoneC,Low,2025-07-03
Confectionery Technology Product 094,429.0,13.0,4.1,0.6,True,ColdStorage,High,2025-07-04
Confectionery Technology Product 095,68.4,6.5,5.9,4.2,True,DryStorage,Low,2025-07-05
