Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Beverage Technology Product 001,256.1,13.5,1.5,3.5,False,ShippingArea,Low,2025-07-01
Beverage Technology Product 002,234.4,15.0,1.5,1.6,False,PalletArea3,High,2025-07-02
Beverage Technology Product 003,415.6,16.1,2.3,1.5,True,ReturnsArea,Medium,2025-07-03
Beverage Technology Product 004,91.8,1.8,4.9,1.4,False,Mezzanine5,Medium,2025-07-04
Beverage Technology Product 005,759.1,7.0,0.8,1.6,False,ReturnsArea,Low,2025-07-05
Beverage Technology Product 006,443.4,8.5,1.8,1.2,False,HighBay1,Medium,2025-07-06
Beverage Technology Product 007,640.5,10.1,6.4,1.1,True,Rack4,Low,2025-07-07
Beverage Technology Product 008,424.6,10.3,4.4,5.4,True,SectionC,High,2025-07-08
Beverage Technology Product 009,278.5,11.8,3.5,2.5,True,AutomatedStorage5,Medium,2025-07-09
Beverage Technology Product 010,74.9,4.1,0.6,1.8,True,ShippingArea,High,2025-07-10
Beverage Technology Product 011,308.7,8.8,4.3,3.0,True,ReturnsArea,Low,2025-07-11
Beverage Technology Product 012,347.1,9.4,5.7,0.7,False,Rack6,High,2025-07-12
Beverage Technology Product 013,193.4,4.5,2.3,3.8,False,ZoneE,High,2025-07-13
Beverage Technology Product 014,662.2,10.8,5.9,2.9,True,ShelfArea3,High,2025-07-14
Beverage Technology Product 015,751.1,8.2,2.8,4.7,False,Aisle1,Medium,2025-07-15
Beverage Technology Product 016,14.6,4.1,2.6,0.8,True,Rack10,Medium,2025-07-16
Beverage Technology Product 017,143.0,8.9,7.7,2.0,False,HazardousStorage,High,2025-07-17
Beverage Technology Product 018,395.6,4.7,6.7,2.7,True,Rack2,Low,2025-07-18
Beverage Technology Product 019,90.7,1.3,3.2,0.3,False,ColdStorage,Medium,2025-07-19
Beverage Technology Product 020,590.9,6.3,7.6,3.8,True,AutomatedStorage2,Medium,2025-07-20
Beverage Technology Product 021,1.1,8.3,2.7,0.8,False,SectionC,Low,2025-07-21
Beverage Technology Product 022,190.6,0.3,5.3,6.2,True,ZoneF,High,2025-07-22
Beverage Technology Product 023,266.0,0.9,2.6,5.5,False,ManualStorage3,Medium,2025-07-23
Beverage Technology Product 024,136.2,10.3,3.6,5.7,False,Seasonal,Low,2025-07-24
Beverage Technology Product 025,15.1,12.1,2.7,1.9,True,HighBay2,Low,2025-07-25
Beverage Technology Product 026,711.7,0.8,2.7,3.3,False,ManualStorage4,High,2025-07-26
Beverage Technology Product 027,50.6,6.9,6.9,3.7,False,HighBay4,Medium,2025-07-27
Beverage Technology Product 028,3.5,0.7,3.1,3.6,True,AutomatedStorage5,Medium,2025-07-28
Beverage Technology Product 029,47.5,7.8,3.9,0.7,False,ColdStorage,High,2025-07-29
Beverage Technology Product 030,623.5,5.6,2.6,1.2,False,ZoneH,High,2025-07-30
Beverage Technology Product 031,165.1,14.6,5.3,4.5,False,Basement4,High,2025-07-01
Beverage Technology Product 032,217.6,10.0,0.7,4.8,False,Floor5,High,2025-07-02
Beverage Technology Product 033,695.7,3.8,6.2,3.5,True,Floor3,High,2025-07-03
Beverage Technology Product 034,689.9,1.7,6.1,5.0,True,ColdStorage,Low,2025-07-04
Beverage Technology Product 035,96.2,14.3,0.8,1.2,False,ManualStorage4,Low,2025-07-05
Beverage Technology Product 036,467.4,4.8,1.5,2.8,True,Rack4,Low,2025-07-06
Beverage Technology Product 037,197.6,3.3,5.4,5.7,True,Rack8,Medium,2025-07-07
Beverage Technology Product 038,23.3,9.0,1.1,0.9,False,ZoneI,Low,2025-07-08
Beverage Technology Product 039,387.3,10.9,1.9,2.2,False,ReturnsArea,Medium,2025-07-09
Beverage Technology Product 040,47.0,4.9,6.4,4.0,True,AutomatedStorage2,High,2025-07-10
Beverage Technology Product 041,379.0,0.5,4.1,1.6,True,Basement1,High,2025-07-11
Beverage Technology Product 042,500.5,6.5,4.7,3.3,False,Rack2,High,2025-07-12
Beverage Technology Product 043,603.6,3.9,2.2,0.6,True,HighBay3,Low,2025-07-13
Beverage Technology Product 044,114.4,0.6,5.3,2.4,False,ZoneJ,Medium,2025-07-14
Beverage Technology Product 045,86.4,1.0,2.1,4.0,False,ReturnsArea,Low,2025-07-15
Beverage Technology Product 046,104.0,3.3,4.7,4.1,False,SectionC,Medium,2025-07-16
Beverage Technology Product 047,538.1,4.5,3.0,1.9,True,Mezzanine1,Low,2025-07-17
Beverage Technology Product 048,331.1,3.7,0.4,0.5,False,Aisle9,High,2025-07-18
Beverage Technology Product 049,420.5,7.1,3.9,4.0,True,Mezzanine1,High,2025-07-19
Beverage Technology Product 050,256.8,1.0,1.8,3.5,True,PalletArea3,High,2025-07-20
Beverage Technology Product 051,96.3,4.4,1.1,4.9,False,Aisle7,High,2025-07-21
Beverage Technology Product 052,410.2,2.2,1.6,4.5,False,BulkStorage,Medium,2025-07-22
Beverage Technology Product 053,270.3,2.5,3.5,0.8,True,HighBay4,High,2025-07-23
Beverage Technology Product 054,578.8,4.0,1.5,4.3,True,HighBay1,Low,2025-07-24
Beverage Technology Product 055,334.1,8.6,3.9,3.2,True,Priority4,Low,2025-07-25
Beverage Technology Product 056,561.6,16.0,1.3,4.5,True,HighBay5,High,2025-07-26
Beverage Technology Product 057,534.5,9.2,6.3,4.1,False,ZoneH,Medium,2025-07-27
Beverage Technology Product 058,486.6,4.5,6.7,4.0,False,LargeItems,High,2025-07-28
Beverage Technology Product 059,379.7,11.5,2.7,3.0,False,SectionF,Medium,2025-07-29
Beverage Technology Product 060,210.3,6.3,7.8,1.1,True,PalletArea5,Medium,2025-07-30
Beverage Technology Product 061,210.9,8.4,0.7,5.3,True,LargeItems,Low,2025-07-01
Beverage Technology Product 062,560.0,13.8,5.3,1.6,False,SectionE,High,2025-07-02
Beverage Technology Product 063,116.3,5.0,4.1,1.9,True,Seasonal,Low,2025-07-03
Beverage Technology Product 064,347.2,9.1,3.6,2.9,True,SectionD,Medium,2025-07-04
Beverage Technology Product 065,353.2,0.5,0.9,0.5,False,PremiumLane,Low,2025-07-05
Beverage Technology Product 066,358.2,3.7,1.7,5.5,False,PalletArea4,High,2025-07-06
Beverage Technology Product 067,206.8,7.8,4.4,2.0,True,HighBay4,High,2025-07-07
Beverage Technology Product 068,90.4,8.7,1.2,0.9,True,HazardousStorage,Low,2025-07-08
Beverage Technology Product 069,63.5,0.5,3.0,2.8,True,LoadingDock1,Medium,2025-07-09
Beverage Technology Product 070,403.9,8.3,3.1,1.6,False,ManualStorage4,High,2025-07-10
