Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Tobacco Technology Product 001,278.4,1.8,6.0,1.8,True,LoadingDock2,Medium,2025-07-01
Tobacco Technology Product 002,425.6,8.0,2.3,1.4,True,Basement5,Medium,2025-07-02
Tobacco Technology Product 003,125.7,2.3,1.4,1.5,False,Rack9,High,2025-07-03
Tobacco Technology Product 004,112.6,0.7,1.5,1.0,True,HighBay2,High,2025-07-04
Tobacco Technology Product 005,741.8,5.1,3.8,4.3,False,PremiumLane,Low,2025-07-05
Tobacco Technology Product 006,369.2,3.9,2.2,1.9,False,EconomyLane,Low,2025-07-06
Tobacco Technology Product 007,466.7,5.0,0.7,0.3,False,SmallItemStorage,High,2025-07-07
Tobacco Technology Product 008,42.6,4.4,5.0,3.1,True,Mezzanine3,High,2025-07-08
Tobacco Technology Product 009,206.3,7.1,1.5,1.4,False,Aisle3,High,2025-07-09
Tobacco Technology Product 010,4.9,5.6,1.3,2.9,True,PalletArea4,Low,2025-07-10
Tobacco Technology Product 011,151.1,5.5,3.2,5.2,False,HeavyItems,High,2025-07-11
Tobacco Technology Product 012,460.4,6.8,3.1,4.8,True,SectionA,High,2025-07-12
Tobacco Technology Product 013,415.3,16.2,2.2,4.4,False,Floor4,Medium,2025-07-13
Tobacco Technology Product 014,528.2,0.7,2.9,1.1,True,Aisle5,Low,2025-07-14
Tobacco Technology Product 015,473.3,6.4,4.1,3.6,False,MediumItems,Low,2025-07-15
Tobacco Technology Product 016,152.3,8.2,7.0,3.5,False,HighBay4,High,2025-07-16
Tobacco Technology Product 017,314.8,6.5,7.6,3.5,True,ShelfArea3,High,2025-07-17
Tobacco Technology Product 018,339.4,1.7,5.5,4.8,False,ZoneI,High,2025-07-18
Tobacco Technology Product 019,431.1,2.2,5.9,0.2,True,Rack7,High,2025-07-19
Tobacco Technology Product 020,143.4,8.6,2.0,1.4,True,ColdStorage,Low,2025-07-20
Tobacco Technology Product 021,255.6,13.5,4.7,3.6,False,Seasonal,High,2025-07-21
Tobacco Technology Product 022,81.2,11.7,3.1,0.8,True,HazardousStorage,High,2025-07-22
Tobacco Technology Product 023,459.0,11.6,2.9,4.0,True,SectionH,High,2025-07-23
Tobacco Technology Product 024,263.6,2.4,5.4,2.4,False,Mezzanine3,High,2025-07-24
Tobacco Technology Product 025,279.1,10.8,7.3,5.1,True,SmallItems,High,2025-07-25
Tobacco Technology Product 026,315.4,9.5,5.9,3.2,False,Aisle5,Low,2025-07-26
Tobacco Technology Product 027,687.9,2.4,1.9,1.9,True,Basement1,High,2025-07-27
Tobacco Technology Product 028,269.9,3.2,2.1,3.5,False,Rack1,Medium,2025-07-28
Tobacco Technology Product 029,741.6,4.2,4.7,1.1,True,ZoneI,High,2025-07-29
Tobacco Technology Product 030,342.1,5.8,6.1,5.7,True,QualityControl,Low,2025-07-30
Tobacco Technology Product 031,246.3,0.9,7.1,2.5,False,Rack4,High,2025-07-01
Tobacco Technology Product 032,311.4,9.0,1.8,3.3,False,Basement3,High,2025-07-02
Tobacco Technology Product 033,424.6,6.1,5.8,3.4,True,Basement5,Medium,2025-07-03
Tobacco Technology Product 034,401.3,3.4,2.3,1.8,False,OverflowStorage,High,2025-07-04
Tobacco Technology Product 035,47.8,3.6,2.5,0.9,False,Priority4,Medium,2025-07-05
Tobacco Technology Product 036,498.3,10.4,3.3,2.4,False,ZoneB,Medium,2025-07-06
Tobacco Technology Product 037,660.2,4.3,0.5,5.6,True,Rack2,Low,2025-07-07
Tobacco Technology Product 038,212.1,6.4,4.6,4.5,False,ShelfArea1,Low,2025-07-08
Tobacco Technology Product 039,138.5,1.2,5.7,2.7,True,ManualStorage5,High,2025-07-09
Tobacco Technology Product 040,341.7,1.7,2.1,4.6,True,Basement1,High,2025-07-10
Tobacco Technology Product 041,571.0,1.0,1.6,4.0,True,PalletArea5,Medium,2025-07-11
Tobacco Technology Product 042,612.2,13.0,2.2,4.6,False,DryStorage,Medium,2025-07-12
Tobacco Technology Product 043,486.5,3.1,2.2,5.4,False,ZoneB,Medium,2025-07-13
Tobacco Technology Product 044,188.6,1.5,1.7,3.2,True,OverflowStorage,High,2025-07-14
Tobacco Technology Product 045,67.7,9.9,3.6,0.9,True,PalletArea2,Medium,2025-07-15
