Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Pharmaceutical Technology Product 001,352.5,8.6,1.5,3.1,False,AutomatedStorage3,Medium,2025-07-01
Pharmaceutical Technology Product 002,300.7,6.5,3.0,3.2,False,HeavyItems,Low,2025-07-02
Pharmaceutical Technology Product 003,240.1,8.8,1.5,4.0,True,ShelfArea4,Low,2025-07-03
Pharmaceutical Technology Product 004,295.0,4.5,0.7,4.4,True,Aisle10,Medium,2025-07-04
Pharmaceutical Technology Product 005,797.2,10.8,3.7,4.6,True,MediumItems,Low,2025-07-05
Pharmaceutical Technology Product 006,136.0,1.0,2.6,4.9,False,Floor3,Medium,2025-07-06
Pharmaceutical Technology Product 007,650.7,0.3,3.3,1.8,True,AutomatedStorage2,Low,2025-07-07
Pharmaceutical Technology Product 008,528.3,13.0,4.5,1.5,False,Mezzanine5,Low,2025-07-08
Pharmaceutical Technology Product 009,469.4,8.8,1.3,3.0,True,LoadingDock4,Low,2025-07-09
Pharmaceutical Technology Product 010,404.5,8.1,5.8,4.3,True,OverflowLane,High,2025-07-10
Pharmaceutical Technology Product 011,384.6,14.5,1.1,2.6,False,Floor4,High,2025-07-11
Pharmaceutical Technology Product 012,148.7,10.1,0.7,0.6,True,ZoneJ,High,2025-07-12
Pharmaceutical Technology Product 013,459.7,8.6,4.9,3.8,True,PalletArea2,Medium,2025-07-13
Pharmaceutical Technology Product 014,167.3,8.1,4.0,1.6,False,PremiumLane,High,2025-07-14
Pharmaceutical Technology Product 015,206.8,1.4,3.6,1.4,True,SectionH,Low,2025-07-15
Pharmaceutical Technology Product 016,336.6,6.1,2.9,2.8,False,EconomyLane,High,2025-07-16
Pharmaceutical Technology Product 017,726.4,10.0,2.8,0.9,True,HazardousStorage,Medium,2025-07-17
Pharmaceutical Technology Product 018,177.5,5.1,2.9,1.6,True,SectionH,Low,2025-07-18
Pharmaceutical Technology Product 019,592.2,4.2,2.8,1.8,True,Rack9,High,2025-07-19
Pharmaceutical Technology Product 020,222.5,2.1,1.8,2.7,True,HighBay2,High,2025-07-20
Pharmaceutical Technology Product 021,542.2,15.8,3.9,3.2,False,ZoneI,Medium,2025-07-21
Pharmaceutical Technology Product 022,414.1,5.8,4.1,1.6,False,Rack4,Medium,2025-07-22
Pharmaceutical Technology Product 023,427.5,0.8,4.9,0.4,True,ZoneC,Low,2025-07-23
Pharmaceutical Technology Product 024,527.5,2.1,0.7,0.6,False,FragileItems,Medium,2025-07-24
Pharmaceutical Technology Product 025,39.4,14.2,0.7,0.6,True,Basement1,Low,2025-07-25
