Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Medical Technology Product 001,447.1,7.9,2.5,1.4,False,BulkItems,High,2025-07-01
Medical Technology Product 002,466.9,8.5,1.0,1.4,False,SectionB,Low,2025-07-02
Medical Technology Product 003,498.7,10.2,5.5,0.3,False,Mezzanine4,Medium,2025-07-03
Medical Technology Product 004,228.6,3.4,3.2,1.7,True,SmallItemStorage,Medium,2025-07-04
Medical Technology Product 005,401.3,3.5,2.0,2.4,False,Aisle8,Low,2025-07-05
Medical Technology Product 006,279.7,1.5,1.8,5.6,False,Basement2,Medium,2025-07-06
Medical Technology Product 007,500.0,4.9,1.9,1.6,True,ReceivingArea,Medium,2025-07-07
Medical Technology Product 008,773.3,2.4,1.6,5.0,False,Aisle9,Low,2025-07-08
Medical Technology Product 009,467.0,8.4,3.2,3.6,True,ExpressLane,High,2025-07-09
Medical Technology Product 010,159.0,0.4,4.6,1.2,False,HighBay3,Medium,2025-07-10
Medical Technology Product 011,611.2,1.5,0.4,1.7,True,AutomatedStorage3,Low,2025-07-11
Medical Technology Product 012,267.2,2.2,2.3,1.5,True,MediumItems,High,2025-07-12
Medical Technology Product 013,5.8,5.3,0.9,2.1,False,HighBay3,Low,2025-07-13
Medical Technology Product 014,237.9,6.2,1.9,4.4,False,Aisle6,High,2025-07-14
Medical Technology Product 015,346.0,11.8,3.9,0.9,True,Seasonal,Low,2025-07-15
Medical Technology Product 016,277.0,10.1,1.3,3.3,True,HighBay1,Low,2025-07-16
Medical Technology Product 017,254.3,10.3,4.0,3.8,True,Rack7,Medium,2025-07-17
Medical Technology Product 018,325.0,2.7,1.2,1.7,True,QualityControl,High,2025-07-18
Medical Technology Product 019,138.6,8.4,2.4,1.5,False,PalletArea4,Medium,2025-07-19
Medical Technology Product 020,222.2,1.2,1.3,5.1,True,BulkStorage,High,2025-07-20
Medical Technology Product 021,326.7,0.7,3.2,1.5,True,AutomatedStorage1,High,2025-07-21
Medical Technology Product 022,369.4,8.0,3.3,1.6,False,Aisle4,Low,2025-07-22
Medical Technology Product 023,217.4,3.3,1.4,0.4,True,SmallItemStorage,Medium,2025-07-23
Medical Technology Product 024,399.6,2.0,5.1,1.5,True,Aisle9,High,2025-07-24
Medical Technology Product 025,574.8,7.6,5.4,2.0,True,Rack7,Medium,2025-07-25
Medical Technology Product 026,672.1,6.4,5.6,2.1,True,PalletArea2,Low,2025-07-26
Medical Technology Product 027,226.6,1.1,3.3,2.9,False,Basement3,High,2025-07-27
Medical Technology Product 028,538.9,5.9,1.5,4.3,True,ZoneJ,Low,2025-07-28
Medical Technology Product 029,152.5,3.4,6.1,3.4,False,Aisle7,Medium,2025-07-29
Medical Technology Product 030,269.6,0.7,2.0,0.6,False,Mezzanine2,Low,2025-07-30
Medical Technology Product 031,64.8,10.1,1.9,1.3,False,SectionD,High,2025-07-01
Medical Technology Product 032,14.8,2.5,2.5,0.4,False,ReturnsArea,Low,2025-07-02
Medical Technology Product 033,599.3,0.6,2.0,1.8,False,Aisle3,Low,2025-07-03
Medical Technology Product 034,287.4,6.4,0.5,2.4,False,Priority1,High,2025-07-04
Medical Technology Product 035,220.9,5.0,4.4,2.1,True,Mezzanine5,High,2025-07-05
Medical Technology Product 036,40.9,13.0,3.2,3.5,False,LargeItems,High,2025-07-06
Medical Technology Product 037,121.3,2.9,0.8,2.8,False,Aisle8,Medium,2025-07-07
Medical Technology Product 038,466.8,12.9,3.2,2.8,False,ManualStorage3,Medium,2025-07-08
Medical Technology Product 039,369.0,4.3,2.2,4.5,False,LoadingDock5,Medium,2025-07-09
Medical Technology Product 040,480.4,7.8,5.1,1.4,True,LightItems,High,2025-07-10
Medical Technology Product 041,106.7,8.4,5.3,2.4,True,Rack7,Medium,2025-07-11
Medical Technology Product 042,174.8,8.3,2.9,6.1,True,Aisle8,High,2025-07-12
Medical Technology Product 043,387.4,10.7,2.1,2.1,False,OverflowLane,High,2025-07-13
Medical Technology Product 044,157.4,3.3,4.7,4.3,False,Basement5,Low,2025-07-14
Medical Technology Product 045,358.8,0.6,4.3,5.8,False,Rack2,Low,2025-07-15
Medical Technology Product 046,587.8,2.8,5.8,3.5,True,Mezzanine1,High,2025-07-16
Medical Technology Product 047,327.7,2.9,0.7,3.1,False,HazardousStorage,Low,2025-07-17
Medical Technology Product 048,225.7,13.7,5.3,2.2,False,StandardLane,High,2025-07-18
Medical Technology Product 049,557.1,3.1,3.7,0.5,False,PalletArea1,Low,2025-07-19
Medical Technology Product 050,55.2,2.9,2.8,1.3,True,ZoneC,Medium,2025-07-20
Medical Technology Product 051,57.7,13.1,3.6,0.6,False,ManualStorage5,Low,2025-07-21
Medical Technology Product 052,383.3,0.7,1.7,0.7,False,PalletArea2,High,2025-07-22
Medical Technology Product 053,88.0,5.5,2.3,1.6,True,HighBay5,Low,2025-07-23
Medical Technology Product 054,55.5,2.6,3.0,0.3,True,HighBay1,Low,2025-07-24
Medical Technology Product 055,574.3,9.1,1.2,2.4,True,Rack2,Low,2025-07-25
Medical Technology Product 056,590.5,8.2,1.5,2.6,True,SmallItems,Medium,2025-07-26
Medical Technology Product 057,410.2,12.7,2.1,1.6,True,Rack8,High,2025-07-27
Medical Technology Product 058,552.8,4.8,5.2,1.7,True,ZoneF,Low,2025-07-28
Medical Technology Product 059,732.0,9.5,3.4,4.2,False,LoadingDock1,Medium,2025-07-29
Medical Technology Product 060,257.8,10.0,3.0,1.8,False,OverflowLane,Low,2025-07-30
Medical Technology Product 061,59.1,2.7,5.4,1.7,True,ManualStorage1,Medium,2025-07-01
Medical Technology Product 062,375.2,10.4,1.9,2.1,False,Aisle1,High,2025-07-02
