Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Dental Technology Product 001,508.1,0.6,5.1,4.5,True,ZoneA,Medium,2025-07-01
Dental Technology Product 002,126.8,12.2,5.9,3.2,True,HighBay2,Medium,2025-07-02
Dental Technology Product 003,64.9,8.9,2.1,5.2,False,Priority3,Low,2025-07-03
Dental Technology Product 004,270.9,12.4,6.0,1.7,True,ShippingArea,High,2025-07-04
Dental Technology Product 005,63.6,14.4,4.8,0.2,False,Rack9,Low,2025-07-05
Dental Technology Product 006,771.0,9.3,3.8,2.6,True,LoadingDock4,Low,2025-07-06
Dental Technology Product 007,568.1,7.6,6.7,0.5,True,Aisle1,Low,2025-07-07
Dental Technology Product 008,47.7,7.2,5.7,3.5,True,EconomyLane,Low,2025-07-08
Dental Technology Product 009,100.0,2.4,3.4,4.0,True,AutomatedStorage3,Low,2025-07-09
Dental Technology Product 010,245.1,6.6,5.0,1.3,False,Priority4,Medium,2025-07-10
Dental Technology Product 011,433.6,6.8,1.6,3.0,False,Aisle10,Low,2025-07-11
Dental Technology Product 012,358.4,11.9,6.0,1.4,True,ZoneE,Low,2025-07-12
Dental Technology Product 013,745.7,13.5,4.4,0.3,True,OverflowStorage,High,2025-07-13
Dental Technology Product 014,281.3,3.2,3.9,2.6,True,Rack2,Medium,2025-07-14
Dental Technology Product 015,723.8,2.0,1.4,3.1,False,Mezzanine4,High,2025-07-15
Dental Technology Product 016,285.5,3.4,3.0,3.0,True,DryStorage,High,2025-07-16
Dental Technology Product 017,206.9,7.3,1.7,3.7,True,ZoneB,Low,2025-07-17
Dental Technology Product 018,146.4,4.7,3.7,2.7,False,ZoneH,Medium,2025-07-18
Dental Technology Product 019,486.6,4.7,4.8,4.9,True,Floor1,Medium,2025-07-19
Dental Technology Product 020,439.1,5.2,1.8,2.1,False,Aisle10,Medium,2025-07-20
Dental Technology Product 021,274.1,7.7,4.4,3.2,False,AutomatedStorage2,High,2025-07-21
Dental Technology Product 022,125.0,7.6,5.5,3.6,False,HighBay4,Medium,2025-07-22
Dental Technology Product 023,49.9,10.7,1.7,2.0,True,ZoneJ,High,2025-07-23
Dental Technology Product 024,505.8,7.3,1.2,1.8,False,PalletArea4,Low,2025-07-24
Dental Technology Product 025,85.9,3.2,6.3,1.7,True,Seasonal,Low,2025-07-25
Dental Technology Product 026,407.0,3.3,3.8,1.6,True,Aisle7,Low,2025-07-26
Dental Technology Product 027,474.1,11.4,2.1,3.1,True,PalletArea1,Low,2025-07-27
Dental Technology Product 028,226.5,1.4,2.7,2.7,True,Basement4,High,2025-07-28
Dental Technology Product 029,340.3,7.1,0.4,3.0,False,Aisle3,Medium,2025-07-29
Dental Technology Product 030,594.7,4.0,7.6,0.6,True,Floor4,High,2025-07-30
Dental Technology Product 031,195.9,3.2,6.6,2.5,False,Basement2,Medium,2025-07-01
Dental Technology Product 032,451.8,2.1,5.8,3.8,True,ZoneH,High,2025-07-02
Dental Technology Product 033,591.8,4.9,7.2,2.3,False,Aisle6,High,2025-07-03
Dental Technology Product 034,488.1,8.0,6.0,0.7,True,Basement4,Medium,2025-07-04
Dental Technology Product 035,189.3,11.5,2.3,0.5,False,AutomatedStorage3,Medium,2025-07-05
Dental Technology Product 036,250.1,2.7,2.7,0.5,False,ExpressLane,High,2025-07-06
Dental Technology Product 037,274.7,12.5,6.0,2.5,True,Basement1,Low,2025-07-07
Dental Technology Product 038,506.5,1.1,2.7,3.7,True,LoadingDock2,Low,2025-07-08
Dental Technology Product 039,375.5,11.0,2.9,2.3,True,Basement2,Low,2025-07-09
Dental Technology Product 040,568.5,6.7,4.0,3.2,True,BulkStorage,Medium,2025-07-10
Dental Technology Product 041,21.2,1.2,5.7,0.5,True,Aisle3,Low,2025-07-11
Dental Technology Product 042,222.9,2.8,3.4,0.6,True,ZoneJ,Low,2025-07-12
Dental Technology Product 043,56.4,5.6,2.2,0.9,False,Floor5,High,2025-07-13
Dental Technology Product 044,290.0,7.6,4.4,0.7,False,HighBay3,Medium,2025-07-14
Dental Technology Product 045,481.9,6.6,1.9,2.8,False,AutomatedStorage1,High,2025-07-15
Dental Technology Product 046,331.2,7.8,6.5,1.0,False,SectionA,High,2025-07-16
