Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Veterinary Technology Product 001,43.5,7.0,3.9,1.1,True,BulkItems,Medium,2025-07-01
Veterinary Technology Product 002,275.2,6.5,4.6,1.1,False,OverflowStorage,Low,2025-07-02
Veterinary Technology Product 003,127.8,14.2,0.3,3.3,False,ZoneC,High,2025-07-03
Veterinary Technology Product 004,248.6,0.4,4.1,3.1,True,PalletArea5,High,2025-07-04
Veterinary Technology Product 005,113.5,14.4,3.3,2.3,False,MediumItems,Medium,2025-07-05
Veterinary Technology Product 006,216.6,4.4,4.4,3.0,False,ManualStorage1,Medium,2025-07-06
Veterinary Technology Product 007,56.8,3.0,1.6,4.7,False,StandardLane,Medium,2025-07-07
Veterinary Technology Product 008,118.6,2.6,2.1,2.1,True,EconomyLane,Low,2025-07-08
Veterinary Technology Product 009,225.9,13.1,3.2,3.5,True,HighBay5,High,2025-07-09
Veterinary Technology Product 010,355.0,5.9,4.6,6.0,True,Aisle8,Low,2025-07-10
Veterinary Technology Product 011,210.9,4.3,7.9,0.7,True,Aisle4,High,2025-07-11
Veterinary Technology Product 012,159.5,6.3,5.8,1.1,True,Aisle10,Low,2025-07-12
Veterinary Technology Product 013,459.2,8.8,7.0,3.4,False,FastMoving,Medium,2025-07-13
Veterinary Technology Product 014,125.1,11.5,7.7,3.2,True,HeavyItems,Medium,2025-07-14
Veterinary Technology Product 015,223.9,12.9,1.5,2.4,False,ZoneI,Medium,2025-07-15
Veterinary Technology Product 016,483.0,10.9,2.5,3.6,True,Priority2,Medium,2025-07-16
Veterinary Technology Product 017,567.7,10.9,2.4,1.2,True,SlowMoving,Low,2025-07-17
Veterinary Technology Product 018,239.6,10.8,0.5,5.5,False,SmallItems,Low,2025-07-18
Veterinary Technology Product 019,187.0,10.3,1.8,1.1,False,Floor4,Low,2025-07-19
Veterinary Technology Product 020,285.1,6.6,0.7,2.2,True,Priority4,Medium,2025-07-20
Veterinary Technology Product 021,351.8,2.1,2.6,2.3,False,Floor2,Medium,2025-07-21
Veterinary Technology Product 022,375.6,5.6,4.0,0.2,False,PalletArea5,Medium,2025-07-22
Veterinary Technology Product 023,19.1,10.8,2.0,5.3,True,Rack6,High,2025-07-23
Veterinary Technology Product 024,367.5,1.7,4.8,2.9,True,Priority4,Low,2025-07-24
Veterinary Technology Product 025,103.6,2.8,2.4,4.4,True,Rack6,High,2025-07-25
Veterinary Technology Product 026,511.8,5.6,6.6,3.3,False,ZoneD,Low,2025-07-26
Veterinary Technology Product 027,107.1,9.5,7.3,5.8,True,Floor1,High,2025-07-27
Veterinary Technology Product 028,807.6,7.1,2.9,3.8,True,Mezzanine5,Low,2025-07-28
Veterinary Technology Product 029,359.0,6.9,3.4,1.1,True,PalletArea1,Low,2025-07-29
Veterinary Technology Product 030,613.4,9.4,5.5,0.4,True,Mezzanine1,High,2025-07-30
Veterinary Technology Product 031,131.1,9.0,0.3,1.6,False,OverflowStorage,Low,2025-07-01
