Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Optical Technology Product 001,431.2,6.3,5.1,1.1,False,SectionH,Medium,2025-07-01
Optical Technology Product 002,55.5,4.0,7.3,1.4,False,Rack1,High,2025-07-02
Optical Technology Product 003,741.6,10.0,6.0,3.1,False,Rack7,Medium,2025-07-03
Optical Technology Product 004,351.9,8.6,4.9,4.2,True,Floor4,High,2025-07-04
Optical Technology Product 005,174.3,4.6,4.7,0.6,True,Priority2,Medium,2025-07-05
Optical Technology Product 006,156.7,3.1,1.7,3.2,False,QualityControl,High,2025-07-06
Optical Technology Product 007,412.4,16.0,4.6,5.9,False,Priority1,High,2025-07-07
Optical Technology Product 008,284.9,5.6,3.0,0.4,False,Mezzanine2,High,2025-07-08
Optical Technology Product 009,528.3,8.7,2.2,3.9,False,Rack9,Medium,2025-07-09
Optical Technology Product 010,257.9,3.6,1.6,4.1,False,SlowMoving,High,2025-07-10
Optical Technology Product 011,248.5,4.6,8.4,2.1,False,Mezzanine3,Low,2025-07-11
Optical Technology Product 012,141.3,8.0,2.3,2.3,True,LightItems,Medium,2025-07-12
Optical Technology Product 013,371.3,1.2,0.9,2.7,True,AutomatedStorage2,Low,2025-07-13
Optical Technology Product 014,458.1,2.2,2.5,4.2,True,HighBay4,High,2025-07-14
Optical Technology Product 015,404.6,4.9,4.4,2.6,False,PalletArea2,Low,2025-07-15
Optical Technology Product 016,68.4,8.1,4.8,1.8,False,PalletArea5,Low,2025-07-16
Optical Technology Product 017,722.9,1.5,3.8,1.0,True,Rack3,Low,2025-07-17
Optical Technology Product 018,373.7,5.0,2.9,1.0,False,Aisle1,High,2025-07-18
Optical Technology Product 019,340.6,6.1,1.8,3.9,True,PalletArea5,Low,2025-07-19
Optical Technology Product 020,408.4,11.8,5.2,0.6,False,HighBay5,High,2025-07-20
Optical Technology Product 021,258.7,11.1,3.4,3.4,True,SmallItems,Low,2025-07-21
Optical Technology Product 022,169.1,2.8,1.7,1.0,False,ZoneI,Medium,2025-07-22
Optical Technology Product 023,613.5,7.3,6.1,3.9,True,Basement1,High,2025-07-23
Optical Technology Product 024,95.9,7.2,4.9,5.3,True,StandardLane,Medium,2025-07-24
Optical Technology Product 025,164.6,6.1,2.4,1.5,False,PalletArea5,Medium,2025-07-25
Optical Technology Product 026,437.1,3.5,2.3,5.1,True,DryStorage,High,2025-07-26
Optical Technology Product 027,290.0,0.6,3.2,1.8,False,ZoneC,Low,2025-07-27
Optical Technology Product 028,269.1,4.5,2.4,1.1,False,Rack1,Low,2025-07-28
Optical Technology Product 029,133.1,1.0,3.9,2.9,True,Aisle6,Low,2025-07-29
Optical Technology Product 030,642.9,1.2,4.1,5.7,True,Rack8,Medium,2025-07-30
Optical Technology Product 031,578.5,0.9,2.6,1.3,False,Mezzanine3,High,2025-07-01
Optical Technology Product 032,284.9,9.7,4.0,1.5,False,LoadingDock5,Medium,2025-07-02
Optical Technology Product 033,270.3,14.8,1.9,0.5,False,SectionH,Low,2025-07-03
Optical Technology Product 034,117.7,8.8,2.5,5.4,True,Rack6,Medium,2025-07-04
Optical Technology Product 035,41.5,5.4,0.5,4.9,False,Floor2,Medium,2025-07-05
Optical Technology Product 036,685.9,2.4,2.5,1.3,False,Mezzanine1,Medium,2025-07-06
Optical Technology Product 037,65.3,7.7,0.5,3.0,True,Basement1,Medium,2025-07-07
Optical Technology Product 038,322.8,15.4,5.3,1.8,True,ManualStorage4,High,2025-07-08
Optical Technology Product 039,80.7,12.9,1.7,3.4,True,Aisle4,Medium,2025-07-09
Optical Technology Product 040,38.4,3.3,4.9,0.5,True,Aisle4,Low,2025-07-10
Optical Technology Product 041,159.0,2.8,2.0,4.3,True,Aisle2,Medium,2025-07-11
Optical Technology Product 042,860.0,4.0,7.3,6.0,False,ManualStorage1,Medium,2025-07-12
Optical Technology Product 043,18.3,6.5,4.0,1.4,True,BulkStorage,High,2025-07-13
Optical Technology Product 044,386.4,3.1,0.6,2.5,False,HighBay2,Low,2025-07-14
Optical Technology Product 045,744.2,6.1,6.0,2.2,False,Mezzanine5,Low,2025-07-15
Optical Technology Product 046,358.2,14.2,5.3,6.1,False,AutomatedStorage5,Medium,2025-07-16
Optical Technology Product 047,282.8,13.7,0.6,3.2,False,PremiumLane,Low,2025-07-17
Optical Technology Product 048,14.1,12.4,2.1,1.4,False,ZoneG,Low,2025-07-18
Optical Technology Product 049,137.7,9.6,2.9,4.3,False,ReturnsArea,Low,2025-07-19
Optical Technology Product 050,25.5,2.4,6.8,4.7,False,LoadingDock3,High,2025-07-20
Optical Technology Product 051,659.6,5.6,6.1,5.2,False,OverflowLane,High,2025-07-21
Optical Technology Product 052,135.6,3.0,3.6,2.7,False,ColdStorage,High,2025-07-22
Optical Technology Product 053,645.6,1.4,4.3,1.3,False,DryStorage,High,2025-07-23
Optical Technology Product 054,163.1,5.0,1.8,1.6,True,Aisle10,Low,2025-07-24
Optical Technology Product 055,577.4,8.0,3.0,5.0,True,Mezzanine4,Low,2025-07-25
Optical Technology Product 056,778.6,8.8,0.9,1.0,True,ZoneI,Medium,2025-07-26
Optical Technology Product 057,333.2,7.6,7.3,3.9,True,HighBay4,Medium,2025-07-27
Optical Technology Product 058,422.2,5.1,5.2,0.3,True,QualityControl,High,2025-07-28
Optical Technology Product 059,447.9,10.3,3.9,1.1,True,QualityControl,Low,2025-07-29
Optical Technology Product 060,394.7,0.8,2.7,2.9,False,EconomyLane,Low,2025-07-30
Optical Technology Product 061,157.1,16.0,1.1,4.2,True,SectionD,Low,2025-07-01
Optical Technology Product 062,416.5,4.3,2.0,4.0,True,ReceivingArea,High,2025-07-02
Optical Technology Product 063,436.4,13.0,4.5,2.7,True,AutomatedStorage4,Medium,2025-07-03
Optical Technology Product 064,588.8,9.1,1.0,5.5,False,Basement5,Low,2025-07-04
Optical Technology Product 065,169.9,6.9,1.9,2.7,True,StandardLane,Low,2025-07-05
Optical Technology Product 066,429.8,4.2,2.3,0.9,True,ShelfArea1,High,2025-07-06
Optical Technology Product 067,259.6,2.9,5.3,5.1,False,HighBay1,Medium,2025-07-07
Optical Technology Product 068,245.2,3.0,3.7,1.7,True,FragileItems,Medium,2025-07-08
Optical Technology Product 069,296.6,12.0,1.5,2.3,False,LoadingDock4,High,2025-07-09
Optical Technology Product 070,367.2,12.1,1.8,4.0,True,PalletArea4,Low,2025-07-10
Optical Technology Product 071,70.4,4.2,3.9,1.9,True,Rack10,High,2025-07-11
Optical Technology Product 072,166.2,8.7,7.8,6.0,True,ZoneC,High,2025-07-12
Optical Technology Product 073,196.7,12.7,5.8,4.2,False,HighBay4,Medium,2025-07-13
Optical Technology Product 074,171.4,5.5,4.4,1.2,True,HeavyItems,Low,2025-07-14
Optical Technology Product 075,143.2,11.7,6.3,2.9,False,EconomyLane,High,2025-07-15
Optical Technology Product 076,428.0,11.2,3.5,0.6,True,Mezzanine5,Low,2025-07-16
Optical Technology Product 077,640.7,0.9,4.8,4.0,True,Priority1,Low,2025-07-17
Optical Technology Product 078,324.5,2.8,5.6,2.3,True,AutomatedStorage4,Low,2025-07-18
Optical Technology Product 079,66.1,13.7,2.6,4.8,True,Rack9,Medium,2025-07-19
Optical Technology Product 080,591.5,4.4,2.5,1.3,False,Rack2,High,2025-07-20
Optical Technology Product 081,342.3,11.2,4.0,2.3,False,ShelfArea1,High,2025-07-21
Optical Technology Product 082,818.7,0.6,2.9,2.3,True,SectionE,High,2025-07-22
Optical Technology Product 083,404.2,5.5,4.4,2.3,False,HighBay4,Medium,2025-07-23
Optical Technology Product 084,345.7,7.1,1.8,2.9,False,ManualStorage3,High,2025-07-24
Optical Technology Product 085,242.6,2.6,2.6,1.4,False,SectionB,Medium,2025-07-25
Optical Technology Product 086,467.7,4.5,2.6,1.3,False,Aisle8,Medium,2025-07-26
Optical Technology Product 087,525.3,11.4,3.3,2.7,True,HazardousStorage,Low,2025-07-27
Optical Technology Product 088,371.8,4.1,6.3,5.3,False,ZoneC,Low,2025-07-28
Optical Technology Product 089,149.9,4.8,5.9,0.6,True,ShelfArea3,Medium,2025-07-29
Optical Technology Product 090,9.9,11.8,3.3,1.2,False,SectionD,High,2025-07-30
Optical Technology Product 091,137.6,2.9,2.7,4.5,False,ManualStorage1,Medium,2025-07-01
Optical Technology Product 092,421.0,10.0,1.7,0.6,True,PalletArea3,Medium,2025-07-02
Optical Technology Product 093,141.7,0.4,2.4,2.5,True,MediumItems,Low,2025-07-03
Optical Technology Product 094,71.1,7.6,3.8,0.8,True,Rack4,Low,2025-07-04
Optical Technology Product 095,508.0,10.9,1.6,1.5,True,ZoneG,High,2025-07-05
Optical Technology Product 096,345.5,4.2,1.9,1.0,True,Rack7,High,2025-07-06
Optical Technology Product 097,69.7,4.2,1.9,3.6,True,Rack2,Medium,2025-07-07
Optical Technology Product 098,28.8,8.2,3.8,0.5,False,Priority5,Low,2025-07-08
Optical Technology Product 099,278.7,7.1,2.5,2.0,False,Rack4,High,2025-07-09
Optical Technology Product 100,405.4,6.1,4.3,3.5,False,SectionG,Medium,2025-07-10
