Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Acoustic Technology Product 001,284.4,1.7,4.9,1.4,True,DryStorage,Low,2025-07-01
Acoustic Technology Product 002,492.4,2.3,4.6,2.9,False,ZoneG,Medium,2025-07-02
Acoustic Technology Product 003,239.2,7.9,1.1,4.7,False,ReturnsArea,High,2025-07-03
Acoustic Technology Product 004,324.7,6.7,1.0,2.8,True,PalletArea2,Low,2025-07-04
Acoustic Technology Product 005,591.6,5.0,1.9,3.8,False,Rack1,High,2025-07-05
Acoustic Technology Product 006,215.5,4.2,3.9,1.8,True,Rack9,Medium,2025-07-06
Acoustic Technology Product 007,16.3,5.7,2.7,4.4,True,SectionF,High,2025-07-07
Acoustic Technology Product 008,388.3,7.2,1.9,2.4,True,Priority5,High,2025-07-08
Acoustic Technology Product 009,117.7,6.4,2.1,1.6,False,AutomatedStorage3,Low,2025-07-09
Acoustic Technology Product 010,264.6,10.2,4.1,2.4,True,Floor1,Medium,2025-07-10
Acoustic Technology Product 011,561.6,8.4,0.4,0.2,False,HighBay3,High,2025-07-11
Acoustic Technology Product 012,634.7,1.4,3.3,5.0,True,HazardousStorage,Low,2025-07-12
Acoustic Technology Product 013,162.8,3.5,2.9,0.6,False,Priority1,Low,2025-07-13
Acoustic Technology Product 014,322.2,9.1,5.6,0.6,True,AutomatedStorage1,Medium,2025-07-14
Acoustic Technology Product 015,531.4,13.6,2.0,1.1,True,SectionC,Low,2025-07-15
Acoustic Technology Product 016,320.5,6.9,4.8,1.0,False,Mezzanine5,Medium,2025-07-16
Acoustic Technology Product 017,492.5,15.2,0.6,0.7,False,HighBay4,Medium,2025-07-17
Acoustic Technology Product 018,146.8,7.5,0.7,3.3,True,AutomatedStorage1,High,2025-07-18
Acoustic Technology Product 019,28.9,5.1,4.6,4.8,False,QualityControl,High,2025-07-19
Acoustic Technology Product 020,717.3,9.4,0.4,4.0,False,Rack7,Low,2025-07-20
Acoustic Technology Product 021,295.1,11.4,4.1,4.8,False,LargeItems,Low,2025-07-21
Acoustic Technology Product 022,289.7,3.3,0.7,2.1,False,Priority1,Low,2025-07-22
Acoustic Technology Product 023,388.3,4.3,1.8,4.1,False,ManualStorage5,Low,2025-07-23
Acoustic Technology Product 024,122.1,9.6,2.9,3.2,False,LightItems,Low,2025-07-24
Acoustic Technology Product 025,270.3,4.3,1.6,1.2,False,AutomatedStorage5,Medium,2025-07-25
Acoustic Technology Product 026,411.4,8.5,3.8,2.5,False,ShippingArea,Low,2025-07-26
Acoustic Technology Product 027,175.3,3.7,0.6,1.4,True,Mezzanine1,Medium,2025-07-27
Acoustic Technology Product 028,356.7,7.6,4.1,3.0,False,ShelfArea5,High,2025-07-28
Acoustic Technology Product 029,380.1,3.4,0.7,4.9,True,Mezzanine5,High,2025-07-29
Acoustic Technology Product 030,195.4,12.5,1.5,1.2,False,DryStorage,Low,2025-07-30
Acoustic Technology Product 031,652.5,5.8,3.8,1.9,True,ZoneH,Medium,2025-07-01
Acoustic Technology Product 032,391.3,0.9,3.4,3.4,True,HighBay2,Medium,2025-07-02
Acoustic Technology Product 033,317.1,8.3,5.4,3.5,False,Priority5,Low,2025-07-03
Acoustic Technology Product 034,265.0,7.8,5.1,0.4,False,Rack2,High,2025-07-04
Acoustic Technology Product 035,522.8,8.3,3.6,3.9,False,ReceivingArea,Medium,2025-07-05
Acoustic Technology Product 036,260.8,4.6,3.9,0.4,True,Priority2,Low,2025-07-06
Acoustic Technology Product 037,264.1,1.7,3.5,3.0,False,AutomatedStorage5,Low,2025-07-07
Acoustic Technology Product 038,42.7,10.9,3.5,2.8,False,ShelfArea5,Medium,2025-07-08
Acoustic Technology Product 039,644.3,12.9,6.4,0.7,False,Floor2,Low,2025-07-09
Acoustic Technology Product 040,764.6,0.6,3.1,4.3,True,ManualStorage2,Low,2025-07-10
Acoustic Technology Product 041,393.8,8.0,4.4,4.8,True,Rack4,Low,2025-07-11
Acoustic Technology Product 042,231.6,9.1,5.8,2.1,False,Basement5,Medium,2025-07-12
Acoustic Technology Product 043,358.1,3.2,2.0,0.3,True,BulkStorage,Low,2025-07-13
Acoustic Technology Product 044,468.4,10.6,0.5,2.9,True,LoadingDock5,High,2025-07-14
Acoustic Technology Product 045,80.8,4.3,7.6,3.6,True,Floor1,Low,2025-07-15
Acoustic Technology Product 046,90.8,6.4,5.3,2.8,True,ManualStorage2,Low,2025-07-16
Acoustic Technology Product 047,393.4,5.5,3.7,4.6,True,ManualStorage3,Medium,2025-07-17
Acoustic Technology Product 048,423.7,8.7,0.5,1.5,True,SectionA,Low,2025-07-18
Acoustic Technology Product 049,181.0,12.4,0.9,4.4,False,Priority5,Low,2025-07-19
Acoustic Technology Product 050,595.2,10.5,3.3,4.8,True,SectionA,High,2025-07-20
Acoustic Technology Product 051,727.6,1.9,7.9,1.3,True,ZoneE,Low,2025-07-21
Acoustic Technology Product 052,152.6,4.5,5.3,2.6,True,EconomyLane,Low,2025-07-22
Acoustic Technology Product 053,455.2,5.2,5.7,3.0,True,SectionB,High,2025-07-23
Acoustic Technology Product 054,452.9,13.7,4.0,1.9,False,ZoneJ,Low,2025-07-24
Acoustic Technology Product 055,37.2,12.2,4.8,1.9,False,LargeItems,Low,2025-07-25
